<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KGL,D,20151210,000000,15.9228,15.9228,15.2531,15.2684,2126.9230769413775,0
KGL,D,20151211,000000,15.8721,16.3002,15.8649,16.3002,774.5314685381329,0
KGL,D,20151214,000000,16.1744,16.1744,16.1744,16.1744,11.048951049046119,0
KGL,D,20151215,000000,15.5209,15.8811,15.5209,15.8811,309.3706293732913,0
KGL,D,20151216,000000,15.8811,15.8811,15.5209,15.8811,20.993006993187624,0
KGL,D,20151217,000000,15.6802,15.8811,15.6802,15.8811,76.23776223841821,0
KGL,D,20151221,000000,16.0486,16.0486,15.9228,15.9228,198.88111888283012,0
KGL,D,20151222,000000,15.9228,16.0486,15.7553,16.0486,1217.5944056048822,0
KGL,D,20151228,000000,15.6721,16.0396,15.6721,16.0396,82.86713286784588,0
KGL,D,20151230,000000,16.0069,16.149,16.0069,16.0911,11932.867132969808,0
KGL,D,20160104,000000,16.3409,16.3409,16.3409,16.3409,2.2097902098092237,0
KGL,D,20160115,000000,15.6305,16.1581,15.5707,16.1581,272.90909091143914,0
KGL,D,20160120,000000,15.6892,15.9228,15.6892,15.9228,50.82517482561214,0
KGL,D,20160121,000000,15.6974,15.9228,15.6974,15.9228,1523.6503496634596,0
KGL,D,20160122,000000,15.9228,15.9228,15.9228,15.9228,444.1678321716539,0
KGL,D,20160128,000000,15.6458,15.9228,15.5462,15.9228,1212.069930080359,0
KGL,D,20160129,000000,15.8811,15.9228,15.8811,15.9228,1670.601398615773,0
KGL,D,20160203,000000,16.2595,16.2595,15.5879,15.9074,12322.89510500135,0
KGL,D,20160204,000000,15.8811,15.9228,15.8811,15.9228,255.23076923296532,0
KGL,D,20160205,000000,15.797,15.9228,15.5879,15.5879,2691.524475547634,0
KGL,D,20160208,000000,15.7381,15.9228,15.7381,15.9228,113.80419580517501,0
KGL,D,20160209,000000,15.6305,15.8395,15.2531,15.6305,2539.0489510707976,0
KGL,D,20160210,000000,15.6214,15.6214,15.6214,15.6214,5.5244755245230595,0
KGL,D,20160211,000000,15.6123,15.8395,15.6123,15.8395,87.28671328746432,0
KGL,D,20160217,000000,15.6051,15.8395,15.6051,15.8395,97.23076923160583,0
KGL,D,20160222,000000,15.7553,15.7553,15.7553,15.7553,3.3146853147138353,0
KGL,D,20160225,000000,15.7472,15.8305,15.7472,15.8305,2507.006993028564,0
KGL,D,20160301,000000,15.9228,16.0069,15.7553,15.9228,1899.3146853310277,0
KGL,D,20160302,000000,15.8395,15.9155,15.463,15.9155,1373.3846153964323,0
KGL,D,20160309,000000,15.8223,15.8649,15.8223,15.8649,206.6153846171624,0
KGL,D,20160311,000000,15.8486,15.9228,15.8486,15.9228,88.39160839236895,0
KGL,D,20160314,000000,15.9155,15.9228,15.9155,15.9228,2507.006993028564,0
KGL,D,20160315,000000,15.9155,15.9155,15.9155,15.9155,85.07692307765511,0
KGL,D,20160316,000000,15.8395,15.8395,15.8395,15.8395,134.79720279836263,0
KGL,D,20160317,000000,15.8395,15.8395,15.8395,15.8395,175.67832167983326,0
KGL,D,20160318,000000,15.8305,15.9228,15.8305,15.9228,954.6293706375847,0
KGL,D,20160321,000000,15.8395,15.8395,15.8395,15.8395,202.19580419754394,0
KGL,D,20160322,000000,15.8305,15.9979,15.4359,15.4359,13961.454545575103,0
KGL,D,20160323,000000,15.8395,15.8395,15.8395,15.8395,11.048951049046119,0
KGL,D,20160324,000000,15.8395,15.8395,15.4295,15.8395,124.85314685422112,0
KGL,D,20160330,000000,15.8395,15.8395,15.8395,15.8395,119.32867132969808,0
KGL,D,20160404,000000,15.8395,15.8395,15.8395,15.8395,54.13986014032597,0
KGL,D,20160405,000000,15.8395,15.8395,15.8395,15.8395,82.86713286784588,0
KGL,D,20160408,000000,15.8305,15.8395,15.8305,15.8395,3579.8601398909423,0
KGL,D,20160411,000000,15.8395,16.2595,15.8395,16.2595,17245.202797351394,0
KGL,D,20160412,000000,16.3264,17.1718,16.3174,16.7609,22436.000000193475,0
KGL,D,20160413,000000,16.9283,17.5148,16.6785,17.5148,11332.909091006388,0
KGL,D,20160414,000000,17.3392,17.3392,16.3409,16.5934,5514.531468578917,0
KGL,D,20160415,000000,17.3392,18.4379,16.7609,18.4379,15614.37762251176,0
KGL,D,20160418,000000,17.9338,18.4379,17.5981,18.4379,1037.4965035054304,0
KGL,D,20160419,000000,18.3538,19.1493,18.3538,18.7728,8694.41958049439,0
KGL,D,20160420,000000,18.6054,18.7728,18.6054,18.6054,12057.720279824243,0
KGL,D,20160421,000000,18.2705,18.4379,18.2705,18.4379,1929.146853163452,0
KGL,D,20160425,000000,17.7664,18.4379,17.7664,18.4379,49.72027972070753,0
