<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KMP,D,19961119,000000,14.1348,14.1348,14.1348,14.1348,44429.23185986251,0
KMP,D,19961120,000000,14.5886,14.5886,14.5886,14.5886,27797.398230999097,0
KMP,D,19961121,000000,16.046,16.046,16.046,16.046,26890.64778849152,0
KMP,D,19961122,000000,17.6062,17.6062,17.6062,17.6062,118283.04425166239,0
KMP,D,19961125,000000,17.7579,17.7579,17.7579,17.7579,35591.67433744911,0
KMP,D,19961126,000000,17.1032,17.1032,17.1032,17.1032,16605.4513279776,0
KMP,D,19961127,000000,16.6005,16.6005,16.6005,16.6005,20359.334513941278,0
KMP,D,19961128,000000,16.0968,16.0968,16.0968,16.0968,11491.699115420699,0
KMP,D,19961129,000000,17.4051,17.4051,17.4051,17.4051,18587.92212450272,0
KMP,D,19961202,000000,17.6062,17.6062,17.6062,17.6062,50267.5221255405,0
KMP,D,19961203,000000,18.1089,18.1089,18.1089,18.1089,37799.5752224772,0
KMP,D,19961204,000000,19.6188,19.6188,19.6188,19.6188,50465.338054750515,0
KMP,D,19961205,000000,20.3726,20.3726,20.3726,20.3726,61970.279648047755,0
KMP,D,19961206,000000,21.9328,21.9328,21.9328,21.9328,80088.14513536693,0
KMP,D,19961209,000000,20.8755,20.8755,20.8755,20.8755,52261.90088666778,0
KMP,D,19961210,000000,21.4292,21.4292,21.4292,21.4292,30518.57345232718,0
KMP,D,19961211,000000,22.6365,22.6365,22.6365,22.6365,19702.035398875498,0
KMP,D,19961212,000000,23.642,23.642,23.642,23.642,46928.672567908994,0
KMP,D,19961213,000000,23.642,23.642,23.642,23.642,51412.84247956031,0
KMP,D,19961216,000000,23.5412,23.5412,23.5412,23.5412,51821.81947072416,0
KMP,D,19961217,000000,22.6365,22.6365,22.6365,22.6365,35121.515045398315,0
KMP,D,19961218,000000,21.53,21.53,21.53,21.53,30887.925664728657,0
KMP,D,19961219,000000,22.6365,22.6365,22.6365,22.6365,32180.761063001097,0
KMP,D,19961220,000000,22.5856,22.5856,22.5856,22.5856,26541.72389467478,0
KMP,D,19961223,000000,20.9255,20.9255,20.9255,20.9255,28028.78230180314,0
KMP,D,19961224,000000,20.3726,20.3726,20.3726,20.3726,9057.126017995814,0
KMP,D,19961230,000000,21.2282,21.2282,21.2282,21.2282,33634.353983402696,0
KMP,D,19961231,000000,21.3283,21.3283,21.3283,21.3283,16009.437168666038,0
KMP,D,19970102,000000,21.1273,21.1273,21.1273,21.1273,8071.2902657511295,0
KMP,D,19970103,000000,21.1774,21.1774,21.1774,21.1774,13481.25309778676,0
KMP,D,19970106,000000,21.1273,21.1273,21.1273,21.1273,11288.9557525822,0
KMP,D,19970107,000000,20.9772,20.9772,20.9772,20.9772,3289.6778762139597,0
KMP,D,19970108,000000,21.7309,21.7309,21.7309,21.7309,14013.826549131638,0
KMP,D,19970109,000000,21.6301,21.6301,21.6301,21.6301,9223.827256939328,0
KMP,D,19970110,000000,21.9328,21.9328,21.9328,21.9328,11239.78407116466,0
KMP,D,19970113,000000,20.6245,20.6245,20.6245,20.6245,10933.97522159712,0
KMP,D,19970114,000000,20.6737,20.6737,20.6737,20.6737,12237.58938093186,0
KMP,D,19970115,000000,20.1208,20.1208,20.1208,20.1208,11604.414159672178,0
KMP,D,19970116,000000,20.1208,20.1208,20.1208,20.1208,57974.233630217735,0
KMP,D,19970117,000000,21.1273,21.1273,21.1273,21.1273,44894.5663731521,0
KMP,D,19970120,000000,23.2393,23.2393,23.2393,23.2393,51140.6017715868,0
KMP,D,19970121,000000,22.6365,22.6365,22.6365,22.6365,16479.59646071684,0
KMP,D,19970122,000000,21.3791,21.3791,21.3791,21.3791,56598.55575406648,0
KMP,D,19970123,000000,21.1273,21.1273,21.1273,21.1273,46953.8230103877,0
KMP,D,19970124,000000,20.6245,20.6245,20.6245,20.6245,55443.68849739148,0
KMP,D,19970127,000000,20.5745,20.5745,20.5745,20.5745,22140.29380603502,0
KMP,D,19970128,000000,20.6245,20.6245,20.6245,20.6245,13574.874336727878,0
KMP,D,19970129,000000,18.5615,18.5615,18.5615,18.5615,14894.092035886139,0
KMP,D,19970130,000000,19.518,19.518,19.518,19.518,64557.182302999754,0
KMP,D,19970131,000000,18.1089,18.1089,18.1089,18.1089,43293.56106336514,0
KMP,D,19970203,000000,19.1153,19.1153,19.1153,19.1153,34214.867257758,0
KMP,D,19970204,000000,18.5115,18.5115,18.5115,18.5115,23040.884956506998,0
KMP,D,19970205,000000,18.8126,18.8126,18.8126,18.8126,13368.538053535278,0
KMP,D,19970206,000000,19.6188,19.6188,19.6188,19.6188,33846.64424889638,0
KMP,D,19970207,000000,21.4292,21.4292,21.4292,21.4292,55297.302656678716,0
KMP,D,19970210,000000,21.6301,21.6301,21.6301,21.6301,25843.67079730678,0
KMP,D,19970211,000000,21.0264,21.0264,21.0264,21.0264,29344.509735474556,0
KMP,D,19970212,000000,21.6301,21.6301,21.6301,21.6301,22930.633629069758,0
