<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KRK,D,19970210,000000,26.8111,26.8111,26.8111,26.8111,515155.5181172565,0
KRK,D,19970211,000000,21.1245,21.1245,21.1245,21.1245,912485.9775165718,0
KRK,D,19970212,000000,16.4616,16.4616,16.4616,16.4616,536615.0293427814,0
KRK,D,19970213,000000,18.625,18.625,18.625,18.625,239870.01553591233,0
KRK,D,19970214,000000,20.5386,20.5386,20.5386,20.5386,178888.91881949882,0
KRK,D,19970217,000000,23.3052,23.3052,23.3052,23.3052,229073.53194387752,0
KRK,D,19970218,000000,21.7988,21.7988,21.7988,21.7988,164672.23833638823,0
KRK,D,19970219,000000,20.8213,20.8213,20.8213,20.8213,122035.64593714231,0
KRK,D,19970220,000000,20.5958,20.5958,20.5958,20.5958,181339.7495620755,0
KRK,D,19970221,000000,20.3592,20.3592,20.3592,20.3592,71367.1773723655,0
KRK,D,19970224,000000,20.3795,20.3795,20.3795,20.3795,78874.02331338916,0
KRK,D,19970225,000000,20.374,20.374,20.374,20.374,77005.01916837477,0
KRK,D,19970226,000000,20.2252,20.2252,20.2252,20.2252,51255.77823660493,0
KRK,D,19970227,000000,20.2401,20.2401,20.2401,20.2401,162786.2676974193,0
KRK,D,19970228,000000,21.2082,21.2082,21.2082,21.2082,59675.400861535476,0
KRK,D,19970303,000000,20.8159,20.8159,20.8159,20.8159,57807.63816729825,0
KRK,D,19970304,000000,20.107,20.107,20.107,20.107,40226.62607808405,0
KRK,D,19970305,000000,19.4074,19.4074,19.4074,19.4074,64945.56631904253,0
KRK,D,19970306,000000,19.3457,19.3457,19.3457,19.3457,34660.2711559929,0
KRK,D,19970307,000000,19.0942,19.0942,19.0942,19.0942,41356.44973953108,0
KRK,D,19970310,000000,18.9398,18.9398,18.9398,18.9398,23106.399135659074,0
KRK,D,19970311,000000,18.8272,18.8272,18.8272,18.8272,36801.256475436756,0
KRK,D,19970312,000000,18.9611,18.9611,18.9611,18.9611,17623.117961406213,0
KRK,D,19970313,000000,18.9242,18.9242,18.9242,18.9242,19467.913816265973,0
KRK,D,19970314,000000,18.8882,18.8882,18.8882,18.8882,16747.377892351262,0
KRK,D,19970317,000000,18.7347,18.7347,18.7347,18.7347,22641.682728075513,0
KRK,D,19970318,000000,18.3328,18.3328,18.3328,18.3328,34741.999998822605,0
KRK,D,19970319,000000,18.2466,18.2466,18.2466,18.2466,28320.388945499642,0
KRK,D,19970320,000000,18.1323,18.1323,18.1323,18.1323,22856.24680406133,0
KRK,D,19970321,000000,17.6482,17.6482,17.6482,17.6482,122620.16234472182,0
KRK,D,19970324,000000,17.4282,17.4282,17.4282,17.4282,53938.036094890536,0
KRK,D,19970325,000000,17.0585,17.0585,17.0585,17.0585,48956.50794307318,0
KRK,D,19970326,000000,16.5532,16.5532,16.5532,16.5532,54578.93505859938,0
KRK,D,19970327,000000,17.1046,17.1046,17.1046,17.1046,96110.42935771002,0
KRK,D,19970328,000000,16.93,16.93,16.93,16.93,71073.57426356716,0
KRK,D,19970401,000000,16.7803,16.7803,16.7803,16.7803,8343.045802826064,0
KRK,D,19970402,000000,17.2339,17.2339,17.2339,17.2339,46622.787390475234,0
KRK,D,19970403,000000,18.6682,18.6682,18.6682,18.6682,83638.6079418978,0
KRK,D,19970404,000000,18.2154,18.2154,18.2154,18.2154,36511.481173201326,0
KRK,D,19970407,000000,17.4023,17.4023,17.4023,17.4023,33008.31398851866,0
KRK,D,19970408,000000,17.8244,17.8244,17.8244,17.8244,11653.394990969491,0
KRK,D,19970409,000000,17.855,17.855,17.855,17.855,19801.139895702003,0
KRK,D,19970410,000000,17.7478,17.7478,17.7478,17.7478,25303.560102769414,0
KRK,D,19970411,000000,18.2051,18.2051,18.2051,18.2051,17757.194645339492,0
KRK,D,19970414,000000,18.0609,18.0609,18.0609,18.0609,19683.71934302895,0
KRK,D,19970415,000000,17.9005,17.9005,17.9005,17.9005,14569.35595805547,0
KRK,D,19970416,000000,17.8136,17.8136,17.8136,17.8136,10680.614852833201,0
KRK,D,19970417,000000,18.2154,18.2154,18.2154,18.2154,14434.037823345032,0
KRK,D,19970418,000000,18.1636,18.1636,18.1636,18.1636,18769.597754113474,0
KRK,D,19970421,000000,17.974,17.974,17.974,17.974,13401.150776747912,0
KRK,D,19970422,000000,17.8189,17.8189,17.8189,17.8189,28746.723833222673,0
KRK,D,19970423,000000,17.8958,17.8958,17.8958,17.8958,34991.01433387461,0
KRK,D,19970424,000000,17.9577,17.9577,17.9577,17.9577,30945.229705341604,0
KRK,D,19970425,000000,18.0194,18.0194,18.0194,18.0194,34893.97426479327,0
KRK,D,19970428,000000,17.8136,17.8136,17.8136,17.8136,9626.105871867212,0
KRK,D,19970429,000000,17.7163,17.7163,17.7163,17.7163,16028.57789237562,0
KRK,D,19970430,000000,17.7736,17.7736,17.7736,17.7736,8618.813402125874,0
KRK,D,19970505,000000,17.7634,17.7634,17.7634,17.7634,13461.154230977312,0
KRK,D,19970506,000000,17.7673,17.7673,17.7673,17.7673,19335.18203734128,0
KRK,D,19970507,000000,17.855,17.855,17.855,17.855,27697.387563828182,0
KRK,D,19970508,000000,18.257,18.257,18.257,18.257,34037.269774321445,0
KRK,D,19970509,000000,18.6163,18.6163,18.6163,18.6163,71404.21398721744,0
KRK,D,19970512,000000,18.076,18.076,18.076,18.076,62610.500861436005,0
KRK,D,19970513,000000,17.8494,17.8494,17.8494,17.8494,53900.9994800386,0
KRK,D,19970514,000000,17.7673,17.7673,17.7673,17.7673,100677.00258726165,0
KRK,D,19970515,000000,17.4226,17.4226,17.4226,17.4226,59462.181690558245,0
KRK,D,19970516,000000,17.4595,17.4595,17.4595,17.4595,47734.713469884875,0
KRK,D,19970519,000000,17.3615,17.3615,17.3615,17.3615,6708.90345400407,0
KRK,D,19970520,000000,17.4391,17.4391,17.4391,17.4391,9823.982780323371,0
KRK,D,19970521,000000,17.7415,17.7415,17.7415,17.7415,82453.85008356145,0
KRK,D,19970522,000000,17.7163,17.7163,17.7163,17.7163,18712.180655669825,0
KRK,D,19970523,000000,17.7673,17.7673,17.7673,17.7673,12388.747667973932,0
KRK,D,19970526,000000,17.6999,17.6999,17.6999,17.6999,13090.994990920772,0
KRK,D,19970527,000000,17.6702,17.6702,17.6702,17.6702,15443.854576333262,0
KRK,D,19970528,000000,17.4172,17.4172,17.4172,17.4172,26437.31502501078,0
KRK,D,19970529,000000,17.7736,17.7736,17.7736,17.7736,28884.62832371886,0
KRK,D,19970530,000000,17.7109,17.7109,17.7109,17.7109,11653.394990969491,0
KRK,D,19970602,000000,17.367,17.367,17.367,17.367,13518.67478365239,0
KRK,D,19970603,000000,17.4853,17.4853,17.4853,17.4853,23904.34162267866,0
KRK,D,19970604,000000,17.4547,17.4547,17.4547,17.4547,40164.03626806891,0
KRK,D,19970605,000000,17.3153,17.3153,17.3153,17.3153,26162.747494795563,0
KRK,D,19970606,000000,16.8579,16.8579,16.8579,16.8579,40825.4191696009,0
KRK,D,19970609,000000,16.8164,16.8164,16.8164,16.8164,12644.072711143172,0
KRK,D,19970610,000000,16.8273,16.8273,16.8273,16.8273,20365.379273921222,0
KRK,D,19970611,000000,16.5243,16.5243,16.5243,16.5243,38785.19827156986,0
KRK,D,19970612,000000,16.3598,16.3598,16.3598,16.3598,15928.951467508532,0
KRK,D,19970613,000000,16.0449,16.0449,16.0449,16.0449,37541.78186401269,0
KRK,D,19970616,000000,15.8342,15.8342,15.8342,15.8342,24564.379619202064,0
KRK,D,19970617,000000,15.8091,15.8091,15.8091,15.8091,18166.97685603372,0
KRK,D,19970618,000000,15.7886,15.7886,15.7886,15.7886,14159.470293129812,0
KRK,D,19970619,000000,16.2712,16.2712,16.2712,16.2712,14628.014507276283,0
KRK,D,19970620,000000,16.4004,16.4004,16.4004,16.4004,15483.477546970951,0
KRK,D,19970623,000000,16.5391,16.5391,16.5391,16.5391,26257.304662322582,0
KRK,D,19970624,000000,16.543,16.543,16.543,16.543,17367.792918236973,0
KRK,D,19970626,000000,16.8579,16.8579,16.8579,16.8579,18166.97685603372,0
KRK,D,19970627,000000,17.5926,17.5926,17.5926,17.5926,34313.07875531382,0
KRK,D,19970630,000000,18.1895,18.1895,18.1895,18.1895,38961.38082769515,0
KRK,D,19970701,000000,20.3178,20.3178,20.3178,20.3178,120186.91882148822,0
KRK,D,19970702,000000,23.7931,23.7931,23.7931,23.7931,339436.4369487729,0
KRK,D,19970703,000000,23.1814,23.1814,23.1814,23.1814,449182.75473434554,0
KRK,D,19970704,000000,24.4401,24.4401,24.4401,24.4401,312691.4490394893,0
KRK,D,19970707,000000,23.3615,23.3615,23.3615,23.3615,53938.036094890536,0
KRK,D,19970708,000000,21.9328,21.9328,21.9328,21.9328,79066.75854654325,0
KRK,D,19970709,000000,22.6988,22.6988,22.6988,22.6988,123747.8134673088,0
KRK,D,19970710,000000,24.1785,24.1785,24.1785,24.1785,374119.4680356804,0
KRK,D,19970711,000000,24.6211,24.6211,24.6211,24.6211,147438.83246477882,0
KRK,D,19970714,000000,25.3189,25.3189,25.3189,25.3189,86844.34421121921,0
KRK,D,19970715,000000,26.0647,26.0647,26.0647,26.0647,162044.50085806623,0
KRK,D,19970716,000000,25.6745,25.6745,25.6745,25.6745,39954.64490365458,0
KRK,D,19970717,000000,25.3401,25.3401,25.3401,25.3401,92312.31415922045,0
KRK,D,19970718,000000,25.2069,25.2069,25.2069,25.2069,75530.38255357156,0
KRK,D,19970721,000000,25.145,25.145,25.145,25.145,50843.40967012495,0
KRK,D,19970722,000000,25.2165,25.2165,25.2165,25.2165,62610.500861436005,0
KRK,D,19970723,000000,25.2165,25.2165,25.2165,25.2165,145044.90154948863,0
KRK,D,19970724,000000,25.5562,25.5562,25.5562,25.5562,230398.78064849583,0
KRK,D,19970725,000000,26.1218,26.1218,26.1218,26.1218,422300.17269726004,0
KRK,D,19970728,000000,26.6826,26.6826,26.6826,26.6826,96284.02555804957,0
KRK,D,19970729,000000,26.6153,26.6153,26.6153,26.6153,155703.79101372152,0
KRK,D,19970730,000000,26.519,26.519,26.519,26.519,104372.90500509841,0
KRK,D,19970731,000000,26.6106,26.6106,26.6106,26.6106,81049.4588918992,0
KRK,D,19970801,000000,26.3278,26.3278,26.3278,26.3278,175678.73401822592,0
KRK,D,19970804,000000,25.937,25.937,25.937,25.937,22386.357684906274,0
KRK,D,19970805,000000,26.013,26.013,26.013,26.013,174281.06735160662,0
KRK,D,19970806,000000,26.1061,26.1061,26.1061,26.1061,38203.06131131326,0
KRK,D,19970807,000000,26.2768,26.2768,26.2768,26.2768,53723.575473136145,0
KRK,D,19970808,000000,26.5018,26.5018,26.5018,26.5018,113651.71502205511,0
KRK,D,19970811,000000,27.1809,27.1809,27.1809,27.1809,47035.15595695521,0
KRK,D,19970812,000000,28.1373,28.1373,28.1373,28.1373,46177.21001570622,0
KRK,D,19970813,000000,28.5899,28.5899,28.5899,28.5899,49892.25146635753,0
KRK,D,19970814,000000,28.2249,28.2249,28.2249,28.2249,46798.969946600526,0
KRK,D,19970818,000000,27.798,27.798,27.798,27.798,59480.079272595634,0
KRK,D,19970819,000000,27.1809,27.1809,27.1809,27.1809,42230.94835780888,0
KRK,D,19970820,000000,26.8057,26.8057,26.8057,26.8057,26083.605007751612,0
KRK,D,19970821,000000,27.3822,27.3822,27.3822,27.3822,58315.80535208241,0
KRK,D,19970822,000000,27.7573,27.7573,27.7573,27.7573,49795.31485150761,0
KRK,D,19970825,000000,27.6429,27.6429,27.6429,27.6429,36157.87461017358,0
KRK,D,19970826,000000,27.8043,27.8043,27.8043,27.8043,136584.41450314323,0
KRK,D,19970827,000000,27.9625,27.9625,27.9625,27.9625,17602.737477814502,0
KRK,D,19970828,000000,28.1834,28.1834,28.1834,28.1834,108693.15370961522,0
KRK,D,19970829,000000,27.5208,27.5208,27.5208,27.5208,81810.36476406685,0
KRK,D,19970901,000000,26.8205,26.8205,26.8205,26.8205,30770.288599993473,0
KRK,D,19970902,000000,25.4027,25.4027,25.4027,25.4027,91302.39395200077,0
KRK,D,19970903,000000,25.9065,25.9065,25.9065,25.9065,56837.44438494771,0
KRK,D,19970904,000000,25.8446,25.8446,25.8446,25.8446,51504.68911742551,0
KRK,D,19970905,000000,25.9464,25.9464,25.9464,25.9464,24740.56217532735,0
KRK,D,19970908,000000,26.143,26.143,26.143,26.143,26746.229360060763,0
KRK,D,19970909,000000,25.8656,25.8656,25.8656,25.8656,59404.764592114596,0
KRK,D,19970910,000000,25.7011,25.7011,25.7011,25.7011,53644.4329860922,0
KRK,D,19970911,000000,25.5618,25.5618,25.5618,25.5618,41216.062347480576,0
KRK,D,19970912,000000,25.377,25.377,25.377,25.377,51624.6960258843,0
KRK,D,19970915,000000,25.3355,25.3355,25.3355,25.3355,38412.452675727574,0
KRK,D,19970916,000000,25.1654,25.1654,25.1654,25.1654,71328.8993067364,0
KRK,D,19970917,000000,25.9612,25.9612,25.9612,25.9612,73311.59965209235,0
KRK,D,19970918,000000,25.9065,25.9065,25.9065,25.9065,50552.28946288093,0
KRK,D,19970919,000000,25.6338,25.6338,25.6338,25.6338,54249.53678572626,0
KRK,D,19970922,000000,25.3863,25.3863,25.3863,25.3863,29916.170465307394,0
KRK,D,19970923,000000,25.3143,25.3143,25.3143,25.3143,36021.21157045455,0
KRK,D,19970924,000000,25.4388,25.4388,25.4388,25.4388,48005.349739305755,0
KRK,D,19970925,000000,25.5054,25.5054,25.5054,25.5054,50433.62745943071,0
KRK,D,19970926,000000,25.4952,25.4952,25.4952,25.4952,94903.94611077337,0
KRK,D,19970929,000000,25.6338,25.6338,25.6338,25.6338,48628.35112097721,0
KRK,D,19970930,000000,25.3455,25.3455,25.3455,25.3455,74143.99239817812,0
KRK,D,19971001,000000,25.1349,25.1349,25.1349,25.1349,65374.487562551316,0
KRK,D,19971002,000000,25.4537,25.4537,25.4537,25.4537,69535.20984220305,0
KRK,D,19971003,000000,25.5618,25.5618,25.5618,25.5618,50552.28946288093,0
KRK,D,19971006,000000,26.0906,26.0906,26.0906,26.0906,58740.89878902828,0
KRK,D,19971007,000000,26.2142,26.2142,26.2142,26.2142,53256.37616399826,0
KRK,D,19971008,000000,25.9464,25.9464,25.9464,25.9464,62067.883417585654,0
KRK,D,19971009,000000,25.8242,25.8242,25.8242,25.8242,12409.231605797071,0
KRK,D,19971010,000000,25.6487,25.6487,25.6487,25.6487,30945.229705341604,0
KRK,D,19971013,000000,25.4788,25.4788,25.4788,25.4788,38162.196889898405,0
KRK,D,19971014,000000,25.2532,25.2532,25.2532,25.2532,24001.38169176,0
KRK,D,19971015,000000,25.1091,25.1091,25.1091,25.1091,13186.690154993521,0
KRK,D,19971016,000000,25.2735,25.2735,25.2735,25.2735,20988.484109824112,0
KRK,D,19971017,000000,25.0738,25.0738,25.0738,25.0738,22173.241968160473,0
KRK,D,19971020,000000,24.9853,24.9853,24.9853,24.9853,18225.738859485962,0
KRK,D,19971021,000000,24.6986,24.6986,24.6986,24.6986,16942.6994812911,0
KRK,D,19971022,000000,24.5639,24.5639,24.5639,24.5639,31063.891708791813,0
KRK,D,19971023,000000,24.672,24.672,24.672,24.672,49190.10759764211,0
KRK,D,19971024,000000,24.3281,24.3281,24.3281,24.3281,28884.62832371886,0
KRK,D,19971027,000000,24.0555,24.0555,24.0555,24.0555,54152.60017087636,0
KRK,D,19971028,000000,22.5501,22.5501,22.5501,22.5501,258697.65111385804,0
