<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KRU,D,20110510,000000,28.6397,30.1746,28.1647,30.0369,1288197.1186167675,0
KRU,D,20110511,000000,29.9636,29.9636,29.5316,29.5316,76733.69706115448,0
KRU,D,20110512,000000,29.3096,29.885,28.6837,29.5265,106268.72118909267,0
KRU,D,20110513,000000,29.2371,29.2952,29.0946,29.1874,17279.6306738323,0
KRU,D,20110516,000000,29.2008,29.4531,29.1519,29.3746,55278.46182844173,0
KRU,D,20110517,000000,29.3096,29.3688,29.0946,29.1004,96457.2949789282,0
KRU,D,20110518,000000,29.1646,29.259,29.1004,29.1646,10951.62819303168,0
KRU,D,20110519,000000,29.1646,29.2092,28.4094,29.2008,32617.836349808767,0
KRU,D,20110520,000000,29.2235,29.2235,28.9705,29.1646,30119.3480131297,0
KRU,D,20110523,000000,29.173,29.173,28.9629,29.022,54726.13945420403,0
KRU,D,20110524,000000,28.8043,29.1646,28.5174,29.1646,57594.42302857008,0
KRU,D,20110525,000000,29.0946,29.5265,29.0946,29.5265,12791.122452293623,0
KRU,D,20110526,000000,29.346,29.8141,29.3096,29.3096,46300.26014421936,0
KRU,D,20110527,000000,29.1004,29.3813,29.1004,29.346,13806.87411478643,0
KRU,D,20110530,000000,29.1367,29.2371,28.8785,28.8844,20898.171893888415,0
KRU,D,20110531,000000,28.8338,30.0167,28.7992,29.8564,83936.40750802179,0
KRU,D,20110601,000000,29.8564,29.8564,29.1646,29.7779,2120.3964109668855,0
KRU,D,20110602,000000,29.7425,29.7425,29.1646,29.6632,8408.100692788592,0
KRU,D,20110603,000000,29.2008,29.6327,29.1646,29.2008,8063.195519176888,0
KRU,D,20110606,000000,29.1004,29.5265,28.9493,29.5265,53096.43287786141,0
KRU,D,20110607,000000,29.1646,29.5265,29.1646,29.5265,75304.29623855755,0
KRU,D,20110608,000000,29.1646,29.5265,29.1646,29.5265,163960.33399166702,0
KRU,D,20110609,000000,29.3813,29.3813,29.1646,29.1646,52502.627063498796,0
KRU,D,20110610,000000,29.0946,29.1646,28.8785,29.1646,78905.0588414176,0
KRU,D,20110613,000000,29.0946,29.2371,29.0946,29.2008,30372.98961846583,0
KRU,D,20110614,000000,28.8338,29.0287,28.8338,29.0287,80281.1238124252,0
KRU,D,20110615,000000,28.8126,29.1646,28.8126,29.1519,16337.363962419317,0
KRU,D,20110616,000000,27.5092,28.8414,27.5092,28.8043,23291.17376853603,0
KRU,D,20110617,000000,28.6971,28.8043,28.3732,28.8043,58699.06777704547,0
KRU,D,20110620,000000,27.7252,28.8043,27.7252,28.5891,134541.4634960852,0
KRU,D,20110621,000000,28.4457,28.8043,28.4457,28.5891,156774.21692085848,0
KRU,D,20110622,000000,28.4524,29.1578,28.4524,28.8043,4258.571439130179,0
KRU,D,20110624,000000,28.7992,28.9493,28.6684,28.8043,16267.43473478002,0
KRU,D,20110627,000000,28.7478,28.8785,28.7334,28.8043,73400.7989573872,0
KRU,D,20110628,000000,28.2296,28.8043,28.2296,28.8043,3644.616525278387,0
KRU,D,20110629,000000,28.7334,28.9493,28.7334,28.9493,11565.583106884018,0
KRU,D,20110630,000000,29.1646,29.1646,28.8043,29.1646,16165.503996185807,0
KRU,D,20110701,000000,29.5265,30.9305,29.5265,30.8283,48676.668642815916,0
KRU,D,20110704,000000,30.7861,31.3262,30.7861,31.3262,32667.616477958665,0
KRU,D,20110705,000000,31.4341,31.4687,30.9802,31.1809,17290.2978441506,0
KRU,D,20110706,000000,31.0814,31.1809,30.3896,31.1809,12046.791012335209,0
KRU,D,20110707,000000,31.1809,31.5421,30.7068,31.3262,19947.60849445045,0
KRU,D,20110708,000000,31.1809,31.5067,30.2816,30.2816,7130.410736934894,0
KRU,D,20110711,000000,30.2606,30.8934,30.2242,30.317,6266.369941185973,0
KRU,D,20110712,000000,30.7633,30.7633,28.5031,30.2326,59276.28021535702,0
KRU,D,20110713,000000,29.5265,30.6056,29.5265,30.2453,8922.495350340041,0
KRU,D,20110714,000000,29.6049,30.2377,29.6049,30.2326,23553.11206189604,0
KRU,D,20110715,000000,30.2326,30.2326,29.885,30.101,865.2260368953623,0
KRU,D,20110718,000000,29.6108,29.6108,29.1646,29.4531,3081.626980723154,0
KRU,D,20110719,000000,29.3096,29.4531,28.8194,29.1646,3444.3107715313736,0
KRU,D,20110720,000000,29.1646,29.4168,28.8996,28.9064,2720.128431061485,0
KRU,D,20110721,000000,29.0946,29.0946,28.4524,28.8043,5603.820140330509,0
KRU,D,20110722,000000,28.8126,29.4168,28.8126,29.4168,70821.71422275054,0
KRU,D,20110725,000000,29.5045,29.5045,29.022,29.4893,3593.65115598183,0
KRU,D,20110726,000000,29.4961,29.88,29.3813,29.5265,5444.997826708628,0
KRU,D,20110727,000000,29.5265,29.6699,29.1646,29.1646,3548.6119924173718,0
KRU,D,20110728,000000,29.1646,29.1646,28.5891,28.8785,9282.80865885538,0
KRU,D,20110729,000000,29.3156,29.3156,28.7418,29.3096,32300.19172256391,0
KRU,D,20110801,000000,28.8126,28.9856,28.3663,28.4457,68316.11443919371,0
KRU,D,20110802,000000,28.6971,28.6971,28.3732,28.3732,29209.08281267054,0
KRU,D,20110803,000000,28.6625,28.6625,27.0037,27.7977,46129.585419133065,0
KRU,D,20110804,000000,26.6452,28.0137,26.6452,26.7886,47169.04190455471,0
KRU,D,20110805,000000,23.0443,27.0037,23.0443,26.5018,37715.55852061281,0
KRU,D,20110808,000000,24.557,26.2849,24.4853,25.1323,34021.16186718464,0
KRU,D,20110809,000000,24.4853,24.5208,22.1153,24.125,196465.57243256655,0
KRU,D,20110810,000000,24.7722,25.2042,22.4039,23.0443,93859.24638595045,0
KRU,D,20110811,000000,23.4037,24.4853,22.8282,24.4853,17240.51771599961,0
KRU,D,20110812,000000,25.529,25.8521,24.8447,25.7307,4565.548896056074,0
KRU,D,20110816,000000,26.5018,26.5018,24.7013,25.4927,11797.890371584632,0
KRU,D,20110817,000000,26.4073,26.4073,25.2042,25.2042,2707.0907784507353,0
KRU,D,20110818,000000,25.1906,25.8032,23.9082,23.9082,13862.580448667986,0
KRU,D,20110819,000000,23.9082,24.9096,23.9082,24.8954,5070.4616244361,0
KRU,D,20110822,000000,25.2042,25.6369,24.8447,25.5661,1297.8390553429886,0
KRU,D,20110823,000000,25.7079,25.7079,25.2042,25.2042,2263.8105896851334,0
KRU,D,20110824,000000,25.0607,25.2042,25.0607,25.2042,609.2139492660459,0
KRU,D,20110825,000000,25.2759,25.9255,25.2759,25.5661,1109.3857130603926,0
KRU,D,20110826,000000,26.1693,26.1693,25.5661,25.9255,1643.9294701011333,0
KRU,D,20110829,000000,26.2133,26.5018,25.5661,26.5018,72710.98861016425,0
KRU,D,20110830,000000,26.5018,26.5018,26.2133,26.3575,38808.35085762269,0
KRU,D,20110831,000000,27.235,28.3014,26.5018,27.149,40018.48206813063,0
KRU,D,20110901,000000,27.7252,27.7252,25.9255,26.9979,2525.7488830465704,0
KRU,D,20110902,000000,26.4655,27.0122,26.4655,26.9119,6773.653151858884,0
KRU,D,20110905,000000,26.2849,26.6452,25.7079,26.6452,3363.7143735739915,0
KRU,D,20110906,000000,26.63,26.8612,26.3575,26.8612,99088.530324007,0
KRU,D,20110907,000000,26.8612,27.3362,26.8258,27.0773,859.2998311631973,0
KRU,D,20110908,000000,28.8043,28.8043,28.1934,28.8043,435913.915040488,0
KRU,D,20110909,000000,28.7908,28.8785,27.3792,28.5174,20131.320872148375,0
KRU,D,20110912,000000,28.5174,28.5174,27.1144,27.4358,5943.984349356445,0
KRU,D,20110913,000000,27.4358,28.0931,27.0037,27.3649,4342.723560526887,0
KRU,D,20110914,000000,27.3649,27.4358,27.3649,27.3649,20985.879738724892,0
KRU,D,20110915,000000,27.942,27.942,27.6602,27.6956,1742.3044852550324,0
KRU,D,20110916,000000,27.3717,28.4313,27.3717,28.4094,2375.223257449673,0
