<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KVT,D,20151216,000000,7.00886,7.01538,6.04107,6.69999,47922.12994885773,0
KVT,D,20151217,000000,6.69999,6.87126,6.38535,6.87126,17019.817904313273,0
KVT,D,20151218,000000,6.87126,7.00886,6.70531,6.70531,826.300004577561,0
KVT,D,20151221,000000,6.54533,6.87126,6.54533,6.87126,1718.0063419712876,0
KVT,D,20151222,000000,6.92888,6.92888,6.87126,6.87126,10.901055469360964,0
KVT,D,20151223,000000,6.87126,6.87126,6.75705,6.87126,47.96464406518824,0
KVT,D,20151228,000000,6.86585,6.86585,6.69999,6.84301,92.65897148956817,0
KVT,D,20151229,000000,6.83777,6.84301,6.69999,6.84301,2184.571516059937,0
KVT,D,20151230,000000,6.87126,6.92888,6.69999,6.92888,2874.608327270486,0
KVT,D,20160104,000000,6.92888,6.92888,6.69999,6.92888,8176.881707567658,0
KVT,D,20160105,000000,6.90006,6.90006,6.87126,6.87126,5462.518895696779,0
KVT,D,20160107,000000,6.90006,6.90006,6.75705,6.87126,6267.016789335617,0
KVT,D,20160108,000000,6.90006,6.90006,6.87126,6.87126,9.810949922424864,0
KVT,D,20160111,000000,6.92888,6.92888,6.57936,6.58523,1701.6547587672464,0
KVT,D,20160112,000000,6.58523,6.63716,6.32765,6.41351,1639.518742591889,0
KVT,D,20160113,000000,6.47717,6.47717,6.47717,6.47717,88.29854930182381,0
KVT,D,20160114,000000,6.46542,6.46542,6.0129,6.06997,26268.27336451911,0
KVT,D,20160115,000000,6.06997,6.06997,5.95557,5.95557,2103.9037055866656,0
KVT,D,20160118,000000,5.95557,5.95557,5.68073,5.68073,360.8249360358479,0
KVT,D,20160119,000000,5.72651,5.72651,5.67496,5.70349,364.0952526766561,0
KVT,D,20160120,000000,5.72073,5.72073,5.38278,5.38278,4186.00530023461,0
