<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LEN,D,20050601,000000,2.84645,2.84645,2.66506,2.71955,496145.6701057979,0
LEN,D,20050602,000000,2.84645,3.02775,2.82847,2.99148,241944.524750263,0
LEN,D,20050603,000000,3.06405,3.06405,2.81025,2.91908,139884.99331010762,0
LEN,D,20050606,000000,2.93707,2.93707,2.86467,2.91908,67173.87230620807,0
LEN,D,20050607,000000,2.90079,2.90079,2.88273,2.90079,11955.197793094814,0
LEN,D,20050608,000000,2.93707,2.95521,2.90079,2.93707,45860.92268170604,0
LEN,D,20050609,000000,2.90079,3.02775,2.88273,3.02775,74635.01722480742,0
LEN,D,20050610,000000,3.02775,3.29976,3.02775,3.15473,169833.7685245128,0
LEN,D,20050613,000000,3.1728,3.1728,3.10022,3.15473,49001.67395916202,0
LEN,D,20050614,000000,3.11845,3.13651,3.04598,3.04598,45084.41782400954,0
LEN,D,20050615,000000,3.04598,3.11845,3.0097,3.10022,50578.25171336571,0
LEN,D,20050616,000000,3.10022,3.13651,3.0097,3.08218,129113.15914998087,0
LEN,D,20050617,000000,3.04598,3.10022,3.04598,3.10022,9847.718954075133,0
LEN,D,20050620,000000,3.02775,3.08218,3.02775,3.08218,187.303887399587,0
LEN,D,20050621,000000,3.02775,3.04598,2.99148,3.04598,7907.697232929682,0
LEN,D,20050622,000000,2.93707,3.04598,2.88273,3.02775,61606.853454224794,0
LEN,D,20050623,000000,2.91908,3.02775,2.90079,3.02775,61489.013260165906,0
LEN,D,20050627,000000,2.95521,3.0097,2.95521,3.0097,12043.267832865135,0
LEN,D,20050628,000000,2.99148,2.99148,2.99148,2.99148,962.5683220005432,0
LEN,D,20050629,000000,2.91908,2.93707,2.90079,2.93707,11435.460516138222,0
LEN,D,20050630,000000,2.95521,2.97334,2.95521,2.97334,4383.6552190076445,0
LEN,D,20050701,000000,2.93707,2.95521,2.93707,2.95521,13792.26439732556,0
LEN,D,20050704,000000,2.97334,2.97334,2.97334,2.97334,827.3622046061296,0
LEN,D,20050706,000000,2.93707,2.95521,2.93707,2.95521,6839.692947823403,0
LEN,D,20050707,000000,2.95521,2.97334,2.90079,2.97334,33786.64427145699,0
LEN,D,20050708,000000,2.90079,2.97334,2.90079,2.97334,26256.035659517675,0
LEN,D,20050711,000000,2.97334,2.97334,2.97334,2.97334,2459.758998101937,0
LEN,D,20050712,000000,2.91908,2.91908,2.91908,2.91908,1354.5420201347426,0
LEN,D,20050713,000000,2.93707,2.93707,2.91908,2.93707,19335.715210494902,0
LEN,D,20050714,000000,2.93707,2.93707,2.93707,2.93707,274.1335040748974,0
LEN,D,20050715,000000,2.93707,2.93707,2.93707,2.93707,1422.7652903796818,0
LEN,D,20050718,000000,2.95521,2.97334,2.93707,2.93707,11460.268978045357,0
LEN,D,20050719,000000,2.93707,2.95521,2.93707,2.95521,15961.76439111188,0
LEN,D,20050720,000000,2.97334,3.08218,2.97334,3.08218,117432.09486097176,0
LEN,D,20050721,000000,3.04598,3.08218,3.02775,3.08218,4884.786149533672,0
LEN,D,20050722,000000,3.06405,3.06405,3.04598,3.06405,14795.76668147232,0
LEN,D,20050725,000000,3.10022,3.10022,3.10022,3.10022,10755.70865987976,0
LEN,D,20050726,000000,3.10022,3.10022,3.04598,3.04598,12602.698648873142,0
LEN,D,20050727,000000,3.04598,3.04598,3.02775,3.04598,9680.261836201342,0
LEN,D,20050728,000000,3.06405,3.06405,2.99148,2.99148,4484.129489731857,0
LEN,D,20050729,000000,2.99148,3.0097,2.99148,3.0097,344.83762051050667,0
LEN,D,20050801,000000,3.08218,3.1728,2.99148,3.15473,65860.26424821999,0
LEN,D,20050802,000000,3.15473,3.15473,3.15473,3.15473,1792.4113727973645,0
LEN,D,20050803,000000,3.15473,3.15473,3.08218,3.11845,8943.45051755658,0
LEN,D,20050804,000000,3.04598,3.24535,3.04598,3.24535,58126.2262486411,0
LEN,D,20050805,000000,3.1728,3.24535,3.15473,3.20906,44151.61965629812,0
LEN,D,20050808,000000,3.20906,3.31782,3.20906,3.20906,19145.930476905334,0
LEN,D,20050810,000000,3.22712,3.22712,3.19101,3.19101,1185.8444791655916,0
LEN,D,20050812,000000,3.02775,3.13651,3.02775,3.06405,5516.161505072685,0
LEN,D,20050816,000000,2.99148,2.99148,2.99148,2.99148,1307.4059425110825,0
LEN,D,20050817,000000,3.04598,3.08218,2.99148,3.08218,6756.584600434184,0
LEN,D,20050818,000000,3.08218,3.08218,3.08218,3.08218,1598.9053699209728,0
LEN,D,20050819,000000,3.06405,3.08218,2.97334,3.04598,6507.259558266528,0
LEN,D,20050822,000000,2.99148,2.99148,2.99148,2.99148,689.6752410210025,0
LEN,D,20050823,000000,2.99148,2.99148,2.99148,2.99148,292461.99573196704,0
LEN,D,20050824,000000,2.97334,2.99148,2.97334,2.99148,68453.98894062045,0
LEN,D,20050825,000000,2.99148,2.99148,2.99148,2.99148,9788.178645497801,0
LEN,D,20050826,000000,2.97334,2.97334,2.97334,2.97334,59.540308577353066,0
LEN,D,20050829,000000,2.97334,2.97334,2.90079,2.91908,14520.392754300983,0
LEN,D,20050830,000000,2.97334,3.13651,2.97334,3.13651,17925.354151069,0
LEN,D,20050831,000000,3.15473,3.15473,3.10022,3.13651,10593.213234387391,0
LEN,D,20050901,000000,3.04598,3.08218,3.04598,3.08218,457.71612218840363,0
LEN,D,20050902,000000,3.06405,3.06405,3.06405,3.06405,411.82046766002446,0
LEN,D,20050906,000000,3.08218,3.08218,3.08218,3.08218,3779.5691715665857,0
LEN,D,20050907,000000,2.99148,3.08218,2.97334,3.04598,2007.0045682949271,0
LEN,D,20050908,000000,3.04598,3.08218,3.0097,3.08218,853010.4329489192,0
LEN,D,20050909,000000,3.02775,3.02775,2.90079,2.90079,5332.578886959146,0
LEN,D,20050912,000000,3.0097,3.0097,2.90079,2.90079,1982.1961063876863,0
LEN,D,20050913,000000,2.91908,2.91908,2.91908,2.91908,1373.1483665652001,0
LEN,D,20050916,000000,2.91908,2.91908,2.90079,2.90079,4274.497986615828,0
LEN,D,20050919,000000,2.90079,2.91908,2.90079,2.91908,4161.619484937943,0
LEN,D,20050920,000000,2.91908,2.91908,2.73769,2.88273,40566.79691070339,0
LEN,D,20050921,000000,2.90079,2.90079,2.90079,2.90079,3629.477977027784,0
LEN,D,20050923,000000,2.77397,2.90079,2.75576,2.90079,6069.390205603906,0
LEN,D,20050926,000000,2.93707,2.93707,2.93707,2.93707,554.4691236265995,0
LEN,D,20050927,000000,2.91908,3.19101,2.91908,3.02775,22653.84699058687,0
LEN,D,20050928,000000,3.1728,3.1728,3.13651,3.13651,3241.2255481796437,0
LEN,D,20050929,000000,2.95521,3.0097,2.90079,2.95521,18014.664613934678,0
LEN,D,20050930,000000,2.99148,3.08218,2.97334,3.08218,14343.012251664986,0
LEN,D,20051003,000000,2.97334,2.97334,2.95521,2.97334,8126.011697713316,0
LEN,D,20051004,000000,2.97334,2.97334,2.93707,2.97334,3057.6429300661052,0
LEN,D,20051005,000000,2.91908,2.95521,2.91908,2.95521,1636.1180627818878,0
LEN,D,20051006,000000,2.91908,2.91908,2.86467,2.88273,12477.415916242122,0
LEN,D,20051007,000000,2.84645,2.84645,2.84645,2.84645,1379.3504820419835,0
LEN,D,20051010,000000,2.82847,2.88273,2.82847,2.88273,699.5986257838988,0
LEN,D,20051011,000000,2.82847,2.82847,2.82847,2.82847,11529.732671385327,0
LEN,D,20051012,000000,2.79211,2.90079,2.75576,2.82847,561653.6541949355,0
LEN,D,20051013,000000,2.79211,2.79211,2.73769,2.73769,11539.65605614818,0
LEN,D,20051014,000000,2.70134,2.81025,2.70134,2.81025,1693.1775251685092,0
LEN,D,20051017,000000,2.81025,2.81025,2.81025,2.81025,439.10977575797847,0
LEN,D,20051019,000000,2.86467,2.88273,2.71955,2.71955,41396.639961500216,0
LEN,D,20051020,000000,2.71955,2.81025,2.71955,2.81025,165180.94149382034,0
LEN,D,20051021,000000,2.88273,2.90079,2.84645,2.84645,21454.35785737268,0
LEN,D,20051025,000000,2.90079,2.90079,2.88273,2.88273,11255.59916731043,0
LEN,D,20051026,000000,2.77397,2.90079,2.71955,2.90079,4913.315880726982,0
LEN,D,20051027,000000,2.77397,2.90079,2.77397,2.90079,197.22727216248333,0
LEN,D,20051028,000000,2.79211,2.79211,2.79211,2.79211,2.4808461907229993,0
LEN,D,20051031,000000,2.88273,2.88273,2.82847,2.82847,1507.1140608642575,0
LEN,D,20051102,000000,2.88273,3.0097,2.88273,2.97334,6272.81959324326,0
LEN,D,20051103,000000,2.93707,2.93707,2.86467,2.93707,1844.5091428025594,0
LEN,D,20051104,000000,2.90079,2.99148,2.90079,2.99148,12744.106881744878,0
LEN,D,20051107,000000,2.82847,2.82847,2.71955,2.77397,16462.895321638123,0
LEN,D,20051108,000000,2.77397,2.82847,2.77397,2.82847,4625.5377226031615,0
LEN,D,20051114,000000,2.73769,2.81025,2.73769,2.81025,5571.98054436395,0
LEN,D,20051115,000000,2.77397,2.77397,2.73769,2.73769,3447.13578200971,0
LEN,D,20051116,000000,2.73769,2.73769,2.73769,2.73769,1379.3504820419835,0
LEN,D,20051117,000000,2.71955,2.71955,2.68321,2.71955,4706.165223801559,0
LEN,D,20051118,000000,2.77397,2.77397,2.68321,2.68321,9372.636908551598,0
LEN,D,20051121,000000,2.71955,2.77397,2.68321,2.68321,9065.011980901963,0
LEN,D,20051122,000000,2.68321,2.68321,2.66506,2.68321,4454.35933544319,0
LEN,D,20051123,000000,2.68321,2.86467,2.68321,2.75576,667048.6833385167,0
LEN,D,20051124,000000,2.90079,2.90079,2.71955,2.71955,328758.015925337,0
LEN,D,20051125,000000,2.71955,2.75576,2.71955,2.75576,2040.4959918696643,0
LEN,D,20051128,000000,2.75576,2.84645,2.75576,2.84645,26206.41873570341,0
LEN,D,20051129,000000,2.86467,2.90079,2.82847,2.86467,66647.9329137747,0
LEN,D,20051130,000000,2.84645,2.86467,2.84645,2.86467,55159.13420453614,0
LEN,D,20051201,000000,2.86467,2.86467,2.86467,2.86467,554.4691236265995,0
LEN,D,20051202,000000,2.86467,2.86467,2.86467,2.86467,6895.511987114669,0
LEN,D,20051205,000000,2.75576,2.88273,2.75576,2.88273,28486.316384977552,0
LEN,D,20051206,000000,2.90079,2.93707,2.86467,2.93707,34390.73031889784,0
LEN,D,20051207,000000,2.95521,3.08218,2.90079,3.08218,44978.98186090315,0
LEN,D,20051208,000000,2.97334,2.97334,2.95521,2.95521,11521.04970971783,0
LEN,D,20051209,000000,2.97334,2.97334,2.97334,2.97334,3153.1555084089982,0
LEN,D,20051212,000000,2.97334,2.97334,2.90079,2.95521,5086.97511407756,0
LEN,D,20051213,000000,2.90079,2.90079,2.84645,2.90079,21290.622008785605,0
LEN,D,20051214,000000,2.86467,2.86467,2.82847,2.82847,3171.7618548394557,0
LEN,D,20051215,000000,2.86467,2.97334,2.86467,2.95521,16838.74351953226,0
LEN,D,20051219,000000,2.90079,2.90079,2.88273,2.88273,1379.3504820419835,0
LEN,D,20051220,000000,2.86467,2.90079,2.86467,2.90079,2064.0640306815485,0
LEN,D,20051222,000000,2.97334,2.97334,2.93707,2.95521,3666.690669888699,0
LEN,D,20051223,000000,2.88273,2.93707,2.86467,2.93707,2205.4722635527455,0
LEN,D,20051227,000000,2.88273,2.88273,2.82847,2.82847,4454.35933544319,0
LEN,D,20051228,000000,2.93707,2.95521,2.86467,2.95521,18060.560268463953,0
LEN,D,20051229,000000,2.97334,2.97334,2.90079,2.95521,22570.738643197976,0
LEN,D,20051230,000000,2.90079,2.97334,2.84645,2.97334,10481.575155804863,0
LEN,D,20060102,000000,2.82847,2.95521,2.82847,2.88273,6525.865904696987,0
LEN,D,20060103,000000,2.90079,2.93707,2.90079,2.93707,984.8959377170492,0
LEN,D,20060104,000000,2.93707,2.97334,2.91908,2.97334,37391.31378657851,0
LEN,D,20060106,000000,2.95521,2.97334,2.90079,2.95521,12803.647190321997,0
LEN,D,20060109,000000,2.97334,2.97334,2.90079,2.90079,2278.657226179111,0
LEN,D,20060111,000000,2.90079,2.93707,2.90079,2.90079,3251.148932942497,0
LEN,D,20060112,000000,2.91908,2.91908,2.82847,2.88273,6842.173794014117,0
LEN,D,20060113,000000,2.82847,2.97334,2.82847,2.90079,297870.2404277328,0
LEN,D,20060116,000000,2.93707,3.06405,2.86467,3.02775,67709.73508340321,0
LEN,D,20060117,000000,3.04598,3.04598,2.84645,2.93707,97169.78359824006,0
LEN,D,20060118,000000,2.93707,2.95521,2.88273,2.93707,44201.23658011239,0
LEN,D,20060119,000000,2.93707,2.99148,2.93707,2.97334,21949.286672422142,0
LEN,D,20060120,000000,2.93707,2.93707,2.88273,2.90079,17125.281254560727,0
LEN,D,20060123,000000,2.90079,2.90079,2.82847,2.82847,4138.051446126059,0
LEN,D,20060125,000000,2.84645,2.86467,2.82847,2.82847,280178.0858185995,0
LEN,D,20060126,000000,2.91908,2.95521,2.91908,2.93707,42231.44470467739,0
LEN,D,20060127,000000,2.93707,2.95521,2.93707,2.95521,8728.857322059019,0
