<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LKD,D,20151215,000000,5.31805,6.62882,5.31805,6.62882,2051.465192279531,0
LKD,D,20151217,000000,6.47452,6.47452,6.47452,6.47452,187.80009796549038,0
LKD,D,20151218,000000,6.56527,6.56527,6.56527,6.56527,8.601531204526115,0
LKD,D,20151221,000000,5.84847,6.19341,5.84847,6.19341,246.5772278630849,0
LKD,D,20151222,000000,5.84847,6.26275,5.83801,6.26275,2285.140123335802,0
LKD,D,20151223,000000,6.36891,6.36891,6.36891,6.36891,564.8338824305432,0
LKD,D,20151228,000000,6.36891,6.36891,6.36891,6.36891,2563.256298948792,0
LKD,D,20151229,000000,6.36891,6.36891,6.36891,6.36891,5652.639589907802,0
LKD,D,20151230,000000,6.36891,6.6337,5.83801,6.6337,14113.679118092869,0
LKD,D,20160113,000000,6.47452,6.47452,6.47452,6.47452,1.4335885340877055,0
LKD,D,20160120,000000,5.30744,5.33361,5.30744,5.33361,983.4417343841482,0
LKD,D,20160121,000000,5.30744,5.81149,5.30744,5.81149,209.30392597679653,0
LKD,D,20160127,000000,5.83801,5.83801,5.30744,5.83801,584.9041219077773,0
LKD,D,20160129,000000,6.39529,6.39529,6.39529,6.39529,187.80009796549038,0
LKD,D,20160203,000000,6.36891,6.36891,6.36891,6.36891,160.56191581782488,0
LKD,D,20160212,000000,5.83801,6.26275,5.83801,6.26275,299.6200036243319,0
LKD,D,20160216,000000,6.26275,6.26275,6.26275,6.26275,470.21703918075605,0
LKD,D,20160224,000000,5.83801,5.83801,5.30744,5.30744,286.71770681754106,0
LKD,D,20160225,000000,5.83801,5.83801,5.83801,5.83801,941.8676668956078,0
LKD,D,20160229,000000,5.83801,5.83801,5.83801,5.83801,187.80009796549038,0
LKD,D,20160304,000000,5.73178,5.73178,5.73178,5.73178,237.97569665855767,0
LKD,D,20160309,000000,5.73178,5.73178,5.73178,5.73178,187.80009796549038,0
LKD,D,20160310,000000,5.73178,5.75814,5.73178,5.73178,802.809579089101,0
LKD,D,20160311,000000,5.73178,5.73178,5.73178,5.73178,752.6339803960337,0
LKD,D,20160316,000000,5.73178,6.10315,5.73178,6.10315,398.5376124763709,0
LKD,D,20160317,000000,6.36891,6.42172,6.36891,6.36891,188991.41003731248,0
LKD,D,20160318,000000,6.26275,6.39529,6.26275,6.39529,1367.643461519609,0
LKD,D,20160321,000000,6.43212,6.84645,6.43212,6.81924,7772.91703182348,0
LKD,D,20160322,000000,6.68183,6.68183,6.68183,6.68183,98.91760885205073,0
LKD,D,20160323,000000,6.5804,6.5804,6.5804,6.5804,31.53894774992905,0
LKD,D,20160329,000000,6.57559,6.57559,6.57008,6.57008,602.1071843168315,0
LKD,D,20160330,000000,6.6072,6.6072,6.6072,6.6072,8.601531204526115,0
LKD,D,20160331,000000,6.6072,6.6072,6.6072,6.6072,91.7496661816122,0
LKD,D,20160401,000000,6.68671,6.68671,6.68671,6.68671,602.1071843168315,0
LKD,D,20160405,000000,6.68183,6.68671,6.68183,6.68183,1237.1869049176173,0
LKD,D,20160406,000000,6.66021,6.68183,6.66021,6.68183,858.7195319185277,0
LKD,D,20160407,000000,6.6337,6.68183,6.6337,6.68183,37694.776915301256,0
LKD,D,20160411,000000,6.68671,6.68671,6.68671,6.68671,190.66727503365823,0
LKD,D,20160412,000000,6.68671,6.68671,6.68671,6.68671,319.6902431015541,0
LKD,D,20160413,000000,6.69229,6.81924,6.69229,6.81924,2260.7691182562567,0
LKD,D,20160414,000000,6.76623,6.76623,6.76623,6.76623,41.57406748854252,0
LKD,D,20160415,000000,6.76623,6.81924,6.72996,6.81924,15385.272147829086,0
LKD,D,20160418,000000,6.80321,6.99782,6.80321,6.96992,7332.805351858534,0
LKD,D,20160419,000000,6.99782,6.99782,6.80321,6.99782,5223.996618215527,0
LKD,D,20160422,000000,6.91412,6.91412,6.91412,6.91412,448.7132111694499,0
LKD,D,20160425,000000,6.85831,6.85831,6.85831,6.85831,358.3971335219263,0
LKD,D,20160426,000000,6.85831,6.85831,6.85274,6.85831,7103.431186404514,0
LKD,D,20160427,000000,6.99782,7.11012,6.99782,7.02643,30505.33041685147,0
LKD,D,20160428,000000,7.02643,7.05363,7.02643,7.02643,11151.885206668152,0
LKD,D,20160429,000000,7.05363,7.16523,7.05363,7.16523,25056.260398784758,0
LKD,D,20160502,000000,7.19314,7.19314,7.16523,7.16523,1741.810068916576,0
LKD,D,20160504,000000,7.16523,7.16523,7.14291,7.16523,3420.5422423332234,0
LKD,D,20160505,000000,7.16523,7.16523,7.16523,7.16523,797.0752249527534,0
LKD,D,20160506,000000,7.19314,7.19314,7.05363,7.16523,2527.416585596576,0
LKD,D,20160509,000000,7.16523,7.16523,7.16523,7.16523,1918.1414586093715,0
LKD,D,20160510,000000,7.16523,7.16523,7.16523,7.16523,408.57273221499366,0
LKD,D,20160511,000000,7.16523,7.16523,7.00411,7.08153,13619.091073832733,0
LKD,D,20160512,000000,7.16034,7.16034,7.16034,7.16034,735.4309179869792,0
LKD,D,20160513,000000,7.15407,7.15407,7.13176,7.13176,1301.6983889516298,0
LKD,D,20160516,000000,7.16523,7.16523,7.00898,7.13734,1050.8203954862697,0
LKD,D,20160518,000000,7.00898,7.05363,6.99782,7.05363,1452.2251850307964,0
LKD,D,20160519,000000,6.80321,7.02643,6.80321,7.02085,612.1423040554427,0
LKD,D,20160520,000000,6.80809,7.05363,6.80809,7.05363,1271.5930297357495,0
LKD,D,20160525,000000,6.75298,7.05363,6.75298,7.05363,93.18325471569969,0
LKD,D,20160527,000000,7.02643,7.02643,7.02643,7.02643,716.794267043841,0
LKD,D,20160530,000000,7.02643,7.16523,7.02643,7.16523,9721.163849648612,0
LKD,D,20160531,000000,7.18826,7.19314,7.05991,7.19314,20954.76360275931,0
LKD,D,20160603,000000,7.19314,7.22103,7.19314,7.22103,9253.813987535956,0
LKD,D,20160606,000000,7.22103,7.22103,7.22103,7.22103,179.19856676096316,0
LKD,D,20160607,000000,7.16523,7.16523,7.16523,7.16523,358.3971335219263,0
LKD,D,20160608,000000,6.96992,7.22103,6.96992,7.21475,1470.8618359740055,0
LKD,D,20160613,000000,6.88064,7.19942,6.88064,7.19942,315.3894774992905,0
LKD,D,20160614,000000,7.19942,7.19942,6.86948,7.18197,583.4705333736933,0
LKD,D,20160616,000000,6.81367,7.02085,6.6916,6.6916,2822.735823618691,0
LKD,D,20160617,000000,7.17082,7.17082,7.17082,7.17082,8.601531204526115,0
LKD,D,20160624,000000,6.47452,6.91412,6.34617,6.91412,4345.2068468197185,0
LKD,D,20160627,000000,6.96992,6.96992,6.6916,6.95876,1356.1747532469376,0
LKD,D,20160628,000000,6.6916,7.16523,6.6916,7.16523,1185.5777176904778,0
LKD,D,20160705,000000,7.13734,7.13734,7.02643,7.13176,1966.8834687683432,0
LKD,D,20160711,000000,6.85831,7.11012,6.85831,7.11012,1185.5777176904778,0
LKD,D,20160712,000000,6.69649,7.02643,6.6916,7.02643,1343.2724564401817,0
LKD,D,20160714,000000,6.85831,7.02643,6.83111,6.94761,1738.9428918484082,0
LKD,D,20160715,000000,6.94761,7.27754,6.88692,7.24964,29741.22772818261,0
LKD,D,20160718,000000,7.35986,7.72258,7.05363,7.72258,17008.094368415874,0
LKD,D,20160719,000000,7.72258,7.72258,7.55586,7.56144,2298.0424201425567,0
LKD,D,20160720,000000,7.63958,7.717,7.63958,7.717,556.2323512260277,0
LKD,D,20160721,000000,7.717,7.717,7.717,7.717,151.9603846132977,0
LKD,D,20160725,000000,7.70585,7.80699,7.70585,7.80699,10111.099930920504,0
LKD,D,20160726,000000,8.07972,8.07972,7.69537,8.02388,5975.197010077512,0
LKD,D,20160727,000000,8.28618,8.28618,8.28618,8.28618,216.47186864723975,0
LKD,D,20160728,000000,8.19694,8.19694,8.19694,8.19694,37.27330188628011,0
LKD,D,20160729,000000,8.19694,8.19694,8.19694,8.19694,10.03511973861382,0
LKD,D,20160801,000000,7.78537,8.16346,7.78537,8.15781,530.4277576124463,0
LKD,D,20160804,000000,7.97371,8.1132,7.97371,8.1132,2957.4931458229344,0
LKD,D,20160808,000000,7.86276,8.07972,7.86276,8.07972,1810.6223185527233,0
LKD,D,20160810,000000,8.07972,8.10833,8.07972,8.10833,194.96804063592182,0
LKD,D,20160811,000000,7.87397,8.10833,7.83489,8.10833,4393.948856978807,0
LKD,D,20160812,000000,8.08599,8.08599,8.08599,8.08599,233.6749310562941,0
LKD,D,20160816,000000,8.07972,8.08599,7.80699,8.08599,27263.986741279918,0
LKD,D,20160817,000000,8.08599,8.08599,8.08599,8.08599,1004.945562395466,0
LKD,D,20160823,000000,8.07972,8.07972,7.86276,8.07415,789.90728228231,0
LKD,D,20160824,000000,7.83976,8.05808,7.83976,8.05808,319.6902431015541,0
LKD,D,20160825,000000,8.02388,8.02388,8.02388,8.02388,358.3971335219263,0
LKD,D,20160829,000000,7.83976,8.01346,7.80699,8.01346,1407.7839404740769,0
LKD,D,20160830,000000,7.80699,7.96884,7.80699,7.96884,180.63215529504714,0
LKD,D,20160901,000000,7.80699,7.96321,7.80699,7.96321,269.51464440848673,0
LKD,D,20160905,000000,7.96321,7.96321,7.57818,7.95206,450.1467997035338,0
LKD,D,20160906,000000,7.57818,7.95206,7.57818,7.95206,1062.2891037589764,0
LKD,D,20160907,000000,7.91859,7.91859,7.91859,7.91859,4.300765602262999,0
LKD,D,20160908,000000,7.91302,7.91302,7.91302,7.91302,4.300765602262999,0
LKD,D,20160909,000000,7.91302,7.91302,7.91302,7.91302,4.300765602262999,0
LKD,D,20160912,000000,7.91302,7.91302,7.91302,7.91302,4.300765602262999,0
LKD,D,20160913,000000,7.91302,7.91302,7.72885,7.72885,5.734354136350705,0
LKD,D,20160914,000000,7.91302,7.91302,7.91302,7.91302,4.300765602262999,0
LKD,D,20160919,000000,7.68979,7.68979,7.68979,7.68979,411.43990928316157,0
LKD,D,20160921,000000,7.47285,7.66748,7.41636,7.66748,5404.628773510573,0
LKD,D,20160922,000000,7.47285,7.68979,7.44426,7.44426,2672.209027539406,0
LKD,D,20160923,000000,7.69537,7.69537,7.41636,7.41636,1797.7200217459676,0
LKD,D,20160926,000000,7.41636,7.41636,7.41636,7.41636,4.300765602262999,0
LKD,D,20160927,000000,7.41636,7.41636,7.08153,7.41636,589.2048875100409,0
LKD,D,20160929,000000,7.04247,7.63958,7.04247,7.24964,6528.562184235325,0
LKD,D,20160930,000000,7.08153,7.63958,6.80321,6.91412,50885.22501744241,0
LKD,D,20161003,000000,7.18197,7.18197,7.18197,7.18197,381.3345500673282,0
LKD,D,20161004,000000,7.80699,7.80699,7.24964,7.60608,2493.0104607784433,0
LKD,D,20161005,000000,7.61166,7.61166,6.91412,7.52727,1132.534941929266,0
LKD,D,20161011,000000,7.14291,7.43868,7.13734,7.43868,3245.6444411745124,0
LKD,D,20161013,000000,7.24964,7.38358,7.24964,7.38358,744.0324491915064,0
LKD,D,20161014,000000,7.13734,7.5168,7.13734,7.5168,11548.989230610341,0
LKD,D,20161017,000000,7.35986,7.51122,7.35986,7.51122,1809.188730018639,0
LKD,D,20161018,000000,7.48332,7.50005,7.41636,7.50005,2239.2652902449977,0
LKD,D,20161019,000000,7.25452,7.50005,7.25452,7.50005,3540.9636791966277,0
LKD,D,20161025,000000,7.31033,7.47285,7.31033,7.47285,242.27646226082126,0
LKD,D,20161026,000000,7.32149,7.46657,7.31591,7.46169,302.48718069249975,0
LKD,D,20161027,000000,7.31591,7.42822,7.31591,7.42822,2409.862325801457,0
LKD,D,20161102,000000,7.40519,7.41077,7.40519,7.41077,3466.417075424028,0
LKD,D,20161108,000000,7.47285,7.5168,7.47285,7.5168,5338.683700942596,0
LKD,D,20161109,000000,7.52727,8.02953,7.52727,8.02953,18652.420417015095,0
LKD,D,20161110,000000,7.97371,8.02388,7.91859,8.01832,1519.6038461329772,0
LKD,D,20161114,000000,7.97371,7.97371,7.97371,7.97371,895.992833804804,0
LKD,D,20161115,000000,7.88926,8.00719,7.88926,8.00719,726.829386782452,0
LKD,D,20161117,000000,7.9465,7.9465,7.9465,7.9465,126.1557909997162,0
LKD,D,20161118,000000,7.70096,7.93536,7.70096,7.93536,1247.2220246563224,0
LKD,D,20161122,000000,7.63958,7.93536,7.63958,7.93536,292.45206095388863,0
LKD,D,20161123,000000,7.63958,7.77909,7.63958,7.77909,250.87799346534845,0
LKD,D,20161124,000000,7.80699,7.80699,7.63958,7.63958,179.19856676096316,0
LKD,D,20161125,000000,7.80699,7.80699,7.53284,7.53284,590.6384760441248,0
LKD,D,20161128,000000,7.30475,7.66748,7.30475,7.66748,1052.2539840203654,0
LKD,D,20161129,000000,7.66748,7.66748,7.66748,7.66748,8.601531204526115,0
LKD,D,20161130,000000,7.42265,7.42822,7.26638,7.26638,2819.868646550523,0
LKD,D,20161201,000000,7.2601,7.69537,7.2601,7.69537,230.80775398811446,0
LKD,D,20161205,000000,7.24964,7.24964,7.24964,7.24964,2151.8163896656424,0
LKD,D,20161206,000000,7.58376,7.58376,7.52727,7.52727,93.18325471569969,0
LKD,D,20161207,000000,7.30475,7.51122,7.29917,7.51122,65804.58089169304,0
LKD,D,20161212,000000,7.46657,7.46657,7.46657,7.46657,461.6155079762407,0
LKD,D,20161213,000000,7.46657,7.46657,7.46657,7.46657,174.8978011586996,0
LKD,D,20161214,000000,7.39403,7.39403,7.24964,7.35986,619.3102467258859,0
LKD,D,20161215,000000,7.06479,7.34869,7.06479,7.34869,649.4156059417193,0
LKD,D,20161219,000000,7.34869,7.34869,7.22103,7.22103,762.6691001346447,0
LKD,D,20161220,000000,7.34869,7.34869,6.7188,6.77461,1837.8605007004353,0
LKD,D,20161221,000000,7.10455,7.10455,7.10455,7.10455,18.636650943139465,0
LKD,D,20161222,000000,6.78088,6.96504,6.77461,6.96504,1113.898290986128,0
LKD,D,20161223,000000,6.96504,6.96992,6.94272,6.94272,2331.014956426605,0
LKD,D,20161227,000000,6.80809,6.80809,6.77461,6.77461,815.7118758958917,0
LKD,D,20161228,000000,6.77461,6.77461,6.41802,6.6916,5145.149248840675,0
LKD,D,20161229,000000,6.85274,6.85274,6.41802,6.6916,20091.74330523937,0
LKD,D,20161230,000000,6.42417,6.6916,6.41251,6.6916,41397.73609885042,0
LKD,D,20170103,000000,6.92598,6.96992,6.92598,6.96992,895.992833804804,0
LKD,D,20170104,000000,7.02643,7.02643,7.02643,7.02643,286.71770681754106,0
LKD,D,20170105,000000,7.14291,7.14291,7.14291,7.14291,179.19856676096316,0
LKD,D,20170109,000000,7.16523,7.16523,7.16523,7.16523,10.03511973861382,0
LKD,D,20170110,000000,6.9204,7.24964,6.9204,7.24964,2918.78625540255,0
LKD,D,20170111,000000,7.24964,7.24964,7.24964,7.24964,126.1557909997162,0
LKD,D,20170113,000000,6.6916,7.35986,6.6916,7.35986,1803.454375882303,0
LKD,D,20170116,000000,7.41636,7.41636,7.41636,7.41636,4.300765602262999,0
LKD,D,20170117,000000,7.41636,7.41636,7.35986,7.35986,269.51464440848673,0
LKD,D,20170118,000000,7.35986,7.35986,7.35986,7.35986,1364.7762844514411,0
LKD,D,20170119,000000,7.48821,7.48821,7.24964,7.24964,1442.190065292209,0
LKD,D,20170120,000000,7.30475,7.32149,7.30475,7.32149,196.40162917001751,0
LKD,D,20170123,000000,7.24964,7.4331,7.24964,7.4331,289.58488388570896,0
LKD,D,20170124,000000,7.44426,7.44426,7.24964,7.43868,1194.179248895099,0
