<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LSI,D,20061221,000000,9.71938,10.3027,9.49101,9.84689,341255.32091455394,0
LSI,D,20061222,000000,9.9287,9.9287,9.25311,9.25311,107021.5275047515,0
LSI,D,20061227,000000,9.30831,9.74601,9.30831,9.64611,16926.675866014604,0
LSI,D,20061228,000000,9.69179,9.69179,9.35398,9.40822,17713.792040574812,0
LSI,D,20061229,000000,9.6366,9.6366,9.38158,9.47293,18570.266916765384,0
LSI,D,20070102,000000,9.49101,9.84689,9.44533,9.58236,10164.202457073896,0
LSI,D,20070103,000000,9.71938,9.71938,9.44533,9.58236,12244.963505979014,0
LSI,D,20070104,000000,9.52717,9.7099,9.32638,9.64611,19240.73436585649,0
LSI,D,20070105,000000,9.58236,9.58236,9.39966,9.57284,15403.937098406243,0
LSI,D,20070108,000000,9.32638,9.47293,9.32638,9.38158,8304.128186083326,0
LSI,D,20070109,000000,9.32638,9.47293,9.31782,9.39966,7850.143957231389,0
LSI,D,20070110,000000,9.32638,9.53668,9.32638,9.38158,8190.632128870342,0
LSI,D,20070111,000000,9.35398,9.49101,9.30831,9.44533,6489.242160094221,0
LSI,D,20070112,000000,9.4539,9.71938,9.4539,9.67371,23564.09343413606,0
LSI,D,20070115,000000,9.71938,9.76411,9.49101,9.64611,9700.760223454212,0
LSI,D,20070116,000000,9.6823,10.2942,9.41774,9.98388,41992.490279385216,0
LSI,D,20070117,000000,10.1391,10.1391,9.92018,10.0296,28556.86906208892,0
LSI,D,20070118,000000,10.0382,10.4854,10.0382,10.3941,68832.20603141864,0
LSI,D,20070119,000000,10.3579,10.4769,10.0382,10.2113,25315.926095007253,0
LSI,D,20070122,000000,10.3484,10.4769,9.9468,10.2209,35187.98129369937,0
LSI,D,20070123,000000,10.2304,10.3579,10.0382,10.1752,14111.34311348059,0
LSI,D,20070124,000000,9.9925,10.12,9.76411,10.12,9605.129286358086,0
LSI,D,20070125,000000,9.89259,10.0382,9.80981,9.9925,12960.61920007117,0
LSI,D,20070126,000000,9.80981,10.0382,9.80981,10.0382,9880.462314041435,0
LSI,D,20070129,000000,10.12,10.1476,9.95629,10.0382,5583.375481227627,0
LSI,D,20070130,000000,9.9925,10.0838,9.67371,9.85551,20843.340729280568,0
LSI,D,20070131,000000,9.90111,9.90111,9.85551,9.85551,2316.1602786797835,0
LSI,D,20070201,000000,10.002,10.1391,9.95629,9.95629,23036.54694598003,0
LSI,D,20070202,000000,9.9925,10.12,9.91069,10.0562,16095.422335871153,0
LSI,D,20070205,000000,10.0382,10.0562,9.9468,9.9925,5795.655143792652,0
LSI,D,20070206,000000,9.9925,9.9925,9.80981,9.85551,10220.950485680389,0
LSI,D,20070207,000000,9.85551,10.0382,9.80981,10.0106,4886.635796670142,0
LSI,D,20070208,000000,9.85551,9.9468,9.82878,9.89259,13303.209150547606,0
LSI,D,20070209,000000,9.98388,9.9925,9.85551,9.9925,5343.772693777994,0
LSI,D,20070212,000000,9.9925,9.9925,9.80981,9.8193,2682.920685784704,0
LSI,D,20070213,000000,9.90111,9.98388,9.8193,9.98388,2311.9567210052287,0
LSI,D,20070214,000000,9.9468,10.1295,9.9468,10.1114,12467.752062729807,0
LSI,D,20070215,000000,10.1476,10.3122,10.1114,10.1752,20555.39702857376,0
LSI,D,20070216,000000,10.239,10.6767,10.1657,10.6767,61376.14560617678,0
LSI,D,20070219,000000,10.768,10.9051,10.5035,10.6862,32995.82596641876,0
LSI,D,20070220,000000,10.6767,10.6767,10.4036,10.5863,10699.105171161222,0
LSI,D,20070221,000000,10.5863,10.5863,10.1476,10.3579,20194.941957981082,0
LSI,D,20070222,000000,10.2209,10.5406,10.2209,10.4949,10224.103153936303,0
LSI,D,20070223,000000,10.3122,10.4036,10.0838,10.3484,18967.50311701042,0
LSI,D,20070226,000000,10.0382,10.376,9.9925,10.3027,14646.245827568537,0
LSI,D,20070227,000000,10.0838,10.2666,9.49101,9.96491,17037.01925497167,0
LSI,D,20070228,000000,9.44533,9.84689,9.44533,9.74601,16202.613056571685,0
LSI,D,20070301,000000,9.9468,9.9468,9.62804,9.76411,15971.41738447116,0
LSI,D,20070302,000000,9.58236,9.8374,9.48149,9.50909,32886.53346688053,0
LSI,D,20070305,000000,9.32638,9.32638,8.7425,8.86107,20127.68503518738,0
LSI,D,20070306,000000,8.91587,8.94328,8.80635,8.93414,11153.089400012537,0
LSI,D,20070307,000000,8.93414,9.11704,8.93414,8.96146,7110.317806509716,0
LSI,D,20070308,000000,8.98886,9.29879,8.96146,9.29879,23108.007426447053,0
LSI,D,20070309,000000,9.29879,9.47293,9.04377,9.12561,19137.747202830305,0
LSI,D,20070312,000000,9.26263,9.29879,9.03454,9.12561,5486.6936547128635,0
LSI,D,20070313,000000,9.11704,9.11704,8.76981,8.89761,4434.753346655484,0
LSI,D,20070314,000000,8.80635,8.88847,8.67855,8.69682,12492.97340877693,0
LSI,D,20070315,000000,8.76077,9.03454,8.67855,8.94328,4814.124426784069,0
LSI,D,20070316,000000,8.89761,8.97972,8.76077,8.94328,11531.409590722484,0
LSI,D,20070319,000000,8.94328,9.0254,8.85202,8.98886,15087.619383396808,0
LSI,D,20070320,000000,9.11704,9.39014,8.98886,9.12561,15596.24986201775,0
LSI,D,20070321,000000,9.24455,9.39966,9.22647,9.27215,12155.63790539472,0
LSI,D,20070322,000000,9.40822,9.4539,9.30831,9.30831,7894.281312814217,0
LSI,D,20070323,000000,9.39966,9.39966,9.07993,9.21695,9001.91876005945,0
LSI,D,20070326,000000,9.27215,9.49101,9.27215,9.27215,29046.58353117478,0
LSI,D,20070327,000000,9.48149,10.9051,9.48149,10.2113,141532.73601284565,0
LSI,D,20070328,000000,10.3579,10.3579,9.90111,9.9468,25066.865302789458,0
LSI,D,20070329,000000,10.0382,10.3665,9.58236,10.1933,21672.492480586327,0
LSI,D,20070330,000000,10.2209,10.2209,9.9925,10.0382,8067.678066889609,0
LSI,D,20070402,000000,9.9468,10.3122,9.9468,10.2209,23140.584998425064,0
LSI,D,20070403,000000,10.4036,11.4075,10.4036,10.9507,135181.16036659642,0
LSI,D,20070404,000000,11.143,11.3162,10.9507,11.0878,60615.30166708254,0
LSI,D,20070405,000000,11.1515,11.1515,10.7776,11.1059,20207.55263100413,0
LSI,D,20070410,000000,11.1335,11.143,10.8137,10.9507,25031.135062555946,0
LSI,D,20070411,000000,10.9507,11.0421,10.8137,10.9327,14165.989363250219,0
LSI,D,20070412,000000,11.7633,11.7633,10.632,11.0145,215642.50870466948,0
LSI,D,20070413,000000,11.3066,12.0004,11.1335,11.8814,117179.4246253086,0
LSI,D,20070416,000000,12.1916,13.0042,12.1468,12.7758,135543.71721602057,0
LSI,D,20070417,000000,13.1412,13.1412,12.5113,12.6483,37417.96864005119,0
LSI,D,20070418,000000,12.6388,12.6388,11.517,11.6806,46358.93581382918,0
LSI,D,20070419,000000,11.4437,11.4437,10.768,11.3799,32034.262148364305,0
LSI,D,20070420,000000,11.3066,11.5901,10.8232,11.1154,83823.14358830027,0
LSI,D,20070423,000000,11.143,11.2981,10.4493,10.7776,46968.451676639655,0
LSI,D,20070424,000000,10.4949,10.7956,10.4578,10.7776,31151.515036707762,0
LSI,D,20070425,000000,10.768,11.3523,10.5672,10.9507,28238.449568241795,0
LSI,D,20070426,000000,10.9507,11.4075,10.5863,10.7138,32268.610488721362,0
LSI,D,20070427,000000,10.5406,10.887,10.1847,10.768,34106.616081920314,0
LSI,D,20070430,000000,10.9327,10.9327,10.4949,10.5863,10707.512286509918,0
LSI,D,20070502,000000,10.6767,10.6767,10.5863,10.5948,7348.869704540711,0
LSI,D,20070504,000000,10.5492,10.6501,10.4493,10.6501,11653.312763284785,0
LSI,D,20070507,000000,10.6681,10.6681,10.0477,10.4854,12668.471941690015,0
LSI,D,20070508,000000,10.376,10.5863,10.1476,10.2666,15243.151017354927,0
LSI,D,20070509,000000,10.4493,10.4493,10.1295,10.2942,1267.3726388783207,0
LSI,D,20070510,000000,10.1476,10.2209,9.85551,9.90111,10983.896203612527,0
LSI,D,20070511,000000,9.60044,10.3027,9.47293,10.3027,27562.727672056466,0
LSI,D,20070514,000000,10.4121,10.9327,10.3027,10.7595,14409.79570837482,0
LSI,D,20070515,000000,10.8508,10.9422,10.6767,10.9051,21940.469282339207,0
LSI,D,20070516,000000,11.0145,11.1239,10.6957,11.1239,30476.84402994231,0
LSI,D,20070517,000000,11.261,11.2705,10.7871,10.8594,11863.490647012532,0
LSI,D,20070518,000000,10.7776,10.9507,10.3027,10.9507,15911.516687609372,0
LSI,D,20070521,000000,10.9688,11.4988,10.9688,11.4798,36867.302584684694,0
LSI,D,20070522,000000,11.4532,11.6264,11.3799,11.5807,19011.640472593655,0
LSI,D,20070523,000000,11.4075,11.7082,11.4075,11.5901,16037.623417846022,0
LSI,D,20070524,000000,11.398,11.5988,11.2248,11.5901,16753.27911193921,0
