<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LWB,D,20090625,000000,36.6551,38.125,36.0025,37.5695,5176046.286467451,0
LWB,D,20090626,000000,37.8633,39.8559,37.8633,38.3539,679370.951602213,0
LWB,D,20090629,000000,39.0402,39.1382,38.3539,38.8764,129235.27541620661,0
LWB,D,20090630,000000,39.2031,40.1505,39.2031,39.8238,280812.49213166116,0
LWB,D,20090701,000000,39.2674,40.0526,39.2674,39.7587,85451.72882503849,0
LWB,D,20090702,000000,39.8559,39.8559,38.223,38.4847,213688.2509375698,0
LWB,D,20090703,000000,37.8311,38.3539,37.5695,37.8963,53534.14909967718,0
LWB,D,20090706,000000,37.5695,38.4181,36.3283,38.0601,102146.218353626,0
LWB,D,20090707,000000,37.8633,37.9621,37.5045,37.8963,191712.03317166283,0
LWB,D,20090708,000000,37.5045,37.7333,36.7209,37.4386,15320.292464771439,0
LWB,D,20090709,000000,37.2748,37.8963,37.2427,37.5695,215575.1899650732,0
LWB,D,20090710,000000,37.6024,37.8963,37.5045,37.5695,139426.9332157548,0
LWB,D,20090713,000000,36.5892,37.5695,36.5892,37.2427,8883.072266630501,0
LWB,D,20090714,000000,37.5045,38.5498,37.3736,38.5498,25384.372287572758,0
LWB,D,20090715,000000,38.5498,39.562,38.5498,39.5308,43914.76965296488,0
LWB,D,20090716,000000,39.2031,39.8559,39.2031,39.5308,92737.0388114585,0
LWB,D,20090717,000000,39.5308,39.8559,39.2674,39.5941,24061.206414455453,0
LWB,D,20090720,000000,39.5308,40.1176,38.9406,40.1176,50209.831534159326,0
LWB,D,20090721,000000,39.8559,40.3456,39.2369,40.1505,23227.69696637605,0
LWB,D,20090722,000000,39.2369,40.1176,39.2369,39.9217,133170.7522417594,0
LWB,D,20090723,000000,39.8559,41.2945,39.5308,40.9991,53006.82679579021,0
LWB,D,20090724,000000,41.2945,44.757,41.032,43.7118,71849.48644712463,0
LWB,D,20090727,000000,44.5611,45.705,43.1554,44.1035,97775.76137878398,0
LWB,D,20090728,000000,44.4302,44.4302,43.5159,43.7118,92208.50147922155,0
LWB,D,20090729,000000,43.3183,44.4302,43.1241,44.4302,74625.82622680602,0
LWB,D,20090730,000000,44.4623,44.724,44.4302,44.6582,49373.89202937998,0
LWB,D,20090731,000000,45.0508,45.0838,44.724,45.0838,97701.6446494358,0
LWB,D,20090803,000000,45.2137,45.6063,44.4302,44.757,60945.822034494035,0
LWB,D,20090804,000000,45.1487,45.1487,43.4821,44.1364,41070.388285685156,0
LWB,D,20090805,000000,43.8434,44.1364,43.7767,43.7767,38787.35001609157,0
LWB,D,20090806,000000,43.8434,43.9068,43.5159,43.9068,59434.32676713139,0
LWB,D,20090807,000000,43.5159,45.4755,43.5159,45.4104,13946.095400955395,0
LWB,D,20090810,000000,45.4104,45.7372,44.6261,45.7372,25870.383627560746,0
LWB,D,20090811,000000,45.4104,46.7165,45.4104,45.7372,30103.54239885614,0
LWB,D,20090812,000000,45.4104,45.4104,44.3644,45.4104,31797.291918714294,0
LWB,D,20090813,000000,45.4104,47.6639,45.4104,47.3701,57593.558816926874,0
LWB,D,20090814,000000,47.6968,47.6968,47.1092,47.1092,20855.961627234654,0
LWB,D,20090817,000000,46.3248,46.3248,45.4755,45.7372,18851.164849784192,0
LWB,D,20090818,000000,45.7372,45.7372,45.0838,45.5405,38241.80228695505,0
LWB,D,20090819,000000,46.5866,46.5866,45.3446,46.3899,3060.6564135743715,0
LWB,D,20090820,000000,46.3899,47.0433,46.3899,47.0433,5798.11528605673,0
LWB,D,20090821,000000,47.3701,47.6968,46.5866,47.6968,58064.98981671522,0
LWB,D,20090824,000000,47.6968,47.6968,46.9125,47.0433,30960.137385584978,0
LWB,D,20090825,000000,47.631,47.631,45.6376,45.9331,58277.61977795997,0
LWB,D,20090826,000000,45.9331,46.7165,45.6063,45.6722,14712.77828978645,0
LWB,D,20090827,000000,45.6063,45.7372,44.92,45.7372,134812.2555425688,0
LWB,D,20090828,000000,45.7372,46.7165,45.7372,46.259,22730.750371238326,0
LWB,D,20090831,000000,46.259,46.5866,45.6063,46.5866,7148.011782873375,0
LWB,D,20090901,000000,46.3899,46.9125,44.4953,45.6063,11053.11289967688,0
LWB,D,20090902,000000,44.4953,44.4953,43.1241,44.1035,30397.579259548882,0
LWB,D,20090903,000000,43.5159,45.0838,43.5159,45.0187,6445.7253965907275,0
LWB,D,20090904,000000,45.0187,45.7372,43.9068,45.0838,48247.56074895782,0
LWB,D,20090907,000000,44.2995,45.0838,44.2995,44.4953,19825.61758646011,0
LWB,D,20090908,000000,45.6722,45.6722,43.45,43.7439,78619.62441315733,0
LWB,D,20090909,000000,43.7439,43.7439,42.7974,43.1241,58116.02100741397,0
LWB,D,20090910,000000,43.1554,44.1035,41.2286,41.9472,54042.03094996463,0
LWB,D,20090911,000000,42.4706,43.1241,42.143,43.1241,22317.640732248536,0
LWB,D,20090914,000000,42.9275,42.9275,41.4237,41.6212,48868.44023579247,0
LWB,D,20090915,000000,41.8813,42.7974,41.8813,42.143,33941.816956411305,0
LWB,D,20090916,000000,42.7974,43.2542,42.4706,43.2542,15698.1662816121,0
LWB,D,20090917,000000,43.4821,45.0187,43.4821,44.887,26233.677104201768,0
LWB,D,20090918,000000,44.4623,45.6063,44.4302,45.6063,14515.943697091314,0
LWB,D,20090921,000000,45.0838,46.7165,45.0838,46.4557,25522.885519469335,0
LWB,D,20090922,000000,45.8022,48.0243,45.8022,48.0243,169802.6419650042,0
LWB,D,20090923,000000,47.6968,48.2853,46.7165,48.0243,15585.168645064894,0
LWB,D,20090924,000000,47.2062,48.3495,47.2062,48.2853,24160.83873915299,0
LWB,D,20090925,000000,47.6968,48.0243,47.1413,48.0243,10369.051938643783,0
LWB,D,20090928,000000,47.2393,48.0564,47.2393,48.0564,17148.910131476256,0
LWB,D,20090929,000000,48.0564,48.0564,47.6968,48.0243,76015.81865917167,0
LWB,D,20090930,000000,47.2729,48.2203,47.2393,48.1544,15140.468268975881,0
LWB,D,20091001,000000,48.1544,48.2203,47.4038,47.7305,8812.600622332242,0
LWB,D,20091002,000000,47.3701,48.1544,47.0433,48.1544,13266.894553322176,0
