<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MAK,D,20070418,000000,7.07883,7.07883,5.5854,5.69341,2056246.7424721818,0
MAK,D,20070419,000000,5.70541,6.17925,5.63936,6.01729,479565.87945102167,0
MAK,D,20070420,000000,6.11929,6.203,5.93343,6.17925,187731.0610003569,0
MAK,D,20070423,000000,6.35939,6.35939,5.93959,6.00514,76814.39933304838,0
MAK,D,20070424,000000,5.96932,5.96932,5.84947,5.87913,34663.511234199366,0
MAK,D,20070425,000000,5.87913,6.05943,5.75945,6.05326,48637.513128907485,0
MAK,D,20070426,000000,6.05943,6.05943,5.8976,5.95749,30759.118127705722,0
MAK,D,20070427,000000,5.93959,6.03527,5.86739,5.99954,73935.10725420245,0
MAK,D,20070430,000000,6.14953,6.23882,6.06558,6.17925,65567.50706058647,0
MAK,D,20070502,000000,6.17925,6.23364,6.12562,6.13113,21797.397623528683,0
MAK,D,20070504,000000,6.12562,6.29951,6.05943,6.29951,75727.20786310782,0
MAK,D,20070507,000000,6.29951,6.29951,6.11929,6.25113,41937.8326596112,0
MAK,D,20070508,000000,6.18551,6.18551,5.99954,5.99954,44412.92813373089,0
MAK,D,20070509,000000,5.99954,6.08357,5.95749,5.99954,15140.32824207975,0
MAK,D,20070510,000000,6.05943,6.05943,5.87913,5.98722,28443.509868101817,0
MAK,D,20070511,000000,5.98722,5.98722,5.61538,5.98722,96231.66333537424,0
MAK,D,20070514,000000,5.99346,5.99954,5.87913,5.93959,9172.341024109846,0
MAK,D,20070515,000000,5.96307,5.99954,5.87913,5.98722,29489.30770984753,0
MAK,D,20070516,000000,5.99346,5.99346,5.87913,5.97539,4370.680153511359,0
MAK,D,20070517,000000,5.91551,5.91551,5.77145,5.81949,27479.281823093293,0
MAK,D,20070518,000000,5.90943,5.90943,5.71739,5.75945,8720.663492925187,0
MAK,D,20070521,000000,5.77745,5.84947,5.77145,5.77145,11222.54307940643,0
MAK,D,20070522,000000,5.82533,5.82533,5.74138,5.78335,38108.922051591166,0
MAK,D,20070523,000000,5.77745,5.77745,5.73539,5.75945,13332.400657688622,0
MAK,D,20070524,000000,5.69932,5.78935,5.68741,5.75945,17928.310846966287,0
MAK,D,20070525,000000,5.73539,5.92725,5.73539,5.92725,4331.721444622064,0
MAK,D,20070528,000000,5.90943,6.14953,5.90943,6.08907,35974.71528025239,0
MAK,D,20070529,000000,6.08907,6.08907,5.96932,5.99954,52706.26328852688,0
MAK,D,20070530,000000,5.93959,5.99954,5.77745,5.99954,21350.589930955113,0
MAK,D,20070531,000000,5.88521,6.11929,5.84947,6.08907,74571.83865261196,0
MAK,D,20070601,000000,5.99954,6.13113,5.99954,6.07124,40724.02538578114,0
MAK,D,20070604,000000,5.99954,6.17302,5.99954,6.14953,33633.54036793942,0
MAK,D,20070605,000000,6.20957,6.23882,6.11929,6.14953,20896.477480464353,0
MAK,D,20070606,000000,6.17925,6.35939,6.11929,6.22715,82274.7058758055,0
MAK,D,20070608,000000,6.14953,6.14953,6.01729,6.0471,38466.855189510345,0
MAK,D,20070611,000000,6.05943,6.17925,6.05943,6.14953,43161.37961066347,0
MAK,D,20070612,000000,6.14953,6.14953,6.10755,6.11929,87984.59164738418,0
MAK,D,20070613,000000,6.18551,6.24522,6.09523,6.17925,54823.42562472626,0
MAK,D,20070614,000000,6.20957,6.20957,6.14953,6.17925,31865.78895209065,0
MAK,D,20070615,000000,6.22123,6.22123,5.99954,6.11929,31373.935252363637,0
MAK,D,20070618,000000,6.16751,6.17302,6.09523,6.11929,64812.682075857156,0
MAK,D,20070619,000000,6.11929,6.56935,6.09523,6.53943,130342.44788720737,0
MAK,D,20070620,000000,6.51019,6.59923,6.19717,6.29951,109724.76866723111,0
MAK,D,20070621,000000,6.23364,6.29951,6.14953,6.203,75802.69036158032,0
MAK,D,20070622,000000,6.20957,6.28711,6.20957,6.23882,85850.3848760454,0
MAK,D,20070625,000000,6.30525,6.30525,6.20957,6.2936,65036.694651970734,0
MAK,D,20070626,000000,6.23882,6.34698,6.23882,6.34698,16512.4052707731,0
MAK,D,20070627,000000,6.38346,6.38346,6.22715,6.22715,28126.970358376362,0
MAK,D,20070628,000000,6.22715,6.44933,6.22715,6.23882,55917.92185258402,0
MAK,D,20070629,000000,6.23882,6.23882,6.17925,6.19125,24048.480521534777,0
MAK,D,20070702,000000,6.15519,6.15519,6.13113,6.13113,17595.944361755057,0
MAK,D,20070703,000000,6.11929,6.41935,6.11929,6.40177,166513.17417155486,0
MAK,D,20070704,000000,6.38938,6.38938,6.29951,6.35939,19099.50703294902,0
MAK,D,20070705,000000,6.38938,6.38938,6.29951,6.31117,27549.89448295469,0
MAK,D,20070706,000000,6.35939,6.35939,6.32941,6.35356,13618.503676093917,0
MAK,D,20070709,000000,6.38938,6.38938,6.29951,6.32941,40797.07296494864,0
MAK,D,20070710,000000,6.29951,6.32941,6.23882,6.25113,19535.357588646795,0
MAK,D,20070711,000000,6.23882,6.23882,6.00514,6.20957,10254.662655438973,0
MAK,D,20070712,000000,6.26954,6.31117,6.203,6.25713,22087.153020891456,0
MAK,D,20070713,000000,6.19125,6.26954,6.19125,6.26954,17241.663602793364,0
MAK,D,20070716,000000,6.203,6.203,6.05943,6.14953,16626.84647813433,0
MAK,D,20070717,000000,6.08357,6.20957,6.06558,6.20957,8752.317443897731,0
MAK,D,20070718,000000,6.14953,6.19125,6.11929,6.19125,10993.66066468164,0
MAK,D,20070719,000000,6.13113,6.2936,6.13113,6.2936,12700.539097891322,0
MAK,D,20070720,000000,6.29951,6.29951,6.04151,6.04151,19061.765783711664,0
MAK,D,20070723,000000,6.10755,6.10755,6.0237,6.02919,79252.97101758429,0
MAK,D,20070724,000000,6.09523,6.10755,6.09523,6.09523,8751.099984244904,0
MAK,D,20070725,000000,6.02919,6.02919,5.69932,5.99954,19081.245138157145,0
MAK,D,20070726,000000,5.93959,5.93959,5.63936,5.66935,162616.0858229795,0
MAK,D,20070727,000000,5.39944,5.54943,5.33948,5.54943,63816.80007987597,0
MAK,D,20070730,000000,5.60939,5.75945,5.55542,5.60939,20422.88567553034,0
MAK,D,20070731,000000,5.61538,5.69932,5.51945,5.60939,32760.621796890275,0
MAK,D,20070801,000000,5.54943,5.54943,5.39944,5.39944,21417.550211857917,0
MAK,D,20070802,000000,5.41743,5.53151,5.39944,5.53151,9150.426750359595,0
MAK,D,20070803,000000,5.5854,5.5854,5.47739,5.51945,5300.819328241905,0
MAK,D,20070806,000000,5.5734,5.63936,5.47147,5.5674,21474.770815539636,0
MAK,D,20070807,000000,5.60348,5.87913,5.60348,5.75945,41135.52674842345,0
MAK,D,20070808,000000,5.81949,5.92725,5.76545,5.76545,13024.383365532858,0
MAK,D,20070809,000000,5.82533,5.82533,5.72939,5.72939,13645.287788455478,0
MAK,D,20070810,000000,5.39944,5.45931,5.39944,5.42943,36499.440390604555,0
MAK,D,20070813,000000,5.42334,5.51336,5.42334,5.45348,22580.224180270954,0
MAK,D,20070814,000000,5.42334,5.51945,5.39944,5.45931,26076.768303080888,0
MAK,D,20070816,000000,5.24938,5.39944,5.09954,5.39944,51623.94165719742,0
MAK,D,20070817,000000,5.09954,5.39944,5.0575,5.39944,13578.327507551568,0
MAK,D,20070820,000000,5.39944,5.5615,5.11147,5.41743,31853.61435556236,0
MAK,D,20070821,000000,5.39944,5.39944,5.15944,5.31558,11934.756976287314,0
MAK,D,20070822,000000,5.24938,5.42334,5.24938,5.42334,34536.895430308745,0
MAK,D,20070823,000000,5.45931,5.65135,5.42943,5.51336,33146.55650682462,0
MAK,D,20070824,000000,5.54351,5.54351,5.36346,5.44749,12006.587095802313,0
MAK,D,20070827,000000,5.47739,5.47739,5.38128,5.41144,10184.049995577243,0
MAK,D,20070828,000000,5.45348,5.45348,5.27943,5.27943,43482.78895900001,0
MAK,D,20070829,000000,5.21939,5.3095,5.21939,5.3095,11130.016145793454,0
MAK,D,20070830,000000,5.36346,5.36346,5.24938,5.24938,16592.75760785668,0
MAK,D,20070831,000000,5.29134,5.29134,5.19549,5.29134,4482.686441567819,0
MAK,D,20070903,000000,5.23747,5.29134,5.23747,5.27943,31321.58448729412,0
MAK,D,20070904,000000,5.25554,5.27343,5.18941,5.27343,17851.610888840194,0
MAK,D,20070905,000000,5.21939,5.26753,5.19549,5.19549,3834.9979062843017,0
MAK,D,20070906,000000,5.14145,5.21939,5.06957,5.06957,12772.369217406325,0
MAK,D,20070907,000000,5.09954,5.09954,4.91943,5.06341,17044.435139041343,0
MAK,D,20070910,000000,5.00945,5.03344,4.82956,4.82956,6997.95808422929,0
MAK,D,20070911,000000,4.88354,4.92542,4.85946,4.87144,6199.304551999906,0
MAK,D,20070912,000000,4.81757,4.85946,4.67959,4.67959,16200.73559965874,0
MAK,D,20070913,000000,4.73346,4.73954,4.67959,4.67959,2203.601971547443,0
MAK,D,20070914,000000,4.72746,4.73954,4.63744,4.63744,12015.109313370895,0
MAK,D,20070917,000000,4.67959,4.67959,4.55949,4.67351,6321.050517278773,0
MAK,D,20070918,000000,4.66743,4.67351,4.55949,4.67351,5041.500422197844,0
MAK,D,20070919,000000,4.63145,4.70956,4.63145,4.67959,18292.331283150168,0
MAK,D,20070920,000000,4.64952,4.64952,4.49953,4.61962,15704.012061320645,0
MAK,D,20070921,000000,4.55949,4.67959,4.55949,4.67959,11576.823838367018,0
MAK,D,20070924,000000,4.63744,4.67351,4.49953,4.64353,4897.84018316884,0
MAK,D,20070925,000000,4.5296,4.64353,4.49953,4.5296,7448.418155761119,0
MAK,D,20070926,000000,4.49953,4.5296,4.46955,4.5296,7151.358000480591,0
MAK,D,20070927,000000,4.55949,4.57756,4.49953,4.57756,18634.43744558358,0
MAK,D,20070928,000000,4.57756,4.57756,4.49953,4.51752,17763.953793839417,0
MAK,D,20071001,000000,4.51752,4.7995,4.49953,4.7995,72234.3161192576,0
MAK,D,20071002,000000,4.91943,5.00337,4.7995,4.82956,52220.49688706458,0
MAK,D,20071003,000000,4.91943,4.91943,4.73954,4.82956,8464.996965839613,0
MAK,D,20071004,000000,4.73954,4.7935,4.72155,4.7935,2824.50639446973,0
MAK,D,20071005,000000,4.73954,4.96148,4.73954,4.9554,50620.75490330015,0
