<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MCR,D,20070719,000000,14.3406,18.1554,14.3406,17.0872,4101922,0
MCR,D,20070720,000000,17.0872,17.0872,15.8665,15.8665,453376,0
MCR,D,20070723,000000,15.4087,16.1714,15.3031,15.5618,118760,0
MCR,D,20070724,000000,15.5457,16.1559,15.2555,15.8665,111273,0
MCR,D,20070725,000000,16.0181,16.0181,15.103,15.2555,326756,0
MCR,D,20070726,000000,15.4087,15.4087,14.8274,14.9548,44268.9,0
MCR,D,20070727,000000,14.9508,14.9508,14.097,14.9508,55926.2,0
MCR,D,20070730,000000,14.646,14.7678,14.3406,14.646,13581.2,0
MCR,D,20070731,000000,14.646,15.7133,14.646,15.4392,256439,0
MCR,D,20070801,000000,15.4392,15.4392,14.4009,15.1805,27907.9,0
MCR,D,20070802,000000,15.2555,15.3482,14.9814,14.9814,290942,0
MCR,D,20070803,000000,15.2257,15.2409,14.9508,14.9508,4263.28,0
MCR,D,20070806,000000,14.646,14.646,14.0357,14.0357,19909.7,0
MCR,D,20070807,000000,14.3406,14.7678,14.0357,14.5235,215161,0
MCR,D,20070808,000000,14.646,14.8903,14.5541,14.5848,4995.12,0
MCR,D,20070809,000000,14.7678,14.7678,14.4629,14.4775,20161.5,0
MCR,D,20070810,000000,13.9447,14.3719,13.2738,14.0357,33472.3,0
MCR,D,20070813,000000,14.0357,14.646,14.0357,14.6154,3791.92,0
MCR,D,20070814,000000,14.6766,14.6766,14.1414,14.1414,1092.79,0
MCR,D,20070816,000000,13.2545,13.3336,11.9323,12.2049,55051.7,0
MCR,D,20070817,000000,12.2049,12.5708,11.8993,12.2049,39469.7,0
MCR,D,20070820,000000,13.12,13.12,12.2049,12.2049,12198.1,0
MCR,D,20070821,000000,12.5112,12.5112,11.5284,11.8993,7328.32,0
MCR,D,20070822,000000,11.8993,13.4254,11.8993,13.12,89149.3,0
MCR,D,20070823,000000,14.1881,14.1881,13.6382,13.6382,231720,0
MCR,D,20070824,000000,14.1881,14.1881,13.9736,14.0042,4078.46,0
MCR,D,20070827,000000,13.9736,14.5848,13.731,14.0357,9014.04,0
MCR,D,20070828,000000,14.3406,14.3406,13.4254,13.9736,1626.17,0
MCR,D,20070829,000000,13.12,13.7277,13.12,13.6382,26039.8,0
MCR,D,20070830,000000,13.731,13.7672,13.731,13.7608,18841.7,0
MCR,D,20070831,000000,13.4561,13.8825,13.4561,13.7649,1961.08,0
MCR,D,20070903,000000,14.0357,14.1881,13.9447,14.1881,7417.63,0
MCR,D,20070904,000000,14.2187,14.2187,14.0357,14.1881,6432.75,0
MCR,D,20070905,000000,13.9447,14.1583,13.9447,14.1583,8669.2,0
MCR,D,20070906,000000,14.1881,14.3098,13.731,14.3098,161936,0
MCR,D,20070907,000000,14.3406,14.3406,13.2738,14.3406,8180.48,0
MCR,D,20070910,000000,13.1537,14.1881,13.1537,14.1881,5507.4,0
MCR,D,20070911,000000,14.28,14.28,14.28,14.28,1933.79,0
MCR,D,20070912,000000,13.7334,14.155,13.731,14.155,164.974,0
MCR,D,20070913,000000,14.2462,14.2462,13.8801,14.1825,2030.54,0
MCR,D,20070914,000000,14.0357,14.0357,13.4859,13.8825,1275.13,0
MCR,D,20070917,000000,13.731,14.0333,13.731,14.0333,559.423,0
MCR,D,20070918,000000,13.7923,14.1583,13.7923,14.1583,1765.1,0
MCR,D,20070919,000000,14.1583,14.1825,13.5931,13.8825,6383.13,0
MCR,D,20070920,000000,13.6382,13.8494,13.4561,13.8374,925.344,0
MCR,D,20070921,000000,13.731,14.0655,13.731,14.0357,6292.58,0
MCR,D,20070924,000000,14.0357,14.4936,14.0357,14.097,17959.8,0
MCR,D,20070925,000000,14.1881,14.1881,14.097,14.184,2025.58,0
MCR,D,20070926,000000,14.184,14.3406,14.0655,14.1881,3329.25,0
MCR,D,20070927,000000,14.3373,14.3406,14.097,14.097,2684.24,0
MCR,D,20070928,000000,14.1881,14.4009,14.1881,14.2494,176451,0
MCR,D,20071001,000000,14.1881,14.4629,14.1881,14.3406,5072.02,0
MCR,D,20071002,000000,14.2187,14.2187,14.2187,14.2187,1048.14,0
MCR,D,20071003,000000,13.7769,14.1881,13.7769,13.9131,741.763,0
MCR,D,20071004,000000,14.0357,14.0357,13.6786,13.6786,2664.39,0
MCR,D,20071005,000000,13.4584,14.0357,13.4561,14.0357,10950.3,0
MCR,D,20071008,000000,13.4706,13.4706,13.4706,13.4706,47.1354,0
MCR,D,20071009,000000,14.1583,14.1583,13.731,13.7923,117718,0
MCR,D,20071010,000000,13.5464,13.7923,13.4859,13.7882,2952.17,0
MCR,D,20071011,000000,13.5778,14.1583,13.5778,14.155,6713.08,0
MCR,D,20071012,000000,13.731,14.3373,13.731,14.3373,10357.4,0
MCR,D,20071015,000000,13.7608,14.646,13.731,14.4936,5998.61,0
MCR,D,20071016,000000,14.6154,14.6154,13.7608,13.8825,11365.8,0
MCR,D,20071017,000000,13.8689,14.4904,13.8689,14.4533,14445.7,0
MCR,D,20071018,000000,13.9463,14.1881,13.9463,14.1881,13736.2,0
MCR,D,20071019,000000,14.3406,14.621,14.3406,14.621,9262.12,0
MCR,D,20071022,000000,14.621,14.621,13.8825,14.6121,328352,0
MCR,D,20071023,000000,14.5541,14.7532,14.5541,14.7532,5703.39,0
MCR,D,20071024,000000,14.7226,14.7226,14.6154,14.7226,2310.87,0
MCR,D,20071025,000000,14.7226,14.7371,14.646,14.646,697.109,0
MCR,D,20071026,000000,14.4936,14.4936,14.1881,14.4605,1399.17,0
MCR,D,20071029,000000,14.4936,14.646,14.4009,14.4009,4719.75,0
MCR,D,20071030,000000,14.0816,14.3406,14.0381,14.3406,2949.68,0
MCR,D,20071031,000000,14.3406,14.3406,14.3098,14.3098,836.034,0
MCR,D,20071102,000000,14.6154,14.6154,14.3098,14.6154,1753.93,0
MCR,D,20071105,000000,14.4936,14.4936,14.1583,14.417,2728.89,0
MCR,D,20071106,000000,14.417,14.417,13.8689,14.0357,40336.8,0
MCR,D,20071107,000000,14.0357,14.2494,14.0357,14.2494,26518.6,0
MCR,D,20071108,000000,12.2049,13.8825,12.2049,13.8825,1290.02,0
MCR,D,20071109,000000,14.1583,14.1583,13.2738,14.0333,1348.32,0
MCR,D,20071112,000000,13.4254,13.9736,13.4254,13.9712,1617.49,0
MCR,D,20071113,000000,14.0042,14.1583,14.0042,14.1244,2116.13,0
MCR,D,20071114,000000,14.2494,14.28,14.0357,14.1283,7501.98,0
MCR,D,20071115,000000,13.731,13.731,12.2106,13.4254,29865.2,0
MCR,D,20071116,000000,13.3649,13.3649,12.4645,13.3649,17927.6,0
MCR,D,20071119,000000,12.5112,13.4222,12.5112,13.4222,6930.15,0
MCR,D,20071120,000000,13.3649,13.3649,12.5708,13.2093,162.493,0
MCR,D,20071121,000000,12.8151,13.236,12.5112,13.0892,5172.49,0
MCR,D,20071122,000000,12.8151,12.9377,11.8993,12.5112,13969.4,0
MCR,D,20071123,000000,13.0892,13.0892,12.6619,12.8151,20494,0
MCR,D,20071126,000000,13.2425,13.2425,12.6619,13.12,69440.4,0
MCR,D,20071127,000000,13.1021,13.1021,13.1021,13.1021,654.935,0
MCR,D,20071128,000000,13.1021,13.1062,13.0594,13.1062,33348.3,0
MCR,D,20071129,000000,13.12,13.12,12.587,13.1166,34604.8,0
MCR,D,20071130,000000,13.12,13.12,12.8151,13.12,3072.48,0
MCR,D,20071203,000000,13.12,13.4561,13.12,13.4561,68.2224,0
MCR,D,20071205,000000,13.4254,13.4254,12.6651,13.4254,337198,0
MCR,D,20071206,000000,13.4254,14.014,13.4254,13.731,29255,0
