<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MGT,D,20050304,000000,6.61019,6.81954,6.00704,6.68884,73297.18062491881,0
MGT,D,20050307,000000,6.61019,6.76742,6.61019,6.61019,11864.2176635163,0
MGT,D,20050308,000000,6.61019,6.61019,6.29544,6.29544,2354.66564096583,0
MGT,D,20050309,000000,6.18989,6.18989,5.82304,5.97992,19803.0336177306,0
MGT,D,20050310,000000,5.9276,5.9276,5.40323,5.50843,38913.04843206,0
MGT,D,20050311,000000,5.40323,5.48168,5.24572,5.45555,21929.07977152275,0
MGT,D,20050314,000000,5.32444,5.35085,5.27213,5.27213,20145.2809111692,0
MGT,D,20050315,000000,5.27213,5.50843,5.27213,5.42937,7825.220113761345,0
MGT,D,20050316,000000,5.32444,5.37732,5.27213,5.27213,4807.31715087504,0
MGT,D,20050317,000000,5.167,5.21981,5.14109,5.21981,14534.108831539648,0
MGT,D,20050318,000000,5.06229,5.0885,4.9573,4.98351,24424.33105351065,0
MGT,D,20050321,000000,4.98351,5.21981,4.9573,5.21981,22779.690027911398,0
MGT,D,20050322,000000,5.00977,5.167,5.00977,5.167,2834.68558397358,0
MGT,D,20050323,000000,5.167,5.19348,5.03604,5.167,5622.50928760647,0
MGT,D,20050324,000000,5.19348,5.21981,5.0885,5.21981,3144.28512812526,0
MGT,D,20050329,000000,5.14109,5.19348,5.11476,5.19348,661.8063190715085,0
MGT,D,20050330,000000,5.14109,5.14109,5.03604,5.03604,2206.9622791462198,0
MGT,D,20050331,000000,5.06229,5.19348,5.03604,5.19348,8080.85071204545,0
MGT,D,20050404,000000,5.0885,5.167,5.06229,5.167,639.0828888726554,0
MGT,D,20050405,000000,5.167,5.167,5.167,5.167,1904.4591452507698,0
MGT,D,20050406,000000,5.11476,5.11476,5.11476,5.11476,644.763213658836,0
MGT,D,20050407,000000,5.11476,5.11476,5.0885,5.0885,359.306381757255,0
MGT,D,20050411,000000,5.0885,5.11476,5.0885,5.11476,674.587316222181,0
MGT,D,20050412,000000,5.0885,5.0885,4.98351,4.98351,1512.49435893594,0
MGT,D,20050413,000000,5.00977,5.00977,4.98351,4.98351,2199.86586888999,0
MGT,D,20050414,000000,4.98351,4.98351,4.98351,4.98351,382.029811956108,0
MGT,D,20050415,000000,4.9573,4.9573,4.9573,4.9573,382.029811956108,0
MGT,D,20050418,000000,4.77374,4.77374,4.1967,4.24916,14815.3014241251,0
MGT,D,20050419,000000,4.24916,4.24916,4.09172,4.1967,6192.001538304255,0
MGT,D,20050420,000000,4.03932,4.17051,3.77697,4.14424,3790.474016997735,0
MGT,D,20050421,000000,3.8295,4.11798,3.8295,4.11798,12095.650142142898,0
MGT,D,20050422,000000,3.88203,3.90823,3.75078,3.75078,17892.86324740875,0
MGT,D,20050425,000000,3.56721,3.67214,3.4623,3.56721,13403.6911677507,0
MGT,D,20050426,000000,3.59347,3.93442,3.56721,3.88203,5983.2328203608395,0
MGT,D,20050427,000000,3.85576,4.09172,3.8295,3.90823,13721.75099680245,0
MGT,D,20050428,000000,4.09172,4.1967,3.98681,3.98681,16927.1760679461,0
MGT,D,20050429,000000,4.03932,6.29544,4.01307,4.48526,27114.14757765885,0
MGT,D,20050502,000000,4.64257,5.58693,4.64257,5.40323,56381.299143867,0
MGT,D,20050504,000000,5.63926,5.9276,5.35085,5.35085,44215.9635316404,0
MGT,D,20050505,000000,5.48168,5.50843,4.9573,5.00977,21683.36923021845,0
MGT,D,20050506,000000,4.93112,4.9573,4.45899,4.9573,31564.9606829589,0
MGT,D,20050509,000000,4.77374,4.87873,4.59018,4.8262,11942.32079741745,0
MGT,D,20050510,000000,4.93112,4.93112,4.61629,4.64257,1126.19817660957,0
MGT,D,20050511,000000,4.74755,4.9573,4.61629,4.8262,9476.893617992895,0
MGT,D,20050512,000000,4.90492,4.93112,4.72129,4.87873,2111.81071219707,0
MGT,D,20050513,000000,4.87873,4.90492,4.66883,4.80001,9131.790712018754,0
MGT,D,20050516,000000,4.69502,4.72129,4.53773,4.72129,4426.710883078439,0
MGT,D,20050517,000000,4.72129,4.72129,4.45899,4.69502,5240.4752135420995,0
MGT,D,20050518,000000,4.56398,4.85246,4.56398,4.64257,9996.679031085105,0
MGT,D,20050519,000000,4.59018,4.72129,4.59018,4.64257,6787.055783303385,0
MGT,D,20050520,000000,4.64257,4.80001,4.64257,4.72129,16928.56125313125,0
MGT,D,20050523,000000,4.72129,4.72129,4.69502,4.69502,2753.7374928075446,0
MGT,D,20050524,000000,4.66883,4.66883,4.66883,4.66883,3713.7773788230447,0
MGT,D,20050525,000000,4.72129,4.74755,4.72129,4.74755,552.4512763392435,0
MGT,D,20050527,000000,4.72129,4.77374,4.72129,4.74755,3796.15327625685,0
MGT,D,20050530,000000,4.72129,5.06229,4.72129,5.06229,6897.83863230342,0
MGT,D,20050531,000000,4.87873,5.00977,4.87873,5.00977,1734.0387463947,0
MGT,D,20050601,000000,4.85246,4.85246,4.8262,4.8262,1516.75646719794,0
MGT,D,20050602,000000,4.8262,4.98351,4.72129,4.98351,7705.923703507965,0
MGT,D,20050603,000000,5.06229,5.24572,4.98351,5.03604,11665.390313094,0
MGT,D,20050606,000000,5.24572,5.40323,5.167,5.40323,15755.5225067223,0
