<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MNC,D,19980402,000000,1.40156,1.40156,1.40156,1.40156,0,0
MNC,D,19980407,000000,1.69263,1.69263,1.69263,1.69263,1141869.3491831466,0
MNC,D,19980408,000000,1.63881,1.63881,1.63881,1.63881,574217.8292831259,0
MNC,D,19980409,000000,1.56346,1.56346,1.56346,1.56346,389319.3279366171,0
MNC,D,19980414,000000,1.50904,1.50904,1.50904,1.50904,298662.77454531327,0
MNC,D,19980415,000000,1.5363,1.5363,1.5363,1.5363,224705.2704137539,0
MNC,D,19980416,000000,1.58498,1.58498,1.58498,1.58498,141590.49077784293,0
MNC,D,19980417,000000,1.56346,1.56346,1.56346,1.56346,146049.41783548924,0
MNC,D,19980420,000000,1.61722,1.61722,1.61722,1.61722,160407.58965269005,0
MNC,D,19980421,000000,1.50904,1.50904,1.50904,1.50904,131819.2534936269,0
MNC,D,19980422,000000,1.51487,1.51487,1.51487,1.51487,169119.2095021595,0
MNC,D,19980423,000000,1.5363,1.5363,1.5363,1.5363,118483.95622474363,0
MNC,D,19980424,000000,1.60076,1.60076,1.60076,1.60076,214573.71579154802,0
MNC,D,19980427,000000,1.56346,1.56346,1.56346,1.56346,220413.46422668846,0
MNC,D,19980428,000000,1.50904,1.50904,1.50904,1.50904,221553.67896073297,0
MNC,D,19980429,000000,1.50904,1.50904,1.50904,1.50904,118203.05093163966,0
MNC,D,19980430,000000,1.50904,1.50904,1.50904,1.50904,80292.68890644336,0
MNC,D,19980504,000000,1.50904,1.50904,1.50904,1.50904,81564.46687902487,0
MNC,D,19980505,000000,1.50904,1.50904,1.50904,1.50904,154232.41422198666,0
MNC,D,19980506,000000,1.4553,1.4553,1.4553,1.4553,69367.01383537175,0
MNC,D,19980507,000000,1.4553,1.4553,1.4553,1.4553,74255.00298628231,0
MNC,D,19980508,000000,1.39649,1.39649,1.39649,1.39649,276216.42669372825,0
MNC,D,19980511,000000,1.40712,1.40712,1.40712,1.40712,167535.70962203533,0
MNC,D,19980512,000000,1.40156,1.40156,1.40156,1.40156,119425.04821936194,0
MNC,D,19980513,000000,1.26682,1.26682,1.26682,1.26682,213267.56544132394,0
MNC,D,19980514,000000,1.26682,1.26682,1.26682,1.26682,251924.63773933574,0
MNC,D,19980515,000000,1.26682,1.26682,1.26682,1.26682,226224.76655620884,0
MNC,D,19980518,000000,1.26167,1.26167,1.26167,1.26167,68312.13741822491,0
MNC,D,19980519,000000,1.23957,1.23957,1.23957,1.23957,140271.30262921547,0
MNC,D,19980520,000000,1.11555,1.11555,1.11555,1.11555,291682.81137612823,0
MNC,D,19980521,000000,1.2129,1.2129,1.2129,1.2129,483229.404659463,0
MNC,D,19980522,000000,1.26167,1.26167,1.26167,1.26167,494142.041932114,0
MNC,D,19980525,000000,1.18574,1.18574,1.18574,1.18574,75044.38241754076,0
MNC,D,19980526,000000,1.18067,1.18067,1.18067,1.18067,164962.52231684024,0
MNC,D,19980527,000000,1.13191,1.13191,1.13191,1.13191,220364.86879623585,0
MNC,D,19980528,000000,1.07833,1.07833,1.07833,1.07833,297705.08898907696,0
MNC,D,19980529,000000,1.11048,1.11048,1.11048,1.11048,185309.78462375383,0
MNC,D,19980601,000000,1.0726,1.0726,1.0726,1.0726,157004.72426659722,0
MNC,D,19980602,000000,0.997079,0.997079,0.997079,0.997079,212757.90604877245,0
MNC,D,19980603,000000,1.00797,1.00797,1.00797,1.00797,302971.17429399665,0
MNC,D,19980604,000000,1.05108,1.05108,1.05108,1.05108,309456.8863778468,0
MNC,D,19980605,000000,1.04029,1.04029,1.04029,1.04029,276729.6418494836,0
MNC,D,19980608,000000,1.05108,1.05108,1.05108,1.05108,153357.69647382942,0
MNC,D,19980609,000000,1.05108,1.05108,1.05108,1.05108,242037.24552378332,0
MNC,D,19980610,000000,1.01869,1.01869,1.01869,1.01869,193380.1818421187,0
MNC,D,19980615,000000,0.921913,0.921913,0.921913,0.921913,217379.21295939447,0
MNC,D,19980616,000000,0.916172,0.916172,0.916172,0.916172,393050.5087918759,0
MNC,D,19980617,000000,1.00282,1.00282,1.00282,1.00282,139394.21437225566,0
MNC,D,19980618,000000,1.02443,1.02443,1.02443,1.02443,369763.81556977093,0
MNC,D,19980619,000000,1.05666,1.05666,1.05666,1.05666,341343.7855356899,0
MNC,D,19980622,000000,1.10483,1.10483,1.10483,1.10483,314490.6618201151,0
MNC,D,19980623,000000,1.1535,1.1535,1.1535,1.1535,255602.48214652613,0
MNC,D,19980624,000000,1.13191,1.13191,1.13191,1.13191,256278.0771552572,0
MNC,D,19980625,000000,1.18574,1.18574,1.18574,1.18574,221026.24075216227,0
MNC,D,19980626,000000,1.2129,1.2129,1.2129,1.2129,233354.07177995538,0
MNC,D,19980629,000000,1.23957,1.23957,1.23957,1.23957,167535.70962203533,0
MNC,D,19980630,000000,1.23957,1.23957,1.23957,1.23957,132693.97124178414,0
MNC,D,19980701,000000,1.26682,1.26682,1.26682,1.26682,159184.4071105665,0
MNC,D,19980702,000000,1.23957,1.23957,1.23957,1.23957,77966.03451671505,0
MNC,D,19980703,000000,1.18574,1.18574,1.18574,1.18574,118368.98654781922,0
MNC,D,19980706,000000,1.22361,1.22361,1.22361,1.22361,198464.9232236422,0
MNC,D,19980707,000000,1.25036,1.25036,1.25036,1.25036,277238.1159876338,0
MNC,D,19980708,000000,1.23957,1.23957,1.23957,1.23957,139873.05715038456,0
MNC,D,19980709,000000,1.23957,1.23957,1.23957,1.23957,75293.28584181116,0
MNC,D,19980710,000000,1.15917,1.15917,1.15917,1.15917,80738.34456132667,0
MNC,D,19980713,000000,1.26167,1.26167,1.26167,1.26167,129792.46846742307,0
MNC,D,19980714,000000,1.28327,1.28327,1.28327,1.28327,249679.76590329592,0
MNC,D,19980715,000000,1.26682,1.26682,1.26682,1.26682,201916.38404019835,0
MNC,D,19980716,000000,1.23957,1.23957,1.23957,1.23957,111901.05327998832,0
MNC,D,19980717,000000,1.27247,1.27247,1.27247,1.27247,90491.8030295245,0
MNC,D,19980720,000000,1.31541,1.31541,1.31541,1.31541,227741.89218985045,0
MNC,D,19980721,000000,1.29399,1.29399,1.29399,1.29399,220168.11656562297,0
MNC,D,19980722,000000,1.2129,1.2129,1.2129,1.2129,135121.37225562148,0
MNC,D,19980723,000000,1.18574,1.18574,1.18574,1.18574,92211.60716579296,0
MNC,D,19980724,000000,1.21796,1.21796,1.21796,1.21796,151674.63522400826,0
MNC,D,19980727,000000,1.18574,1.18574,1.18574,1.18574,135452.0582335793,0
MNC,D,19980728,000000,1.13191,1.13191,1.13191,1.13191,147072.29238380678,0
MNC,D,19980729,000000,1.07833,1.07833,1.07833,1.07833,199587.35914166746,0
MNC,D,19980730,000000,1.13191,1.13191,1.13191,1.13191,192242.3376168875,0
MNC,D,19980731,000000,1.10483,1.10483,1.10483,1.10483,90707.51933055901,0
MNC,D,19980803,000000,1.04594,1.04594,1.04594,1.04594,224212.20458282038,0
MNC,D,19980804,000000,1.00797,1.00797,1.00797,1.00797,188728.05831706335,0
MNC,D,19980805,000000,1.00797,1.00797,1.00797,1.00797,287125.5082031755,0
MNC,D,19980806,000000,1.02958,1.02958,1.02958,1.02958,136112.24493509365,0
MNC,D,19980807,000000,1.01354,1.01354,1.01354,1.01354,130599.6267147072,0
MNC,D,19980810,000000,1.01354,1.01354,1.01354,1.01354,69351.60552815507,0
MNC,D,19980811,000000,0.970088,0.970088,0.970088,0.970088,73754.82562893894,0
MNC,D,19980812,000000,0.970088,0.970088,0.970088,0.970088,278724.4250068529,0
MNC,D,19980813,000000,0.997079,0.997079,0.997079,0.997079,171810.92224748284,0
MNC,D,19980814,000000,0.981308,0.981308,0.981308,0.981308,146607.67265849328,0
MNC,D,19980817,000000,0.986458,0.986458,0.986458,0.986458,156114.59821122332,0
MNC,D,19980818,000000,1.01869,1.01869,1.01869,1.01869,102096.62887253423,0
MNC,D,19980819,000000,1.05108,1.05108,1.05108,1.05108,307889.9800593406,0
MNC,D,19980820,000000,1.02443,1.02443,1.02443,1.02443,242084.6556998346,0
MNC,D,19980821,000000,1.02443,1.02443,1.02443,1.02443,92109.67528728266,0
MNC,D,19980824,000000,0.997079,0.997079,0.997079,0.997079,198713.8266479115,0
MNC,D,19980825,000000,1.01354,1.01354,1.01354,1.01354,102325.38297198285,0
MNC,D,19980826,000000,0.997079,0.997079,0.997079,0.997079,74417.38283925908,0
MNC,D,19980827,000000,0.900228,0.900228,0.900228,0.900228,217066.3057974559,0
MNC,D,19980828,000000,0.813749,0.813749,0.813749,0.813749,0,0
MNC,D,19980831,000000,0.770721,0.770721,0.770721,0.770721,434460.92706406704,0
MNC,D,19980901,000000,0.695294,0.695294,0.695294,0.695294,310049.5135784881,0
MNC,D,19980902,000000,0.711746,0.711746,0.711746,0.711746,193515.3008438649,0
MNC,D,19980903,000000,0.706177,0.706177,0.706177,0.706177,579467.3210264277,0
MNC,D,19980904,000000,0.657411,0.657411,0.657411,0.657411,217860.42624631518,0
MNC,D,19980907,000000,0.722545,0.722545,0.722545,0.722545,206007.8822334363,0
MNC,D,19980908,000000,0.749206,0.749206,0.749206,0.749206,450636.09387844463,0
MNC,D,19980909,000000,0.765659,0.765659,0.765659,0.765659,295908.2433167219,0
MNC,D,19980910,000000,0.743976,0.743976,0.743976,0.743976,117495.45405406327,0
MNC,D,19980911,000000,0.716893,0.716893,0.716893,0.716893,118303.7975557487,0
