<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MOL,D,19951211,000000,1.12269,1.14302,1.12269,1.14302,11388.443623736503,0
MOL,D,19951212,000000,1.13028,1.13605,1.12563,1.13605,15436.80744394431,0
MOL,D,19951222,000000,1.08314,1.11342,1.08314,1.11342,48915.49529781885,0
MOL,D,19951227,000000,1.0767,1.12269,1.0767,1.12269,67305.91034127415,0
MOL,D,19951228,000000,1.12563,1.13545,1.10994,1.13545,82175.23190755272,0
MOL,D,19951229,000000,1.13686,1.14196,1.13686,1.13686,76266.52724428184,0
MOL,D,19960104,000000,1.16063,1.25327,1.16063,1.24796,24019.10042850744,0
MOL,D,19960105,000000,1.32718,1.55096,1.32718,1.45073,16245.586529439799,0
MOL,D,19960108,000000,1.4892,1.5713,1.4892,1.54103,114331.2755111137,0
MOL,D,19960109,000000,1.54229,1.54229,1.43971,1.54229,58331.88826005346,0
MOL,D,19960110,000000,1.49161,1.52713,1.4863,1.51718,44557.3229144739,0
MOL,D,19960111,000000,1.47006,1.4804,1.44427,1.45481,14775.485318789715,0
MOL,D,19960112,000000,1.39245,1.44375,1.35699,1.42272,54568.01211080244,0
MOL,D,19960115,000000,1.38836,1.42857,1.37728,1.41346,28404.083168277317,0
MOL,D,19960116,000000,1.41521,1.47698,1.41521,1.4718,21778.946202756342,0
MOL,D,19960117,000000,1.46415,1.48504,1.43387,1.45952,6718.97321300984,0
MOL,D,19960118,000000,1.42803,1.47415,1.42803,1.45892,16975.42400990398,0
MOL,D,19960119,000000,1.46234,1.49322,1.44723,1.47281,23451.61455084061,0
MOL,D,19960122,000000,1.4804,1.4957,1.4804,1.4804,45756.3416323791,0
MOL,D,19960123,000000,1.47986,1.52128,1.47986,1.52128,39563.14929815362,0
MOL,D,19960124,000000,1.50376,1.54397,1.50376,1.52425,153651.64213718643,0
MOL,D,19960125,000000,1.54625,1.58714,1.53115,1.56674,125801.63966837172,0
MOL,D,19960126,000000,1.55385,1.55385,1.54397,1.55385,38039.427374652594,0
MOL,D,19960129,000000,1.55157,1.61159,1.55157,1.61159,30995.75095604914,0
MOL,D,19960130,000000,1.61911,1.77125,1.61911,1.76076,30872.12542364407,0
MOL,D,19960131,000000,1.76358,1.79917,1.76358,1.79917,81488.58889021777,0
MOL,D,19960201,000000,1.80494,1.82549,1.7746,1.79971,87601.3501551674,0
MOL,D,19960202,000000,1.79803,1.79803,1.73747,1.76251,52491.698952094346,0
MOL,D,19960205,000000,1.7554,1.76533,1.74492,1.76076,23963.990251410858,0
MOL,D,19960206,000000,1.72754,1.73747,1.70699,1.72754,21482.542817832193,0
MOL,D,19960207,000000,1.71115,1.72694,1.71115,1.72169,8838.480834848251,0
MOL,D,19960208,000000,1.71068,1.72002,1.70531,1.72002,22696.45617819606,0
MOL,D,19960209,000000,1.72754,1.82374,1.72754,1.78279,99461.95394483733,0
MOL,D,19960212,000000,1.7519,1.80797,1.7421,1.78755,14653.34925062919,0
MOL,D,19960213,000000,1.77057,1.79575,1.74492,1.7758,41331.143357971305,0
MOL,D,19960214,000000,1.75318,1.76304,1.71237,1.76304,53921.5846281065,0
MOL,D,19960215,000000,1.73089,1.73089,1.52773,1.58352,25192.798254233378,0
MOL,D,19960216,000000,1.51886,1.55969,1.41756,1.45838,12751.303408684716,0
MOL,D,19960219,000000,1.44609,1.45133,1.36573,1.42622,58331.88826005346,0
MOL,D,19960220,000000,1.43743,1.43743,1.38661,1.38661,3725.1500788600542,0
MOL,D,19960221,000000,1.41346,1.46939,1.40367,1.46939,4438.6034526201565,0
MOL,D,19960222,000000,1.5229,1.58352,1.5229,1.57372,17326.937571922517,0
MOL,D,19960223,000000,1.61622,1.73747,1.61622,1.71699,51723.13540123788,0
MOL,D,19960226,000000,1.74136,1.80259,1.74136,1.78755,11105.445417025365,0
MOL,D,19960227,000000,1.77353,1.77353,1.69255,1.71753,26110.308229675284,0
MOL,D,19960228,000000,1.69255,1.74318,1.69255,1.7327,30590.616681178577,0
MOL,D,19960229,000000,1.71525,1.72055,1.69034,1.70531,15908.967609877724,0
MOL,D,19960301,000000,1.7129,1.74372,1.7129,1.73854,14006.921767932154,0
MOL,D,19960304,000000,1.73223,1.79333,1.73223,1.79333,52989.180010205935,0
MOL,D,19960305,000000,1.78453,1.90109,1.78453,1.87611,44421.78166810146,0
MOL,D,19960306,000000,1.8749,1.94083,1.8749,1.89995,57847.81238015378,0
MOL,D,19960307,000000,1.88765,1.88765,1.84684,1.87248,13344.110178531913,0
MOL,D,19960308,000000,1.83596,1.83596,1.77936,1.78453,74634.07443083548,0
MOL,D,19960311,000000,1.73445,1.73445,1.65825,1.72457,6206.597512438936,0
MOL,D,19960312,000000,1.78453,1.83596,1.73337,1.81487,4075.174176633821,0
MOL,D,19960313,000000,1.77715,1.79219,1.77171,1.77715,2536.5576106752446,0
MOL,D,19960314,000000,1.81609,1.84167,1.80091,1.84167,26163.928942525123,0
MOL,D,19960318,000000,1.82717,1.85214,1.81663,1.82717,35797.78368465476,0
MOL,D,19960319,000000,1.81079,1.81079,1.72457,1.72922,28080.86942692825,0
MOL,D,19960320,000000,1.72397,1.72874,1.71351,1.72397,6814.29892474402,0
MOL,D,19960321,000000,1.73619,1.73619,1.66516,1.67557,18229.552904904675,0
MOL,D,19960322,000000,1.69437,1.69437,1.57728,1.59763,33075.04304324963,0
MOL,D,19960325,000000,1.67557,1.67557,1.62957,1.62957,29361.808678354962,0
MOL,D,19960326,000000,1.63482,1.63482,1.5993,1.5993,22925.833672057357,0
MOL,D,19960327,000000,1.58192,1.58192,1.5568,1.58192,105196.39129134349,0
MOL,D,19960328,000000,1.62501,1.62501,1.5329,1.5329,20106.277854670974,0
MOL,D,19960329,000000,1.55029,1.57594,1.52539,1.55029,12224.033065655816,0
MOL,D,19960401,000000,1.55741,1.56217,1.54229,1.54229,20293.950349647603,0
MOL,D,19960402,000000,1.56788,1.56788,1.49732,1.49732,28861.34869175208,0
MOL,D,19960403,000000,1.5184,1.52821,1.51296,1.52821,21278.486216151265,0
MOL,D,19960404,000000,1.57312,1.57312,1.53229,1.54277,16798.177764646876,0
MOL,D,19960405,000000,1.55029,1.60105,1.54035,1.57076,5721.032168293281,0
MOL,D,19960409,000000,1.58714,1.59695,1.51551,1.55157,13938.40641262366,0
MOL,D,19960410,000000,1.54458,1.54982,1.53975,1.54982,4803.522192852359,0
MOL,D,19960411,000000,1.55157,1.55157,1.45019,1.49094,16138.345103737927,0
MOL,D,19960412,000000,1.52539,1.52539,1.48403,1.50437,27042.71284757475,0
MOL,D,19960415,000000,1.53464,1.53975,1.51424,1.51954,19255.79377029191,0
MOL,D,19960416,000000,1.56023,1.56546,1.52539,1.54505,18107.416836746343,0
MOL,D,19960417,000000,1.5568,1.5568,1.43441,1.47006,37713.23470481224,0
MOL,D,19960418,000000,1.49967,1.52539,1.49967,1.5147,30496.78043369081,0
MOL,D,19960419,000000,1.52242,1.59352,1.52242,1.56788,68332.15120666247,0
MOL,D,19960422,000000,1.58238,1.60797,1.56734,1.58238,31076.182025323906,0
MOL,D,19960423,000000,1.61447,1.61447,1.57426,1.59413,30359.749723071633,0
MOL,D,19960424,000000,1.59997,1.59997,1.58004,1.59474,20362.465704956096,0
MOL,D,19960425,000000,1.60629,1.63145,1.60105,1.62669,15261.050662935042,0
MOL,D,19960426,000000,1.63656,1.6465,1.62153,1.64193,18984.71127754923,0
MOL,D,19960429,000000,1.64475,1.65529,1.64011,1.64475,8932.317082336567,0
MOL,D,19960430,000000,1.62837,1.64872,1.62387,1.62387,11281.20219803573,0
