<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MOV,D,20181218,000000,20.6838,24.0515,18.2788,19.2404,30666.0159140608,0
MOV,D,20181219,000000,20.203,20.203,17.49,17.5,6693.0915117053,0
MOV,D,20181220,000000,17.5,17.5,15.7774,17.1244,2849.7732094507,0
MOV,D,20181221,000000,16.3545,18.702,16.3545,18.702,2109.8992041712,0
MOV,D,20181227,000000,19.145,19.145,17.4125,17.7404,1343.8527850995,0
MOV,D,20181228,000000,17.6539,18.1824,17.1244,18.0871,1685.1007956977999,0
MOV,D,20190102,000000,18.4228,18.4228,17.3172,18.1824,379.4999999869,0
MOV,D,20190103,000000,18.1735,18.1735,17.3172,17.9808,769.0663129708,0
MOV,D,20190104,000000,17.9808,17.9808,17.3172,17.3172,1089.1750662754,0
MOV,D,20190107,000000,17.3172,17.7781,17.3172,17.7602,1031.7970821925,0
MOV,D,20190108,000000,17.7602,17.7602,17.1244,17.7404,330.1750663016,0
MOV,D,20190109,000000,17.7016,17.9808,17.3172,17.9808,543.580901838,0
MOV,D,20190110,000000,17.7602,17.9718,17.7602,17.9718,36.2387267892,0
MOV,D,20190111,000000,17.346,17.9231,17.2208,17.9231,828.4575596531,0
MOV,D,20190114,000000,17.4125,17.8457,17.346,17.8457,906.9748010297,0
MOV,D,20190115,000000,17.8655,18.1636,17.6053,18.1248,1908.5729442312,0
MOV,D,20190116,000000,18.1159,18.1824,17.798,18.1824,1197.891246643,0
MOV,D,20190117,000000,17.9897,18.2788,17.9897,18.2788,2421.9549070782,0
MOV,D,20190118,000000,18.2788,20.0113,18.2788,19.6547,8789.9045089804,0
MOV,D,20190121,000000,19.7222,20.6838,19.6547,20.4722,1954.8779840174,0
MOV,D,20190122,000000,20.2994,20.4911,19.6636,20.0113,1054.9496020856,0
MOV,D,20190123,000000,20.0113,20.2795,18.4328,20.203,3035.9999998952,0
MOV,D,20190124,000000,20.2517,21.6465,20.2517,21.3574,1869.3143235429,0
MOV,D,20190125,000000,21.1647,25.3986,21.1647,23.9551,6941.7294427312,0
MOV,D,20190128,000000,23.9363,26.1675,22.6568,24.9168,8655.0159148206,0
MOV,D,20190129,000000,24.9943,26.9374,24.0515,26.9374,11124.2824929847,0
MOV,D,20190130,000000,26.7446,27.4182,25.639,25.9757,4090.9496019808,0
MOV,D,20190131,000000,25.639,25.7343,24.0515,25.4939,5396.5503976917,0
MOV,D,20190201,000000,25.4939,25.4939,24.5323,25.0042,2883.9986736405,0
MOV,D,20190204,000000,25.0141,25.8784,25.0042,25.0042,2878.965517142,0
MOV,D,20190205,000000,24.725,25.783,24.5323,25.7731,1121.3872678658,0
MOV,D,20190206,000000,26.2162,26.2648,25.4463,26.2162,1786.7705569675,0
MOV,D,20190207,000000,26.2162,26.2162,24.5323,25.9658,1359.9588858947,0
MOV,D,20190208,000000,24.4747,25.2923,24.436,25.2923,804.2984084603,0
MOV,D,20190211,000000,25.2923,25.2923,24.4836,25.0141,860.6697612435,0
MOV,D,20190212,000000,24.436,25.6668,24.0515,25.6668,961.3328912135,0
MOV,D,20190213,000000,25.6668,25.6668,21.4249,25.1959,982.4721485072,0
