<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MQR,D,20181211,000000,12.4923,12.4923,9.45078,9.83745,39624.40792998472,0
MQR,D,20181212,000000,9.7945,9.7945,6.44374,7.04515,22286.73454294168,0
MQR,D,20181213,000000,7.25993,7.47041,7.08811,7.08811,3503.394623645056,0
MQR,D,20181214,000000,7.44894,7.66806,7.2814,7.65084,784.4821202932676,0
MQR,D,20181217,000000,7.66374,8.74202,7.66374,8.29526,8885.370262069237,0
MQR,D,20181218,000000,8.364,8.75492,7.90434,8.75492,2248.6850806381917,0
MQR,D,20181219,000000,8.59163,9.45078,8.59163,9.32194,4781.377049716364,0
MQR,D,20181220,000000,9.45078,9.45078,8.80644,9.02124,2404.6564180033,0
MQR,D,20181221,000000,9.44653,9.44653,8.76349,8.9783,328.2253662624236,0
MQR,D,20181227,000000,9.30047,9.30047,8.59163,9.01692,968.3809173357084,0
MQR,D,20181228,000000,9.01692,9.01692,8.55301,8.72054,2602.5244959596757,0
MQR,D,20190102,000000,8.89233,8.89233,8.15345,8.37258,2432.5922042935363,0
MQR,D,20190103,000000,8.36825,8.37258,7.99456,8.37258,53.54025974445772,0
MQR,D,20190104,000000,8.59163,9.01692,8.20504,8.80211,914.8407963681324,0
MQR,D,20190107,000000,8.80211,8.80211,8.44132,8.79786,328.2253662624236,0
MQR,D,20190108,000000,8.79786,8.79786,8.16209,8.50574,602.9106115572713,0
MQR,D,20190109,000000,8.50574,8.79786,7.90434,8.52289,712.3181417988676,0
MQR,D,20190110,000000,8.52289,8.52289,7.08811,7.77543,1417.647479834316,0
MQR,D,20190111,000000,8.11908,8.11908,7.75396,7.83128,83.80222412608435,0
MQR,D,20190114,000000,7.83985,7.83985,6.95924,7.66806,772.8429032234111,0
MQR,D,20190115,000000,7.66806,7.66806,6.87332,6.87332,3019.202083323976,0
MQR,D,20190116,000000,6.95924,7.74963,6.95924,7.74538,1473.519052414788,0
MQR,D,20190117,000000,7.74106,7.74963,7.74106,7.74538,51.21241633048644,0
MQR,D,20190118,000000,7.74963,7.75396,7.74963,7.75396,9.311359778196948,0
MQR,D,20190121,000000,7.75396,7.75396,7.30287,7.30287,193.21072580585277,0
MQR,D,20190122,000000,7.74963,7.74963,6.91628,7.30287,609.8938642454216,0
MQR,D,20190123,000000,7.33725,7.73248,7.30287,7.73248,370.12627016014324,0
MQR,D,20190124,000000,7.72816,7.75396,7.65949,7.75396,274.6852452948476,0
MQR,D,20190125,000000,7.75396,7.75396,7.51768,7.75396,165.276327284434,0
MQR,D,20190128,000000,7.75396,7.75396,7.43611,7.51768,521.4360920682765,0
MQR,D,20190129,000000,7.68954,7.68954,7.51768,7.51768,439.9615725792816,0
MQR,D,20190130,000000,7.56927,7.74538,7.56063,7.74538,48.884572916515154,0
MQR,D,20190131,000000,7.74538,11.0833,7.73248,8.80211,14039.08568544036,0
MQR,D,20190201,000000,9.23172,9.23172,8.59163,8.80644,775.1701915298556,0
MQR,D,20190204,000000,8.91813,8.91813,7.99024,8.32963,519.1074159930148,0
MQR,D,20190205,000000,8.32531,8.63033,7.99024,8.16209,751.8917573901427,0
MQR,D,20190206,000000,8.58738,8.67327,8.16209,8.59163,798.4486256695684,0
MQR,D,20190207,000000,8.60021,8.60021,8.16209,8.41985,1061.4946538945596,0
MQR,D,20190208,000000,8.41985,8.72054,7.95154,8.63033,6564.507325248473,0
MQR,D,20190211,000000,8.79786,8.89233,8.59163,8.74627,8799.231451585632,0
MQR,D,20190212,000000,8.74202,8.74202,7.78833,8.24799,5337.733568531844,0
MQR,D,20190213,000000,8.44557,8.59163,8.41985,8.59163,803.1045900512744,0
MQR,D,20190214,000000,8.67327,8.76349,8.63458,8.73344,344.5191599451688,0
MQR,D,20190215,000000,8.80211,8.80644,8.75917,8.80644,58.19594657240028,0
MQR,D,20190218,000000,8.80211,9.32194,8.72054,9.02124,2693.3123319809,0
MQR,D,20190219,000000,9.23605,9.23605,8.9783,9.01692,267.70060483788,0
MQR,D,20190220,000000,8.81076,8.81076,8.59596,8.77207,528.4193447564268,0
MQR,D,20190221,000000,8.84938,8.84938,8.84938,8.84938,174.5868682790288,0
MQR,D,20190222,000000,8.93535,9.01692,8.59163,8.59163,805.4318783577188,0
MQR,D,20190225,000000,8.59596,8.72054,8.37683,8.37683,260.7173521497296,0
MQR,D,20190226,000000,8.33388,9.279,8.33388,9.02124,7167.423487881012,0
MQR,D,20190227,000000,8.99977,9.88039,8.89233,9.88039,41440.1646504092,0
MQR,D,20190228,000000,10.1811,10.1811,9.51095,9.7945,2998.246774184256,0
