<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MRB,D,20081229,000000,0.966257,1.88683,0.95112,1.88683,245407.78045979174,0
MRB,D,20081230,000000,1.4532,1.75754,1.43797,1.48357,307677.8409113496,0
MRB,D,20081231,000000,1.44559,1.88683,1.44559,1.88683,253025.42211989852,0
MRB,D,20090105,000000,1.83362,1.98583,1.67387,1.74985,194134.30344839423,0
MRB,D,20090106,000000,1.68901,1.7347,1.59773,1.59773,89815.83172765962,0
MRB,D,20090107,000000,1.52165,1.74232,1.4532,1.56733,129153.2315686487,0
MRB,D,20090108,000000,1.65101,1.65101,1.59773,1.59773,37487.30210163401,0
MRB,D,20090109,000000,1.59773,1.61293,1.52165,1.58257,45931.189785253606,0
MRB,D,20090112,000000,1.59773,1.60533,1.4532,1.46081,30710.929120007015,0
MRB,D,20090113,000000,1.44559,1.44559,1.30859,1.39989,35363.329806233116,0
MRB,D,20090114,000000,1.42282,1.42282,1.22491,1.29337,53945.198418879576,0
MRB,D,20090115,000000,1.15647,1.32383,1.15647,1.15647,71779.40104941404,0
MRB,D,20090116,000000,1.263,1.263,1.18684,1.25537,27422.12326978308,0
MRB,D,20090119,000000,1.25537,1.27813,1.22491,1.22491,24114.82799805486,0
MRB,D,20090120,000000,1.25537,1.25537,1.15647,1.20977,27750.31050149845,0
MRB,D,20090121,000000,1.20977,1.25537,1.17932,1.25537,56911.59498160778,0
MRB,D,20090122,000000,1.25537,1.25537,1.24015,1.24776,39352.422495962426,0
MRB,D,20090123,000000,1.27813,1.27813,1.17932,1.25537,116551.53522406424,0
MRB,D,20090126,000000,1.28584,1.28584,1.22491,1.28584,134479.34055096237,0
MRB,D,20090127,000000,1.28584,1.3163,1.28584,1.28584,76140.59334693334,0
MRB,D,20090128,000000,1.28584,1.30859,1.25537,1.29337,148131.46715481117,0
MRB,D,20090129,000000,1.28584,1.28584,1.27069,1.28584,83205.86353957847,0
MRB,D,20090130,000000,1.30859,1.3163,1.27813,1.30859,78770.71355603785,0
MRB,D,20090202,000000,1.30859,1.30859,1.25537,1.30107,37482.67974625769,0
MRB,D,20090203,000000,1.30107,1.30107,1.24776,1.29337,39978.75164944963,0
MRB,D,20090204,000000,1.30107,1.30107,1.25537,1.30107,45489.754846818636,0
MRB,D,20090205,000000,1.30107,1.30107,1.28584,1.29337,61565.15125667822,0
MRB,D,20090206,000000,1.30107,1.3163,1.29337,1.3163,65021.51748929131,0
MRB,D,20090209,000000,1.25537,1.30859,1.25537,1.30859,22080.99163249191,0
MRB,D,20090210,000000,1.30859,1.30859,1.28584,1.29337,21268.612675110235,0
MRB,D,20090211,000000,1.29337,1.29337,1.27069,1.29337,22633.363099956754,0
MRB,D,20090212,000000,1.29337,1.30107,1.28584,1.30107,34028.6246913312,0
MRB,D,20090213,000000,1.30107,1.3619,1.263,1.33144,89944.10208935048,0
MRB,D,20090216,000000,1.33144,1.33906,1.30859,1.33144,80927.04233907307,0
MRB,D,20090217,000000,1.33144,1.33144,1.28584,1.32383,41890.095597540305,0
MRB,D,20090218,000000,1.33144,1.33144,1.3163,1.32383,27404.789437122097,0
MRB,D,20090219,000000,1.32383,1.33906,1.30107,1.33144,30193.225317863096,0
MRB,D,20090220,000000,1.33144,1.33144,1.29337,1.3163,18958.590575813825,0
MRB,D,20090223,000000,1.33144,1.33144,1.29337,1.32383,16834.61828041293,0
MRB,D,20090224,000000,1.32383,1.32383,1.29337,1.3163,14785.759259876639,0
MRB,D,20090225,000000,1.32383,1.33144,1.30107,1.3163,30762.93061798997,0
