<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MRC,D,20131121,000000,15.5793,16.4221,14.0423,14.2119,445405.48147397325,0
MRC,D,20131122,000000,14.2284,14.5044,13.8029,14.2027,69646.29926536803,0
MRC,D,20131125,000000,14.1414,14.3083,13.7681,14.2027,33399.604617091056,0
MRC,D,20131126,000000,14.0973,14.2908,14.0331,14.2468,14839.543559712443,0
MRC,D,20131127,000000,14.2908,14.2908,13.9359,14.167,12760.110128279448,0
MRC,D,20131128,000000,13.99,14.1138,13.9176,14.0973,7074.6534363593455,0
MRC,D,20131129,000000,13.8919,14.2027,13.4581,14.2027,23078.76695137878,0
MRC,D,20131202,000000,14.2027,14.2027,13.7947,13.9359,10897.67053683343,0
MRC,D,20131203,000000,13.8479,13.8479,13.4921,13.4921,23056.95852524944,0
MRC,D,20131204,000000,13.4921,13.6159,12.9427,13.315,14036.993478152566,0
MRC,D,20131205,000000,13.3059,13.7497,13.1463,13.6525,9097.384959856045,0
MRC,D,20131206,000000,13.7149,14.1587,13.404,14.1046,5669.100372323094,0
MRC,D,20131209,000000,14.0882,14.1138,13.8479,13.9809,7652.576728786974,0
MRC,D,20131210,000000,13.8029,13.8479,13.4921,13.7589,9606.611709976238,0
MRC,D,20131211,000000,13.6699,13.7589,13.4581,13.7057,6079.09878355477,0
MRC,D,20131212,000000,13.5094,13.6608,13.4489,13.6525,5445.564004497313,0
MRC,D,20131213,000000,13.5727,13.6608,13.2527,13.6608,8644.860117672148,0
MRC,D,20131216,000000,13.5819,13.99,13.315,13.9809,5573.143297353979,0
MRC,D,20131217,000000,13.9809,13.9809,13.4306,13.9359,6241.571558218387,0
MRC,D,20131218,000000,13.5361,13.9359,13.5361,13.8744,6678.830502111743,0
MRC,D,20131219,000000,13.8744,13.8744,13.4489,13.7057,2973.5789027361184,0
MRC,D,20131220,000000,13.8396,13.8396,13.2792,13.5544,21004.785626478126,0
MRC,D,20131223,000000,13.3242,13.7415,13.315,13.7057,2741.3191644586,0
MRC,D,20131227,000000,13.6883,14.0698,13.4489,14.0606,11912.852773154416,0
MRC,D,20131230,000000,13.6342,14.0423,13.6342,14.0249,6254.656613895994,0
MRC,D,20140102,000000,13.4921,14.0157,13.3334,13.7057,18877.373657560573,0
MRC,D,20140103,000000,13.6608,13.6608,13.1912,13.3865,10509.4805517311,0
MRC,D,20140107,000000,13.3508,13.3774,13.1371,13.3774,1797.014313057984,0
MRC,D,20140108,000000,13.3865,13.3957,13.1023,13.3957,1892.9713880270997,0
MRC,D,20140109,000000,13.1105,13.3591,13.0583,13.2884,2838.3666607341825,0
MRC,D,20140110,000000,13.2884,13.2884,12.7822,13.1188,6769.335470548523,0
MRC,D,20140113,000000,13.2619,13.2619,13.0133,13.1105,1456.8028654402106,0
MRC,D,20140114,000000,13.049,13.2169,12.862,13.1463,2197.1989325314553,0
MRC,D,20140115,000000,12.8712,13.2884,12.7822,13.0675,4581.950329775273,0
MRC,D,20140116,000000,12.7557,13.1188,12.7557,13.0216,4737.880576600085,0
MRC,D,20140117,000000,13.271,13.271,12.7024,13.005,4014.931250412317,0
MRC,D,20140120,000000,12.7648,13.2527,12.7648,13.1371,2709.6969465710504,0
MRC,D,20140121,000000,13.1371,13.2252,12.8262,13.1279,1098.054255612494,0
MRC,D,20140122,000000,13.1371,13.1371,12.862,13.1188,2554.8571210527043,0
MRC,D,20140123,000000,13.049,13.1105,12.6951,13.049,6104.178473603517,0
MRC,D,20140124,000000,12.6951,13.0848,12.596,13.049,3350.8646747737776,0
MRC,D,20140127,000000,13.049,13.049,12.4355,13.0216,1207.0963862592162,0
MRC,D,20140128,000000,13.0216,13.0216,12.4805,12.9867,1786.110099993312,0
MRC,D,20140129,000000,12.9867,13.005,12.6052,12.9427,2138.316181982225,0
MRC,D,20140130,000000,12.9427,12.9427,12.6492,12.9427,316.22217887549476,0
MRC,D,20140131,000000,12.9427,13.271,12.5612,13.271,5403.0375735450925,0
MRC,D,20140203,000000,13.271,13.271,13.0931,13.1023,2097.9705936429377,0
MRC,D,20140204,000000,13.2619,13.2619,12.8895,13.2169,631.3539364445223,0
MRC,D,20140205,000000,13.2169,13.2252,13.005,13.2252,858.1615681897048,0
MRC,D,20140206,000000,13.2169,13.2252,12.6951,13.1637,7071.382172439944,0
MRC,D,20140207,000000,12.8712,13.1637,12.7107,13.1463,6252.47577128306,0
MRC,D,20140210,000000,12.7822,13.2252,12.7822,13.2252,5977.689602053319,0
MRC,D,20140211,000000,13.1371,13.9084,13.1371,13.3059,31086.821026074074,0
MRC,D,20140212,000000,13.5819,13.8029,13.315,13.625,6241.571558218387,0
MRC,D,20140213,000000,13.625,13.6608,13.3591,13.5269,4692.082881728463,0
MRC,D,20140214,000000,13.6608,13.6608,13.315,13.5819,11368.732541227271,0
MRC,D,20140217,000000,13.315,13.5636,13.2344,13.4489,2370.5759202597437,0
MRC,D,20140218,000000,13.1371,13.3591,13.0307,13.315,2888.5260408316744,0
MRC,D,20140219,000000,13.271,13.315,13.182,13.315,517.9501205719312,0
MRC,D,20140220,000000,13.315,13.315,12.6052,13.049,5171.868256574041,0
MRC,D,20140221,000000,12.8005,13.1371,12.8005,13.1279,2756.585062749141,0
MRC,D,20140224,000000,13.1371,13.4214,12.9152,13.271,3659.453904504002,0
MRC,D,20140225,000000,13.315,13.404,12.8895,13.404,9883.578721818913,0
MRC,D,20140226,000000,13.3957,13.3957,12.6135,13.005,20207.687651450582,0
MRC,D,20140227,000000,12.9592,13.0931,12.0275,12.862,10966.367079140866,0
MRC,D,20140228,000000,12.862,12.9518,12.5612,12.8088,6373.512536300921,0
MRC,D,20140303,000000,12.4182,12.4182,11.5396,12.3833,12010.990690736466,0
MRC,D,20140304,000000,12.3833,12.3833,11.9843,12.2503,1427.3614901655956,0
MRC,D,20140305,000000,12.2503,12.2503,11.6285,11.6285,11319.663582436246,0
MRC,D,20140306,000000,11.5488,11.6203,10.9178,11.6203,13860.345226504876,0
MRC,D,20140307,000000,11.6285,11.8954,11.0691,11.3626,89124.49506279203,0
MRC,D,20140310,000000,11.3626,11.6029,11.0966,11.4598,5211.12342360686,0
MRC,D,20140311,000000,11.4506,11.4964,11.1846,11.4873,727.311011413638,0
MRC,D,20140312,000000,11.4415,11.4415,10.927,11.3167,17195.944002988115,0
MRC,D,20140313,000000,11.4415,11.4415,10.9013,11.3003,582.2849776534973,0
MRC,D,20140314,000000,11.0966,11.2727,10.2079,10.9976,34494.38760878415,0
MRC,D,20140317,000000,10.6518,11.4066,10.6518,11.4066,2839.4570820406498,0
MRC,D,20140318,000000,11.3167,11.3626,10.6968,11.3626,3772.857720376593,0
MRC,D,20140319,000000,11.3626,11.3626,10.8389,11.2727,5888.275054923007,0
MRC,D,20140320,000000,11.3626,11.9395,11.1846,11.8505,19834.763564638793,0
MRC,D,20140321,000000,11.6725,12.2053,11.4964,11.9843,8426.775856378703,0
MRC,D,20140324,000000,11.9843,11.9843,11.1058,11.8954,3483.896074162779,0
MRC,D,20140325,000000,11.8954,11.8954,11.2727,11.7707,256.2490070197975,0
MRC,D,20140326,000000,11.7707,11.7707,11.4506,11.7707,956.2994857717549,0
MRC,D,20140327,000000,11.8065,11.9752,11.469,11.7523,31376.873093594353,0
MRC,D,20140328,000000,11.8505,11.8505,11.1846,11.7615,4741.151840519487,0
