<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MVP,D,20080619,000000,2.98016,13.525,2.98016,3.66774,12944.71562469466,0
MVP,D,20080620,000000,3.66774,4.03453,3.39295,3.50746,57492.4666418437,0
MVP,D,20080623,000000,3.43864,3.43864,3.20963,3.43406,9882.699037626711,0
MVP,D,20080624,000000,3.55078,3.55078,3.26659,3.43864,5577.244497873763,0
MVP,D,20080625,000000,3.43864,3.43864,3.32384,3.32384,8245.033199834197,0
MVP,D,20080626,000000,3.2437,3.36991,3.20963,3.36991,1811.8281568982304,0
MVP,D,20080627,000000,3.23236,3.62663,3.23236,3.55331,670.9974619809393,0
MVP,D,20080630,000000,3.62196,3.98194,3.50746,3.66552,754.7033827914388,0
MVP,D,20080701,000000,3.89469,3.89469,3.55331,3.66552,226.81604348651467,0
MVP,D,20080702,000000,3.66774,3.66774,3.645,3.645,12.150859472491858,0
MVP,D,20080703,000000,3.66774,3.66774,3.66774,3.66774,2.70019099388708,0
MVP,D,20080704,000000,3.48442,3.48442,3.48442,3.48442,907.2641739460587,0
MVP,D,20080707,000000,3.58529,3.58529,3.46605,3.46605,116.10821273714443,0
MVP,D,20080708,000000,3.46605,3.46605,3.45219,3.45219,8.100572981661239,0
MVP,D,20080709,000000,3.46161,3.61049,3.46161,3.61049,79.65563431966885,0
MVP,D,20080710,000000,3.62196,3.62196,3.43864,3.48442,10850.71750893523,0
MVP,D,20080711,000000,3.48908,3.48908,3.33547,3.43864,448.23170498525525,0
MVP,D,20080714,000000,3.47768,3.47768,3.35828,3.47768,4462.065617398399,0
MVP,D,20080715,000000,3.47768,3.48442,3.47768,3.48442,2014.3424814397613,0
MVP,D,20080716,000000,3.52575,3.52575,3.36991,3.48442,197.1139425537568,0
MVP,D,20080717,000000,3.52338,3.52338,3.51427,3.51427,8.100572981661239,0
MVP,D,20080718,000000,3.52575,3.52575,3.36746,3.52575,226.81604348651467,0
MVP,D,20080721,000000,3.50271,3.50271,3.50271,3.50271,8.100572981661239,0
MVP,D,20080722,000000,3.52575,3.52575,3.52575,3.52575,8.100572981661239,0
MVP,D,20080723,000000,3.66774,3.66774,3.55078,3.55078,8.100572981661239,0
MVP,D,20080724,000000,3.52575,3.52575,3.52575,3.52575,8.100572981661239,0
MVP,D,20080725,000000,3.35828,3.35828,3.35828,3.35828,8.100572981661239,0
MVP,D,20080728,000000,3.35828,3.35828,3.35828,3.35828,2.70019099388708,0
MVP,D,20080729,000000,3.35828,3.35828,3.35828,3.35828,43.20305590219328,0
MVP,D,20080730,000000,3.34688,3.34688,3.32384,3.32384,402.3284580891749,0
MVP,D,20080731,000000,3.30103,3.30103,3.16348,3.16348,3205.126709743963,0
MVP,D,20080801,000000,3.14044,3.43864,3.14044,3.43864,4962.951046764451,0
MVP,D,20080804,000000,3.66774,3.66774,3.65634,3.65634,892.4131234796797,0
MVP,D,20080805,000000,3.47302,3.47302,3.47302,3.47302,2.70019099388708,0
MVP,D,20080806,000000,3.49575,3.49575,3.49575,3.49575,2.70019099388708,0
MVP,D,20080807,000000,3.49575,3.49575,3.49575,3.49575,2.70019099388708,0
MVP,D,20080808,000000,3.48442,3.48442,3.48442,3.48442,2.70019099388708,0
MVP,D,20080811,000000,3.48442,3.48442,3.48442,3.48442,2.70019099388708,0
MVP,D,20080812,000000,3.4936,3.4936,3.4936,3.4936,2.70019099388708,0
MVP,D,20080813,000000,3.4936,3.4936,3.4936,3.4936,2.70019099388708,0
MVP,D,20080814,000000,3.4936,3.4936,3.4936,3.4936,8.100572981661239,0
