<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NTT,D,20070412,000000,14.6349,14.7345,12.295,12.566,3120558.25556987,0
NTT,D,20070413,000000,13.0592,13.4769,12.566,12.591,734413.4868758636,0
NTT,D,20070416,000000,12.7873,12.7873,12.3439,12.4425,198617.34604271376,0
NTT,D,20070417,000000,12.4425,12.4425,12.0498,12.1225,155244.4551237475,0
NTT,D,20070418,000000,12.0231,12.0231,11.3592,11.6073,267684.272277385,0
NTT,D,20070419,000000,11.3343,11.6791,11.2109,11.5805,85493.37484370585,0
NTT,D,20070420,000000,11.5566,11.8027,11.3104,11.3343,87736.00479834319,0
NTT,D,20070423,000000,11.5307,11.5307,10.6696,10.7683,162151.2602725557,0
NTT,D,20070424,000000,10.7185,10.7931,10.275,10.6207,103258.87495600403,0
NTT,D,20070425,000000,10.7185,11.0144,10.571,10.9647,45079.90027230021,0
NTT,D,20070426,000000,10.9647,11.8027,10.9647,11.6285,154528.7939841851,0
NTT,D,20070427,000000,11.8276,12.0498,11.3592,11.6285,62436.933413437,0
NTT,D,20070430,000000,11.6543,11.8027,11.4081,11.5307,30783.55628149655,0
NTT,D,20070502,000000,11.5805,11.7281,11.481,11.7281,21431.57557251822,0
NTT,D,20070504,000000,11.7281,11.7281,11.5307,11.6543,18195.34689738667,0
NTT,D,20070507,000000,11.704,11.704,11.3592,11.481,27416.798216129308,0
NTT,D,20070508,000000,11.3833,11.481,11.0385,11.0881,44208.954168492426,0
NTT,D,20070509,000000,11.0881,11.2847,11.0385,11.2847,29713.440332244558,0
NTT,D,20070510,000000,11.3343,11.3343,11.0385,11.0385,27195.123303403234,0
NTT,D,20070511,000000,10.8162,10.9647,10.5941,10.9399,34764.702683657786,0
NTT,D,20070514,000000,11.1122,11.4579,10.9158,11.3343,60397.97431770045,0
NTT,D,20070515,000000,11.3592,11.3592,11.1122,11.2109,32693.111240362312,0
NTT,D,20070516,000000,11.1859,11.1859,10.9647,11.0881,43446.03238763642,0
NTT,D,20070517,000000,11.0881,11.1122,10.7931,10.8411,40150.1652842085,0
NTT,D,20070518,000000,10.7425,10.8411,10.5941,10.8411,30973.724100028605,0
NTT,D,20070521,000000,11.0144,11.0144,10.6696,10.7185,39057.54426767363,0
NTT,D,20070522,000000,10.8411,10.8411,10.6207,10.7931,27367.28706810999,0
NTT,D,20070523,000000,10.8411,11.5307,10.8411,11.2109,93747.10826932883,0
NTT,D,20070524,000000,11.3104,11.4579,10.8411,11.3343,58702.217498011494,0
NTT,D,20070525,000000,11.0881,11.6073,11.0633,11.5566,82461.94228083898,0
NTT,D,20070528,000000,12.1954,12.566,12.0737,12.2221,144956.2636158486,0
NTT,D,20070529,000000,12.271,12.9358,12.0231,12.7384,292664.8969602573,0
NTT,D,20070530,000000,12.6887,13.1828,12.3198,12.566,142012.60081537638,0
NTT,D,20070531,000000,12.6887,13.0592,12.6407,12.7624,74509.77675679253,0
NTT,D,20070601,000000,12.8121,12.8121,12.1225,12.3198,42613.344898208015,0
NTT,D,20070604,000000,12.2462,12.295,11.9511,12,50177.2980116421,0
NTT,D,20070605,000000,12,12.1954,11.6285,11.7529,34450.75699507643,0
NTT,D,20070606,000000,11.704,12.0737,11.704,12,42409.67403930623,0
NTT,D,20070608,000000,12,12,11.7281,11.9022,17106.10164094346,0
NTT,D,20070611,000000,12.0737,12.2462,11.9253,12.0737,35763.92767097248,0
NTT,D,20070612,000000,12.0737,12.0737,11.8764,11.975,24365.111092709343,0
NTT,D,20070613,000000,11.9511,12,11.8027,11.9511,19877.60067670589,0
NTT,D,20070614,000000,12.0498,12.1954,11.9511,12.1724,43851.12359871018,0
NTT,D,20070615,000000,12.0737,12.1724,11.8516,12.1724,40465.236226154775,0
NTT,D,20070618,000000,12.1225,12.1724,11.9511,12.0737,20666.403284935444,0
NTT,D,20070619,000000,12.0737,12.1724,11.9022,12.1466,35336.331392617845,0
NTT,D,20070620,000000,12.1724,13.0592,12.1724,12.8121,232345.69037804037,0
NTT,D,20070621,000000,12.566,12.9358,12.566,12.6887,50342.71025616349,0
NTT,D,20070622,000000,12.7873,12.8629,12.591,12.7873,56997.45865141039,0
NTT,D,20070625,000000,12.7624,12.8629,12.3439,12.7873,52724.871627949666,0
NTT,D,20070626,000000,12.6887,12.9099,12.6887,12.8121,39338.85760869707,0
NTT,D,20070627,000000,12.7384,13.4769,12.7384,13.1828,210756.57933455813,0
NTT,D,20070628,000000,13.4031,13.4769,13.0592,13.2556,63257.24311586159,0
NTT,D,20070629,000000,13.3054,13.3054,12.7384,12.9358,24748.822489864117,0
NTT,D,20070702,000000,12.6158,12.8869,12.3198,12.7873,31674.75694585742,0
NTT,D,20070703,000000,12.8121,12.8629,12.4425,12.566,44303.475451075494,0
NTT,D,20070704,000000,12.4425,12.7624,12.4425,12.7144,32258.76344182231,0
NTT,D,20070705,000000,12.6887,12.7873,12.566,12.6887,21017.482334532306,0
NTT,D,20070706,000000,12.6887,12.7873,12.591,12.591,16490.58805078557,0
NTT,D,20070709,000000,12.6887,12.8869,12.6887,12.8362,28623.069822437457,0
NTT,D,20070710,000000,12.8362,12.9358,12.6158,12.7384,19595.162082317533,0
NTT,D,20070711,000000,12.6407,12.7384,12.566,12.6407,31476.71235377813,0
NTT,D,20070712,000000,12.7624,12.7624,12.4923,12.6407,17800.38296658893,0
NTT,D,20070713,000000,12.7873,12.7873,12.5181,12.6158,14096.048891994564,0
NTT,D,20070716,000000,12.6646,12.6887,12.0737,12.4425,40242.43606006379,0
NTT,D,20070717,000000,12.4425,12.6646,12.1225,12.6646,25715.415129620895,0
NTT,D,20070718,000000,12.6646,12.6646,12.4673,12.566,7166.738675909279,0
NTT,D,20070719,000000,13.3054,13.3054,12.6887,12.6887,15381.088233789282,0
NTT,D,20070720,000000,12.8121,12.8121,12.6158,12.6887,11349.30543024382,0
NTT,D,20070723,000000,12.7624,12.8121,12.566,12.6158,17729.492004652642,0
NTT,D,20070724,000000,12.6158,12.6887,12.4673,12.591,17041.96219919052,0
NTT,D,20070725,000000,12.3439,12.5181,11.9511,12.3928,22726.74219458897,0
NTT,D,20070726,000000,12.3928,12.3928,11.8764,12.0737,15229.179029636618,0
NTT,D,20070727,000000,11.704,12.1466,11.6073,12.0737,23014.807055797795,0
NTT,D,20070730,000000,12.2462,12.3198,11.5805,12.0737,6988.94864438256,0
NTT,D,20070731,000000,12.1225,12.4194,11.8764,12.295,11081.495129590103,0
NTT,D,20070801,000000,12.271,12.271,11.8276,12.0498,8491.161885446978,0
NTT,D,20070802,000000,12.2462,12.2462,11.6073,11.8764,14928.736381423978,0
NTT,D,20070803,000000,12.0737,12.0737,11.0881,11.3592,25495.990723622603,0
NTT,D,20070806,000000,11.3343,11.3343,10.7425,10.9647,8069.191873912003,0
NTT,D,20070807,000000,11.6791,11.6791,11.2606,11.3343,4005.9019761716095,0
NTT,D,20070808,000000,11.5805,11.6791,11.3833,11.5805,20675.405311847586,0
NTT,D,20070809,000000,11.704,11.8027,10.8411,11.162,32888.90532571484,0
NTT,D,20070810,000000,10.8411,11.0881,10.348,10.6937,20110.5281230729,0
NTT,D,20070813,000000,10.348,10.5941,10.0288,10.2503,45112.53261985914,0
NTT,D,20070814,000000,10.2503,11.0385,9.65916,10.7931,56132.138814422055,0
NTT,D,20070816,000000,10.5462,10.5462,9.38811,9.87953,47917.78925654235,0
NTT,D,20070817,000000,9.85645,10.3247,9.85645,10.1026,51228.284653704904,0
NTT,D,20070820,000000,10.6207,10.7931,10.1266,10.4723,10784.42824146812,0
NTT,D,20070821,000000,10.2253,10.5462,9.97902,10.4723,5058.013871598708,0
NTT,D,20070822,000000,10.571,10.8411,10.2253,10.5462,16502.965837790398,0
NTT,D,20070823,000000,10.8411,10.8411,10.4723,10.6439,10333.201642467722,0
NTT,D,20070824,000000,10.4475,10.571,10.1515,10.5462,10722.539306442963,0
NTT,D,20070827,000000,10.4723,10.6937,10.3728,10.5462,11273.913454848926,0
NTT,D,20070828,000000,10.5462,10.5462,10.2503,10.348,8791.604533659818,0
NTT,D,20070829,000000,9.85645,10.2253,9.75871,10.2253,22285.642875864603,0
NTT,D,20070830,000000,10.4723,10.6207,10.1026,10.1026,16202.523189576745,0
NTT,D,20070831,000000,10.5213,10.5213,10.275,10.2991,4849.841999241456,0
NTT,D,20070903,000000,10.571,10.571,10.2991,10.4475,16618.86693429145,0
NTT,D,20070904,000000,10.4475,10.5213,10.348,10.348,14057.790277616186,0
NTT,D,20070905,000000,10.348,10.5213,10.0032,10.2253,9687.30621147798,0
NTT,D,20070906,000000,10.2991,10.2991,9.92942,10.0528,14083.67110499075,0
NTT,D,20070907,000000,10.0528,10.2253,9.61028,9.90537,15763.67437758016,0
NTT,D,20070910,000000,9.61028,9.83071,9.41299,9.75871,9394.740336813795,0
NTT,D,20070911,000000,9.90537,9.90537,9.33834,9.708,15636.520747439185,0
NTT,D,20070912,000000,9.708,9.90537,9.46187,9.68313,4074.542431381332,0
NTT,D,20070913,000000,9.78096,9.78096,9.48497,9.75871,8560.927594020692,0
NTT,D,20070914,000000,9.78096,9.85645,9.36322,9.708,21119.880390663624,0
NTT,D,20070917,000000,9.80758,9.80758,9.48497,9.708,3543.4228435293603,0
NTT,D,20070918,000000,9.708,9.90537,9.48497,9.90537,30541.62680821638,0
NTT,D,20070919,000000,10.3247,10.3247,9.95506,10.1026,44711.94242224195,0
NTT,D,20070920,000000,10.1026,10.2004,9.87953,9.97902,18413.646050020056,0
NTT,D,20070921,000000,9.97902,10.0777,9.87953,9.97902,2903.1536793602904,0
NTT,D,20070924,000000,10.1026,10.1026,9.90537,9.97902,4974.745122655868,0
NTT,D,20070925,000000,9.92942,10.0777,9.732,9.92942,876.5723706285662,0
NTT,D,20070926,000000,9.708,10.0777,9.708,9.92942,3499.537962329702,0
NTT,D,20070927,000000,10.0528,10.0528,9.708,9.87953,9968.619552501228,0
NTT,D,20070928,000000,10.0288,10.0288,9.58541,9.80758,3883.2493594854864,0
NTT,D,20071001,000000,9.95506,9.95506,9.63343,9.80758,6521.968498283935,0
NTT,D,20071002,000000,9.80758,9.90537,9.63343,9.80758,6649.122128426434,0
NTT,D,20071003,000000,9.708,10.1515,9.708,10.1515,28215.72810463591,0
NTT,D,20071004,000000,10.0032,10.2253,9.85645,10.1026,13689.832427557918,0
NTT,D,20071005,000000,10.4723,10.7683,10.1026,10.2503,26364.686320702614,0
