<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NTU,D,20180321,000000,27.8821,29.3737,26.5368,29.0326,24415.037594046,0
NTU,D,20180322,000000,29.0326,29.8472,28.5019,28.5019,9547.3684210765,0
NTU,D,20180323,000000,28.5272,28.5272,25.9995,27.5476,1998.4962406065,0
NTU,D,20180326,000000,27.4844,28.7479,27.4844,28.059,2684.2105263225,0
NTU,D,20180327,000000,28.5524,28.5524,28.1794,28.4261,12.030075188,0
NTU,D,20180328,000000,28.4261,28.4261,27.6108,28.1794,434.5864661665,0
NTU,D,20180329,000000,27.7684,27.7684,27.7624,27.7684,396.992481204,0
NTU,D,20180403,000000,27.7371,27.8063,27.7371,27.8063,3282.7067669255,0
NTU,D,20180404,000000,27.8382,28.2678,27.8382,28.2678,8299.2481203215,0
NTU,D,20180405,000000,27.9014,28.3622,27.9014,28.0085,320.3007518805,0
NTU,D,20180406,000000,28.0025,28.3057,27.7371,27.7371,3917.2932330925,0
NTU,D,20180409,000000,27.4844,27.9898,27.2949,27.2949,421.05263157999997,0
NTU,D,20180410,000000,27.3581,28.1667,27.3581,28.1667,466.16541353499997,0
NTU,D,20180411,000000,28.1727,28.2106,28.1727,28.2106,209.0225563915,0
NTU,D,20180412,000000,28.2612,28.2678,28.1162,28.1162,1088.721804514,0
NTU,D,20180413,000000,27.9898,27.9958,27.9898,27.9898,3803.0075188065,0
NTU,D,20180416,000000,28.4261,28.464,28.3057,28.3057,7872.1804511475,0
NTU,D,20180418,000000,28.1667,28.6788,28.1601,28.6788,266.1654135345,0
NTU,D,20180420,000000,28.4321,28.47,28.4321,28.47,1509.774436094,0
NTU,D,20180424,000000,28.4447,28.5079,28.4321,28.4321,2412.030075194,0
NTU,D,20180426,000000,28.0025,28.0404,27.7371,28.0404,15542.857142896,0
NTU,D,20180427,000000,27.8003,27.8003,27.8003,27.8003,1.5037593985,0
NTU,D,20180430,000000,27.4971,28.2233,27.4971,28.2233,96.240601504,0
NTU,D,20180504,000000,28.0716,28.0716,28.0716,28.0716,1108.2706766945,0
NTU,D,20180507,000000,28.0716,28.0716,28.0716,28.0716,1812.0300751925,0
NTU,D,20180508,000000,28.0716,28.0716,27.6108,27.6108,18227.0676692185,0
NTU,D,20180509,000000,28.3689,28.7479,28.1162,28.4321,5738.345864676,0
NTU,D,20180510,000000,28.1162,28.1162,27.8003,27.8003,5257.142857156,0
NTU,D,20180511,000000,28.4321,28.4321,27.8003,27.9327,42759.3984963475,0
NTU,D,20180514,000000,27.9327,28.0337,27.8003,27.8003,12974.436090258,0
NTU,D,20180515,000000,26.9159,28.4321,26.9159,28.4321,35515.789473773,0
NTU,D,20180516,000000,28.059,29.778,28.059,29.6011,29652.631579021498,0
NTU,D,20180517,000000,28.4952,28.4952,28.47,28.47,1590.9774436129999,0
NTU,D,20180518,000000,28.4826,29.3671,28.4826,29.3671,10.5263157895,0
NTU,D,20180521,000000,28.5019,29.1842,28.5019,29.1842,378.947368422,0
NTU,D,20180522,000000,28.5584,29.0452,28.4321,28.47,4756.3909774554995,0
NTU,D,20180523,000000,28.47,28.4766,28.47,28.4766,25.5639097745,0
NTU,D,20180524,000000,28.7479,29.1902,28.7479,29.0638,1708.270676696,0
NTU,D,20180525,000000,29.0638,29.6011,29.0638,29.6011,478.195488723,0
NTU,D,20180528,000000,29.6011,29.8219,29.4116,29.4116,2882.7067669245,0
NTU,D,20180529,000000,29.4116,29.4116,29.0957,29.0957,51.127819549,0
NTU,D,20180530,000000,29.1017,29.1017,29.1017,29.1017,28.5714285715,0
NTU,D,20180601,000000,29.0957,29.0957,28.8743,28.8743,1171.4285714315,0
NTU,D,20180604,000000,28.8809,29.6956,28.7479,29.6956,3306.7669173014997,0
NTU,D,20180605,000000,29.3797,29.3797,28.5903,28.7479,8571.42857145,0
NTU,D,20180606,000000,28.8364,28.8364,28.8364,28.8364,63.157894737,0
NTU,D,20180607,000000,29.0638,29.4116,29.0638,29.4116,443.6090225575,0
NTU,D,20180611,000000,29.0638,29.405,29.0638,29.405,532.330827069,0
NTU,D,20180613,000000,29.127,29.127,29.127,29.127,64.6616541355,0
NTU,D,20180614,000000,29.127,29.127,29.127,29.127,269.17293233149996,0
NTU,D,20180615,000000,29.127,29.405,28.8111,29.405,860.150375942,0
NTU,D,20180619,000000,29.0638,29.0638,28.8809,28.8809,538.3458646629999,0
NTU,D,20180626,000000,29.3737,29.9483,29.3737,29.4429,5400.0000000135,0
NTU,D,20180627,000000,29.4429,30.201,29.4429,30.201,1386.466165417,0
NTU,D,20180628,000000,29.6956,30.201,29.6956,30.201,577.443609024,0
NTU,D,20180629,000000,30.2961,30.3273,30.2961,30.3273,491.7293233095,0
NTU,D,20180702,000000,30.3273,30.8959,30.3273,30.8327,1630.0751879739998,0
NTU,D,20180703,000000,30.8959,32.2232,30.8959,32.2232,3335.338345873,0
NTU,D,20180704,000000,32.7918,32.7918,32.7918,32.7918,297.744360903,0
NTU,D,20180705,000000,32.7918,32.7918,31.5915,31.9074,1087.2180451155,0
NTU,D,20180706,000000,31.781,31.781,31.781,31.781,33.082706767,0
NTU,D,20180709,000000,31.5915,31.5915,31.5915,31.5915,82.70676691749999,0
NTU,D,20180710,000000,31.5915,31.5915,30.574,31.2756,198.496240602,0
NTU,D,20180711,000000,31.2756,31.2756,31.2756,31.2756,36.090225564,0
NTU,D,20180712,000000,31.5283,32.7286,31.5283,32.7286,927.8195488745,0
NTU,D,20180713,000000,32.7918,34.1185,32.7918,33.929,4171.428571439,0
NTU,D,20180716,000000,33.4867,34.7502,33.4867,34.6871,2541.3533834649998,0
NTU,D,20180717,000000,34.7502,35.382,33.8026,34.1185,1118.796992484,0
NTU,D,20180718,000000,35.382,35.382,33.6131,33.8026,748.8721804529999,0
NTU,D,20180719,000000,34.7502,34.7502,34.1251,34.1251,87.218045113,0
NTU,D,20180720,000000,35.382,35.382,35.1293,35.1293,115.7894736845,0
NTU,D,20180723,000000,35.1612,35.3507,35.1612,35.3507,166.9172932335,0
NTU,D,20180724,000000,34.1185,35.382,34.1185,34.7502,508.270676693,0
NTU,D,20180725,000000,33.8026,33.8026,32.855,32.855,1076.6917293259999,0
NTU,D,20180726,000000,33.9921,33.9921,32.4946,32.4946,1541.3533834625,0
NTU,D,20180727,000000,32.855,32.855,32.2864,32.5391,514.285714287,0
NTU,D,20180730,000000,31.5915,33.1709,31.3009,33.1709,1172.93233083,0
NTU,D,20180731,000000,33.1709,33.1709,33.1709,33.1709,30.075187969999998,0
NTU,D,20180801,000000,33.1709,33.1709,33.1709,33.1709,3.007518797,0
NTU,D,20180802,000000,33.1709,33.1709,30.3273,31.5283,2490.225563916,0
NTU,D,20180803,000000,30.7064,31.2756,30.7064,31.2756,416.5413533845,0
NTU,D,20180806,000000,30.9591,31.5915,30.6432,31.5915,861.6541353404999,0
NTU,D,20180807,000000,31.5217,31.5848,30.8394,30.8394,705.2631578964999,0
NTU,D,20180808,000000,31.5848,31.5915,30.9591,31.5848,1260.150375943,0
NTU,D,20180809,000000,31.5915,31.5915,30.9591,31.5915,458.6466165425,0
NTU,D,20180810,000000,31.6041,32.7286,31.5915,31.5915,1240.6015037625,0
NTU,D,20180813,000000,31.0222,31.0222,30.997,30.997,672.1804511294999,0
NTU,D,20180814,000000,31.9074,31.9074,31.9074,31.9074,1.5037593985,0
NTU,D,20180816,000000,31.8754,31.8754,30.4537,31.781,1273.6842105295,0
NTU,D,20180817,000000,31.5915,31.6547,30.6119,31.0854,1524.812030079,0
NTU,D,20180820,000000,31.5915,31.5915,31.5915,31.5915,688.7218045129999,0
NTU,D,20180821,000000,31.5915,31.5915,31.0854,31.0854,4439.097744372,0
NTU,D,20180822,000000,30.4603,30.9591,30.4603,30.9591,1945.864661659,0
NTU,D,20180823,000000,30.9591,30.9591,30.9591,30.9591,270.67669173,0
NTU,D,20180824,000000,30.9591,31.5915,30.713,31.5915,303.759398497,0
NTU,D,20180827,000000,31.5789,31.5789,30.7695,30.7695,40.6015037595,0
NTU,D,20180828,000000,30.8959,30.8959,27.9267,29.1968,10040.601503784499,0
NTU,D,20180829,000000,29.1902,29.1902,28.4321,28.9062,11930.827067699,0
NTU,D,20180830,000000,28.9062,29.6956,28.9062,29.6956,616.541353385,0
NTU,D,20180831,000000,29.0705,29.6324,29.0705,29.1396,221.0526315795,0
NTU,D,20180903,000000,29.1396,29.6956,29.1396,29.6956,410.5263157905,0
NTU,D,20180904,000000,29.6956,30.3273,29.6956,29.6956,1342.8571428605,0
NTU,D,20180906,000000,29.6956,30.3273,29.6956,30.3273,2806.015037601,0
NTU,D,20180907,000000,29.8538,30.4537,29.8538,30.4537,1630.0751879739998,0
NTU,D,20180910,000000,29.8917,31.5915,29.8917,31.5915,418.045112783,0
NTU,D,20180912,000000,31.5596,31.5596,31.5596,31.5596,6.015037594,0
NTU,D,20180913,000000,30.9657,31.1932,30.9591,31.1932,824.060150378,0
NTU,D,20180914,000000,31.1865,31.1865,31.1865,31.1865,219.548872181,0
NTU,D,20180917,000000,31.5536,31.5536,31.2184,31.2184,132.330827068,0
NTU,D,20180918,000000,31.2816,31.2816,31.1865,31.1865,1293.23308271,0
NTU,D,20180920,000000,31.1486,31.1486,31.1486,31.1486,222.556390978,0
NTU,D,20180925,000000,29.8665,29.8851,29.1396,29.8219,3455.639097753,0
NTU,D,20180926,000000,29.8851,29.9483,29.6956,29.9483,684.2105263175,0
NTU,D,20180927,000000,29.8851,29.8851,29.8851,29.8851,18.045112782,0
NTU,D,20181001,000000,29.8851,29.8851,29.4622,29.4622,389.4736842115,0
NTU,D,20181003,000000,29.5127,29.5127,29.5127,29.5127,21.052631579,0
NTU,D,20181004,000000,29.5127,29.5127,29.506,29.506,33.082706767,0
NTU,D,20181008,000000,30.5168,30.5168,29.0638,29.0638,1129.3233082735,0
NTU,D,20181009,000000,29.0006,29.0006,28.7479,28.7479,34.5864661655,0
NTU,D,20181010,000000,28.4321,28.4321,28.0716,28.3689,920.300751882,0
NTU,D,20181011,000000,27.93,27.93,27.265,27.265,7224.060150394,0
NTU,D,20181012,000000,27.265,29.26,27.265,27.8967,70.67669172949999,0
NTU,D,20181015,000000,29.26,29.26,29.26,29.26,1.5037593985,0
NTU,D,20181018,000000,29.26,29.26,29.26,29.26,12.030075188,0
NTU,D,20181022,000000,29.26,29.26,28.329,28.329,67.6691729325,0
NTU,D,20181024,000000,28.2824,28.2824,28.2824,28.2824,39.097744361,0
NTU,D,20181025,000000,28.2159,28.2159,27.3448,27.3448,451.12781954999997,0
NTU,D,20181029,000000,27.4645,27.4645,27.4645,27.4645,33.082706767,0
NTU,D,20181102,000000,27.3448,27.3448,27.3448,27.3448,24.060150376,0
NTU,D,20181105,000000,27.3315,27.3315,27.3315,27.3315,24.060150376,0
NTU,D,20181107,000000,27.398,27.398,25.2766,25.4695,13630.075188003999,0
NTU,D,20181108,000000,25.5027,25.5027,25.27,25.27,621.0526315805,0
NTU,D,20181109,000000,24.9375,24.9375,24.605,24.605,4639.0977443725,0
NTU,D,20181114,000000,24.7047,24.7047,24.7047,24.7047,162.406015038,0
NTU,D,20181116,000000,24.605,24.7047,24.605,24.605,547.368421054,0
NTU,D,20181119,000000,24.605,24.605,23.9533,23.9599,7009.022556408499,0
NTU,D,20181120,000000,23.94,23.94,23.94,23.94,3025.563909782,0
NTU,D,20181121,000000,23.94,23.94,23.94,23.94,9.022556391,0
NTU,D,20181122,000000,23.4479,23.4479,23.275,23.275,1481.2030075225,0
NTU,D,20181128,000000,22.61,23.275,22.61,23.275,16.5413533835,0
NTU,D,20181129,000000,22.4903,22.4903,21.5393,21.812,16527.8195489135,0
NTU,D,20181203,000000,22.61,22.9425,22.61,22.9425,16.5413533835,0
NTU,D,20181204,000000,21.945,22.9425,21.8585,22.9425,920.300751882,0
NTU,D,20181206,000000,22.2775,22.2775,22.2775,22.2775,30.075187969999998,0
NTU,D,20181217,000000,22.9425,24.0198,22.876,22.876,669.1729323325,0
NTU,D,20181219,000000,22.078,22.078,22.078,22.078,9.022556391,0
NTU,D,20181220,000000,22.078,22.078,22.078,22.078,159.398496241,0
NTU,D,20181221,000000,22.078,22.078,22.078,22.078,88.7218045115,0
NTU,D,20181227,000000,22.078,22.078,22.078,22.078,3.007518797,0
NTU,D,20190104,000000,23.009,23.009,23.009,23.009,63.157894737,0
NTU,D,20190108,000000,23.142,23.142,23.142,23.142,13.5338345865,0
NTU,D,20190111,000000,23.142,23.142,23.142,23.142,16.5413533835,0
NTU,D,20190115,000000,23.142,23.1486,22.7097,22.7097,8751.879699269999,0
NTU,D,20190116,000000,22.0447,23.142,22.0447,23.142,64.6616541355,0
NTU,D,20190117,000000,23.142,23.142,22.6166,22.6166,1201.5037594015,0
NTU,D,20190118,000000,23.3415,23.3415,22.6233,22.6233,10312.781954913,0
NTU,D,20190121,000000,23.3548,23.3548,23.3548,23.3548,16.5413533835,0
NTU,D,20190123,000000,23.408,23.408,23.408,23.408,13.5338345865,0
NTU,D,20190129,000000,23.4412,23.4412,23.4412,23.4412,67.6691729325,0
NTU,D,20190130,000000,23.4412,23.4412,23.4412,23.4412,37.5939849625,0
NTU,D,20190131,000000,23.6075,23.6075,23.6075,23.6075,52.631578947499996,0
NTU,D,20190201,000000,23.6075,23.6075,23.275,23.275,135.338345865,0
NTU,D,20190207,000000,23.6075,23.6075,23.6075,23.6075,1.5037593985,0
NTU,D,20190212,000000,22.8427,22.8427,22.8427,22.8427,1657.1428571469999,0
NTU,D,20190213,000000,22.876,22.876,22.876,22.876,290.2255639105,0
NTU,D,20190219,000000,22.8826,22.8826,22.8826,22.8826,356.3909774445,0
NTU,D,20190221,000000,22.61,22.61,22.61,22.61,506.7669172945,0
NTU,D,20190228,000000,23.6075,23.6075,23.6075,23.6075,15.037593984999999,0
NTU,D,20190301,000000,23.6075,23.6075,23.6075,23.6075,31.5789473685,0
NTU,D,20190311,000000,22.743,22.743,22.743,22.743,195.48872180499998,0
NTU,D,20190314,000000,22.6765,22.743,22.6765,22.743,4529.323308282,0
NTU,D,20190319,000000,23.6075,23.6075,23.6075,23.6075,27.067669173,0
NTU,D,20190320,000000,23.6075,23.6075,23.6075,23.6075,242.10526315849998,0
NTU,D,20190322,000000,23.807,23.807,23.807,23.807,30.075187969999998,0
NTU,D,20190325,000000,23.807,24.6116,23.807,24.6116,82.70676691749999,0
NTU,D,20190328,000000,24.6116,25.5892,24.6116,25.5892,320.3007518805,0
NTU,D,20190329,000000,24.3722,25.137,24.3722,25.137,108.270676692,0
