<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NVA,D,20070720,000000,33.4982,36.1995,31.4481,31.4481,1280665.2166913545,0
NVA,D,20070723,000000,32.0551,32.0551,29.3966,31.7892,163985.30727889368,0
NVA,D,20070724,000000,31.7892,31.7892,30.763,31.4481,119861.56895349799,0
NVA,D,20070725,000000,29.5326,31.4481,29.5326,31.4481,18207.108567705996,0
NVA,D,20070726,000000,31.4481,31.4481,30.422,30.7709,15499.929159679006,0
NVA,D,20070727,000000,29.4653,29.8681,29.3966,29.7391,10105.792038551546,0
NVA,D,20070730,000000,29.1632,29.3966,28.0293,28.0973,13640.797082552139,0
NVA,D,20070731,000000,28.0293,29.0824,28.0293,29.0003,3432.6327134449875,0
NVA,D,20070801,000000,28.5411,29.691,27.6883,29.4036,9933.907631692686,0
NVA,D,20070802,000000,29.7391,31.4481,29.7391,30.763,6318.015807993865,0
NVA,D,20070803,000000,30.763,32.1311,29.6703,30.7986,10899.493564340679,0
NVA,D,20070806,000000,29.5326,30.7986,29.0555,30.7574,10088.098055492499,0
NVA,D,20070807,000000,30.1149,30.763,30.0802,30.0802,1258.8005090541963,0
NVA,D,20070808,000000,29.1908,30.7574,28.4391,30.6198,1041.417288615117,0
NVA,D,20070809,000000,30.7361,30.7361,29.2596,30.0802,3814.317205146193,0
NVA,D,20070810,000000,28.0293,29.3894,28.0293,29.3894,4003.895595063982,0
NVA,D,20070813,000000,30.7361,30.7361,28.0293,30.073,8638.455300587702,0
NVA,D,20070814,000000,29.0555,29.7391,28.7121,29.0555,4462.675298664978,0
NVA,D,20070816,000000,27.3456,27.3456,26.6612,27.3456,8390.739537761867,0
NVA,D,20070817,000000,27.3456,29.3966,25.9785,29.3966,6877.903986217766,0
NVA,D,20070820,000000,29.3966,30.7361,29.3966,30.0113,4498.063264782954,0
NVA,D,20070821,000000,30.073,30.073,29.3151,29.3151,37.91567798356007,0
NVA,D,20070822,000000,30.0113,30.0113,28.7121,29.3894,333.65796625533375,0
NVA,D,20070823,000000,28.2138,28.7121,28.2138,28.3704,3738.485849178985,0
NVA,D,20070824,000000,28.3704,28.3704,28.0293,28.3704,1476.18372949331,0
NVA,D,20070827,000000,28.3704,28.7121,27.3456,28.7121,4696.488646230323,0
NVA,D,20070828,000000,29.2596,29.2596,28.7121,28.7121,3392.189323595872,0
NVA,D,20070829,000000,28.0293,28.7121,28.0293,28.7121,7657.703096746293,0
NVA,D,20070830,000000,28.7121,29.2596,28.7121,29.0555,4220.0149595702815,0
NVA,D,20070831,000000,28.9866,29.0477,28.7121,29.0477,1030.0425852200474,0
NVA,D,20070903,000000,29.3966,29.3966,28.0293,29.2257,1076.8052547331051,0
NVA,D,20070904,000000,29.7391,29.7391,28.7121,28.7121,1228.4679666673594,0
NVA,D,20070905,000000,29.0555,29.0888,28.9866,29.0555,8337.657588584845,0
NVA,D,20070906,000000,29.0555,29.1908,28.4391,29.0555,8953.15542785128,0
NVA,D,20070907,000000,28.8909,29.3966,28.8909,29.0555,17700.302338658654,0
NVA,D,20070910,000000,28.1797,29.0477,27.4208,28.0293,6438.082121608515,0
NVA,D,20070911,000000,28.0293,28.7121,28.0293,28.0293,1785.8284330256333,0
NVA,D,20070912,000000,28.0293,28.8838,28.0293,28.8838,331.13025438975245,0
NVA,D,20070913,000000,27.6883,29.0477,27.6883,29.0477,3148.265128568247,0
NVA,D,20070914,000000,27.7635,28.7121,27.7635,28.7121,118.80245768182435,0
NVA,D,20070917,000000,28.3704,28.3704,27.6883,27.6883,115.0108898834651,0
NVA,D,20070918,000000,27.6883,28.0293,27.6803,27.6803,1736.5380516470518,0
NVA,D,20070919,000000,28.3704,28.3704,27.6123,27.8925,4710.391061490929,0
NVA,D,20070920,000000,26.7317,28.0293,26.7317,28.0293,7981.250215539337,0
NVA,D,20070921,000000,27.0038,28.023,27.0038,28.023,472.68211886171605,0
NVA,D,20070924,000000,27.1059,27.7556,27.1059,27.7215,2412.7009756871616,0
NVA,D,20070925,000000,26.6612,27.6883,26.6612,27.6883,1989.309238204142,0
NVA,D,20070926,000000,27.6883,27.6883,27.2776,27.2776,30729.3931497428,0
NVA,D,20070927,000000,27.2776,27.3456,26.8394,27.3456,1812.3694076141442,0
NVA,D,20070928,000000,27.2776,27.2776,26.5388,26.6612,937.7811021267113,0
NVA,D,20071001,000000,25.3289,27.2634,25.3289,26.3954,844.2557631006076,0
NVA,D,20071002,000000,25.9785,27.2634,25.9785,26.0132,5990.677121402496,0
NVA,D,20071003,000000,25.9785,26.6558,25.9785,25.9785,7149.633011766601,0
NVA,D,20071004,000000,26.3202,26.3202,25.6366,25.6366,11795.567420685646,0
NVA,D,20071005,000000,25.6366,26.3883,25.6366,26.3883,13331.152379019122,0
NVA,D,20071008,000000,26.6612,26.9296,26.6612,26.6612,12373.149581968248,0
NVA,D,20071009,000000,26.6612,26.7317,26.6612,26.6612,31375.223531396186,0
NVA,D,20071010,000000,27.3394,27.3394,26.867,27.2634,6829.877460771883,0
NVA,D,20071011,000000,26.9351,26.9351,26.9351,26.9351,2365.9383061740923,0
NVA,D,20071012,000000,27.2088,27.3394,26.9351,27.3394,4644.670552986115,0
NVA,D,20071015,000000,27.3394,28.0293,26.3883,28.0293,4843.095934433369,0
NVA,D,20071016,000000,26.6683,28.0293,26.6683,28.0293,309.6447035324038,0
NVA,D,20071017,000000,27.6883,27.6883,26.6612,27.6535,33554.11115951742,0
NVA,D,20071018,000000,27.6194,28.1037,27.6194,27.6883,1990.573094136956,0
NVA,D,20071019,000000,28.3648,28.9186,28.3648,28.8768,6823.558181108046,0
NVA,D,20071022,000000,28.8158,28.8498,28.8158,28.8498,189.57838991780037,0
NVA,D,20071023,000000,28.7121,28.8498,28.7121,28.8498,137.76029667360322,0
NVA,D,20071024,000000,28.5633,28.781,28.3704,28.781,787.3822461252593,0
NVA,D,20071025,000000,28.781,28.781,28.7121,28.7121,317.227839129113,0
NVA,D,20071026,000000,28.167,28.7121,27.4683,28.5087,2914.4517810030165,0
NVA,D,20071029,000000,28.0293,29.3966,28.0293,29.3966,2734.9842385475067,0
NVA,D,20071030,000000,29.3966,29.3966,29.0555,29.0959,73.30364410154924,0
NVA,D,20071031,000000,29.0959,29.0959,28.8008,29.0555,777.2713986629805,0
