<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NVG,D,19970612,000000,297.617,297.617,297.617,297.617,671.6121371841,0
NVG,D,19970613,000000,297.617,297.617,297.617,297.617,2678.1952505836,0
NVG,D,19970616,000000,280.111,280.111,280.111,280.111,2252.1187334453,0
NVG,D,19970617,000000,252.098,252.098,252.098,252.098,2991.82058039,0
NVG,D,19970618,000000,248.599,248.599,248.599,248.599,1605.2664907196,0
NVG,D,19970619,000000,245.1,245.1,245.1,245.1,2765.8865434571,0
NVG,D,19970620,000000,253.852,253.852,253.852,253.852,4492.8891819305,0
NVG,D,19970623,000000,257.352,257.352,257.352,257.352,6867.7757253987,0
NVG,D,19970624,000000,252.098,252.098,252.098,252.098,2128.3192611533,0
NVG,D,19970625,000000,253.852,253.852,253.852,253.852,3389.0105539935,0
NVG,D,19970626,000000,252.098,252.098,252.098,252.098,4350.5197887947,0
NVG,D,19970627,000000,257.352,257.352,257.352,257.352,918.179419499,0
NVG,D,19970630,000000,252.098,252.098,252.098,252.098,645.8205804566,0
NVG,D,19970701,000000,252.098,259.106,248.599,248.599,2226.3271767178,0
NVG,D,19970702,000000,246.844,252.098,246.844,252.098,1610.4248020651,0
NVG,D,19970703,000000,252.098,255.597,252.098,253.852,3422.0237466047,0
NVG,D,19970704,000000,259.106,259.106,255.597,255.597,769.6200527486,0
NVG,D,19970707,000000,255.597,257.352,255.597,257.352,472.5013192478,0
NVG,D,19970708,000000,262.605,269.604,262.605,269.604,930.5593667282,0
NVG,D,19970709,000000,266.105,273.113,266.105,273.113,1023.4089709472,0
NVG,D,19970710,000000,266.105,266.105,264.35,264.35,2580.1873350191,0
NVG,D,19970711,000000,266.105,266.105,260.851,260.851,1495.910290195,0
NVG,D,19970714,000000,253.852,253.852,245.1,245.1,3639.7044853848,0
NVG,D,19970715,000000,248.599,250.353,248.599,250.353,1331.8759894081,0
NVG,D,19970716,000000,248.599,248.599,246.844,246.844,2105.6226912331,0
NVG,D,19970717,000000,252.098,252.098,252.098,252.098,743.8284960211,0
NVG,D,19970718,000000,252.098,252.098,245.1,245.1,2906.1926120547,0
NVG,D,19970721,000000,245.1,245.1,238.091,238.091,490.0395778225,0
NVG,D,19970722,000000,248.599,248.599,241.591,241.591,1747.6358838554,0
NVG,D,19970723,000000,241.591,245.1,241.591,243.345,821.2031662036,0
NVG,D,19970724,000000,241.591,241.591,238.091,238.091,1387.5857519395,0
NVG,D,19970725,000000,238.091,238.091,234.592,234.592,897.546174117,0
NVG,D,19970728,000000,238.091,238.091,236.347,236.347,1672.3245382111,0
NVG,D,19970729,000000,239.846,248.599,239.846,246.844,507.5778363972,0
NVG,D,19970730,000000,248.599,253.852,248.599,250.353,1329.8126648699,0
NVG,D,19970731,000000,252.098,252.098,248.599,252.098,4388.6912927514,0
NVG,D,19970801,000000,252.098,252.098,252.098,252.098,2227.3588389869,0
NVG,D,19970804,000000,255.597,255.597,246.844,246.844,1151.3350923156,0
NVG,D,19970805,000000,253.852,259.106,253.852,259.106,466.3113456332,0
NVG,D,19970806,000000,259.106,259.106,257.352,257.352,1410.2823218597,0
NVG,D,19970807,000000,262.605,271.358,262.605,271.358,971.8258574922,0
NVG,D,19970808,000000,271.358,276.612,271.358,274.857,733.5118733301,0
NVG,D,19970811,000000,273.113,273.113,267.859,267.859,1492.8153033877,0
NVG,D,19970812,000000,269.604,273.113,269.604,269.604,2263.4670184054,0
NVG,D,19970813,000000,269.604,269.604,269.604,269.604,2247.9920843689,0
NVG,D,19970814,000000,267.859,269.604,264.35,267.859,1286.4828495677,0
NVG,D,19970818,000000,266.105,266.105,259.106,259.106,2732.8733508459,0
NVG,D,19970819,000000,266.105,269.604,266.105,267.859,1039.9155672528,0
NVG,D,19970820,000000,269.604,271.358,269.604,269.604,1045.0738785983,0
NVG,D,19970821,000000,266.105,266.105,262.605,262.605,866.596306044,0
NVG,D,19970822,000000,262.605,262.605,260.851,262.605,539.5593667393,0
NVG,D,19970825,000000,264.35,264.35,259.106,259.106,958.4142479939,0
NVG,D,19970826,000000,264.35,264.35,264.35,264.35,500.3562005135,0
NVG,D,19970827,000000,264.35,264.35,264.35,264.35,562.2559366595,0
NVG,D,19970828,000000,266.105,269.604,266.105,269.604,800.5699208216,0
NVG,D,19970829,000000,269.604,269.604,266.105,266.105,3359.0923481896,0
NVG,D,19970901,000000,266.105,267.859,266.105,267.859,361.081794185,0
NVG,D,19970902,000000,266.105,271.358,266.105,267.859,777.8733509014,0
NVG,D,19970903,000000,271.358,276.612,271.358,276.612,1018.2506596017,0
NVG,D,19970904,000000,276.612,278.357,276.612,278.357,1456.7071239692,0
NVG,D,19970905,000000,280.111,292.363,280.111,292.363,650.9788918021,0
NVG,D,19970908,000000,285.365,290.618,285.365,287.109,1155.461741392,0
NVG,D,19970909,000000,290.618,297.617,290.618,297.617,1467.0237466602,0
NVG,D,19970910,000000,294.118,299.371,294.118,297.617,2445.039577767,0
NVG,D,19970911,000000,297.617,302.87,297.617,297.617,2112.8443271168,0
NVG,D,19970912,000000,301.116,302.87,299.371,301.116,2109.7493403095,0
NVG,D,19970915,000000,301.116,301.116,299.371,301.116,2045.7862796253,0
NVG,D,19970916,000000,304.625,304.625,297.617,301.116,1552.6517149955,0
NVG,D,19970917,000000,297.617,297.617,287.109,292.363,865.5646437749,0
NVG,D,19970918,000000,290.618,294.118,290.618,294.118,1230.7730870363,0
NVG,D,19970919,000000,290.618,297.617,290.618,297.617,1233.8680738436,0
NVG,D,19970922,000000,290.618,301.116,290.618,301.116,2224.2638521796,0
NVG,D,19970923,000000,304.625,304.625,295.862,297.617,1382.427440594,0
NVG,D,19970924,000000,297.617,302.87,295.862,297.617,992.4591028742,0
NVG,D,19970925,000000,290.618,290.618,283.61,290.618,1225.6147756908,0
NVG,D,19970926,000000,287.109,287.109,283.61,285.365,1539.2401054972,0
NVG,D,19970929,000000,285.365,285.365,281.865,281.865,2198.4722954521,0
NVG,D,19970930,000000,281.865,281.865,273.113,273.113,1347.3509234446,0
NVG,D,19971001,000000,271.358,278.357,271.358,274.857,767.5567282104,0
NVG,D,19971002,000000,278.357,280.111,276.612,276.612,1365.9208442884,0
