<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NVT,D,19941216,000000,3.14012,3.14012,3.14012,3.14012,131637.00389664946,0
NVT,D,19941219,000000,3.37485,3.37485,3.37485,3.37485,362429.4138537411,0
NVT,D,19941220,000000,3.1988,3.1988,3.1988,3.1988,120150.84898775847,0
NVT,D,19941221,000000,3.14012,3.14012,3.14012,3.14012,73756.74622140946,0
NVT,D,19941222,000000,3.22815,3.22815,3.22815,3.22815,63703.49772625292,0
NVT,D,19941223,000000,3.28682,3.28682,3.28682,3.28682,75783.71473474386,0
NVT,D,19941227,000000,3.22815,3.22815,3.22815,3.22815,67591.38366001948,0
NVT,D,19941228,000000,3.14012,3.14012,3.14012,3.14012,69805.8753903351,0
NVT,D,19941229,000000,3.28682,3.28682,3.28682,3.28682,73325.87226483221,0
NVT,D,19950102,000000,3.52168,3.52168,3.52168,3.52168,99816.74748217156,0
NVT,D,19950103,000000,3.87384,3.87384,3.87384,3.87384,241492.68512458686,0
NVT,D,19950104,000000,3.78568,3.78568,3.78568,3.78568,164696.91760811434,0
NVT,D,19950105,000000,3.81516,3.81516,3.81516,3.81516,144945.42640261626,0
NVT,D,19950106,000000,3.55101,3.55101,3.55101,3.55101,96031.92774399828,0
NVT,D,19950109,000000,3.63912,3.63912,3.63912,3.63912,75849.56258192885,0
NVT,D,19950110,000000,3.63912,3.63912,3.63912,3.63912,60176.34347706164,0
NVT,D,19950111,000000,3.52168,3.52168,3.52168,3.52168,24131.804518205183,0
NVT,D,19950112,000000,3.60963,3.60963,3.60963,3.60963,79366.69650654639,0
NVT,D,19950113,000000,3.69765,3.69765,3.69765,3.69765,62468.134854072225,0
NVT,D,19950116,000000,3.66839,3.66839,3.66839,3.66839,32306.957893662835,0
NVT,D,19950117,000000,3.55101,3.55101,3.55101,3.55101,43513.97518948813,0
NVT,D,19950118,000000,3.43352,3.43352,3.43352,3.43352,32913.90326771133,0
NVT,D,19950119,000000,3.43352,3.43352,3.43352,3.43352,68881.14257987401,0
NVT,D,19950120,000000,3.37485,3.37485,3.37485,3.37485,42964.28881299186,0
NVT,D,19950123,000000,3.28682,3.28682,3.28682,3.28682,54610.76891502717,0
NVT,D,19950124,000000,3.16946,3.16946,3.16946,3.16946,57423.6171697597,0
NVT,D,19950125,000000,3.11078,3.11078,3.11078,3.11078,93866.10616160091,0
NVT,D,19950126,000000,2.99342,2.99342,2.99342,2.99342,52117.13957164583,0
NVT,D,19950127,000000,2.99342,2.99342,2.99342,2.99342,61635.01643969443,0
NVT,D,19950130,000000,2.99342,2.99342,2.99342,2.99342,72992.33860409385,0
NVT,D,19950131,000000,2.84672,2.84672,2.84672,2.84672,51991.16977703263,0
NVT,D,19950201,000000,2.93466,2.93466,2.93466,2.93466,92513.36234443977,0
NVT,D,19950202,000000,2.69994,2.69994,2.69994,2.69994,138155.94076791816,0
NVT,D,19950203,000000,2.64126,2.64126,2.64126,2.64126,66825.54456776408,0
NVT,D,19950206,000000,2.9054,2.9054,2.9054,2.9054,50423.70471905215,0
NVT,D,19950207,000000,3.16946,3.16946,3.16946,3.16946,163115.13780074436,0
NVT,D,19950208,000000,3.16946,3.16946,3.16946,3.16946,166902.82048880318,0
NVT,D,19950209,000000,3.28682,3.28682,3.28682,3.28682,116071.14541218776,0
NVT,D,19950210,000000,3.14012,3.14012,3.14012,3.14012,97925.7690880229,0
NVT,D,19950213,000000,3.02269,3.02269,3.02269,3.02269,88827.31437704277,0
NVT,D,19950214,000000,3.16946,3.16946,3.16946,3.16946,60263.66344832797,0
NVT,D,19950215,000000,3.14012,3.14012,3.14012,3.14012,63211.07034730648,0
NVT,D,19950216,000000,3.22815,3.22815,3.22815,3.22815,110279.397809824,0
NVT,D,19950217,000000,3.16946,3.16946,3.16946,3.16946,107747.11864309578,0
NVT,D,19950220,000000,3.02269,3.02269,3.02269,3.02269,46311.077219894905,0
NVT,D,19950221,000000,2.72922,2.72922,2.72922,2.72922,173859.78869133734,0
NVT,D,19950222,000000,2.78803,2.78803,2.78803,2.78803,71553.70629060498,0
NVT,D,19950223,000000,2.9054,2.9054,2.9054,2.9054,81224.75097710371,0
NVT,D,19950224,000000,3.16946,3.16946,3.16946,3.16946,147187.1161567759,0
NVT,D,19950227,000000,2.93466,2.93466,2.93466,2.93466,100347.82468446488,0
NVT,D,19950228,000000,2.87591,2.87591,2.87591,2.87591,32860.93869497728,0
NVT,D,19950301,000000,2.87591,2.87591,2.87591,2.87591,23995.814399019408,0
NVT,D,19950302,000000,2.93466,2.93466,2.93466,2.93466,45656.89317286438,0
NVT,D,19950303,000000,3.08143,3.08143,3.08143,3.08143,84051.91398122342,0
NVT,D,19950306,000000,3.08143,3.08143,3.08143,3.08143,52407.7289842215,0
NVT,D,19950307,000000,3.08143,3.08143,3.08143,3.08143,58740.57411345115,0
NVT,D,19950308,000000,3.11078,3.11078,3.11078,3.11078,34879.31835867772,0
NVT,D,19950309,000000,3.05202,3.05202,3.05202,3.05202,29814.76002522009,0
NVT,D,19950310,000000,2.99342,2.99342,2.99342,2.99342,47108.408760802995,0
NVT,D,19950313,000000,2.99342,2.99342,2.99342,2.99342,25388.63951446722,0
NVT,D,19950314,000000,2.93466,2.93466,2.93466,2.93466,35609.37057746342,0
NVT,D,19950315,000000,2.87591,2.87591,2.87591,2.87591,58757.75181271669,0
NVT,D,19950316,000000,2.93466,2.93466,2.93466,2.93466,34587.29747116463,0
NVT,D,19950317,000000,2.87591,2.87591,2.87591,2.87591,26422.164420277168,0
NVT,D,19950320,000000,2.84672,2.84672,2.84672,2.84672,10892.092809290729,0
NVT,D,19950321,000000,2.84672,2.84672,2.84672,2.84672,23889.885253548946,0
NVT,D,19950322,000000,2.78803,2.78803,2.78803,2.78803,42862.65409233717,0
NVT,D,19950323,000000,2.72922,2.72922,2.72922,2.72922,29309.44937182627,0
NVT,D,19950324,000000,2.81737,2.81737,2.81737,2.81737,18630.646328415914,0
NVT,D,19950327,000000,2.9054,2.9054,2.9054,2.9054,28225.82284315829,0
NVT,D,19950328,000000,2.81737,2.81737,2.81737,2.81737,27504.359474005367,0
NVT,D,19950329,000000,2.81737,2.81737,2.81737,2.81737,16859.911829126097,0
NVT,D,19950330,000000,2.87591,2.87591,2.87591,2.87591,15993.869491155818,0
NVT,D,19950331,000000,2.9054,2.9054,2.9054,2.9054,25985.564563944346,0
NVT,D,19950403,000000,2.93466,2.93466,2.93466,2.93466,36627.14925894642,0
NVT,D,19950404,000000,2.99342,2.99342,2.99342,2.99342,65813.49178603667,0
NVT,D,19950405,000000,2.99342,2.99342,2.99342,2.99342,79506.98105054912,0
NVT,D,19950406,000000,3.08143,3.08143,3.08143,3.08143,143602.7029100241,0
NVT,D,19950407,000000,3.1988,3.1988,3.1988,3.1988,230865.4151789731,0
NVT,D,19950410,000000,3.49234,3.49234,3.49234,3.49234,322996.57371474674,0
NVT,D,19950411,000000,3.63912,3.63912,3.63912,3.63912,213381.38027652702,0
NVT,D,19950412,000000,3.66839,3.66839,3.66839,3.66839,258155.05341215443,0
NVT,D,19950413,000000,3.52168,3.52168,3.52168,3.52168,138289.06793722315,0
NVT,D,19950414,000000,3.55101,3.55101,3.55101,3.55101,225852.38994331332,0
NVT,D,19950418,000000,3.81516,3.81516,3.81516,3.81516,210348.08488122435,0
NVT,D,19950419,000000,3.96185,3.96185,3.96185,3.96185,276132.94716848194,0
NVT,D,19950420,000000,3.78568,3.78568,3.78568,3.78568,135636.54487563018,0
NVT,D,19950421,000000,3.43352,3.43352,3.43352,3.43352,249590.5388533578,0
NVT,D,19950424,000000,3.75648,3.75648,3.75648,3.75648,323184.0969317399,0
NVT,D,19950425,000000,3.66839,3.66839,3.66839,3.66839,231025.7403721103,0
NVT,D,19950426,000000,3.52168,3.52168,3.52168,3.52168,219928.94664657954,0
NVT,D,19950427,000000,3.66839,3.66839,3.66839,3.66839,123487.61707008182,0
NVT,D,19950428,000000,3.72706,3.72706,3.72706,3.72706,135632.2504508227,0
NVT,D,19950504,000000,3.81516,3.81516,3.81516,3.81516,160806.16872447418,0
NVT,D,19950505,000000,3.87384,3.87384,3.87384,3.87384,125196.79814700957,0
NVT,D,19950509,000000,4.04995,4.04995,4.04995,4.04995,181241.90495070268,0
NVT,D,19950510,000000,4.43137,4.43137,4.43137,4.43137,323489.0010937004,0
NVT,D,19950511,000000,4.66617,4.66617,4.66617,4.66617,299822.4259305975,0
NVT,D,19950512,000000,4.66617,4.66617,4.66617,4.66617,120010.56444375453,0
NVT,D,19950515,000000,4.54873,4.54873,4.54873,4.54873,122008.9034583051,0
NVT,D,19950516,000000,4.31409,4.31409,4.31409,4.31409,122157.77685194775,0
NVT,D,19950517,000000,4.22586,4.22586,4.22586,4.22586,134650.25864280702,0
NVT,D,19950518,000000,4.07923,4.07923,4.07923,4.07923,113258.29715745643,0
NVT,D,19950519,000000,4.07923,4.07923,4.07923,4.07923,119017.12083623243,0
NVT,D,19950522,000000,3.84443,3.84443,3.84443,3.84443,136043.08375825602,0
NVT,D,19950523,000000,3.72706,3.72706,3.72706,3.72706,90283.12438979717,0
NVT,D,19950524,000000,4.04995,4.04995,4.04995,4.04995,82598.9669183462,0
NVT,D,19950525,000000,4.02061,4.02061,4.02061,4.02061,102474.99644351417,0
NVT,D,19950526,000000,3.75648,3.75648,3.75648,3.75648,123653.66816299003,0
NVT,D,19950529,000000,3.96185,3.96185,3.96185,3.96185,141856.30348470944,0
NVT,D,19950530,000000,3.75648,3.75648,3.75648,3.75648,92241.38210606824,0
NVT,D,19950531,000000,3.63912,3.63912,3.63912,3.63912,44653.429240769736,0
NVT,D,19950601,000000,3.55101,3.55101,3.55101,3.55101,78848.50257870399,0
NVT,D,19950602,000000,3.60963,3.60963,3.60963,3.60963,71195.83755590572,0
NVT,D,19950605,000000,3.81516,3.81516,3.81516,3.81516,56486.00108484886,0
NVT,D,19950606,000000,3.93245,3.93245,3.93245,3.93245,68654.96953954472,0
NVT,D,19950607,000000,4.04995,4.04995,4.04995,4.04995,81241.92867636807,0
NVT,D,19950608,000000,4.04995,4.04995,4.04995,4.04995,104201.35521970034,0
NVT,D,19950609,000000,4.04995,4.04995,4.04995,4.04995,68765.19310983099,0
NVT,D,19950612,000000,4.10856,4.10856,4.10856,4.10856,95769.9678301981,0
NVT,D,19950613,000000,4.07923,4.07923,4.07923,4.07923,46700.438403245695,0
NVT,D,19950614,000000,3.99113,3.99113,3.99113,3.99113,50738.62920558637,0
NVT,D,19950616,000000,3.78568,3.78568,3.78568,3.78568,61939.92060165728,0
NVT,D,19950619,000000,3.75648,3.75648,3.75648,3.75648,127648.91471716325,0
NVT,D,19950620,000000,3.81516,3.81516,3.81516,3.81516,53610.167932809716,0
NVT,D,19950621,000000,3.93245,3.93245,3.93245,3.93245,56579.04695587076,0
NVT,D,19950622,000000,3.81516,3.81516,3.81516,3.81516,46000.447158175295,0
NVT,D,19950623,000000,3.87384,3.87384,3.87384,3.87384,82736.38851246938,0
NVT,D,19950626,000000,3.96185,3.96185,3.96185,3.96185,113833.75008285219,0
NVT,D,19950627,000000,4.02061,4.02061,4.02061,4.02061,58325.44638119966,0
NVT,D,19950628,000000,3.87384,3.87384,3.87384,3.87384,20779.290211547737,0
NVT,D,19950629,000000,3.93245,3.93245,3.93245,3.93245,68654.96953954472,0
NVT,D,19950630,000000,4.10856,4.10856,4.10856,4.10856,197516.34352986165,0
NVT,D,19950703,000000,4.34328,4.34328,4.34328,4.34328,119843.08187591843,0
NVT,D,19950704,000000,4.22586,4.22586,4.22586,4.22586,99265.6296307355,0
NVT,D,19950705,000000,4.02061,4.02061,4.02061,4.02061,71383.36077288812,0
NVT,D,19950706,000000,4.07923,4.07923,4.07923,4.07923,61165.492659769116,0
NVT,D,19950707,000000,3.96185,3.96185,3.96185,3.96185,34956.61800537268,0
NVT,D,19950710,000000,3.99113,3.99113,3.99113,3.99113,45347.69458608456,0
NVT,D,19950711,000000,3.87384,3.87384,3.87384,3.87384,31108.813369892792,0
NVT,D,19950712,000000,3.78568,3.78568,3.78568,3.78568,73566.36005455104,0
NVT,D,19950713,000000,3.81516,3.81516,3.81516,3.81516,69585.42824976139,0
NVT,D,19950714,000000,3.75648,3.75648,3.75648,3.75648,55639.999396020125,0
NVT,D,19950717,000000,3.96185,3.96185,3.96185,3.96185,46949.515042596104,0
NVT,D,19950718,000000,3.93245,3.93245,3.93245,3.93245,40432.00964626362,0
NVT,D,19950719,000000,3.78568,3.78568,3.78568,3.78568,40410.537522181105,0
NVT,D,19950720,000000,3.72706,3.72706,3.72706,3.72706,48564.21877355741,0
NVT,D,19950721,000000,3.60963,3.60963,3.60963,3.60963,67731.66820402222,0
NVT,D,19950724,000000,3.58022,3.58022,3.58022,3.58022,36027.36125959091,0
NVT,D,19950725,000000,3.60963,3.60963,3.60963,3.60963,53328.16736986681,0
NVT,D,19950726,000000,3.60963,3.60963,3.60963,3.60963,22993.781941862173,0
NVT,D,19950727,000000,3.72706,3.72706,3.72706,3.72706,61710.88461145079,0
NVT,D,19950728,000000,3.66839,3.66839,3.66839,3.66839,23716.676785953696,0
NVT,D,19950731,000000,3.49234,3.49234,3.49234,3.49234,27631.76074355836,0
NVT,D,19950801,000000,3.46299,3.46299,3.46299,3.46299,23391.731974848113,0
NVT,D,19950802,000000,3.43352,3.43352,3.43352,3.43352,18201.20384677727,0
NVT,D,19950803,000000,3.43352,3.43352,3.43352,3.43352,40774.13215663476,0
NVT,D,19950804,000000,3.43352,3.43352,3.43352,3.43352,33054.187811714066,0
NVT,D,19950807,000000,3.49234,3.49234,3.49234,3.49234,58132.19726446288,0
NVT,D,19950808,000000,3.37485,3.37485,3.37485,3.37485,18372.980839432723,0
NVT,D,19950809,000000,3.28682,3.28682,3.28682,3.28682,17798.959388975534,0
NVT,D,19950810,000000,3.46299,3.46299,3.46299,3.46299,18915.50984123602,0
NVT,D,19950811,000000,3.55101,3.55101,3.55101,3.55101,62798.80556493457,0
NVT,D,19950816,000000,3.60963,3.60963,3.60963,3.60963,44739.31773709746,0
NVT,D,19950817,000000,3.58022,3.58022,3.58022,3.58022,15638.863706334932,0
NVT,D,19950818,000000,3.52168,3.52168,3.52168,3.52168,20160.893037988088,0
NVT,D,19950821,000000,3.37485,3.37485,3.37485,3.37485,18523.28570800685,0
