<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NWA,D,20110325,000000,8.97853,10.7725,8.52099,8.52099,6245.027345406144,0
NWA,D,20110328,000000,9.86192,10.2251,8.96908,9.41769,941.8108041148934,0
NWA,D,20110329,000000,8.96908,8.96908,8.52099,8.74564,976.5756324547017,0
NWA,D,20110330,000000,8.74564,8.96908,8.52099,8.52099,703.1976641461824,0
NWA,D,20110331,000000,8.40899,8.74564,8.29699,8.74564,1177.2635051436105,0
NWA,D,20110404,000000,8.74564,8.74564,8.74564,8.74564,110.61536289939907,0
NWA,D,20110405,000000,8.52099,8.52099,8.0729,8.0729,308.14279664832765,0
NWA,D,20110406,000000,8.09505,8.43105,7.84766,8.43105,50.5670230397255,0
NWA,D,20110411,000000,8.0729,8.0729,7.17558,7.62366,1207.2876750734467,0
NWA,D,20110418,000000,8.0729,8.0729,8.0729,8.0729,1.5802194699914682,0
NWA,D,20110421,000000,8.0729,8.0729,8.0729,8.0729,22.123072579880063,0
NWA,D,20110426,000000,8.0729,8.29699,8.0729,8.29699,477.2262799374096,0
NWA,D,20110427,000000,8.29699,8.29699,8.29699,8.29699,69.52965667962287,0
NWA,D,20110428,000000,8.29699,8.29699,8.16657,8.28301,260.73621254858114,0
NWA,D,20110429,000000,8.34192,8.41344,8.18499,8.41344,153.28128858916227,0
NWA,D,20110502,000000,8.42224,8.42224,8.41344,8.41344,25.28351151986275,0
NWA,D,20110504,000000,8.41344,8.41344,8.41344,8.41344,132.73843547928286,0
NWA,D,20110505,000000,8.41344,8.41344,8.41344,8.41344,90.07250978951097,0
NWA,D,20110506,000000,8.5159,8.5159,8.5159,8.5159,44.246145159760125,0
NWA,D,20110509,000000,8.5159,8.5159,8.47606,8.47606,37.925267279794745,0
NWA,D,20110510,000000,8.5159,8.5159,8.29699,8.29699,123.25711865933107,0
NWA,D,20110511,000000,8.38176,8.38176,8.29699,8.29699,154.86150805916537,0
NWA,D,20110512,000000,8.25579,8.27857,8.25579,8.27857,48.98680356973354,0
NWA,D,20110513,000000,8.27413,8.29699,8.27413,8.29699,37.925267279794745,0
NWA,D,20110516,000000,8.31461,8.31461,8.31461,8.31461,15.802194699914683,0
NWA,D,20110517,000000,8.31461,8.31461,8.31461,8.31461,15.802194699914683,0
NWA,D,20110518,000000,8.15768,8.15768,8.0729,8.0729,603.6438375367296,0
NWA,D,20110519,000000,8.13562,8.13562,8.13562,8.13562,48.98680356973354,0
NWA,D,20110520,000000,8.04511,8.05078,8.04511,8.05078,72.69009561960556,0
NWA,D,20110523,000000,8.00962,8.00962,8.00518,8.00962,45.82636462975085,0
NWA,D,20110524,000000,7.94256,7.94256,7.94256,7.94256,44.246145159760125,0
NWA,D,20110525,000000,8.00962,8.00962,8.00962,8.00962,17.38241416990541,0
NWA,D,20110526,000000,8.02294,8.02294,8.02294,8.02294,44.246145159760125,0
NWA,D,20110527,000000,8.02802,8.02802,8.02802,8.02802,44.246145159760125,0
NWA,D,20110530,000000,8.06788,8.06788,8.06788,8.06788,22.123072579880063,0
NWA,D,20110531,000000,8.06788,8.06788,8.06788,8.06788,22.123072579880063,0
NWA,D,20110601,000000,8.06788,8.0729,8.06788,8.0729,44.246145159760125,0
NWA,D,20110602,000000,8.08115,8.08552,8.08115,8.08552,44.246145159760125,0
NWA,D,20110603,000000,8.0906,8.09505,8.0906,8.09505,123.25711865933107,0
NWA,D,20110606,000000,8.0906,8.0906,8.04511,8.04511,105.87470448942565,0
NWA,D,20110607,000000,8.06788,8.06788,8.06788,8.06788,44.246145159760125,0
NWA,D,20110608,000000,8.05456,8.05456,8.05456,8.05456,22.123072579880063,0
NWA,D,20110609,000000,8.02802,8.02802,7.8926,7.96976,214.9098479188377,0
NWA,D,20110610,000000,8.11784,8.20705,8.11784,8.20705,28.44395045984544,0
NWA,D,20110613,000000,8.2026,8.2026,8.18054,8.18054,36.34504780980278,0
NWA,D,20110614,000000,8.18054,8.18054,8.18054,8.18054,22.123072579880063,0
NWA,D,20110615,000000,8.18499,8.18499,8.18499,8.18499,17.38241416990541,0
NWA,D,20110616,000000,8.18054,8.18054,8.18054,8.18054,15.802194699914683,0
NWA,D,20110617,000000,8.17101,8.17101,8.17101,8.17101,17.38241416990541,0
NWA,D,20110620,000000,8.07675,8.07675,8.07675,8.07675,22.123072579880063,0
NWA,D,20110621,000000,7.95588,7.95588,7.95588,7.95588,625.7669101165997,0
NWA,D,20110622,000000,7.96031,7.96031,7.96031,7.96031,33.184608869820096,0
NWA,D,20110624,000000,7.84766,7.84766,7.84766,7.84766,77.43075402958021,0
NWA,D,20110627,000000,7.84766,7.84766,7.84766,7.84766,14.22197522992272,0
NWA,D,20110628,000000,7.84766,7.84766,7.84766,7.84766,22.123072579880063,0
NWA,D,20110629,000000,7.84766,7.84766,7.84766,7.84766,44.246145159760125,0
NWA,D,20110630,000000,7.9065,7.91093,7.9065,7.91093,363.4504780980278,0
NWA,D,20110701,000000,7.98242,8.04511,7.98242,8.04511,53.72746197970819,0
NWA,D,20110704,000000,8.18054,8.18054,8.18054,8.18054,15.802194699914683,0
NWA,D,20110705,000000,8.2026,8.2026,8.2026,8.2026,14.22197522992272,0
NWA,D,20110706,000000,8.24317,8.24762,8.0729,8.10774,216.49006738882844,0
NWA,D,20110707,000000,8.06788,8.06788,8.06788,8.06788,28.44395045984544,0
NWA,D,20110708,000000,8.0729,8.0729,8.0729,8.0729,22.123072579880063,0
NWA,D,20110711,000000,8.0318,8.0729,8.0318,8.0729,45.82636462975085,0
NWA,D,20110712,000000,8.06788,8.06788,8.06788,8.06788,22.123072579880063,0
NWA,D,20110713,000000,8.0729,8.0729,8.0729,8.0729,109.03514342940834,0
NWA,D,20110714,000000,8.11784,8.11784,8.0729,8.0729,66.36921773964019,0
NWA,D,20110715,000000,8.0729,8.11784,8.05078,8.11784,145.38019123920864,0
NWA,D,20110718,000000,8.12608,8.13053,8.12608,8.13053,45.82636462975085,0
NWA,D,20110719,000000,8.11784,8.12164,8.11784,8.12164,36.34504780980278,0
NWA,D,20110720,000000,8.0729,8.0729,8.0729,8.0729,22.123072579880063,0
NWA,D,20110721,000000,8.06788,8.06788,8.06788,8.06788,22.123072579880063,0
NWA,D,20110722,000000,8.0729,8.12164,8.0729,8.12164,207.0087505688717,0
NWA,D,20110725,000000,8.11784,8.11784,8.11784,8.11784,41.085706219777435,0
NWA,D,20110726,000000,8.11283,8.11784,8.0729,8.0729,72.69009561960556,0
NWA,D,20110727,000000,8.11784,8.12164,8.11784,8.12164,25.28351151986275,0
