<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NWG,D,20131205,000000,15.3982,15.7337,15.097,15.5668,5507990.312469163,0
NWG,D,20131206,000000,15.5668,15.5668,14.9284,15.3314,738457.9574780207,0
NWG,D,20131209,000000,15.4334,15.4334,15.245,15.299,378357.90867952595,0
NWG,D,20131210,000000,15.2575,15.2575,14.9284,14.969,210856.48930692626,0
NWG,D,20131211,000000,14.9095,14.969,14.4667,14.7617,167092.18956659734,0
NWG,D,20131212,000000,14.6273,14.694,14.3586,14.4667,206214.1154101983,0
NWG,D,20131213,000000,14.4262,14.749,14.4262,14.5065,53224.27330439567,0
NWG,D,20131216,000000,14.749,14.749,14.5723,14.694,48045.13185724769,0
NWG,D,20131217,000000,14.694,14.694,14.2315,14.4262,94058.53199475758,0
NWG,D,20131218,000000,14.2909,14.694,14.2909,14.493,24930.85647363784,0
NWG,D,20131219,000000,14.694,14.749,14.1656,14.198,81369.08093731337,0
NWG,D,20131220,000000,14.2315,14.2909,14.1106,14.2315,72973.77028315641,0
NWG,D,20131223,000000,14.3179,14.694,14.3179,14.5605,23662.133172666014,0
NWG,D,20131227,000000,14.5605,14.6814,14.4262,14.6814,28942.195791482038,0
NWG,D,20131230,000000,14.6345,14.721,14.5127,14.6075,26522.305719174918,0
NWG,D,20140102,000000,14.694,14.7552,14.6273,14.6273,101940.36459965783,0
NWG,D,20140103,000000,14.6273,14.694,14.5065,14.6471,15601.747725584504,0
NWG,D,20140107,000000,14.694,14.694,14.4605,14.5605,94707.31095548178,0
NWG,D,20140108,000000,14.6138,14.6138,14.2594,14.3586,31161.352544317637,0
NWG,D,20140109,000000,14.2793,14.2909,13.6886,13.7887,62644.322009337026,0
NWG,D,20140110,000000,13.7887,14.2909,13.7211,14.2909,142181.2955225153,0
NWG,D,20140113,000000,14.4262,14.493,14.2242,14.493,159510.9024289721,0
NWG,D,20140114,000000,14.4794,14.4794,14.2909,14.3379,83841.0951312519,0
NWG,D,20140115,000000,14.4262,14.4262,14.3179,14.3179,107722.81502908918,0
NWG,D,20140116,000000,14.3179,14.4262,14.2242,14.2982,7189.80171346052,0
NWG,D,20140117,000000,14.3252,14.4262,14.2315,14.3658,105886.27150949795,0
NWG,D,20140120,000000,14.5605,14.7292,14.3992,14.6075,19221.601619265686,0
NWG,D,20140121,000000,14.694,14.7617,14.5065,14.5605,60178.961958585896,0
NWG,D,20140122,000000,14.5605,14.6201,14.5065,14.5344,201681.5348760401,0
NWG,D,20140123,000000,14.493,14.5605,14.4469,14.5462,23245.140199619047,0
NWG,D,20140124,000000,14.5263,14.5263,14.3586,14.373,8893.262369310558,0
NWG,D,20140127,000000,14.3252,14.4117,14.3252,14.3586,30747.68664286543,0
NWG,D,20140128,000000,14.3586,14.4731,14.3252,14.4262,21985.289089563747,0
NWG,D,20140129,000000,14.4731,14.741,14.4325,14.4397,132119.12200004034,0
NWG,D,20140130,000000,14.4262,14.493,14.3379,14.493,11369.7126587066,0
NWG,D,20140131,000000,14.493,14.5533,14.2242,14.493,76439.46985967462,0
NWG,D,20140203,000000,14.493,14.493,14.1656,14.373,18936.58248609248,0
NWG,D,20140204,000000,14.2242,14.373,14.1701,14.3586,21866.623536063715,0
NWG,D,20140205,000000,14.3252,14.493,14.2982,14.4397,57597.1544020628,0
NWG,D,20140206,000000,14.3054,14.4469,14.3054,14.373,212115.23139311804,0
NWG,D,20140207,000000,14.4262,14.4262,14.2242,14.3468,165239.01068904504,0
NWG,D,20140210,000000,14.2377,14.3252,13.9357,14.218,134407.03823247264,0
NWG,D,20140211,000000,14.0899,14.2242,14.024,14.1773,17388.385171270274,0
NWG,D,20140212,000000,14.1169,14.1773,14.0367,14.1241,63961.84236034654,0
NWG,D,20140213,000000,14.0899,14.19,14.0899,14.0971,43835.27726766004,0
NWG,D,20140214,000000,14.1241,14.2639,14.0637,14.2639,13821.764423085062,0
NWG,D,20140217,000000,14.1773,14.3468,14.1575,14.245,95791.93629494951,0
NWG,D,20140218,000000,14.3379,14.3468,14.1575,14.2793,35803.72644105512,0
NWG,D,20140219,000000,14.2242,14.694,14.2242,14.4325,29413.53093388848,0
NWG,D,20140220,000000,14.3522,14.4262,14.0971,14.2503,105122.15406686741,0
NWG,D,20140221,000000,14.2909,14.2982,14.0439,14.2377,157386.01270461717,0
NWG,D,20140224,000000,14.2594,14.3179,14.1575,14.2315,17890.77298188243,0
NWG,D,20140225,000000,14.2315,14.2594,13.9357,13.9564,263838.9954088689,0
NWG,D,20140226,000000,13.9564,13.9564,13.3513,13.3513,216504.74784875897,0
NWG,D,20140227,000000,13.3513,13.5398,13.2864,13.3513,139114.84453721947,0
NWG,D,20140228,000000,13.2864,13.3513,12.9086,13.0701,62191.84027262714,0
NWG,D,20140303,000000,12.8762,12.8834,12.4136,12.4867,53593.5782512695,0
NWG,D,20140304,000000,12.4271,12.8482,12.4271,12.7482,46664.39714596323,0
NWG,D,20140305,000000,12.7482,12.7815,12.6815,12.7347,14305.298828000661,0
NWG,D,20140306,000000,12.7427,12.7815,12.5542,12.5542,12435.48459247777,0
NWG,D,20140307,000000,12.5606,12.6742,12.548,12.5542,130529.89080223133,0
NWG,D,20140310,000000,12.5399,12.5813,12.2387,12.2656,11906.480209118165,0
NWG,D,20140311,000000,12.2522,12.5146,12.2459,12.4668,166783.88093227145,0
NWG,D,20140312,000000,12.4803,12.6138,12.2387,12.2856,11024.806236852155,0
NWG,D,20140313,000000,12.2712,12.4136,12.2712,12.3459,14994.002647846044,0
NWG,D,20140314,000000,12.2712,12.2712,11.7491,12.125,33998.23558967278,0
NWG,D,20140317,000000,12.1522,12.2314,11.9763,12.2117,21969.76275546089,0
NWG,D,20140318,000000,12.2117,12.2269,12.0096,12.144,12518.661382313823,0
NWG,D,20140319,000000,12.0783,12.2314,12.0783,12.144,9319.127533272987,0
NWG,D,20140320,000000,12.044,12.1982,12.044,12.1982,1914.1751901022265,0
NWG,D,20140321,000000,12.1783,12.328,12.144,12.328,6638.616852811193,0
NWG,D,20140324,000000,12.3459,12.9429,12.3459,12.9429,182291.36162937104,0
NWG,D,20140325,000000,12.9429,13.5804,12.9429,13.5543,31901.071461929852,0
NWG,D,20140326,000000,13.5001,13.7554,13.4119,13.5867,36299.46010847987,0
NWG,D,20140327,000000,13.419,13.5804,13.4119,13.419,8726.908789637702,0
NWG,D,20140328,000000,13.419,13.5804,13.419,13.5543,57834.48550906287,0
NWG,D,20140331,000000,13.5596,13.6696,13.0845,13.0845,40486.02519691377,0
NWG,D,20140401,000000,13.3127,13.5118,13.2864,13.3513,36493.53928476506,0
NWG,D,20140402,000000,13.4532,13.4866,13.0971,13.4866,50132.31477020953,0
NWG,D,20140403,000000,13.2459,13.7688,13.2314,13.7554,75181.83679734741,0
NWG,D,20140404,000000,13.7554,13.7554,13.6886,13.7554,50746.71399113537,0
NWG,D,20140407,000000,13.7346,13.7346,13.6273,13.6886,39436.888621110025,0
NWG,D,20140408,000000,13.6886,13.7887,13.6886,13.7211,35702.80526938707,0
NWG,D,20140409,000000,13.6886,13.7138,13.6886,13.6886,20647.80630899416,0
NWG,D,20140410,000000,13.6886,13.7211,13.6886,13.6886,7436.005011376369,0
NWG,D,20140411,000000,13.6137,13.7012,13.574,13.6886,6548.785919787851,0
NWG,D,20140414,000000,13.6815,13.6815,13.2577,13.5867,73748.9779644326,0
NWG,D,20140415,000000,13.6209,13.6209,13.419,13.4668,4366.226954480054,0
NWG,D,20140416,000000,13.419,13.419,13.3595,13.419,38084.98853030214,0
NWG,D,20140417,000000,13.419,13.419,13.3063,13.4119,1256.52403846224,0
NWG,D,20140422,000000,13.3866,13.419,13.3387,13.3387,29892.62924334687,0
NWG,D,20140423,000000,13.346,13.3595,13.346,13.3513,44283.32290891272,0
NWG,D,20140424,000000,13.3513,13.3513,13.2242,13.3316,35995.58756961117,0
NWG,D,20140425,000000,13.0971,13.3316,13.0971,13.1178,10186.38419530081,0
NWG,D,20140428,000000,13.1053,13.2919,13.0845,13.1845,43826.40507674457,0
NWG,D,20140429,000000,13.0845,13.272,13.0358,13.0845,37646.92410383055,0
NWG,D,20140430,000000,12.9565,13.0845,12.8221,13.0782,24814.408967866933,0
NWG,D,20140502,000000,13.0845,13.0845,13.0168,13.0168,374.85006619615643,0
NWG,D,20140505,000000,13.0168,13.0168,12.6815,12.8428,5585.04418154982,0
NWG,D,20140506,000000,12.8158,12.8158,12.6138,12.6337,3507.842483368119,0
NWG,D,20140507,000000,12.6138,12.6337,12.125,12.4136,42951.3852476649,0
NWG,D,20140508,000000,12.4136,12.6138,12.4136,12.4803,41450.87595901584,0
NWG,D,20140509,000000,12.4803,12.4803,12.3865,12.4406,74220.31310683797,0
NWG,D,20140512,000000,12.4136,12.4136,12.2117,12.2802,249803.18937993856,0
NWG,D,20140513,000000,12.2802,12.4668,12.0096,12.3523,22091.75538055462,0
NWG,D,20140514,000000,12.2522,12.3459,12.2117,12.2992,3117.4660830692424,0
NWG,D,20140515,000000,12.3459,12.4136,12.3459,12.3459,17946.22417510647,0
NWG,D,20140516,000000,12.3659,12.4136,12.0836,12.1783,1675.7350592378061,0
NWG,D,20140519,000000,12.3794,12.3865,12.0783,12.292,19306.996456830875,0
NWG,D,20140520,000000,12.3865,13.0845,12.2992,13.0782,50594.7777217005,0
NWG,D,20140521,000000,13.0782,13.7417,12.8428,13.7417,55640.836305110155,0
NWG,D,20140522,000000,13.7417,13.9564,13.4866,13.547,261476.77457751386,0
NWG,D,20140523,000000,13.9501,13.9501,13.3595,13.6543,10252.925627169972,0
NWG,D,20140526,000000,13.6886,13.6886,13.5118,13.5335,92512.55272766452,0
NWG,D,20140527,000000,13.5118,13.5272,13.4596,13.5208,134684.29419859283,0
NWG,D,20140528,000000,13.419,13.419,13.1178,13.3866,6035.307870530996,0
NWG,D,20140529,000000,13.2189,13.3127,13.0907,13.2378,1768.893063854634,0
NWG,D,20140530,000000,13.0907,13.4866,13.0907,13.419,76616.9136779924,0
NWG,D,20140602,000000,13.2522,13.419,13.2522,13.3513,698.6850346259653,0
NWG,D,20140603,000000,13.3261,13.3513,13.1178,13.3387,1407.3512840323422,0
NWG,D,20140604,000000,13.346,13.346,13.1178,13.1178,2550.754888317058,0
NWG,D,20140605,000000,13.1178,13.419,13.1178,13.419,28160.33396701951,0
NWG,D,20140606,000000,13.4866,13.4866,13.3316,13.419,5626.078064535778,0
NWG,D,20140609,000000,13.1513,13.5074,13.1513,13.419,5286.716762003207,0
NWG,D,20140610,000000,13.419,13.7887,13.2459,13.7887,49829.55125520539,0
NWG,D,20140611,000000,13.8221,13.8959,13.4866,13.6345,12029.581858076459,0
NWG,D,20140612,000000,13.6345,13.6543,13.4731,13.6209,2281.2620892470286,0
NWG,D,20140613,000000,13.6137,13.6137,13.4731,13.4866,1048.027551938948,0
NWG,D,20140616,000000,13.4073,13.4073,13.0845,13.2522,3772.899186980204,0
NWG,D,20140617,000000,13.2189,13.2784,13.0502,13.2577,2831.337926031895,0
NWG,D,20140618,000000,13.0845,13.2784,13.0845,13.2522,12585.202814183516,0
NWG,D,20140620,000000,13.0971,13.2522,13.0971,13.2189,779.6437767334202,0
NWG,D,20140623,000000,13.2522,13.2522,13.1178,13.1377,2633.9316781534326,0
NWG,D,20140624,000000,13.125,13.1845,12.997,12.997,2221.3748005648354,0
NWG,D,20140625,000000,12.9835,12.9907,12.9565,12.9835,3486.771029942963,0
NWG,D,20140626,000000,12.8834,13.0502,12.621,12.649,5591.698324736684,0
NWG,D,20140627,000000,12.6291,12.8834,12.621,12.695,2020.6414810928873,0
NWG,D,20140630,000000,12.695,12.9429,12.6138,12.9429,6370.233077605622,0
NWG,D,20140701,000000,12.9429,12.9429,12.4731,12.4731,3015.4358875365256,0
NWG,D,20140702,000000,12.4731,12.5146,12.2459,12.501,3403.594240106483,0
NWG,D,20140703,000000,12.4803,12.501,12.1982,12.3794,3711.902874433551,0
NWG,D,20140704,000000,12.3731,12.4136,12.3731,12.4136,1357.4452101304964,0
NWG,D,20140707,000000,12.4136,12.4136,12.2802,12.3055,11390.784112132284,0
NWG,D,20140708,000000,12.3055,12.4803,12.2992,12.3794,2672.74751341047,0
NWG,D,20140709,000000,12.3459,12.5678,12.3459,12.3459,3106.375844424329,0
NWG,D,20140710,000000,12.3523,12.5741,12.3523,12.4136,46429.28408669229,0
NWG,D,20140711,000000,12.4271,12.548,12.2179,12.3794,94160.56219029019,0
NWG,D,20140714,000000,12.3865,12.6742,12.3794,12.5146,3492.316149265367,0
NWG,D,20140715,000000,12.6138,12.6138,12.5146,12.5146,1618.0658182845318,0
NWG,D,20140716,000000,12.548,12.6138,12.4803,12.52,1545.9792670929653,0
NWG,D,20140717,000000,12.5272,12.5813,12.2802,12.2802,2779.2138044010244,0
NWG,D,20140718,000000,12.2117,12.3396,12.1575,12.1575,6300.364574143082,0
NWG,D,20140721,000000,12.144,12.3126,12.0783,12.0836,26904.91895242247,0
