<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OBL,D,20071022,000000,21.1243,21.8926,21.1243,21.4316,33957.674743234085,0
OBL,D,20071023,000000,21.5081,21.7389,21.5081,21.5844,4912.220237854547,0
OBL,D,20071024,000000,21.6625,21.6625,21.4316,21.5081,4104.882652860091,0
OBL,D,20071025,000000,21.5081,21.5844,21.1317,21.1317,7282.536989439086,0
OBL,D,20071026,000000,21.2007,21.5081,20.748,20.748,6386.106292204098,0
OBL,D,20071029,000000,21.1243,21.1243,19.2033,19.9716,7048.255101695464,0
OBL,D,20071030,000000,19.9642,19.9642,19.6651,19.6651,196.8847789019176,0
OBL,D,20071031,000000,19.127,20.7325,18.436,20.7325,11767.990220511821,0
OBL,D,20071102,000000,20.7325,20.7325,19.6034,20.7325,1328.6972788464607,0
OBL,D,20071105,000000,21.1171,21.4316,21.1171,21.4316,755.6415815956278,0
OBL,D,20071106,000000,21.4316,21.5081,21.4316,21.5081,72.59438775154503,0
OBL,D,20071107,000000,21.4316,21.4316,20.2789,21.4316,2616.6977039534186,0
OBL,D,20071108,000000,21.4316,21.4316,20.0488,21.4316,497.1615646014902,0
OBL,D,20071109,000000,21.3552,21.3552,20.7398,20.7398,260.6798469260026,0
OBL,D,20071112,000000,21.3389,21.3389,19.9716,20.7325,161.68749999207756,0
OBL,D,20071113,000000,20.7325,20.7325,20.7325,20.7325,520.2597788860727,0
OBL,D,20071114,000000,20.718,20.718,19.2033,20.2715,1842.3575679369383,0
OBL,D,20071115,000000,20.2261,20.2261,19.2033,19.8879,1770.8630951513258,0
OBL,D,20071116,000000,20.2025,20.2025,19.3579,19.5879,515.8601190223427,0
OBL,D,20071119,000000,19.5798,19.5798,18.7424,19.0505,637.9506802408503,0
OBL,D,20071120,000000,19.5798,19.5798,18.436,18.436,934.9277210426253,0
OBL,D,20071121,000000,18.436,18.436,16.5994,18.436,2110.7368196244684,0
OBL,D,20071122,000000,18.0522,18.0522,14.9938,16.0549,256152.59692622442,0
OBL,D,20071123,000000,16.1312,16.1312,15.1866,15.9003,43762.316749556405,0
OBL,D,20071126,000000,16.4304,16.4304,15.2321,16.1312,51471.62074577729,0
OBL,D,20071127,000000,16.1312,16.1312,15.2094,15.363,13378.265730637004,0
OBL,D,20071128,000000,15.2866,16.1312,14.9793,16.1312,142569.87796920477,0
OBL,D,20071129,000000,16.1312,16.6158,15.8239,16.4385,160835.06589347988,0
OBL,D,20071130,000000,16.3613,16.3613,15.9776,16.1312,14501.278910854086,0
OBL,D,20071203,000000,16.1312,16.4304,15.7621,16.4004,65904.70492874357,0
OBL,D,20071204,000000,16.1312,16.3922,16.1312,16.2849,152348.1220163447,0
OBL,D,20071205,000000,16.3613,16.8232,16.1312,16.8232,115111.60075966585,0
OBL,D,20071206,000000,16.8232,17.2841,16.8232,17.2677,14717.962159142788,0
OBL,D,20071207,000000,17.2841,17.7059,17.2759,17.6678,30802.018705973744,0
OBL,D,20071210,000000,17.7059,18.2823,17.7059,18.2823,14660.7665809143,0
OBL,D,20071211,000000,18.2823,18.2823,17.5905,18.0522,70295.56547274611,0
OBL,D,20071212,000000,18.2051,18.2051,17.0686,18.1977,866.7329931548104,0
OBL,D,20071213,000000,17.9741,18.1132,17.0686,18.0522,48597.54293979566,0
OBL,D,20071214,000000,17.8596,17.8596,17.2841,17.2841,1052.618622397403,0
OBL,D,20071217,000000,17.3841,18.1514,17.0686,17.8978,66215.98086410246,0
OBL,D,20071218,000000,18.136,18.1514,17.3677,17.8978,123772.33120141835,0
OBL,D,20071219,000000,18.0522,18.0522,17.3986,18.0287,1087.815901307243,0
OBL,D,20071220,000000,17.6678,18.0132,17.4222,17.6678,4320.465986182862,0
OBL,D,20071221,000000,17.6523,17.6678,16.9841,17.2841,21515.436648605642,0
OBL,D,20071227,000000,17.2841,17.6523,16.2621,17.6523,31629.154760354984,0
OBL,D,20071228,000000,17.6523,17.6523,17.6368,17.6368,2408.8137753921765,0
OBL,D,20080102,000000,17.6368,18.0522,17.6368,17.6368,9134.793792069417,0
OBL,D,20080103,000000,17.2841,17.8214,17.2841,17.3605,2670.5935372841113,0
OBL,D,20080104,000000,17.3605,17.6296,16.8995,17.3531,22011.4982982412,0
OBL,D,20080107,000000,17.2841,17.2841,16.2849,16.4768,10809.964285184615,0
OBL,D,20080108,000000,16.8922,16.8922,16.3613,16.5159,6207.920067723033,0
OBL,D,20080109,000000,16.3613,16.554,16.2076,16.554,139647.40390472213,0
