<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ODL,D,19980312,000000,3.71494,3.71494,3.71494,3.71494,86997.95683258385,0
ODL,D,19980313,000000,3.74567,3.74567,3.74567,3.74567,202282.94568004983,0
ODL,D,19980316,000000,3.74567,3.74567,3.74567,3.74567,118372.51961855883,0
ODL,D,19980317,000000,3.74567,3.74567,3.74567,3.74567,51471.1128943804,0
ODL,D,19980318,000000,3.6842,3.6842,3.6842,3.6842,19172.86688606192,0
ODL,D,19980319,000000,3.74567,3.74567,3.74567,3.74567,34079.37222191722,0
ODL,D,19980320,000000,3.74567,3.74567,3.74567,3.74567,42452.62809934943,0
ODL,D,19980323,000000,3.71494,3.71494,3.71494,3.71494,49791.80036929841,0
ODL,D,19980324,000000,3.71494,3.71494,3.71494,3.71494,68052.02407153313,0
ODL,D,19980325,000000,3.80706,3.80706,3.80706,3.80706,61992.2695982664,0
ODL,D,19980326,000000,4.05259,4.05259,4.05259,4.05259,263168.7580850172,0
ODL,D,19980327,000000,4.23684,4.23684,4.23684,4.23684,368176.6977468522,0
ODL,D,19980330,000000,4.14471,4.14471,4.14471,4.14471,133669.10631524897,0
ODL,D,19980331,000000,3.89918,3.89918,3.89918,3.89918,76790.82789087425,0
ODL,D,19980401,000000,3.62274,3.62274,3.62274,3.62274,67684.02278773088,0
ODL,D,19980402,000000,3.56143,3.56143,3.56143,3.56143,57431.50702101947,0
ODL,D,19980406,000000,3.65355,3.65355,3.65355,3.65355,35480.230442255495,0
ODL,D,19980407,000000,3.6842,3.6842,3.6842,3.6842,44574.76883593855,0
ODL,D,19980408,000000,3.62274,3.62274,3.62274,3.62274,44438.60836093205,0
ODL,D,19980409,000000,3.5307,3.5307,3.5307,3.5307,95145.50525595101,0
ODL,D,19980414,000000,3.56143,3.56143,3.56143,3.56143,46968.00385159455,0
ODL,D,19980415,000000,3.49996,3.49996,3.49996,3.49996,25421.52868501273,0
ODL,D,19980416,000000,3.46931,3.46931,3.46931,3.46931,21003.059937501937,0
ODL,D,19980417,000000,3.37719,3.37719,3.37719,3.37719,38094.266228193046,0
ODL,D,19980420,000000,3.43857,3.43857,3.43857,3.43857,16404.270560927904,0
