<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OND,D,20210719,000000,27.6348,28.5559,24.5074,25.8661,287696.4770653376,0
OND,D,20210720,000000,26.253,27.1742,24.8713,25.3503,57271.37186736908,0
OND,D,20210721,000000,25.8661,25.8661,24.8713,24.8713,32912.9094752236,0
OND,D,20210722,000000,24.8897,25.2306,24.5121,24.6871,12572.214678823288,0
OND,D,20210723,000000,24.6871,25.2951,24.641,24.7791,15079.926958253545,0
OND,D,20210726,000000,25.7003,25.7003,24.8621,25.1476,14761.849166966504,0
OND,D,20210727,000000,25.4193,25.4193,24.7884,24.7884,2033.3095668280823,0
OND,D,20210728,000000,24.7884,24.8483,24.1343,24.4106,26576.322213303938,0
OND,D,20210729,000000,24.7791,25.3319,24.4291,24.7515,60368.559370925155,0
OND,D,20210730,000000,24.8713,26.1471,24.2725,25.8661,31737.21579616603,0
OND,D,20210802,000000,26.1562,26.7136,25.5621,25.5621,16946.055706452942,0
OND,D,20210803,000000,25.9767,26.2069,24.8759,25.5069,5208.659531041718,0
OND,D,20210804,000000,25.7924,25.7924,24.7284,25.4239,11114.267669613404,0
OND,D,20210805,000000,25.4193,25.4193,24.8666,25.2904,548.22281433432,0
OND,D,20210806,000000,25.4239,25.4239,24.6871,24.9588,4049.2496979544826,0
OND,D,20210809,000000,25.3227,25.3227,24.8713,25.3134,28671.51039481926,0
OND,D,20210810,000000,25.0554,25.4424,24.5949,24.7791,14208.198403975406,0
OND,D,20210811,000000,25.5898,25.5898,24.6871,25.2121,3506.454832276938,0
OND,D,20210812,000000,24.8989,25.2812,24.641,24.6963,9879.952145062667,0
OND,D,20210813,000000,24.8713,24.8713,24.641,24.8713,895.6115283679486,0
OND,D,20210816,000000,24.8713,24.8713,24.3186,24.6779,129529.30997609519,0
OND,D,20210817,000000,24.8621,24.8621,24.3279,24.5949,1278.824703536295,0
OND,D,20210818,000000,24.4199,24.6779,24.3186,24.6779,4935.090918740236,0
OND,D,20210819,000000,24.8621,24.8621,24.4106,24.4106,275.7397917641927,0
OND,D,20210820,000000,24.5028,25.0095,24.4106,25.0095,10024.335579332894,0
OND,D,20210823,000000,25.2397,25.2397,24.8759,25.2029,1926.9217731552833,0
OND,D,20210824,000000,25.2397,25.3227,24.4337,25.3227,808.7643498595414,0
OND,D,20210825,000000,25.5161,25.5161,24.5259,24.5949,2075.6475663509304,0
OND,D,20210826,000000,24.5949,24.5949,24.3417,24.4199,13195.343184621108,0
OND,D,20210827,000000,24.3647,25.2029,24.3647,24.5212,6745.854590640524,0
OND,D,20210830,000000,24.7791,24.8759,24.5028,24.8252,3190.548220452607,0
OND,D,20210831,000000,24.8713,24.8713,24.337,24.4106,13099.81128826186,0
OND,D,20210901,000000,24.5028,24.5028,24.2725,24.383,10392.350498262269,0
OND,D,20210902,000000,24.7699,24.7791,24.0238,24.2357,85418.54242194384,0
OND,D,20210903,000000,24.3647,24.3922,24.1528,24.1942,18544.043791007633,0
OND,D,20210906,000000,24.3186,24.3186,23.7658,23.9409,29367.37341261787,0
OND,D,20210907,000000,23.904,23.904,22.9368,22.9737,43282.462589127404,0
OND,D,20210908,000000,23.0289,23.0335,22.0156,22.1077,28171.053528664565,0
OND,D,20210909,000000,22.1032,23.0289,22.0156,22.8402,5573.417680777028,0
OND,D,20210910,000000,23.0243,23.0289,22.6605,22.7296,4197.9754911501295,0
