<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OPL,D,19981118,000000,6.15277,6.29907,6.01081,6.01081,14449876.945845246,0
OPL,D,19981119,000000,5.97421,5.97421,5.68174,5.86456,9573796.205945795,0
OPL,D,19981120,000000,5.97421,6.11632,5.97421,6.11632,7262917.344161085,0
OPL,D,19981123,000000,6.18943,6.33567,6.18943,6.22603,7059270.921333106,0
OPL,D,19981124,000000,6.22603,6.22603,5.97421,6.01081,4408236.935483602,0
OPL,D,19981125,000000,6.01081,6.07972,5.93761,6.0432,2356961.8014272987,0
OPL,D,19981126,000000,6.0432,6.0432,5.93761,5.97421,1352694.2922833876,0
OPL,D,19981127,000000,5.93761,5.93761,5.86456,5.86456,1954231.7883582842,0
OPL,D,19981130,000000,5.79138,5.86456,5.79138,5.79138,2745799.1258033877,0
OPL,D,19981201,000000,5.68174,5.68174,5.60862,5.64522,2870089.760833609,0
OPL,D,19981202,000000,5.64522,5.75485,5.64522,5.71834,1660293.162784655,0
OPL,D,19981203,000000,5.68174,5.93761,5.68174,5.86456,1511642.164303182,0
OPL,D,19981204,000000,5.8279,6.07972,5.8279,6.07972,2252016.651927452,0
OPL,D,19981207,000000,6.11632,6.11632,5.93761,6.01081,1482541.7459468932,0
OPL,D,19981208,000000,6.01081,6.07972,6.01081,6.0432,2083566.8383622414,0
OPL,D,19981209,000000,6.0432,6.0432,6.01081,6.0432,1884632.2176062206,0
OPL,D,19981210,000000,6.11632,6.11632,6.0432,6.0432,2766103.9234482353,0
OPL,D,19981211,000000,6.01081,6.07972,5.93761,6.0432,2193957.079381436,0
OPL,D,19981214,000000,6.01081,6.11632,6.01081,6.07972,1420272.5012309207,0
OPL,D,19981215,000000,6.07972,6.11632,6.0432,6.0432,971137.2093751675,0
OPL,D,19981216,000000,6.11632,6.22603,6.11632,6.18943,2571697.461347292,0
OPL,D,19981217,000000,6.11632,6.15277,6.07972,6.07972,720951.9489118841,0
OPL,D,19981218,000000,6.11632,6.15277,6.11632,6.15277,1569353.7133111,0
OPL,D,19981221,000000,6.11632,6.22603,6.11632,6.18943,1104237.5915336146,0
OPL,D,19981222,000000,6.22603,6.29907,6.22603,6.2624,2825342.409677018,0
OPL,D,19981223,000000,6.33567,6.48168,6.33567,6.445,2041278.7679272222,0
OPL,D,19981228,000000,6.445,6.5185,6.37212,6.445,913322.9227915003,0
OPL,D,19981229,000000,6.40895,6.40895,6.29907,6.33567,2076190.2804169557,0
OPL,D,19981230,000000,6.33567,6.40895,6.33567,6.33567,852233.8759779704,0
OPL,D,19981231,000000,6.33567,6.37212,6.33567,6.37212,428026.57267989573,0
OPL,D,19990104,000000,6.445,6.77423,6.445,6.77423,2057488.1889552602,0
OPL,D,19990105,000000,6.73778,6.81146,6.73778,6.77423,2288475.6491532605,0
OPL,D,19990106,000000,6.88364,7.35481,6.88364,7.35481,2626611.9798529707,0
OPL,D,19990107,000000,7.53842,7.53842,7.17276,7.35481,3314779.084094858,0
OPL,D,19990108,000000,7.72064,8.26491,7.61162,8.19638,3720297.1381282285,0
OPL,D,19990111,000000,8.01344,8.01344,7.64744,7.83043,2885009.8252848424,0
OPL,D,19990112,000000,7.86626,8.08662,7.83043,7.90363,3814734.802058992,0
OPL,D,19990113,000000,7.64744,7.64744,6.95661,7.13553,3075603.4391024485,0
OPL,D,19990114,000000,7.03026,7.39125,7.03026,7.10283,4446831.590067205,0
OPL,D,19990115,000000,6.88364,7.24557,6.84719,7.20842,4530082.416208909,0
OPL,D,19990118,000000,7.53842,8.30073,7.53842,8.19638,2874503.623935657,0
OPL,D,19990119,000000,8.19638,8.52111,8.01344,8.3747,4415248.775034572,0
OPL,D,19990120,000000,8.59351,8.95874,8.59351,8.77578,4151766.7038183254,0
OPL,D,19990121,000000,9.4306,9.54034,9.03272,9.17914,7802936.864043282,0
OPL,D,19990122,000000,8.73995,8.9229,8.55777,8.55777,3638222.6572298477,0
OPL,D,19990125,000000,8.3747,8.99611,8.3747,8.88715,2319308.479882286,0
OPL,D,19990126,000000,9.21491,9.6495,9.17914,9.32166,3276827.8235800513,0
OPL,D,19990127,000000,9.46636,9.46636,9.21491,9.35743,2925071.058763576,0
OPL,D,19990128,000000,9.21491,9.61278,9.21491,9.57547,2537577.028191471,0
OPL,D,19990129,000000,9.75919,9.97877,9.75919,9.94224,3606393.272015272,0
OPL,D,19990201,000000,10.0154,10.0154,9.75919,9.86908,2821023.5788326873,0
OPL,D,19990202,000000,9.6868,9.83235,9.57547,9.61278,1462471.9605066604,0
OPL,D,19990203,000000,9.61278,9.72189,9.50385,9.6495,1212835.0618544794,0
OPL,D,19990204,000000,9.83235,9.83235,9.6495,9.6495,1333803.420526038,0
OPL,D,19990205,000000,9.46636,9.50385,9.32166,9.3941,991905.6103310176,0
OPL,D,19990208,000000,9.35743,9.6868,9.2515,9.57547,584038.7184701121,0
OPL,D,19990209,000000,9.46636,9.46636,9.21491,9.21491,585226.6216907501,0
OPL,D,19990210,000000,8.99611,9.14175,8.9229,9.03272,1295560.6421396418,0
OPL,D,19990211,000000,9.10516,9.17914,9.06933,9.10516,952622.6139892979,0
OPL,D,19990212,000000,9.46636,9.46636,9.06933,9.10516,814277.4785842737,0
OPL,D,19990215,000000,9.03272,9.14175,9.03272,9.06933,616453.707866997,0
OPL,D,19990216,000000,9.06933,9.35743,9.06933,9.35743,1776319.8440582976,0
OPL,D,19990217,000000,9.17914,9.21491,9.03272,9.06933,776404.5554709433,0
OPL,D,19990218,000000,9.03272,9.03272,8.88715,8.88715,633166.5430165956,0
OPL,D,19990219,000000,8.73995,8.73995,8.19638,8.26491,2848677.965809056,0
OPL,D,19990222,000000,8.33735,8.33735,8.01344,8.15903,1452026.1174833253,0
OPL,D,19990223,000000,8.3747,8.3747,7.90363,7.90363,1599923.2790019645,0
OPL,D,19990224,000000,7.97605,7.97605,7.68404,7.83043,1902378.8496126698,0
OPL,D,19990225,000000,7.72064,7.90363,7.46523,7.57425,1787681.3357263552,0
OPL,D,19990226,000000,7.57425,7.68404,7.50106,7.61162,2203313.9041010644,0
OPL,D,19990301,000000,8.01344,8.01344,7.64744,7.72064,1095325.1068295818,0
OPL,D,19990302,000000,7.90363,8.08662,7.86626,8.05003,1017973.985980452,0
