<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OPN,D,20070912,000000,5.83652,6.36728,5.61006,5.61006,670582.9539773528,0
OPN,D,20070913,000000,5.58894,5.80123,5.58894,5.80123,98628.48157043733,0
OPN,D,20070914,000000,5.80123,5.80123,5.62437,5.63854,34611.060044323945,0
OPN,D,20070917,000000,5.70214,5.7658,5.58174,5.62437,24290.653253261957,0
OPN,D,20070918,000000,5.51823,5.69509,5.44727,5.65982,17604.018434142814,0
OPN,D,20070919,000000,5.79412,5.94267,5.63141,5.94267,86289.72456502766,0
OPN,D,20070920,000000,5.97091,5.97091,5.70214,5.87187,90396.8756748118,0
OPN,D,20070921,000000,5.80123,5.83652,5.72333,5.72333,14476.996975294729,0
OPN,D,20070924,000000,5.89315,5.89315,5.7658,5.80123,10451.420338349548,0
OPN,D,20070925,000000,5.80828,5.80828,5.65982,5.7658,25054.486953486525,0
OPN,D,20070926,000000,5.75172,5.87187,5.75172,5.87187,102295.62491763254,0
OPN,D,20070927,000000,5.87187,6.36728,5.83652,6.2256,209870.10700947468,0
OPN,D,20070928,000000,6.15497,6.15497,5.90732,6.08409,90410.47142028496,0
OPN,D,20071001,000000,6.14793,6.21145,5.90018,6.07001,39038.329161159636,0
OPN,D,20071002,000000,6.07001,6.36728,5.9993,6.09122,51202.81342913933,0
OPN,D,20071003,000000,6.19017,6.19017,5.77996,5.97091,39106.30788852645,0
OPN,D,20071004,000000,5.97091,5.9781,5.7374,5.92146,30749.868329919565,0
OPN,D,20071005,000000,5.90732,6.08409,5.87187,6.08409,16941.534836537412,0
OPN,D,20071008,000000,6.01346,6.14089,6.01346,6.08409,18197.287327521506,0
OPN,D,20071009,000000,6.1125,6.1125,6.05585,6.08409,10369.845865510031,0
OPN,D,20071010,000000,6.02049,6.03458,5.94978,5.9921,8334.191975105352,0
OPN,D,20071011,000000,6.07705,6.08409,5.9993,6.08409,3880.967344183711,0
OPN,D,20071012,000000,6.09818,6.15497,6.01346,6.14793,6918.998469025653,0
OPN,D,20071015,000000,6.20456,6.21848,6.12658,6.20456,19335.622016691294,0
OPN,D,20071016,000000,6.13369,6.20456,6.09122,6.14793,11044.689231727909,0
OPN,D,20071017,000000,6.15497,6.21145,6.01346,6.21145,11303.008395720039,0
OPN,D,20071018,000000,6.21145,6.2256,6.1125,6.20456,7436.872773870465,0
OPN,D,20071019,000000,6.16194,6.26104,6.08409,6.26104,7617.325395606391,0
OPN,D,20071022,000000,6.24704,6.24704,6.02746,6.19728,14839.138195627798,0
OPN,D,20071023,000000,6.19728,6.2256,6.01346,6.2256,24888.866054084625,0
OPN,D,20071024,000000,6.19728,6.19728,6.04881,6.1125,11484.696994317072,0
OPN,D,20071025,000000,6.08409,6.2256,6.08409,6.20456,11573.687328324098,0
OPN,D,20071026,000000,6.02049,6.28927,6.02049,6.28927,33780.483593593555,0
OPN,D,20071029,000000,6.28927,6.4379,6.15497,6.43095,28657.359503899006,0
OPN,D,20071030,000000,6.49462,6.96841,6.49462,6.75627,58764.51986599239,0
OPN,D,20071031,000000,6.9613,7.00336,6.81283,6.86242,20066.08434166351,0
OPN,D,20071102,000000,6.85531,7.48525,6.58645,7.21575,35696.247728462164,0
OPN,D,20071105,000000,7.41987,7.42749,6.36728,6.44494,90349.90855408521,0
OPN,D,20071106,000000,6.6502,6.6502,6.44494,6.55822,5192.338793922249,0
OPN,D,20071107,000000,6.72092,6.72092,6.31055,6.4379,18785.612313455124,0
OPN,D,20071108,000000,6.35286,6.77756,6.04881,6.35286,45802.830522534656,0
OPN,D,20071109,000000,6.70659,6.70659,6.06281,6.28927,26291.699791552397,0
OPN,D,20071112,000000,6.57236,6.643,6.08409,6.34591,13688.44373784586,0
OPN,D,20071113,000000,6.4379,6.4379,6.09818,6.36728,374.5009889451185,0
OPN,D,20071114,000000,6.77756,6.77756,6.4379,6.4379,47539.37801252822,0
OPN,D,20071115,000000,6.56525,6.56525,6.01346,6.2256,45381.362412863935,0
OPN,D,20071116,000000,6.10545,6.57925,6.10545,6.57925,13164.389548694975,0
OPN,D,20071119,000000,6.66437,6.66437,6.2256,6.2256,15255.662397853435,0
OPN,D,20071120,000000,6.2256,6.36007,6.08409,6.36007,5475.377495138123,0
OPN,D,20071121,000000,6.30343,6.30343,5.94267,6.08409,19496.29900864812,0
OPN,D,20071122,000000,6.21145,6.29648,6.01346,6.29648,9619.607910758492,0
OPN,D,20071123,000000,6.2256,6.43095,6.2256,6.43095,4142.994438759153,0
OPN,D,20071126,000000,6.54397,6.61477,6.29648,6.42374,12066.842095944612,0
OPN,D,20071127,000000,6.54397,6.54397,6.2256,6.36728,6886.863070634289,0
OPN,D,20071128,000000,6.2256,6.42374,6.2256,6.36728,1794.6384024696667,0
OPN,D,20071129,000000,6.36728,6.40263,6.36728,6.36728,15159.256202679342,0
OPN,D,20071130,000000,6.49462,6.8977,6.49462,6.8977,14808.238774097428,0
OPN,D,20071203,000000,6.86242,6.86242,6.72092,6.86242,2612.8550845873588,0
OPN,D,20071204,000000,6.85531,6.85531,6.84828,6.84828,595.7408471008147,0
OPN,D,20071205,000000,6.92594,7.35774,6.84114,7.07497,2797.0156369069314,0
OPN,D,20071206,000000,7.05345,7.07497,6.99673,7.07497,18089.757340596258,0
OPN,D,20071207,000000,7.06745,7.07497,6.94018,7.07497,7962.162939882674,0
OPN,D,20071210,000000,7.07497,7.27287,6.86242,7.03856,19162.585256122326,0
OPN,D,20071211,000000,7.03185,7.03185,7.02448,7.02448,3897.035043379393,0
OPN,D,20071212,000000,6.8837,6.8837,6.51549,6.74924,21273.63373506,0
OPN,D,20071213,000000,6.77756,6.77756,6.36728,6.53694,10018.828436927784,0
OPN,D,20071214,000000,6.36728,6.36728,6.09122,6.23985,29757.378910371353,0
OPN,D,20071217,000000,6.23985,6.23985,5.70926,6.06281,36986.6075715596,0
OPN,D,20071218,000000,5.93547,5.93547,5.65982,5.75172,51972.82701366999,0
OPN,D,20071219,000000,5.75172,5.80123,5.34127,5.80123,97152.72519815767,0
OPN,D,20071220,000000,5.90018,6.06281,5.80828,6.06281,14946.66818255194,0
OPN,D,20071221,000000,6.04186,6.21145,5.87187,6.01346,35102.97883508347,0
OPN,D,20071227,000000,6.01346,6.01346,6.01346,6.01346,2347.120059428272,0
OPN,D,20071228,000000,5.92851,6.01346,5.92851,6.01346,73876.80894794512,0
OPN,D,20080102,000000,6.01346,6.21848,6.01346,6.15497,5071.21306152408,0
OPN,D,20080103,000000,6.02746,6.15497,5.87187,6.15497,13237.312183505766,0
OPN,D,20080104,000000,6.15497,6.15497,5.87187,5.94267,6726.186078677577,0
OPN,D,20080107,000000,5.94267,6.04186,5.52518,5.93547,5382.679230547784,0
OPN,D,20080108,000000,5.92146,6.04881,5.68109,6.04881,10812.325581821402,0
OPN,D,20080109,000000,5.80828,6.01346,5.80123,5.9993,12081.673818278747,0
OPN,D,20080110,000000,5.94267,5.94267,5.7374,5.92851,8959.59626687508,0
OPN,D,20080111,000000,5.90732,6.15497,5.90732,6.15497,7520.9192004324095,0
OPN,D,20080114,000000,6.14793,6.15497,5.73045,5.82931,13640.24064025826,0
OPN,D,20080115,000000,5.67381,5.81531,5.65982,5.81531,6712.590333204324,0
OPN,D,20080116,000000,5.80123,5.80123,5.30593,5.41215,18846.175179653765,0
OPN,D,20080117,000000,5.65262,5.65262,5.42616,5.58174,1128.4468742801816,0
OPN,D,20080118,000000,5.5535,5.5535,5.30593,5.44727,45553.16319657191,0
OPN,D,20080121,000000,5.33416,5.5535,5.30593,5.34127,13368.325730793209,0
