<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OTS,D,20130718,000000,16.0378,17.2703,16.0378,17.2275,12425.080574756652,0
OTS,D,20130719,000000,17.2184,17.2275,17.2184,17.2275,2042.4789985901348,0
OTS,D,20130722,000000,17.2275,17.2275,16.7965,17.2275,2382.892165021824,0
OTS,D,20130723,000000,16.7965,17.2275,16.7965,17.2275,3276.476726905008,0
OTS,D,20130724,000000,17.3131,17.3131,17.2275,17.2703,2585.0124825906396,0
OTS,D,20130725,000000,17.2275,17.2275,17.2275,17.2275,404.2406351376308,0
OTS,D,20130726,000000,17.2275,17.2275,17.2275,17.2275,531.8955725495142,0
OTS,D,20130729,000000,17.2275,17.2275,17.2275,17.2275,106.37911450990283,0
OTS,D,20130730,000000,17.2275,17.2448,17.2275,17.2364,585.0851298044656,0
OTS,D,20130731,000000,17.3049,17.8223,17.3049,17.8223,7521.003395850132,0
OTS,D,20130801,000000,17.6493,17.8306,17.6493,17.8306,1361.6526657267564,0
OTS,D,20130802,000000,17.9599,18.0893,17.9163,17.9163,755.2917130203102,0
OTS,D,20130805,000000,18.2608,18.2608,18.2608,18.2608,159.56867176485426,0
OTS,D,20130806,000000,18.1749,18.1749,17.9163,17.9163,670.1884214123879,0
OTS,D,20130808,000000,17.9163,17.9163,17.8471,17.8471,85.10329160792227,0
OTS,D,20130809,000000,17.9163,18.0893,17.9163,18.0893,2542.460836786678,0
OTS,D,20130812,000000,17.9163,18.0893,17.9163,18.0893,329.77525498069883,0
OTS,D,20130814,000000,18.0893,18.1321,18.0893,18.0893,2244.59931615895,0
OTS,D,20130816,000000,18.0893,18.0893,18.0893,18.0893,308.49943207871826,0
OTS,D,20130819,000000,18.0893,18.0893,17.9163,17.9554,1446.755957334679,0
OTS,D,20130820,000000,17.8471,17.8471,17.4433,17.4433,1616.9625405505233,0
OTS,D,20130822,000000,17.262,17.3131,16.7965,17.3131,3053.0805864342115,0
OTS,D,20130823,000000,17.3131,17.3131,17.2275,17.2275,2946.701471924309,0
OTS,D,20130826,000000,17.5734,17.5734,17.2275,17.2275,3755.182742199571,0
OTS,D,20130827,000000,17.3131,17.3131,17.2275,17.2275,627.6367756084268,0
OTS,D,20130828,000000,17.0598,17.2275,17.0552,17.2275,1542.4971603935915,0
OTS,D,20130829,000000,17.3131,17.3131,17.3131,17.3131,106.37911450990283,0
OTS,D,20130830,000000,17.7479,17.7479,17.7479,17.7479,74.465380156932,0
OTS,D,20130902,000000,17.7433,17.7433,17.7433,17.7433,106.37911450990283,0
OTS,D,20130903,000000,17.7433,18.2524,17.4049,17.5335,7872.054473732812,0
OTS,D,20130904,000000,17.5756,17.5756,17.5756,17.5756,808.4812702752616,0
OTS,D,20130905,000000,17.5756,17.614,17.5734,17.5734,1446.755957334679,0
OTS,D,20130906,000000,17.614,17.614,17.614,17.614,53.18955725495142,0
OTS,D,20130909,000000,17.6584,17.8306,17.6584,17.6584,457.4301923925823,0
OTS,D,20130910,000000,17.6584,17.6584,17.6584,17.6584,351.0510778826794,0
OTS,D,20130911,000000,17.5756,17.5756,17.5756,17.5756,159.56867176485426,0
OTS,D,20130912,000000,17.6584,17.6584,17.5756,17.5756,1106.3427909029897,0
OTS,D,20130913,000000,17.5734,17.8306,17.5734,17.8306,1680.790009256465,0
OTS,D,20130916,000000,17.8306,18.0028,17.8306,18.0028,648.9125985104074,0
OTS,D,20130917,000000,18.0028,18.1749,17.9674,18.0893,4818.973887298599,0
OTS,D,20130918,000000,17.6584,18.606,17.6584,18.5194,6552.953453810016,0
OTS,D,20130919,000000,18.4329,18.7782,18.4329,18.7782,1063.7911450990284,0
OTS,D,20130920,000000,18.606,18.7346,18.606,18.7346,106.37911450990283,0
OTS,D,20130923,000000,18.7346,19.0352,18.7346,18.9503,2872.236091767377,0
OTS,D,20130924,000000,18.9503,18.9503,18.9503,18.9503,287.2236091767377,0
OTS,D,20130926,000000,18.9669,18.9669,18.8638,18.8638,1191.446082510912,0
OTS,D,20130927,000000,18.8638,18.8638,18.8638,18.8638,127.65493741188342,0
OTS,D,20130930,000000,18.9503,18.9503,18.9503,18.9503,106.37911450990283,0
OTS,D,20131002,000000,18.9503,19.1225,18.9503,19.1225,5478.5243972599965,0
OTS,D,20131003,000000,19.1225,19.1225,19.1225,19.1225,63.82746870594171,0
OTS,D,20131004,000000,19.1225,19.1225,19.1225,19.1225,106.37911450990283,0
OTS,D,20131011,000000,18.6924,19.1225,18.6743,19.1225,1925.4619726292417,0
OTS,D,20131014,000000,19.1052,19.3813,19.1052,19.3813,2914.787737571338,0
OTS,D,20131015,000000,19.4767,19.8986,19.4767,19.8986,1829.7207695703291,0
OTS,D,20131016,000000,19.8986,20.6732,19.8986,20.501,1351.014754275766,0
OTS,D,20131017,000000,20.6732,21.0184,20.2416,20.2416,1585.0488061975525,0
OTS,D,20131021,000000,20.501,20.501,20.501,20.501,42.55164580396114,0
OTS,D,20131022,000000,20.2378,20.2378,20.2378,20.2378,127.65493741188342,0
OTS,D,20131025,000000,20.501,20.501,20.501,20.501,457.4301923925823,0
