<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PAS,D,20180730,000000,12.0536,14.4644,12.045,14.206,9829.62,0
PAS,D,20180731,000000,15.4113,15.4113,11.2787,11.4595,2185.9,0
PAS,D,20180801,000000,12.8714,13.1728,10.2972,13.1728,1484.37,0
PAS,D,20180802,000000,13.3364,15.4113,11.623,11.7092,569.126,0
PAS,D,20180803,000000,11.623,12.0536,11.1925,11.7092,420.456,0
PAS,D,20180806,000000,11.7953,13.6894,11.1925,12.0536,1374.03,0
PAS,D,20180807,000000,11.1065,12.9145,11.1065,12.9145,166.091,0
PAS,D,20180808,000000,12.8714,13.4742,12.8714,13.4742,102.21,0
PAS,D,20180809,000000,12.3118,14.0769,10.8481,11.8814,1386.8,0
PAS,D,20180810,000000,12.398,12.398,12.398,12.398,1.16148,0
PAS,D,20180813,000000,12.398,12.4841,12.398,12.4841,114.986,0
PAS,D,20180814,000000,12.0536,12.0536,11.623,11.623,522.666,0
PAS,D,20180816,000000,11.1925,11.1925,9.47065,9.48785,457.623,0
PAS,D,20180817,000000,10.6761,10.7621,10.6761,10.7621,242.749,0
PAS,D,20180820,000000,11.1925,11.1925,11.1925,11.1925,116.148,0
PAS,D,20180822,000000,10.3403,10.3403,9.29846,9.29846,168.414,0
PAS,D,20180823,000000,9.38452,9.38452,9.38452,9.38452,2.32296,0
PAS,D,20180827,000000,9.90115,10.1594,9.90115,10.1594,186.998,0
PAS,D,20180829,000000,10.3317,10.3317,10.3317,10.3317,17.4222,0
PAS,D,20180831,000000,10.3317,10.3317,10.3317,10.3317,96.403,0
PAS,D,20180903,000000,10.1594,10.1594,9.29846,9.29846,326.376,0
PAS,D,20180904,000000,9.51375,9.90115,8.60969,9.90115,813.037,0
PAS,D,20180905,000000,9.81503,9.81503,8.60969,9.04017,490.145,0
PAS,D,20180906,000000,8.4375,8.69579,8.17921,8.17921,639.976,0
PAS,D,20180907,000000,8.09311,8.23086,8.09311,8.23086,140.539,0
PAS,D,20180910,000000,8.23086,8.23086,7.66263,7.74872,209.066,0
PAS,D,20180911,000000,7.31824,7.31824,6.88775,7.31824,365.866,0
PAS,D,20180912,000000,7.30102,7.30102,7.30102,7.30102,135.893,0
PAS,D,20180913,000000,7.23214,7.23214,7.06856,7.06856,127.763,0
PAS,D,20180914,000000,7.57652,7.57652,7.57652,7.57652,4.64592,0
PAS,D,20180917,000000,7.57652,7.57652,7.57652,7.57652,41.8133,0
PAS,D,20180918,000000,7.57652,8.60969,7.57652,8.60969,145.185,0
PAS,D,20180919,000000,8.17921,8.17921,7.57652,7.58514,383.289,0
PAS,D,20180921,000000,8.59247,8.59247,8.59247,8.59247,5.8074,0
PAS,D,20180924,000000,8.01562,8.01562,8.01562,8.01562,203.259,0
PAS,D,20180927,000000,8.01562,8.01562,8.01562,8.01562,218.358,0
PAS,D,20180928,000000,8.00701,8.31696,8.00701,8.31696,114.986,0
PAS,D,20181016,000000,8.31696,8.31696,8.31696,8.31696,118.471,0
PAS,D,20181018,000000,8.2653,8.2653,8.2653,8.2653,34.8444,0
PAS,D,20181023,000000,8.60969,8.88521,8.60969,8.88521,10.4533,0
PAS,D,20181025,000000,8.95408,9.42764,8.95408,9.42764,73.1733,0
PAS,D,20181026,000000,8.78188,9.47065,8.78188,9.47065,24.3911,0
PAS,D,20181029,000000,9.42764,9.42764,8.78188,8.78188,118.471,0
PAS,D,20181030,000000,8.78188,8.78188,8.60969,8.60969,17.4222,0
PAS,D,20181031,000000,8.3514,8.88521,8.3514,8.88521,16.2607,0
PAS,D,20181105,000000,8.2653,8.2653,8.2653,8.2653,46.4592,0
PAS,D,20181108,000000,8.17921,8.17921,6.88775,7.74872,313.6,0
PAS,D,20181109,000000,7.31824,7.74872,6.19898,7.74872,521.505,0
PAS,D,20181113,000000,7.74872,7.85204,7.74872,7.85204,34.8444,0
PAS,D,20181114,000000,7.31824,7.31824,6.28507,7.31824,454.139,0
PAS,D,20181115,000000,7.31824,7.40433,6.03539,6.88775,752.64,0
PAS,D,20181116,000000,6.88775,8.2653,5.51021,6.03539,1993.1,0
PAS,D,20181119,000000,6.88775,6.88775,6.02679,6.02679,2.32296,0
PAS,D,20181120,000000,6.88775,6.88775,6.88775,6.88775,1.16148,0
PAS,D,20181121,000000,7.40433,8.2653,7.40433,7.67984,243.911,0
PAS,D,20181123,000000,8.60969,8.60969,8.60969,8.60969,1.16148,0
PAS,D,20181126,000000,7.95535,7.95535,7.95535,7.95535,1.16148,0
PAS,D,20181204,000000,7.95535,8.60969,7.74872,7.74872,192.806,0
PAS,D,20181205,000000,7.79177,8.36862,7.79177,8.36862,11.6148,0
