<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PBX,D,20150708,000000,8.50323,8.50323,8.50323,8.50323,635.6098785932387,0
PBX,D,20150709,000000,8.50323,8.50323,8.46227,8.46227,15801.26158182792,0
PBX,D,20150710,000000,8.70873,8.75943,8.58857,8.58857,5980.029607764723,0
PBX,D,20150713,000000,8.58857,8.80163,8.58857,8.80163,16720.7772061928,0
PBX,D,20150714,000000,8.92887,9.01401,8.80163,8.97154,12816.013852035006,0
PBX,D,20150715,000000,9.01401,9.01401,9.01401,9.01401,24458.26812826783,0
PBX,D,20150716,000000,9.07349,9.16694,9.07349,9.16694,30894.87749882203,0
PBX,D,20150717,000000,9.20093,9.26888,9.18393,9.18393,8526.7065213283,0
PBX,D,20150720,000000,9.22641,9.35575,9.22641,9.35575,3553.059221336205,0
PBX,D,20150721,000000,9.35575,9.35575,9.11596,9.26039,2749.012724915758,0
PBX,D,20150722,000000,9.01401,9.01401,9.01401,9.01401,3291.399821315322,0
PBX,D,20150723,000000,9.09897,9.10843,9.09897,9.10843,175.85206641079608,0
PBX,D,20150724,000000,8.92047,8.92047,8.92047,8.92047,69.91708664525628,0
PBX,D,20150728,000000,9.09897,9.09897,8.98099,8.98099,114.409778146783,0
PBX,D,20150729,000000,8.98099,9.18393,8.77595,9.09897,667.3903725229009,0
PBX,D,20150730,000000,9.09897,9.09897,9.09897,9.09897,17666.776575499076,0
PBX,D,20150731,000000,9.16694,9.16694,8.77595,8.77595,5909.053171321811,0
PBX,D,20150803,000000,8.92887,8.92887,8.92887,8.92887,24926.500738831513,0
PBX,D,20150804,000000,9.09897,9.09897,9.09897,9.09897,23577.948446416194,0
PBX,D,20150805,000000,8.88602,8.92887,8.88602,8.92887,16036.437236907417,0
PBX,D,20150806,000000,8.93812,8.93812,8.93812,8.93812,10.59349797655398,0
PBX,D,20150807,000000,9.00552,9.09897,9.00552,9.09897,2646.255794543184,0
PBX,D,20150810,000000,9.14145,9.14145,9.09897,9.09897,440.6895158246456,0
PBX,D,20150811,000000,9.03101,9.03101,9.03101,9.03101,56.14553927573609,0
PBX,D,20150812,000000,9.01401,9.01401,8.92887,8.92887,8112.500750445039,0
PBX,D,20150813,000000,9.03101,9.14145,9.03101,9.14145,167.37726802955288,0
PBX,D,20150818,000000,9.08954,9.08954,9.08954,9.08954,587.939137698746,0
PBX,D,20150819,000000,9.01308,9.27928,9.00459,9.00459,405.73097250201744,0
PBX,D,20150820,000000,9.00459,9.03951,9.00459,9.03007,2185.4386325630862,0
PBX,D,20150824,000000,8.58498,8.99703,8.5593,8.91113,25523.974024709165,0
PBX,D,20150825,000000,8.91113,8.91113,8.86658,8.91113,22193.37826088059,0
PBX,D,20150828,000000,8.91113,8.99703,8.91113,8.99703,12185.700722430043,0
PBX,D,20150831,000000,9.03951,9.12541,8.99703,9.12541,9093.458663073936,0
PBX,D,20150901,000000,9.12541,9.12541,8.99703,9.08954,4731.056196329007,0
PBX,D,20150902,000000,9.11596,9.11596,9.10843,9.10843,7521.383563353326,0
PBX,D,20150903,000000,9.08198,9.12541,9.08198,9.12541,21043.98373042448,0
PBX,D,20150904,000000,8.99703,8.99703,8.99703,8.99703,9323.337569165156,0
PBX,D,20150907,000000,8.73922,9.09897,8.65342,9.048,1902.592236589095,0
PBX,D,20150908,000000,8.91113,8.98003,8.69713,8.98003,82574.19802764297,0
PBX,D,20150910,000000,8.91113,8.91113,8.91113,8.91113,338.99193524972736,0
PBX,D,20150911,000000,8.91113,9.08954,8.91113,9.06594,13758.835171948309,0
PBX,D,20150914,000000,9.06594,9.06594,8.8255,8.99703,7599.775448379825,0
PBX,D,20150915,000000,9.048,9.048,8.99703,9.03007,2155.776838228735,0
PBX,D,20150916,000000,9.03007,9.03007,8.96229,8.96229,1490.505165301145,0
PBX,D,20150917,000000,8.98854,8.98854,8.92793,8.92793,7136.839586804416,0
PBX,D,20150918,000000,8.91113,8.91113,8.91113,8.91113,808.2838956110687,0
PBX,D,20150921,000000,8.91113,8.91113,8.86658,8.86658,652.5594753557252,0
PBX,D,20150922,000000,8.86658,8.91113,8.86658,8.91113,3644.1633039345697,0
PBX,D,20150923,000000,8.91113,8.91113,8.91113,8.91113,720.3578624056706,0
PBX,D,20150924,000000,8.97059,9.08198,8.85816,9.08198,47851.889709891984,0
PBX,D,20150925,000000,8.86658,8.93719,8.86658,8.93719,929.0497725437841,0
PBX,D,20150928,000000,8.99703,8.99703,8.95303,8.95303,1894.1174382078518,0
PBX,D,20150929,000000,8.99703,8.99703,8.99703,8.99703,10.59349797655398,0
PBX,D,20150930,000000,8.98854,8.99703,8.98854,8.99703,22.246345750763357,0
PBX,D,20151001,000000,8.98854,9.06594,8.91953,8.99703,34726.54571694161,0
PBX,D,20151002,000000,9.07349,9.07349,8.99703,8.99703,69873.65330355239,0
PBX,D,20151005,000000,8.99703,9.07349,8.96229,8.99703,3646.28200352988,0
PBX,D,20151006,000000,8.99703,9.24435,8.88516,9.2113,45469.412014965,0
PBX,D,20151007,000000,9.2113,9.2113,9.12541,9.19432,3808.3625225711567,0
