<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PCO,D,20210526,000000,40.7511,43.662,40.7511,43.662,19230676.479257,0
PCO,D,20210527,000000,43.662,43.662,42.5947,42.6917,6205470.241394349,0
PCO,D,20210528,000000,43.2544,43.5115,42.3229,43.3175,2926938.431245167,0
PCO,D,20210531,000000,43.3175,43.3175,42.3279,42.6917,946200.6015052338,0
PCO,D,20210601,000000,42.6819,42.9731,42.4006,42.6917,935623.0866280374,0
PCO,D,20210602,000000,42.6917,42.7839,42.0852,42.4346,239587.9780193501,0
PCO,D,20210604,000000,42.4491,42.6869,42.2551,42.5413,597007.5959958388,0
PCO,D,20210607,000000,42.5316,42.9294,42.4055,42.5947,738094.7212583519,0
PCO,D,20210608,000000,42.6917,42.9197,42.5947,42.5947,982484.476712454,0
PCO,D,20210609,000000,42.5947,42.8712,42.517,42.5995,651141.2208043612,0
PCO,D,20210610,000000,42.6917,42.779,42.2066,42.3958,756002.1870082583,0
PCO,D,20210611,000000,42.3035,42.5752,42.1774,42.3035,301063.92144671176,0
PCO,D,20210614,000000,42.2551,42.5316,41.2363,41.9155,1267435.2862435377,0
PCO,D,20210615,000000,42.1096,42.1096,41.246,41.5759,609186.7339967965,0
PCO,D,20210616,000000,41.7214,42.2017,40.9452,42.2017,457705.5487580069,0
PCO,D,20210617,000000,42.0125,42.5752,41.2897,42.488,786588.6538318535,0
PCO,D,20210618,000000,42.42,42.7402,41.8184,42.6869,310497.41980693577,0
PCO,D,20210621,000000,42.6723,42.9731,42.0319,42.7305,182378.9070066424,0
PCO,D,20210622,000000,42.6917,44.4333,42.5947,44.1956,702099.426794152,0
PCO,D,20210623,000000,44.2635,45.6025,43.7784,45.554,449069.77002313116,0
PCO,D,20210624,000000,45.554,50.1045,45.1174,48.0961,584256.4497363948,0
PCO,D,20210625,000000,47.2519,49.7261,47.2519,48.9984,1260432.0499977472,0
PCO,D,20210628,000000,49.0761,50.3956,48.7753,49.7746,1103618.3048861509,0
PCO,D,20210629,000000,49.7746,50.3956,49.0081,49.4835,619720.96176254,0
PCO,D,20210630,000000,49.1051,49.4835,47.0773,47.543,1330865.3335593496,0
PCO,D,20210701,000000,47.543,48.9984,46.8639,48.8141,731832.5191348165,0
PCO,D,20210702,000000,48.9984,50.3471,48.6783,49.8717,1545528.1805458518,0
PCO,D,20210705,000000,50.2597,51.2009,49.8717,50.3374,176941.22129173562,0
PCO,D,20210706,000000,50.4538,51.2688,50.0657,50.0851,264765.6172023406,0
PCO,D,20210707,000000,50.1725,51.3271,50.0463,50.9389,1318702.6858865644,0
PCO,D,20210708,000000,51.23,51.23,49.9687,50.4538,280796.2774771056,0
PCO,D,20210709,000000,50.6479,50.6479,49.9202,50.2501,165504.14805854365,0
PCO,D,20210712,000000,50.4441,50.7934,50.2113,50.677,33310.4629086026,0
PCO,D,20210713,000000,50.6867,51.8316,50.6867,51.5502,164217.9024610828,0
PCO,D,20210714,000000,51.6667,52.2294,50.1336,50.4538,520229.6586698378,0
PCO,D,20210715,000000,51.4144,51.4144,50.0657,50.4538,1124045.6989099286,0
PCO,D,20210716,000000,50.4538,51.8316,50.4538,51.3271,73997.2557379004,0
PCO,D,20210719,000000,51.3271,51.4241,49.0372,51.4241,256587.44507425392,0
PCO,D,20210720,000000,51.036,52.1421,50.5509,51.4629,377565.64577582205,0
PCO,D,20210721,000000,51.4629,52.4429,51.4629,52.1518,314734.40350177686,0
PCO,D,20210722,000000,51.9092,53.3355,51.4241,52.9377,386968.22477072245,0
PCO,D,20210723,000000,53.3452,53.3452,52.4041,52.7146,323560.851656148,0
PCO,D,20210726,000000,52.8115,53.3452,51.9092,52.6078,288788.9334132508,0
PCO,D,20210727,000000,52.7825,53.6557,52.6369,53.1124,272154.31486916525,0
PCO,D,20210728,000000,53.3161,53.811,52.6952,52.8795,261619.05645791104,0
PCO,D,20210729,000000,53.4228,53.4228,51.036,52.4913,200009.12911414722,0
PCO,D,20210730,000000,52.4913,53.1511,51.4241,51.9092,180402.1289169549,0
