<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PCX,D,20120803,000000,0.891631,1.05495,0.891631,0.952744,523569.30115466,0
PCX,D,20120806,000000,0.973241,1.06178,0.877871,1.04128,350258.42043693,0
PCX,D,20120807,000000,1.05495,1.25897,0.993639,1.25897,144975.28990632,0
PCX,D,20120808,000000,1.36127,1.49734,1.225,1.39514,243445.39337583,0
PCX,D,20120809,000000,1.35424,1.48368,1.32701,1.43604,74897.682373131,0
PCX,D,20120810,000000,1.42921,1.42921,1.39514,1.40188,28233.3723463,0
PCX,D,20120813,000000,1.40188,1.42921,1.40188,1.40188,22113.963820809,0
PCX,D,20120814,000000,1.40188,1.40188,1.36782,1.36782,3455.405640621,0
PCX,D,20120816,000000,1.41545,1.44278,1.39514,1.44278,12596.05477961,0
PCX,D,20120817,000000,1.45635,1.46327,1.43604,1.46327,7568.3816135834,0
PCX,D,20120820,000000,1.49734,1.53122,1.42247,1.49734,2120.2428023573,0
PCX,D,20120821,000000,1.56529,1.56529,1.49734,1.55846,3732.5546749252,0
PCX,D,20120822,000000,1.56529,1.56529,1.49734,1.49734,4268.9381671716,0
PCX,D,20120823,000000,1.51765,1.51765,1.45635,1.45635,23732.598485034,0
PCX,D,20120824,000000,1.48368,1.55172,1.48368,1.55172,6667.3838024425,0
PCX,D,20120827,000000,1.49734,1.55172,1.49734,1.54479,1990.6255733861,0
PCX,D,20120828,000000,1.55172,1.55172,1.47002,1.52439,10284.02063032,0
PCX,D,20120829,000000,1.52439,1.53825,1.52439,1.53825,86.411485980763,0
PCX,D,20120830,000000,1.53122,1.53122,1.46327,1.46327,11613.914475536,0
PCX,D,20120831,000000,1.42921,1.57895,1.32701,1.56529,60531.245929524,0
PCX,D,20120903,000000,1.56529,1.5857,1.56529,1.5857,4083.4696118958,0
PCX,D,20120904,000000,1.5857,1.5857,1.55846,1.56529,271.88004125655,0
PCX,D,20120905,000000,1.56529,1.56529,1.53122,1.53122,2236.1606494046,0
PCX,D,20120906,000000,1.55172,1.56529,1.55172,1.55846,588.019624113,0
PCX,D,20120907,000000,1.56529,1.56529,1.55846,1.55846,292.95601344698,0
PCX,D,20120910,000000,1.56529,1.56529,1.56529,1.56529,1790.403837577,0
PCX,D,20120911,000000,1.56529,1.56529,1.55846,1.55846,4238.3780074955,0
PCX,D,20120912,000000,1.54479,1.54479,1.49734,1.54479,750.30460997931,0
PCX,D,20120913,000000,1.54479,1.54479,1.41545,1.46327,14745.803943034,0
PCX,D,20120914,000000,1.46327,1.46327,1.44278,1.44278,1643.9258308535,0
PCX,D,20120917,000000,1.44278,1.44278,1.38841,1.38841,2240.3758438427,0
PCX,D,20120918,000000,1.38841,1.44278,1.33393,1.42921,32510.740902348,0
PCX,D,20120919,000000,1.40881,1.43604,1.40881,1.43604,1835.7171777865,0
PCX,D,20120920,000000,1.42921,1.42921,1.42247,1.42921,169.66157613296,0
PCX,D,20120921,000000,1.42921,1.42921,1.36782,1.42921,1397.3369562255,0
PCX,D,20120924,000000,1.43604,1.44278,1.43604,1.44278,675.48490870328,0
PCX,D,20120925,000000,1.44278,1.44278,1.42921,1.42921,71.658305447462,0
PCX,D,20120926,000000,1.41545,1.46327,1.38148,1.46327,13076.586945552,0
PCX,D,20120927,000000,1.46327,1.46327,1.44278,1.45635,1278.2577133496,0
PCX,D,20120928,000000,1.45635,1.49041,1.45635,1.49041,292.95601344698,0
PCX,D,20121001,000000,1.49041,1.49041,1.48368,1.49041,477.37077011324,0
PCX,D,20121002,000000,1.49734,1.49734,1.44278,1.49734,14618.294311282,0
