<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PEO,D,19980630,000000,18.722,18.722,18.722,18.722,1646067.1217906843,0
PEO,D,19980701,000000,19.9128,19.9128,19.9128,19.9128,1913612.3902059076,0
PEO,D,19980702,000000,20.7667,20.7667,20.7667,20.7667,1746463.4489333103,0
PEO,D,19980703,000000,19.9128,19.9128,19.9128,19.9128,2496804.5380935883,0
PEO,D,19980706,000000,19.9128,19.9128,19.9128,19.9128,1159434.7372810289,0
PEO,D,19980707,000000,19.4035,19.9128,19.4035,19.5759,846469.4076479457,0
PEO,D,19980708,000000,19.4035,19.4035,18.722,18.722,2237498.6686261604,0
PEO,D,19980709,000000,18.722,18.722,18.722,18.722,772458.6320812342,0
PEO,D,19980710,000000,18.722,19.2348,18.722,19.0631,283830.8149536765,0
PEO,D,19980713,000000,19.4035,20.2541,19.4035,20.0852,150526.32841355304,0
PEO,D,19980714,000000,20.4262,20.9349,20.4262,20.4262,475239.5428736573,0
PEO,D,19980715,000000,20.7667,20.9349,20.0852,20.7667,936323.798355001,0
PEO,D,19980716,000000,20.7667,20.7667,20.4262,20.5939,608945.5128534188,0
PEO,D,19980717,000000,21.1078,21.2766,20.9349,21.1078,680948.87122194,0
PEO,D,19980720,000000,21.1078,22.1264,21.1078,22.1264,369850.1399686667,0
PEO,D,19980721,000000,22.1264,22.1264,21.4496,21.6164,346967.08198183327,0
PEO,D,19980722,000000,21.786,21.786,21.1078,21.4496,440105.2476877191,0
PEO,D,19980723,000000,21.6164,22.1264,21.6164,21.9576,302556.72165321285,0
PEO,D,19980724,000000,21.786,22.1264,21.786,21.9576,209779.59142849394,0
PEO,D,19980727,000000,21.6164,21.6164,21.2766,21.6164,157869.87998484322,0
PEO,D,19980728,000000,21.4496,21.4496,20.9349,21.1078,243018.82485643894,0
PEO,D,19980729,000000,21.1078,21.6164,21.1078,21.6164,390000.7136499038,0
PEO,D,19980730,000000,21.786,21.786,21.6164,21.786,177451.1861024144,0
PEO,D,19980731,000000,21.2766,21.4496,21.1078,21.4496,260961.23961966668,0
PEO,D,19980803,000000,20.7667,21.4496,20.7667,21.1078,233503.06810800254,0
PEO,D,19980804,000000,21.2766,21.2766,21.1078,21.1078,282806.1333390779,0
PEO,D,19980805,000000,20.4262,20.7667,20.4262,20.5939,390890.5687362657,0
PEO,D,19980806,000000,20.7667,21.1078,20.5939,20.5939,191395.24526715712,0
PEO,D,19980807,000000,20.7667,21.1078,20.7667,21.1078,134305.19899414666,0
PEO,D,19980810,000000,21.1078,21.1078,20.7667,20.9349,130321.8241210213,0
PEO,D,19980811,000000,20.5939,20.5939,19.7447,19.7447,353510.6628189192,0
PEO,D,19980812,000000,20.4262,20.9349,20.2541,20.7667,394279.2088126138,0
PEO,D,19980813,000000,20.0852,20.0852,19.5759,19.9128,146865.03913565967,0
PEO,D,19980814,000000,20.0852,20.4262,20.0852,20.4262,144610.4399690355,0
PEO,D,19980817,000000,20.0852,20.5939,20.0852,20.4262,198609.9626003545,0
PEO,D,19980818,000000,20.5939,21.1078,20.5939,20.7667,124846.36900207687,0
PEO,D,19980819,000000,20.5939,20.9349,20.5939,20.9349,237401.05284657807,0
PEO,D,19980820,000000,20.5939,20.5939,20.0852,20.2541,472092.0924755992,0
PEO,D,19980821,000000,20.2541,20.4262,19.7447,20.2541,502020.58559906617,0
PEO,D,19980824,000000,20.0852,20.5939,20.0852,20.5939,202058.52557814115,0
PEO,D,19980825,000000,20.4262,20.4262,20.0852,20.0852,94700.65536089525,0
PEO,D,19980826,000000,20.0852,20.2541,20.0852,20.0852,497607.26390811946,0
PEO,D,19980827,000000,19.7447,19.9128,19.4035,19.7447,1070736.858571737,0
PEO,D,19980828,000000,17.871,18.3817,17.5312,18.3817,66682.20472078098,0
PEO,D,19980831,000000,17.3616,17.7034,17.1895,17.3616,269095.7734899453,0
PEO,D,19980901,000000,15.626,15.7943,14.7048,15.6588,358776.3877828289,0
PEO,D,19980902,000000,16.8489,17.5312,16.6807,17.5312,342433.91448800947,0
PEO,D,19980903,000000,17.3616,17.3616,16.6807,16.6807,548011.4124531276,0
PEO,D,19980904,000000,17.0218,17.5312,17.0218,17.5312,336116.5426038539,0
PEO,D,19980907,000000,17.5312,18.3817,17.5312,18.0439,163008.268783196,0
PEO,D,19980908,000000,17.5312,18.2127,17.5312,18.2127,527297.5634983683,0
PEO,D,19980909,000000,18.0439,18.0439,17.7034,17.871,357633.35843788914,0
