<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PHR,D,20080825,000000,23.1744,23.1744,20.8525,21.241,1594.9999999890001,0
PHR,D,20080826,000000,21.334,21.334,21.334,21.334,128.39694656400002,0
PHR,D,20080827,000000,20.969,20.969,20.969,20.969,128.39694656400002,0
PHR,D,20080828,000000,21.3187,21.3187,21.3187,21.3187,5.5343511450000005,0
PHR,D,20080902,000000,21.3973,21.3973,20.5959,21.2491,288.89312976900004,0
PHR,D,20080904,000000,20.8525,20.8525,20.8525,20.8525,116.221374045,0
PHR,D,20080905,000000,21.3973,21.3973,21.3973,21.3973,128.39694656400002,0
PHR,D,20080911,000000,21.0088,21.0088,20.969,20.969,136.14503816700002,0
PHR,D,20080915,000000,21.0476,21.0476,21.0476,21.0476,13.282442748000001,0
PHR,D,20080916,000000,21.1244,21.1244,21.1244,21.1244,5.5343511450000005,0
PHR,D,20080929,000000,21.1407,21.1407,21.1407,21.1407,5.5343511450000005,0
PHR,D,20081001,000000,21.1407,21.2021,21.1407,21.2021,49.809160305000006,0
PHR,D,20081003,000000,21.1714,21.241,21.1714,21.241,45.381679389000006,0
PHR,D,20081006,000000,20.8606,21.0856,20.3167,20.3167,312.13740457800003,0
PHR,D,20081007,000000,20.3167,20.3167,19.7187,19.7187,256.79389312800004,0
PHR,D,20081008,000000,19.8515,19.8515,19.8515,19.8515,74.160305343,0
PHR,D,20081010,000000,19.3853,19.3853,19.3853,19.3853,128.39694656400002,0
PHR,D,20081013,000000,19.5416,19.5416,19.5416,19.5416,128.39694656400002,0
PHR,D,20081014,000000,19.5416,19.5416,19.5416,19.5416,128.39694656400002,0
PHR,D,20081024,000000,18.7574,18.7574,18.7402,18.7402,136.14503816700002,0
PHR,D,20081029,000000,18.7728,18.8116,18.7728,18.8116,64.19847328200001,0
PHR,D,20081030,000000,18.8179,18.8342,18.8179,18.8342,404.007633585,0
PHR,D,20081031,000000,18.8495,18.8495,18.8495,18.8495,18.816793893000003,0
PHR,D,20081103,000000,18.9209,19.0366,18.9209,19.0366,431.67938931000003,0
PHR,D,20081106,000000,19.1612,19.4639,18.6942,19.4639,465.99236640900006,0
PHR,D,20081107,000000,19.4639,19.4639,19.4639,19.4639,116.221374045,0
PHR,D,20081110,000000,19.5018,19.5326,19.5018,19.5326,3.3206106870000003,0
PHR,D,20081112,000000,19.697,19.7349,18.8035,19.2299,986.2213740390001,0
PHR,D,20081113,000000,18.6165,19.369,18.6165,19.369,131.71755725100002,0
PHR,D,20081114,000000,19.369,19.369,19.369,19.369,1.106870229,0
PHR,D,20081117,000000,18.5388,19.4639,18.5388,19.4639,236.87022900600002,0
PHR,D,20081118,000000,18.8423,19.4856,18.5622,19.4856,275.61068702100005,0
PHR,D,20081119,000000,19.0745,19.0745,19.0519,19.0519,13076.564885406002,0
PHR,D,20081120,000000,19.4169,19.4169,18.7728,19.4088,670.763358774,0
PHR,D,20081124,000000,19.4169,19.4169,18.8495,19.4169,142.78625954100002,0
PHR,D,20081125,000000,19.3853,19.3853,19.3853,19.3853,1.106870229,0
PHR,D,20081126,000000,19.3853,19.3853,19.3853,19.3853,1.106870229,0
PHR,D,20081127,000000,19.3853,19.3853,19.3853,19.3853,1.106870229,0
PHR,D,20081201,000000,18.9209,19.3853,18.5388,19.3853,131.71755725100002,0
PHR,D,20081202,000000,18.5388,19.1531,18.5008,19.1531,1295.03816793,0
PHR,D,20081209,000000,18.0979,18.6562,18.0979,18.6562,131.71755725100002,0
PHR,D,20081210,000000,18.6562,18.8568,18.6562,18.8568,130.610687022,0
PHR,D,20081211,000000,18.8568,18.8568,18.8568,18.8568,1.106870229,0
PHR,D,20081215,000000,18.8649,18.8649,18.8649,18.8649,1.106870229,0
PHR,D,20081216,000000,18.5388,18.7728,18.5388,18.7728,260.11450381500003,0
PHR,D,20081217,000000,18.7728,18.7728,18.7728,18.7728,1.106870229,0
PHR,D,20081218,000000,18.7728,18.7728,18.7728,18.7728,1.106870229,0
PHR,D,20081219,000000,18.7728,18.7728,18.7728,18.7728,1.106870229,0
PHR,D,20081222,000000,18.7728,18.7728,18.7728,18.7728,1.106870229,0
PHR,D,20081229,000000,18.7728,18.7728,18.7728,18.7728,1.106870229,0
PHR,D,20081230,000000,18.7728,18.7728,18.7728,18.7728,1.106870229,0
PHR,D,20081231,000000,18.7728,18.7728,18.7728,18.7728,1.106870229,0
PHR,D,20090105,000000,18.7728,18.7728,17.966,18.4294,187.061068701,0
PHR,D,20090107,000000,18.3843,18.3843,17.5531,17.9416,265.64885496,0
PHR,D,20090109,000000,17.8413,17.8413,17.096,17.3977,157.17557251800002,0
