<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PJP,D,19990810,000000,4.23737,4.23737,4.23737,4.23737,57599.78712476201,0
PJP,D,19990811,000000,4.44694,4.44694,4.44694,4.44694,68055.43676059767,0
PJP,D,19990812,000000,4.87171,4.87171,4.87171,4.87171,40717.009087864564,0
PJP,D,19990813,000000,5.29667,5.29667,5.29667,5.29667,71595.2210257824,0
PJP,D,19990816,000000,5.18893,5.18893,5.18893,5.18893,24610.041677451303,0
PJP,D,19990817,000000,4.68492,4.68492,4.68492,4.68492,0,0
PJP,D,19990818,000000,4.28844,4.28844,4.28844,4.28844,45222.40474442206,0
PJP,D,19990819,000000,4.44694,4.44694,4.44694,4.44694,24407.192109975575,0
PJP,D,19990820,000000,4.33937,4.33937,4.33937,4.33937,5851.7948324913705,0
PJP,D,19990823,000000,4.23737,4.23737,4.23737,4.23737,16003.763244505095,0
PJP,D,19990824,000000,4.31652,4.31652,4.31652,4.31652,26426.19774648526,0
PJP,D,19990825,000000,4.23737,4.23737,4.23737,4.23737,6851.807612501571,0
PJP,D,19990826,000000,4.23737,4.23737,4.23737,4.23737,9969.285175807303,0
PJP,D,19990827,000000,4.18055,4.18055,4.18055,4.18055,7625.245729425183,0
PJP,D,19990830,000000,4.23737,4.23737,4.23737,4.23737,3331.003423806125,0
PJP,D,19990831,000000,4.18055,4.18055,4.18055,4.18055,17079.69633047041,0
PJP,D,19990901,000000,4.23737,4.23737,4.23737,4.23737,7536.276620883343,0
PJP,D,19990902,000000,4.18055,4.18055,4.18055,4.18055,3494.7065835231606,0
PJP,D,19990903,000000,4.12972,4.12972,4.12972,4.12972,2756.856110016158,0
PJP,D,19990906,000000,4.12972,4.12972,4.12972,4.12972,6657.261828490035,0
PJP,D,19990907,000000,4.07872,4.07872,4.07872,4.07872,8411.73264893499,0
PJP,D,19990908,000000,3.97106,3.97106,3.97106,3.97106,6335.786782958944,0
