<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PKN,D,19991126,000000,10.95,11.0468,10.5534,10.897,22109912.618100207,0
PKN,D,19991129,000000,10.8468,10.897,10.6517,10.7026,7667701.521713201,0
PKN,D,19991130,000000,10.8008,10.9946,10.8008,10.897,4583288.537434141,0
PKN,D,19991201,000000,10.9946,11.2412,10.897,11.2412,4291399.20732926,0
PKN,D,19991202,000000,11.3444,11.6879,11.2921,11.442,4606890.384623811,0
PKN,D,19991203,000000,11.442,11.6364,11.3444,11.5891,3287713.4704543822,0
PKN,D,19991206,000000,11.6879,12.0824,11.6879,12.0316,4190032.7106764712,0
PKN,D,19991207,000000,11.9849,12.0316,11.8359,11.8359,3382990.9219912444,0
PKN,D,19991208,000000,11.8359,12.1284,11.8359,11.9332,5308690.829764295,0
PKN,D,19991209,000000,11.9332,11.9332,11.6364,11.8359,3504519.450330842,0
PKN,D,19991210,000000,11.9332,11.9332,11.7333,11.7841,2611694.2124431576,0
PKN,D,19991213,000000,11.7333,11.8359,11.6364,11.6879,2199362.538140036,0
PKN,D,19991214,000000,11.8359,12.0316,11.8359,12.0316,4407487.0546424445,0
PKN,D,19991215,000000,11.9849,11.9849,11.8359,11.8831,1827681.2007523524,0
PKN,D,19991216,000000,11.8359,11.8359,11.6879,11.7333,2043318.7309363121,0
PKN,D,19991217,000000,11.7333,11.8359,11.6879,11.6879,1880700.6512980585,0
PKN,D,19991220,000000,11.8359,11.9849,11.7841,11.9849,3397306.5222214293,0
PKN,D,19991221,000000,11.8831,12.2309,11.8831,12.0316,2218969.6259394763,0
PKN,D,19991222,000000,12.33,12.7236,12.33,12.6211,3993137.7828392666,0
PKN,D,19991223,000000,12.6735,12.8212,12.576,12.6211,1822198.6897846807,0
PKN,D,19991227,000000,12.6735,12.9703,12.6735,12.7236,2147395.80778268,0
PKN,D,19991228,000000,12.6735,12.6735,12.3758,12.426,1563016.1907501644,0
PKN,D,19991229,000000,12.426,12.8735,12.426,12.8735,2805503.484946827,0
PKN,D,20000103,000000,13.1195,13.3139,12.9195,13.1654,2240436.751793564,0
PKN,D,20000104,000000,12.8212,12.8212,12.5236,12.6211,2749981.209582461,0
PKN,D,20000105,000000,12.1807,12.576,12.1807,12.4777,3791076.8572565834,0
PKN,D,20000106,000000,12.5236,12.7702,12.3758,12.7236,2291490.1951001,0
PKN,D,20000107,000000,12.9195,13.4631,12.9195,13.3139,5838771.0000485815,0
PKN,D,20000110,000000,13.3664,14.0054,13.3664,13.4631,6153719.782438139,0
PKN,D,20000111,000000,13.2623,13.3664,12.9703,13.2163,2349417.692086855,0
PKN,D,20000112,000000,12.9195,13.1654,12.9195,13.1654,1905422.1465820915,0
PKN,D,20000113,000000,13.2163,13.6574,13.2163,13.5606,2985922.9932535104,0
