<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PKO,D,20041110,000000,11.1556,11.8286,11.1556,11.7813,121631062.44436885,0
PKO,D,20041112,000000,11.7813,12.4064,11.7813,11.8771,43456134.017467245,0
PKO,D,20041115,000000,11.7813,11.8771,11.5912,11.8286,18077057.90763929,0
PKO,D,20041116,000000,11.7813,11.8286,11.7334,11.7813,8204321.080703375,0
PKO,D,20041117,000000,11.7813,11.8286,11.6854,11.7813,6772522.918700802,0
PKO,D,20041118,000000,11.7813,11.8286,11.7334,11.7813,3766886.868112302,0
PKO,D,20041119,000000,11.8286,11.8286,11.6854,11.6854,6285464.377346373,0
PKO,D,20041122,000000,11.6383,11.6854,11.4421,11.5912,7702739.515195606,0
PKO,D,20041123,000000,11.5433,11.5912,11.4421,11.5433,7441155.428155933,0
PKO,D,20041124,000000,11.5433,11.5433,11.4421,11.5433,6655792.944886668,0
PKO,D,20041125,000000,11.5433,11.8771,11.5433,11.8771,5887048.49414508,0
PKO,D,20041126,000000,11.8286,11.8771,11.7334,11.8771,2234918.898929636,0
PKO,D,20041129,000000,11.8286,11.9251,11.7813,11.9251,4766466.259128181,0
PKO,D,20041130,000000,11.9251,12.0673,11.8771,12.0202,10452461.021180917,0
PKO,D,20041201,000000,11.8771,12.1204,11.8286,12.1204,5168089.754021036,0
PKO,D,20041202,000000,12.0673,12.3113,12.0673,12.2634,5622294.934298355,0
PKO,D,20041203,000000,12.2634,12.3113,12.1667,12.3113,5653937.057012252,0
PKO,D,20041206,000000,12.2148,12.2634,12.0673,12.2148,2397141.9861651817,0
PKO,D,20041207,000000,12.1667,12.4535,12.1667,12.4535,5781652.344667988,0
PKO,D,20041208,000000,12.3113,12.4064,12.2634,12.3585,2612121.671599841,0
PKO,D,20041209,000000,12.2634,12.3113,12.1667,12.2148,1760463.2861689783,0
PKO,D,20041210,000000,12.1667,12.3585,12.1667,12.2634,4956175.645811873,0
PKO,D,20041213,000000,12.2148,12.2634,12.0202,12.1204,2046629.856906375,0
PKO,D,20041214,000000,12.0673,12.2148,12.0202,12.1204,3183714.3926636796,0
PKO,D,20041215,000000,12.0673,12.1667,12.0202,12.0673,1795181.5071799848,0
PKO,D,20041216,000000,12.0673,12.2634,12.0202,12.2148,2773101.957257571,0
PKO,D,20041217,000000,12.1667,12.5013,12.1204,12.5013,5185448.2069595475,0
PKO,D,20041220,000000,12.5013,12.9835,12.5013,12.9356,6330169.725534807,0
PKO,D,20041221,000000,12.8404,13.2694,12.7447,13.1743,4755077.199165468,0
PKO,D,20041222,000000,13.2214,13.7044,12.8404,13.1743,5265675.322999387,0
PKO,D,20041223,000000,13.0313,13.2694,12.7447,12.7447,2438472.7006510533,0
PKO,D,20041224,000000,12.7447,12.9356,12.6967,12.9356,495412.27217238705,0
PKO,D,20041227,000000,12.9356,12.9356,12.7926,12.8877,927473.2270856885,0
PKO,D,20041228,000000,12.8877,12.8877,12.6967,12.7447,1224968.3616243426,0
PKO,D,20041229,000000,12.7447,13.1743,12.7447,13.0784,2594392.3508889205,0
PKO,D,20041230,000000,13.1263,13.4647,13.1263,13.3226,2147041.648732267,0
PKO,D,20041231,000000,13.3226,13.4647,13.3226,13.3705,763038.0845547906,0
PKO,D,20050103,000000,13.4647,13.7986,13.4175,13.6564,2939395.384052575,0
PKO,D,20050104,000000,13.5606,13.6564,13.4175,13.5606,2060196.7786817562,0
PKO,D,20050105,000000,13.4647,13.5606,13.1743,13.1743,2865612.42434262,0
PKO,D,20050106,000000,13.1263,13.4647,12.8877,13.3705,2733349.403505496,0
PKO,D,20050107,000000,13.3226,13.6077,13.2694,13.6077,2834443.749848827,0
PKO,D,20050110,000000,13.4647,13.5127,13.2694,13.3226,2114945.8048073924,0
PKO,D,20050111,000000,13.3705,13.4175,13.0784,13.3705,2030644.40380627,0
PKO,D,20050112,000000,13.2214,13.3705,13.1263,13.3705,1125154.9557432912,0
PKO,D,20050113,000000,13.3705,13.4647,13.2694,13.4175,3155690.2034321255,0
PKO,D,20050114,000000,13.3226,13.3705,13.1263,13.1263,1567621.250428523,0
PKO,D,20050117,000000,13.1743,13.2694,12.9835,13.1743,2291945.737047672,0
PKO,D,20050118,000000,12.7447,13.0784,12.5972,12.6967,3010200.88051129,0
PKO,D,20050119,000000,12.5486,12.9835,12.4064,12.9835,5274634.015432022,0
PKO,D,20050120,000000,12.8404,13.1263,12.6967,12.7926,6069486.50524754,0
PKO,D,20050121,000000,12.6967,12.7926,12.5013,12.5972,2093445.9950764475,0
PKO,D,20050124,000000,12.5013,12.7447,12.5013,12.7447,1727362.6799101415,0
PKO,D,20050125,000000,12.7447,13.0313,12.6967,12.9835,2584489.392283923,0
PKO,D,20050126,000000,12.9835,13.1743,12.8877,13.1743,1650786.3757012298,0
PKO,D,20050127,000000,13.0784,13.1743,12.9356,12.9356,2318328.639116104,0
PKO,D,20050128,000000,12.9356,12.9356,12.7926,12.7926,2237593.8813734776,0
PKO,D,20050131,000000,12.8404,12.8404,12.6967,12.7447,1448933.042170431,0
PKO,D,20050201,000000,12.7447,12.9835,12.6967,12.8877,1638530.6424689149,0
PKO,D,20050202,000000,12.8877,12.8877,12.5972,12.6451,1549222.5265396212,0
PKO,D,20050203,000000,12.6451,12.7447,12.5486,12.5972,1855072.7070300714,0
PKO,D,20050204,000000,12.6451,12.9835,12.6451,12.9356,2795238.291817913,0
PKO,D,20050207,000000,13.0313,13.0784,12.8877,13.0784,1859331.110743637,0
PKO,D,20050208,000000,13.0784,13.0784,12.9835,13.0313,1453976.5808491306,0
PKO,D,20050209,000000,12.9835,12.9835,12.7926,12.8404,1165596.6396824725,0
PKO,D,20050210,000000,12.7926,12.8404,12.5972,12.6967,3990370.209634636,0
PKO,D,20050211,000000,12.7447,12.9356,12.7447,12.7926,1841330.8724399204,0
PKO,D,20050214,000000,12.8404,12.9356,12.7926,12.8404,1311671.1972087868,0
PKO,D,20050215,000000,12.8404,12.8877,12.6967,12.6967,2592038.2611275017,0
PKO,D,20050216,000000,12.7926,12.9835,12.6967,12.8404,3871726.7159307227,0
PKO,D,20050217,000000,12.9356,13.0784,12.8877,13.0784,3908864.783400315,0
PKO,D,20050218,000000,12.9835,13.3705,12.9356,13.2694,7603099.706995272,0
PKO,D,20050221,000000,13.1263,13.5606,13.1263,13.4647,5800247.023514766,0
PKO,D,20050222,000000,13.5127,13.5606,13.2694,13.4647,4456958.691136898,0
PKO,D,20050223,000000,13.2214,13.4647,13.2214,13.4647,2459433.3054647273,0
PKO,D,20050224,000000,13.4175,13.6077,13.3705,13.4647,3087355.8436558433,0
PKO,D,20050225,000000,13.5606,13.7986,13.5606,13.6077,7971871.155944875,0
PKO,D,20050228,000000,13.7044,13.7986,13.2694,13.4647,2253664.818179995,0
PKO,D,20050301,000000,13.3226,13.6564,13.1743,13.5127,3205101.100875434,0
PKO,D,20050302,000000,13.3226,13.4175,12.9835,13.0313,1874923.3387942438,0
PKO,D,20050303,000000,13.0313,13.3226,12.9835,13.2214,6254994.038977318,0
PKO,D,20050304,000000,13.1743,13.4647,13.1743,13.4647,3495902.2036346123,0
PKO,D,20050307,000000,13.4175,13.7507,13.4175,13.6077,3878607.496730301,0
PKO,D,20050308,000000,13.4647,13.6564,13.3705,13.5127,2315615.517787752,0
PKO,D,20050309,000000,13.4647,13.7507,13.4647,13.6077,5596014.612677617,0
PKO,D,20050310,000000,13.4647,13.5606,13.4175,13.4647,2577200.9199612886,0
PKO,D,20050311,000000,13.4647,13.5127,13.3705,13.4175,2349446.02338605,0
PKO,D,20050314,000000,13.3226,13.4647,13.2214,13.2214,1137126.6200435918,0
PKO,D,20050315,000000,13.2694,13.4175,13.2214,13.2214,2335988.2577280332,0
PKO,D,20050316,000000,13.1743,13.2214,12.7926,12.7926,2813304.2868187963,0
PKO,D,20050317,000000,12.8404,13.0313,12.7926,12.9835,4498627.395046713,0
PKO,D,20050318,000000,12.9835,13.0784,12.8877,12.9356,3931253.6236780696,0
PKO,D,20050321,000000,13.0313,13.1263,12.7447,12.7447,2131596.7156835333,0
PKO,D,20050322,000000,12.7926,12.9835,12.7926,12.9835,1011430.0629932451,0
PKO,D,20050323,000000,12.8877,12.9835,12.7926,12.9356,1586457.9139211015,0
PKO,D,20050324,000000,12.9356,12.9835,12.7926,12.7926,2041727.0375598802,0
PKO,D,20050329,000000,12.8404,12.8877,12.5972,12.6451,1699481.840278517,0
PKO,D,20050330,000000,12.8404,13.0784,12.8404,13.0784,2880852.196495963,0
PKO,D,20050331,000000,13.0313,13.3705,13.0313,13.3705,2765408.4236799628,0
PKO,D,20050401,000000,13.2214,13.3226,12.9835,12.9835,1058866.9443852713,0
PKO,D,20050404,000000,13.1263,13.1263,12.8877,13.0313,1578935.347756438,0
PKO,D,20050405,000000,12.9356,13.0784,12.7926,13.0784,1480826.3554678785,0
PKO,D,20050406,000000,12.9835,13.1263,12.9356,13.1263,1382851.5068418547,0
PKO,D,20050407,000000,13.1263,13.1743,12.9356,13.0313,1064428.6458381934,0
PKO,D,20050411,000000,12.8877,13.1743,12.7447,13.1263,1594090.9513372304,0
PKO,D,20050412,000000,13.0313,13.0784,12.9356,13.0784,621790.0686061785,0
PKO,D,20050413,000000,13.0313,13.1263,12.9835,13.0784,1168464.9468162644,0
PKO,D,20050414,000000,12.9356,13.1263,12.9356,12.9835,782996.5573023818,0
PKO,D,20050415,000000,12.8877,12.9356,12.7926,12.8404,1115292.7662905995,0
PKO,D,20050418,000000,12.7447,12.7447,12.5972,12.6451,1588783.0707356427,0
PKO,D,20050419,000000,12.5972,12.7447,12.5972,12.6967,964219.3846397406,0
PKO,D,20050420,000000,12.6967,12.7447,12.3113,12.4535,2367723.7549519935,0
PKO,D,20050421,000000,12.5013,12.6967,12.4535,12.6451,1472517.3392041,0
PKO,D,20050422,000000,12.6451,12.8877,12.6451,12.7447,1399168.373695996,0
PKO,D,20050425,000000,12.7447,12.7926,12.5013,12.5013,675415.9703428447,0
PKO,D,20050426,000000,12.5013,12.6451,12.4064,12.4535,1516732.142431148,0
PKO,D,20050427,000000,12.4535,12.4535,12.0673,12.1667,2552951.165151584,0
PKO,D,20050428,000000,12.1667,12.2634,12.0673,12.0673,1931167.6722151097,0
PKO,D,20050429,000000,12.1204,12.2634,12.1204,12.1204,2225552.514974066,0
PKO,D,20050502,000000,12.2148,12.3113,12.2148,12.2148,768065.8416260938,0
PKO,D,20050504,000000,12.3585,12.5486,12.3113,12.4064,2394138.220235028,0
PKO,D,20050505,000000,12.4535,12.6967,12.4535,12.6451,2599096.585009694,0
PKO,D,20050506,000000,12.6451,12.7447,12.5486,12.5972,1448434.6064053946,0
PKO,D,20050509,000000,12.5972,12.6967,12.5013,12.6451,488588.0421323789,0
PKO,D,20050510,000000,12.6967,12.6967,12.3113,12.4064,1517093.804266044,0
PKO,D,20050511,000000,12.3113,12.5972,12.2634,12.5013,561709.4894680268,0
PKO,D,20050512,000000,12.5013,12.7926,12.5013,12.7926,1153230.4351987164,0
PKO,D,20050513,000000,12.7447,12.8877,12.6967,12.7447,1857808.1856353928,0
PKO,D,20050516,000000,12.5013,12.7447,12.5013,12.7447,494256.2694348332,0
PKO,D,20050517,000000,12.5972,12.8404,12.5972,12.8404,2429053.7113378933,0
PKO,D,20050518,000000,12.7926,12.9835,12.7447,12.9835,2474805.906146506,0
PKO,D,20050519,000000,12.9356,12.9835,12.7926,12.8404,882574.5542072916,0
PKO,D,20050520,000000,12.6967,12.8877,12.6451,12.8877,2060670.2269019787,0
PKO,D,20050523,000000,12.7926,12.8877,12.7926,12.8877,1017601.9865965905,0
PKO,D,20050524,000000,12.8877,12.9356,12.7926,12.8404,1653926.9155616441,0
PKO,D,20050525,000000,12.8404,12.9356,12.7926,12.8404,2434448.390779755,0
PKO,D,20050527,000000,12.9835,12.9835,12.7447,12.8404,2676447.503112126,0
PKO,D,20050530,000000,12.8404,12.8404,12.7447,12.7447,618790.2480778974,0
PKO,D,20050531,000000,12.6967,13.0784,12.6451,12.7447,3922685.5260270895,0
PKO,D,20050601,000000,12.7926,12.7926,12.5972,12.6967,1819560.1451162992,0
PKO,D,20050602,000000,12.7447,12.8404,12.6967,12.7926,2181974.2365764147,0
PKO,D,20050603,000000,12.7926,12.8404,12.7447,12.7926,1142752.7630598065,0
PKO,D,20050606,000000,12.7447,12.8877,12.7447,12.8404,1342964.8094273645,0
PKO,D,20050607,000000,12.8404,12.9356,12.7926,12.8877,2579124.9609226813,0
PKO,D,20050608,000000,12.7926,12.9835,12.7926,12.9835,3327057.4169865693,0
PKO,D,20050609,000000,12.8877,13.0313,12.8404,13.0313,930361.2612286545,0
PKO,D,20050610,000000,12.9835,13.1743,12.9356,12.9835,1086207.2639655008,0
PKO,D,20050613,000000,12.9835,13.3705,12.9356,13.2694,2371954.5408527823,0
PKO,D,20050614,000000,13.2214,13.3705,13.0313,13.0784,1371106.0455800518,0
PKO,D,20050615,000000,13.0784,13.1743,13.0313,13.1263,3878130.1031082533,0
PKO,D,20050616,000000,13.0784,13.2214,13.0313,13.1743,2842259.5908832564,0
PKO,D,20050617,000000,13.0784,13.2694,13.0784,13.2694,1001746.7317570528,0
PKO,D,20050620,000000,13.1743,13.3705,13.0784,13.1743,748204.6887904266,0
PKO,D,20050621,000000,13.2214,13.2214,13.1263,13.1263,983609.7195231357,0
PKO,D,20050622,000000,13.1263,13.3705,13.1263,13.2694,2756285.339504292,0
PKO,D,20050623,000000,13.2694,13.3226,13.0784,13.2214,1152546.565547368,0
PKO,D,20050624,000000,13.0784,13.0784,12.8404,12.8877,2516468.034386533,0
PKO,D,20050627,000000,12.8877,12.9835,12.6967,12.7447,1599554.0177443419,0
PKO,D,20050628,000000,12.8404,13.0784,12.7926,12.9835,1213581.931929473,0
PKO,D,20050629,000000,12.9835,13.0313,12.9356,12.9835,1063788.1756070303,0
PKO,D,20050630,000000,12.8877,13.1263,12.8404,13.0313,4510449.134077297,0
PKO,D,20050701,000000,12.9835,13.0784,12.9835,13.0784,1139720.0641829062,0
PKO,D,20050704,000000,13.1263,13.2214,13.0313,13.2214,1100431.7527133871,0
PKO,D,20050705,000000,13.1743,13.2694,12.9835,13.1263,2510672.239091404,0
PKO,D,20050706,000000,13.0313,13.1743,13.0313,13.1263,600508.5711100455,0
PKO,D,20050707,000000,13.0313,13.1263,12.6451,13.0313,2855221.5510440813,0
PKO,D,20050708,000000,12.9835,13.1263,12.9835,13.0784,1083358.6838408827,0
PKO,D,20050711,000000,13.0784,13.1263,13.0313,13.0784,446395.9149125573,0
PKO,D,20050712,000000,13.0313,13.1263,13.0313,13.0784,651416.0909826249,0
PKO,D,20050713,000000,13.0784,13.3705,13.0313,13.3705,2927911.6344458167,0
PKO,D,20050714,000000,13.3226,13.5606,13.2694,13.4647,4433037.719813385,0
PKO,D,20050715,000000,13.4647,13.6077,13.4175,13.4647,4185025.815085019,0
PKO,D,20050718,000000,13.3705,13.4647,13.1743,13.2214,1077895.6174338304,0
PKO,D,20050719,000000,13.2214,13.2694,13.1263,13.1743,1121384.4667233033,0
PKO,D,20050720,000000,13.2214,13.3705,13.1263,13.1743,1177419.6938470013,0
PKO,D,20050721,000000,13.2214,13.2694,13.0313,13.0313,2127618.435500276,0
PKO,D,20050722,000000,13.0313,13.1263,12.9835,13.0313,2356929.135532461,0
PKO,D,20050725,000000,13.0313,13.1743,12.9835,13.1263,1210989.8029242,0
PKO,D,20050726,000000,13.1263,13.2694,12.9835,13.0784,1095565.757117313,0
PKO,D,20050727,000000,13.0784,13.1263,13.0313,13.0784,2189554.6686347146,0
PKO,D,20050728,000000,13.0784,13.2214,13.0784,13.1263,1654942.1989671008,0
PKO,D,20050729,000000,13.2694,13.5606,13.2694,13.4175,3888305.2944399086,0
PKO,D,20050801,000000,13.3705,13.6564,13.3705,13.6564,1519893.72443467,0
PKO,D,20050802,000000,13.6564,13.7044,13.5606,13.6564,799934.1673785602,0
PKO,D,20050803,000000,13.5606,13.6077,13.3705,13.5606,511714.672553197,0
PKO,D,20050804,000000,13.4175,13.5606,13.4175,13.4175,674327.039436475,0
PKO,D,20050805,000000,13.4647,13.7507,13.4647,13.7507,1071009.5760984092,0
PKO,D,20050808,000000,13.7507,14.2328,13.7507,14.0906,2162482.636379175,0
PKO,D,20050809,000000,14.0427,14.1857,13.8989,14.1377,927245.7089132209,0
PKO,D,20050810,000000,14.1857,14.3765,13.8989,13.9461,1358910.808509097,0
PKO,D,20050811,000000,13.8989,14.0906,13.6564,13.7044,1466764.9433291666,0
PKO,D,20050812,000000,13.7044,13.8989,13.7044,13.7986,787262.8518195864,0
PKO,D,20050816,000000,13.8457,14.1377,13.8457,13.994,2612211.1007080795,0
PKO,D,20050817,000000,14.143,14.191,13.8936,14.0427,1887427.632342146,0
PKO,D,20050818,000000,13.994,14.0427,13.6928,13.6928,493006.89218719234,0
PKO,D,20050819,000000,13.7462,13.9408,13.7462,13.7462,3038447.327379516,0
PKO,D,20050822,000000,13.6928,13.9408,13.6928,13.8413,2376587.7577405823,0
PKO,D,20050823,000000,13.8413,13.8936,13.6928,13.8413,1825991.1501068454,0
PKO,D,20050824,000000,13.7933,13.994,13.7933,13.7933,1195092.4637983516,0
