<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PLW,D,20161019,000000,34.4829,34.5486,31.3616,33.3492,84406.45199511174,0
PLW,D,20161020,000000,33.2154,33.3492,32.0549,33.3492,9892.828954957142,0
PLW,D,20161021,000000,32.749,33.3492,32.7352,33.3152,1829.7515318619176,0
PLW,D,20161024,000000,33.3492,35.3506,33.3087,34.9761,13674.038847708827,0
PLW,D,20161025,000000,35.0164,35.0164,34.0158,34.8163,11450.123153654433,0
PLW,D,20161026,000000,34.6832,34.6832,33.6825,33.6825,2210.0853725739566,0
PLW,D,20161027,000000,34.0158,34.0158,33.0151,34.0094,402.46235508073926,0
PLW,D,20161028,000000,33.4223,33.8828,33.4223,33.8828,298.734943977456,0
PLW,D,20161031,000000,33.3492,34.6767,33.3492,34.6703,2221.1496297583067,0
PLW,D,20161102,000000,34.6767,34.6832,33.9232,34.616,784.179227940822,0
PLW,D,20161103,000000,34.616,34.616,33.9161,34.3492,708.1124597984141,0
PLW,D,20161104,000000,34.2826,34.2826,33.5148,34.0158,186.70933998591,0
PLW,D,20161107,000000,34.0158,34.0158,33.6825,33.9957,638.9608523962252,0
PLW,D,20161108,000000,33.9957,33.9957,33.5293,33.7498,70.53463955023265,0
PLW,D,20161109,000000,33.9493,34.0158,33.5487,34.0158,966.7394714826006,0
PLW,D,20161110,000000,34.0158,34.0158,33.2154,33.8162,1503.355944923586,0
PLW,D,20161114,000000,34.0158,34.0158,33.9493,33.9493,178.41114709764733,0
PLW,D,20161115,000000,33.942,33.942,33.2154,33.6825,1945.926232297595,0
PLW,D,20161116,000000,33.6825,33.6825,32.6883,33.6825,546.2976984772921,0
PLW,D,20161117,000000,33.9493,33.9493,32.5488,32.5488,1257.1762225717937,0
PLW,D,20161118,000000,32.6818,32.6818,31.3673,31.3673,2446.583869889442,0
PLW,D,20161121,000000,31.2872,31.2872,30.1142,30.6746,2203.1702118337375,0
PLW,D,20161122,000000,30.1142,30.6746,30.1142,30.1605,1730.1732172027655,0
PLW,D,20161123,000000,30.1605,30.1605,29.9472,30.1142,952.9091500021627,0
PLW,D,20161124,000000,30.1475,30.1475,27.4202,29.6805,10262.09853848483,0
PLW,D,20161125,000000,30.1605,31.3485,29.6805,31.3413,1215.6852581304806,0
PLW,D,20161128,000000,31.3413,31.3413,31.2675,31.2675,336.07681197463796,0
PLW,D,20161129,000000,31.2821,32.4823,30.6803,32.3478,8237.33947374874,0
PLW,D,20161130,000000,32.3478,33.6825,31.6811,33.3492,4586.134602913166,0
PLW,D,20161201,000000,33.3492,33.3492,31.8814,33.3492,511.7218947761977,0
PLW,D,20161202,000000,33.3492,33.3492,32.282,33.3087,504.80673403597876,0
PLW,D,20161205,000000,33.3152,33.3152,32.3478,32.3817,161.814761321122,0
PLW,D,20161206,000000,33.3223,33.3223,32.2155,33.1149,1181.109454429386,0
PLW,D,20161207,000000,33.1149,33.1149,32.2878,33.0752,276.6064296087555,0
PLW,D,20161208,000000,32.282,33.0151,32.282,33.0151,863.0120603793173,0
PLW,D,20161209,000000,33.0752,33.0752,32.2689,33.0079,806.3077423095223,0
PLW,D,20161212,000000,33.0079,33.049,32.2689,32.2689,1116.1069434713286,0
PLW,D,20161213,000000,32.2689,33.3354,32.2689,33.0079,1273.7726083483192,0
PLW,D,20161214,000000,33.1488,33.1488,32.6818,32.6818,134.15411836024643,0
PLW,D,20161215,000000,32.6818,32.6818,32.282,32.6818,403.845387228783,0
PLW,D,20161216,000000,32.6818,32.6818,31.5553,32.0151,1063.551721845665,0
PLW,D,20161219,000000,30.8879,32.5422,30.7209,32.282,6750.579914601678,0
PLW,D,20161220,000000,31.2821,32.3478,31.2821,32.0079,463.3157695946654,0
PLW,D,20161221,000000,32.0079,32.0079,30.7541,30.7541,2215.6175011661317,0
PLW,D,20161222,000000,31.6746,31.6746,30.695,30.695,81.5988967345829,0
PLW,D,20161223,000000,31.0087,31.0087,30.6803,30.8481,1383.0321480437779,0
PLW,D,20161227,000000,30.8813,31.5279,30.4476,31.5213,2391.2625839676916,0
PLW,D,20161228,000000,31.3485,31.3485,30.4476,30.948,976.4206965189071,0
PLW,D,20161229,000000,31.4816,32.6818,31.2821,32.3478,3736.952864014287,0
PLW,D,20161230,000000,32.0151,33.1149,32.0151,33.1149,2737.0206209786356,0
PLW,D,20170102,000000,33.2031,33.2031,31.7816,33.0028,3562.6908133607712,0
PLW,D,20170103,000000,33.2031,33.2031,31.3413,31.3413,1460.481948334229,0
PLW,D,20170104,000000,32.0014,32.0014,31.3485,31.3485,116.17470043567732,0
PLW,D,20170105,000000,31.3485,31.9081,30.6803,30.6803,3692.695835276886,0
PLW,D,20170109,000000,30.6803,31.0137,30.6803,30.7013,1026.2098538484831,0
PLW,D,20170110,000000,30.7013,30.7346,30.2813,30.6803,3288.8504480481033,0
PLW,D,20170111,000000,30.6803,30.6803,30.2878,30.3268,1356.7545372309457,0
PLW,D,20170112,000000,30.6139,30.6139,29.6805,30.2141,1640.2761275799203,0
PLW,D,20170113,000000,30.6139,30.6139,29.6942,30.0145,952.9091500021627,0
PLW,D,20170116,000000,29.6942,29.974,29.3471,29.687,1347.0733121946394,0
PLW,D,20170117,000000,29.7138,29.7138,29.1469,29.1801,2691.3805600931905,0
PLW,D,20170118,000000,29.1801,29.2806,29.0803,29.2806,425.9739015974835,0
PLW,D,20170119,000000,29.3471,29.3471,28.6797,29.1801,2872.5577714869264,0
PLW,D,20170120,000000,29.3406,29.3406,28.6797,29.2734,608.534145139262,0
PLW,D,20170123,000000,29.3334,29.3334,28.6797,29.2669,590.554727214693,0
PLW,D,20170124,000000,29.3804,29.3804,28.6797,29.0138,835.3514174184418,0
PLW,D,20170125,000000,28.6934,29.0138,28.5467,28.7462,2120.188282951111,0
PLW,D,20170126,000000,29.4144,29.674,28.7665,29.674,503.423701887935,0
PLW,D,20170127,000000,29.674,29.674,28.8807,29.12,749.6034242397275,0
PLW,D,20170130,000000,28.7665,29.8873,28.7665,29.8807,3669.184288760142,0
PLW,D,20170131,000000,29.8807,32.6153,29.8807,31.3818,4839.229486005178,0
PLW,D,20170201,000000,31.3413,32.0079,31.3413,31.9884,1421.7570481890036,0
PLW,D,20170202,000000,32.0151,32.2155,31.7484,32.0151,2266.7896906437513,0
PLW,D,20170203,000000,32.0151,32.0151,31.6811,31.6811,247.5627544998362,0
PLW,D,20170206,000000,31.6811,32.0079,31.6811,32.0079,493.7424768516286,0
PLW,D,20170207,000000,32.0079,32.0079,31.6146,31.9154,1114.723911323285,0
PLW,D,20170208,000000,32.0079,32.0079,31.8482,31.9746,141.0692791004653,0
PLW,D,20170209,000000,31.9812,32.6153,31.6146,32.4751,1147.9166828763352,0
PLW,D,20170210,000000,32.0217,32.4823,32.0151,32.0151,434.2720944857462,0
PLW,D,20170213,000000,32.0217,32.749,32.0151,32.6818,2080.0803506578413,0
PLW,D,20170214,000000,32.9154,32.9154,32.1475,32.415,727.474909871027,0
PLW,D,20170215,000000,32.6818,32.8351,32.0412,32.8351,244.7966902037486,0
PLW,D,20170216,000000,32.8351,32.8351,32.0881,32.7426,287.67068679310574,0
PLW,D,20170217,000000,32.6818,32.6818,32.0412,32.0947,152.1335362848155,0
