<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PTW,D,20130426,000000,10.5876,10.5876,9.39643,9.77288,765.5507363998385,0
PTW,D,20130429,000000,8.39494,9.02135,8.39494,8.77064,360.50480132282325,0
PTW,D,20130430,000000,8.89566,10.3369,8.89566,10.3369,5.567641719271511,0
PTW,D,20130502,000000,9.32893,10.0236,9.32893,10.0236,187.90790802541406,0
PTW,D,20130506,000000,9.32893,9.39643,9.32893,9.39643,406.4378455068266,0
PTW,D,20130508,000000,9.71109,9.71109,9.71109,9.71109,2.7838208596357554,0
PTW,D,20130509,000000,9.71109,9.71109,9.02712,9.69827,167.02925157815207,0
PTW,D,20130517,000000,9.05306,9.28434,9.05306,9.28434,1313.9634457480984,0
PTW,D,20130521,000000,10.0236,10.0236,10.0236,10.0236,311.7879362792082,0
PTW,D,20130527,000000,10.9819,10.9819,10.9819,10.9819,141.9748638414332,0
PTW,D,20130528,000000,11.5906,11.5906,11.5906,11.5906,47.324954613808075,0
PTW,D,20130531,000000,11.2774,12.8428,11.2774,12.8428,114.13665524506891,0
PTW,D,20130604,000000,11.9599,12.8428,11.9599,12.8428,86.29844664870797,0
PTW,D,20130701,000000,12.5303,12.5303,12.5303,12.5303,4.175731289453633,0
PTW,D,20130702,000000,12.5303,12.5303,12.5303,12.5303,2.7838208596357554,0
PTW,D,20130715,000000,12.5303,12.6229,12.5303,12.6229,801.740407575094,0
PTW,D,20130716,000000,12.6229,12.6229,12.6229,12.6229,2.7838208596357554,0
PTW,D,20130717,000000,12.5921,12.5921,12.5921,12.5921,641.6707081460443,0
PTW,D,20130718,000000,12.5921,12.5921,12.5921,12.5921,2.7838208596357554,0
PTW,D,20130722,000000,11.2774,12.5921,11.2774,12.5921,24270.742164734966,0
PTW,D,20130723,000000,13.1568,13.1568,13.1568,13.1568,13.91910429817878,0
PTW,D,20130724,000000,13.1568,13.1568,13.1568,13.1568,2.7838208596357554,0
PTW,D,20130726,000000,13.1568,13.1568,13.1568,13.1568,2.7838208596357554,0
PTW,D,20130729,000000,13.1568,13.1568,13.1568,13.1568,2.7838208596357554,0
PTW,D,20130730,000000,13.1568,13.1568,13.1568,13.1568,2.7838208596357554,0
PTW,D,20130731,000000,13.1568,13.1568,13.1568,13.1568,2.7838208596357554,0
PTW,D,20130801,000000,13.1568,13.1568,13.1568,13.1568,2.7838208596357554,0
PTW,D,20130802,000000,13.1568,13.4693,13.1568,13.1568,6656.115675389139,0
PTW,D,20130805,000000,13.4076,13.4076,13.4076,13.4076,2.7838208596357554,0
PTW,D,20130806,000000,13.4076,13.4076,13.4076,13.4076,2.7838208596357554,0
PTW,D,20130807,000000,13.4076,13.4076,13.4076,13.4076,2.7838208596357554,0
PTW,D,20130808,000000,13.4076,13.4076,13.4076,13.4076,4.175731289453633,0
PTW,D,20130809,000000,13.4076,13.4076,13.4076,13.4076,4.175731289453633,0
