<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PZU,D,20100512,000000,12.0171,12.3959,11.9854,12.3959,209842428.78613114,0
PZU,D,20100513,000000,12.326,12.4598,12.1899,12.2928,52521017.74752231,0
PZU,D,20100514,000000,12.2333,12.3959,12.1649,12.2237,30699699.524067927,0
PZU,D,20100517,000000,11.9133,12.1539,11.8862,12.0863,27049070.842695873,0
PZU,D,20100518,000000,12.0685,12.2164,12.0619,12.1539,16682973.573230235,0
PZU,D,20100519,000000,12.0589,12.1135,11.9097,11.9097,26859653.771177456,0
PZU,D,20100520,000000,11.8449,11.8795,11.3802,11.3972,30128580.455419067,0
PZU,D,20100521,000000,11.3972,11.5861,11.2257,11.5861,15482648.132320546,0
PZU,D,20100524,000000,11.5897,11.8619,11.5861,11.7928,13631148.475202408,0
PZU,D,20100525,000000,11.5382,11.703,11.2934,11.3619,14752386.958270852,0
PZU,D,20100526,000000,11.5111,12.1899,11.5111,12.1899,73872100.367171,0
PZU,D,20100527,000000,11.9825,12.1341,11.9472,12.0589,6934642.53544384,0
PZU,D,20100528,000000,12.0649,12.0994,11.9133,12.0516,4811675.807680679,0
PZU,D,20100531,000000,11.9133,12.0516,11.8112,12.0516,2169847.7793200267,0
PZU,D,20100601,000000,11.8927,12.0436,11.7244,12.003,7307146.730255667,0
PZU,D,20100602,000000,11.9449,12.0863,11.9171,12.034,6608221.179598468,0
PZU,D,20100604,000000,12.003,12.0863,11.7758,11.7758,6461730.811744974,0
PZU,D,20100607,000000,11.5692,11.7928,11.5692,11.7068,5256254.383965777,0
PZU,D,20100608,000000,11.7133,11.8449,11.6729,11.6729,35373207.0440535,0
PZU,D,20100609,000000,11.6964,11.9796,11.6383,11.9472,6424315.446459318,0
PZU,D,20100610,000000,11.8545,12.0965,11.8545,12.0516,9455824.878219437,0
PZU,D,20100611,000000,12.0311,12.0685,11.962,12.0171,11511295.728413302,0
PZU,D,20100614,000000,12.0171,12.1715,11.9472,12.1097,4798696.354231563,0
PZU,D,20100615,000000,12.0516,12.1517,11.9936,12.1362,7768867.159885836,0
PZU,D,20100616,000000,12.1435,12.1715,11.9207,12.1341,9594445.984982418,0
PZU,D,20100617,000000,12.034,12.1892,12.0171,12.1751,8670455.759646231,0
