<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QNA,D,20231214,000000,48.5,65,44.5,63,42466,0
QNA,D,20231215,000000,63.87,71.9,56.2,58.66,16490,0
QNA,D,20231218,000000,58.66,58.66,52.2,54.8,5413,0
QNA,D,20231219,000000,53,53.89,50.5,53.87,5811,0
QNA,D,20231220,000000,53.87,57.9,53.87,54.1,1890,0
QNA,D,20231221,000000,56.6,56.6,53.9,53.9,574,0
QNA,D,20231222,000000,55.7,55.7,52,55,269,0
QNA,D,20231227,000000,52.3,54.9,52,54.47,611,0
QNA,D,20231228,000000,53,54.4,52.2,52.6,1036,0
QNA,D,20231229,000000,53.7,54.98,52,52,1334,0
QNA,D,20240102,000000,52,53.99,52,53.79,351,0
QNA,D,20240103,000000,53.01,53.7,50.65,53.7,872,0
QNA,D,20240104,000000,52,57.44,51.6,54.96,2437,0
QNA,D,20240105,000000,54.96,56.62,54,54.92,621,0
QNA,D,20240108,000000,54.1,55,52.25,54.99,1350,0
QNA,D,20240109,000000,54,62,54,58,3847,0
QNA,D,20240110,000000,58.99,62.79,58.99,62.55,2293,0
QNA,D,20240111,000000,62.58,63.5,61.62,62.98,602,0
QNA,D,20240112,000000,62.96,62.97,59,62.97,872,0
QNA,D,20240115,000000,62,62,60,60,688,0
QNA,D,20240116,000000,59.5,59.8,59,59,234,0
QNA,D,20240117,000000,59,60,57.3,57.4,609,0
QNA,D,20240118,000000,58.95,60.5,57,57.5,639,0
QNA,D,20240119,000000,58.9,58.95,58.9,58.95,45,0
QNA,D,20240122,000000,58.95,58.95,58.95,58.95,34,0
QNA,D,20240123,000000,57.1,57.1,49.99,57,4644,0
QNA,D,20240124,000000,56.5,56.5,53.2,54.9,233,0
QNA,D,20240125,000000,54.9,55.4,53,55.4,437,0
QNA,D,20240126,000000,55.4,55.9,52.16,54.8,1088,0
QNA,D,20240129,000000,55.55,59,55.55,57.9,901,0
QNA,D,20240130,000000,57,58,56,58,703,0
QNA,D,20240131,000000,59,59.8,58,58.1,367,0
QNA,D,20240201,000000,58.1,58.99,58,58.95,200,0
QNA,D,20240202,000000,59,60.5,57.7,57.7,2231,0
QNA,D,20240205,000000,57.7,62.99,56,58,1626,0
QNA,D,20240206,000000,58.11,58.14,55.6,57,1316,0
QNA,D,20240207,000000,57,59.34,55,57.99,1023,0
QNA,D,20240208,000000,56.1,59.5,55.1,56,928,0
QNA,D,20240209,000000,56,58.97,56,56,1165,0
QNA,D,20240212,000000,57.93,57.93,53.3,56.32,858,0
QNA,D,20240213,000000,56.32,56.32,55.6,56,299,0
QNA,D,20240214,000000,56,56.5,53.5,55.5,236,0
QNA,D,20240215,000000,54.1,55.1,53.81,55.1,512,0
QNA,D,20240216,000000,55.06,55.1,53,54.96,2094,0
QNA,D,20240219,000000,54.96,54.96,53.11,54,390,0
QNA,D,20240220,000000,53.15,53.15,51.53,51.9,2077,0
QNA,D,20240221,000000,52.2,53.5,52,52,731,0
QNA,D,20240222,000000,52,53,51.45,51.45,367,0
QNA,D,20240223,000000,53.4,53.4,51.16,52.9,378,0
QNA,D,20240226,000000,52,52,46.02,49.5,4706,0
QNA,D,20240227,000000,49,50,47,48.1,1961,0
QNA,D,20240228,000000,49.95,49.99,49,49,2880,0
QNA,D,20240229,000000,49.5,49.5,48,48.5,342,0
QNA,D,20240301,000000,48.005,49,47.6,47.6,1073,0
QNA,D,20240304,000000,47.79,47.8,47.79,47.79,504,0
QNA,D,20240305,000000,47.79,48,47.3,47.79,213,0
QNA,D,20240306,000000,47.7,47.7,47.3,47.7,265,0
QNA,D,20240307,000000,47.69,47.69,47.2,47.6,652,0
QNA,D,20240308,000000,47.69,47.69,47,47,322,0
QNA,D,20240311,000000,47.495,47.495,42.9,43,5365,0
QNA,D,20240312,000000,43.01,43.8,39,41.18,4051,0
QNA,D,20240313,000000,40.98,40.98,34.6,37.9,18417,0
QNA,D,20240314,000000,37.6,39.9,37,38,7498,0
QNA,D,20240315,000000,38.38,41.1,37.52,39.65,1854,0
QNA,D,20240318,000000,39.7,41.2,39.2,41.19,2766,0
QNA,D,20240319,000000,41.19,41.2,38.7,39,2665,0
QNA,D,20240320,000000,40.8,41,38.6,38.99,2318,0
QNA,D,20240321,000000,39,40.2,38.7,39.885,1712,0
QNA,D,20240322,000000,39,39.975,38.8,39.5,1286,0
QNA,D,20240325,000000,39.46,39.8,37,39.8,1050,0
QNA,D,20240326,000000,38.1,38.1,34.9,35.5,8361,0
QNA,D,20240327,000000,36.68,37.775,35.05,37.775,670,0
QNA,D,20240328,000000,37.695,38.995,37.695,38.995,730,0
QNA,D,20240402,000000,38.5,39.8,38,38,983,0
QNA,D,20240403,000000,38,39.2,38,38.5,780,0
QNA,D,20240404,000000,39.5,39.5,37.5,37.5,526,0
QNA,D,20240405,000000,38.5,38.5,36.5,37.5,1641,0
QNA,D,20240408,000000,37.05,39,37,37,1997,0
QNA,D,20240409,000000,37.05,37.05,35,35.2,3678,0
QNA,D,20240410,000000,35.2,36,30,32.9,9871,0
QNA,D,20240411,000000,31.6,35,31.6,34.15,208,0
QNA,D,20240412,000000,34.85,34.85,33.8,34.55,3105,0
QNA,D,20240415,000000,35.1,35.2,35.1,35.2,927,0
QNA,D,20240416,000000,35,35.9,34.4,35.9,896,0
QNA,D,20240417,000000,35.85,35.85,35.8,35.8,31,0
QNA,D,20240418,000000,34.75,35.6,34.75,35.6,350,0
QNA,D,20240419,000000,35.6,35.6,35,35.6,125,0
QNA,D,20240422,000000,35.5,35.5,34.5,34.5,201,0
QNA,D,20240423,000000,34.3,35.1,34.3,35.1,181,0
QNA,D,20240424,000000,35.1,36.45,34,36,597,0
QNA,D,20240425,000000,36.35,36.5,35.2,36,346,0
QNA,D,20240426,000000,34,36.1,34,35.5,1098,0
QNA,D,20240429,000000,35.5,35.5,33.85,34,630,0
QNA,D,20240430,000000,34.85,34.85,34.85,34.85,45,0
QNA,D,20240502,000000,34.65,34.9,34.65,34.9,123,0
QNA,D,20240506,000000,35.4,35.4,34.9,35,201,0
QNA,D,20240507,000000,35,35,32.7,33.75,927,0
QNA,D,20240508,000000,33.75,34.1,30,31.8,2942,0
QNA,D,20240509,000000,31.8,32,29.95,31.3,3255,0
QNA,D,20240510,000000,30.8,32.95,30.4,32.9,1048,0
QNA,D,20240513,000000,32.8,33.5,30.05,32,1602,0
QNA,D,20240514,000000,32,32.95,31.9,32.4,746,0
QNA,D,20240515,000000,33.3,34.95,33.3,34,507,0
QNA,D,20240516,000000,34.3,35.05,34,34.9,2194,0
QNA,D,20240517,000000,34,35,33,33.1,2462,0
QNA,D,20240520,000000,34.35,35,34.35,35,1059,0
QNA,D,20240521,000000,35,35,33.8,33.8,441,0
QNA,D,20240522,000000,33.95,35,33.95,34.9,110,0
