<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QNT,D,20070816,000000,8.42694,9.2697,7.87299,8.5548,130622.66145612946,0
QNT,D,20070817,000000,8.73648,9.31634,8.21868,8.93734,65049.35702348288,0
QNT,D,20070820,000000,9.57701,9.70333,8.96763,9.1515,18478.96172525897,0
QNT,D,20070821,000000,9.27854,9.27854,8.51266,8.93734,33780.39226367768,0
QNT,D,20070822,000000,8.73422,9.78893,8.73422,9.78893,22577.12401864009,0
QNT,D,20070823,000000,9.70333,9.70333,9.41087,9.70333,16142.183357774395,0
QNT,D,20070824,000000,9.57701,9.69966,9.1515,9.69966,7003.565756082106,0
QNT,D,20070827,000000,9.51272,9.78893,9.51272,9.61915,16683.731067504308,0
QNT,D,20070828,000000,9.36352,9.61915,9.17143,9.55109,1280.7603335112453,0
QNT,D,20070829,000000,8.96397,9.52536,8.96397,9.36352,1608.3966978978428,0
QNT,D,20070830,000000,9.36352,9.54525,9.06591,9.34216,7696.746824536395,0
QNT,D,20070831,000000,9.1515,9.36352,9.06591,9.27854,5190.734797761221,0
QNT,D,20070903,000000,9.03625,9.36352,8.98023,9.06957,4146.9015872568125,0
QNT,D,20070904,000000,9.35913,9.36352,9.15517,9.25719,3701.4785960039585,0
QNT,D,20070905,000000,9.21431,9.36352,9.06591,9.36352,3499.7520741295657,0
QNT,D,20070906,000000,9.35538,9.35538,9.32134,9.32134,1965.818186319586,0
QNT,D,20070907,000000,9.1515,9.19368,8.72456,8.93734,6093.765603735852,0
QNT,D,20070910,000000,8.93734,8.93734,8.74155,8.74972,1355.2231435991089,0
QNT,D,20070911,000000,8.74681,9.32956,8.72456,8.73648,2461.3343407224565,0
QNT,D,20070912,000000,8.72456,9.14114,8.72456,9.14114,755.4590550732291,0
QNT,D,20070913,000000,8.93734,9.09914,8.73422,8.93734,1428.3320844126465,0
QNT,D,20070914,000000,8.72906,9.1339,8.72906,8.79328,1608.3966978978428,0
QNT,D,20070917,000000,8.6441,8.93734,8.63968,8.93372,1837.2006052587315,0
QNT,D,20070918,000000,8.63968,8.93734,8.63968,8.93372,4159.086410725736,0
QNT,D,20070919,000000,9.01856,9.06591,8.85684,8.93734,9597.579285688393,0
QNT,D,20070920,000000,8.93734,8.93734,8.77121,8.89524,3203.2547030524383,0
QNT,D,20070921,000000,8.81027,8.89524,8.78962,8.78962,1601.6273515262192,0
QNT,D,20070924,000000,8.81027,8.81402,8.09532,8.72456,6139.797159062894,0
QNT,D,20070925,000000,8.51632,8.72456,8.51266,8.72456,1099.3418507517247,0
QNT,D,20070926,000000,8.93734,8.93734,8.55988,8.72456,1693.6904621803044,0
QNT,D,20070927,000000,8.56288,8.7209,8.55988,8.7209,1175.158530113912,0
QNT,D,20070928,000000,8.51266,8.67808,8.46984,8.67808,3311.5642449984207,0
QNT,D,20071001,000000,8.32063,8.67442,8.32063,8.34647,4712.8189439245725,0
QNT,D,20071002,000000,8.36713,8.49491,8.25632,8.46609,3464.5514729971214,0
QNT,D,20071003,000000,8.2999,8.2999,7.95867,7.97122,3231.6859578132585,0
QNT,D,20071004,000000,7.921,8.33765,7.921,8.33765,9297.02030678829,0
QNT,D,20071005,000000,7.96235,8.08646,7.96235,8.08646,833.9834729840668,0
QNT,D,20071008,000000,8.08646,8.08646,8.08646,8.08646,1500.08715595186,0
QNT,D,20071009,000000,8.08646,8.12929,8.02293,8.12929,2220.3456098926454,0
