<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RBW,D,20071009,000000,5.60588,5.61828,5.0152,5.31061,81427.59931466445,0
RBW,D,20071010,000000,5.50758,5.54447,5.24283,5.40296,39992.35912808371,0
RBW,D,20071011,000000,5.40296,5.56289,5.39064,5.53831,20278.96218066929,0
RBW,D,20071012,000000,5.53222,5.53222,5.29205,5.38456,12432.779139811904,0
RBW,D,20071015,000000,5.21832,5.4398,5.21832,5.37215,13832.897948965778,0
RBW,D,20071016,000000,5.35375,5.37215,5.24912,5.37215,17929.7973215649,0
RBW,D,20071017,000000,5.38456,5.57528,5.37832,5.53831,48777.9322271036,0
RBW,D,20071018,000000,5.55064,5.56289,5.44596,5.44596,4106.555364386897,0
RBW,D,20071019,000000,5.35991,5.50134,5.34135,5.42755,6658.496051022999,0
RBW,D,20071022,000000,5.23674,5.37832,5.10756,5.37832,26947.114223479104,0
RBW,D,20071023,000000,5.29205,5.35375,5.29205,5.29828,7093.015681450341,0
RBW,D,20071024,000000,5.206,5.23057,5.206,5.22449,4051.378268459681,0
RBW,D,20071025,000000,5.17526,5.26145,5.17526,5.21832,13430.105148696493,0
RBW,D,20071026,000000,5.21223,5.2798,5.10756,5.16911,3252.689804912472,0
RBW,D,20071029,000000,5.08922,5.19985,5.08922,5.11988,7793.764799726589,0
RBW,D,20071030,000000,5.15053,5.16911,5.0953,5.16911,6091.55139037034,0
RBW,D,20071031,000000,5.16911,5.23057,5.16911,5.23057,8800.746800399189,0
RBW,D,20071102,000000,5.21832,5.46444,5.21832,5.35375,8871.097597706423,0
RBW,D,20071105,000000,5.47068,5.47068,5.23057,5.32286,7575.815270813903,0
RBW,D,20071106,000000,5.32286,5.4398,5.26762,5.26762,4030.6868574869445,0
RBW,D,20071107,000000,5.16911,5.32903,4.95981,5.16294,11325.098939071686,0
RBW,D,20071108,000000,4.49216,4.9783,4.49216,4.80604,7824.112202486499,0
RBW,D,20071109,000000,4.77532,4.92291,4.61525,4.63982,9206.29845546465,0
RBW,D,20071112,000000,4.63982,4.86136,4.61525,4.62757,5095.604808883063,0
RBW,D,20071113,000000,4.49216,4.79989,4.49216,4.60916,5356.316587139491,0
RBW,D,20071114,000000,4.87985,4.87985,4.62141,4.62757,3241.6543857270285,0
