<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RMK,D,19941123,000000,4.46932,4.46932,4.46932,4.46932,13682.08450045687,0
RMK,D,19941124,000000,4.1117,4.1117,4.1117,4.1117,48872.93150803537,0
RMK,D,19941125,000000,4.5139,4.5139,4.5139,4.5139,27094.031793594153,0
RMK,D,19941128,000000,4.96087,4.96087,4.96087,4.96087,0,0
RMK,D,19941129,000000,5.45254,5.45254,5.45254,5.45254,0,0
RMK,D,19941130,000000,5.98887,5.98887,5.98887,5.98887,0,0
RMK,D,19941201,000000,6.56979,6.56979,6.56979,6.56979,0,0
RMK,D,19941202,000000,7.7765,7.7765,7.7765,7.7765,71644.76798451615,0
RMK,D,19941205,000000,8.49156,8.49156,8.49156,8.49156,77735.89265921261,0
RMK,D,19941206,000000,8.13403,8.13403,8.13403,8.13403,56202.098132879895,0
RMK,D,19941207,000000,7.32962,7.32962,7.32962,7.32962,36605.156093004596,0
RMK,D,19941208,000000,6.61457,6.61457,6.61457,6.61457,100484.78311808323,0
RMK,D,19941209,000000,7.24026,7.24026,7.24026,7.24026,37691.96292708571,0
RMK,D,19941212,000000,7.59779,7.59779,7.59779,7.59779,53713.498222978225,0
RMK,D,19941213,000000,6.92732,6.92732,6.92732,6.92732,32393.51886074016,0
RMK,D,19941214,000000,6.97209,6.97209,6.97209,6.97209,20316.612592193884,0
RMK,D,19941215,000000,6.79328,6.79328,6.79328,6.79328,38045.540198442235,0
RMK,D,19941216,000000,7.24026,7.24026,7.24026,7.24026,41752.36504328319,0
RMK,D,19941219,000000,7.15081,7.15081,7.15081,7.15081,35101.1489387388,0
RMK,D,19941220,000000,6.88264,6.88264,6.88264,6.88264,25114.416274317802,0
RMK,D,19941221,000000,6.97209,6.97209,6.97209,6.97209,17298.168275657663,0
RMK,D,19941222,000000,7.15081,7.15081,7.15081,7.15081,24366.584700386753,0
RMK,D,19941223,000000,7.46366,7.46366,7.46366,7.46366,26702.906493421007,0
RMK,D,19941227,000000,7.41898,7.41898,7.41898,7.41898,20380.23564102205,0
RMK,D,19941228,000000,6.97209,6.97209,6.97209,6.97209,11338.46170181938,0
RMK,D,19941229,000000,7.24026,7.24026,7.24026,7.24026,13763.438562892883,0
RMK,D,19950102,000000,7.59779,7.59779,7.59779,7.59779,18491.36119138587,0
RMK,D,19950103,000000,8.35752,8.35752,8.35752,8.35752,46485.50267577849,0
RMK,D,19950104,000000,7.95532,7.95532,7.95532,7.95532,31174.250925000408,0
RMK,D,19950105,000000,8.13403,8.13403,8.13403,8.13403,30857.178681660047,0
RMK,D,19950106,000000,7.82128,7.82128,7.82128,7.82128,11379.138733037387,0
RMK,D,19950109,000000,7.86586,7.86586,7.86586,7.86586,17416.027366109836,0
RMK,D,19950110,000000,7.82128,7.82128,7.82128,7.82128,15853.612167018175,0
RMK,D,19950111,000000,7.7765,7.7765,7.7765,7.7765,8037.36416835803,0
