<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RND,D,20211222,000000,112.228,112.228,96.9236,101.94,10379.79199528696,0
RND,D,20211223,000000,104.15,124.981,102.025,121.393,9781.116173689106,0
RND,D,20211227,000000,127.531,127.531,107.211,118.179,3033.369241455532,0
RND,D,20211228,000000,110.102,115.544,106.276,115.544,1099.728670322188,0
RND,D,20211229,000000,113.928,113.928,104.576,107.977,1063.267078044126,0
RND,D,20211230,000000,107.977,109.677,107.977,108.826,270.52149109529756,0
RND,D,20220103,000000,110.528,112.738,102.025,112.738,769.2219790274983,0
RND,D,20220104,000000,111.377,111.377,106.361,110.528,199.9506673313069,0
RND,D,20220105,000000,110.357,117.754,110.357,117.754,246.99788317396735,0
RND,D,20220107,000000,113.928,116.479,109.677,113.911,117.61803960665112,0
RND,D,20220110,000000,110.528,112.228,110.442,110.528,355.20647961208635,0
RND,D,20220111,000000,110.528,110.613,109.677,109.677,221.1219144605041,0
RND,D,20220112,000000,108.572,109.66,106.276,109.66,286.9880166402287,0
RND,D,20220113,000000,109.677,113.928,109.677,110.528,127.02748277518322,0
RND,D,20220114,000000,111.377,111.802,107.977,110.357,175.25087901391018,0
RND,D,20220117,000000,108.147,109.507,106.446,109.507,119.97040039878415,0
RND,D,20220118,000000,108.826,108.826,103.726,107.977,357.5588404042194,0
RND,D,20220119,000000,104.576,106.192,102.45,106.192,288.16419703629526,0
RND,D,20220120,000000,102.875,108.826,102.025,108.826,908.0112657633466,0
RND,D,20220121,000000,105.851,107.892,104.576,107.892,190.5412241627748,0
RND,D,20220124,000000,105.001,105.001,95.2233,101.6,651.6039394208472,0
RND,D,20220125,000000,101.6,101.6,96.2438,101.43,675.1275473421774,0
RND,D,20220126,000000,101.175,101.175,96.4138,101.158,136.4369259437153,0
RND,D,20220127,000000,102.79,104.661,99.4745,104.661,152.90345148864645,0
RND,D,20220128,000000,104.661,110.528,102.025,105.936,1733.6899038020376,0
RND,D,20220131,000000,105.936,108.232,102.875,107.875,515.167013477132,0
RND,D,20220201,000000,107.875,112.228,90.2242,112.228,1106.785752698587,0
RND,D,20220202,000000,103.896,114.778,103.896,114.744,275.2262126795636,0
RND,D,20220203,000000,112.228,131.783,112.228,127.515,3192.1535949245113,0
RND,D,20220204,000000,126.511,127.531,125.831,125.831,537.5144410023956,0
RND,D,20220207,000000,125.831,129.232,125.831,127.531,336.3875932750222,0
RND,D,20220208,000000,127.956,127.956,122.431,125.831,74.0993649521902,0
RND,D,20220209,000000,125.831,125.831,125.831,125.831,1.1761803960665111,0
RND,D,20220210,000000,125.406,125.831,125.321,125.831,371.6730051570175,0
RND,D,20220211,000000,125.831,125.831,124.981,124.981,101.15151406171996,0
RND,D,20220214,000000,116.479,116.479,109.677,113.928,285.81183624416224,0
RND,D,20220215,000000,110.528,116.394,109.677,116.394,98.79915326958694,0
RND,D,20220216,000000,116.394,116.394,116.394,116.394,95.2706120813874,0
RND,D,20220217,000000,112.228,112.228,110.528,110.528,321.0972481261576,0
RND,D,20220218,000000,112.228,114.693,108.826,108.826,171.72233782571064,0
RND,D,20220221,000000,110.528,114.693,103.981,112.092,346.9732168396208,0
RND,D,20220222,000000,107.977,119.029,102.025,119.029,1811.3178099424274,0
RND,D,20220223,000000,118.859,118.859,110.528,112.228,41.16631386232789,0
RND,D,20220224,000000,105.443,105.443,90.2924,98.6247,1339.6694711197563,0
RND,D,20220225,000000,100.325,106.276,100.325,106.276,47.04721584266045,0
RND,D,20220228,000000,97.7742,104.576,97.7742,104.576,18.81888633706418,0
RND,D,20220301,000000,105.426,107.977,105.426,107.977,78.80408653645625,0
RND,D,20220302,000000,107.977,108.826,107.977,108.826,29.40450990166278,0
RND,D,20220303,000000,108.826,117.329,108.826,109.677,215.24101248017155,0
RND,D,20220304,000000,109.677,115.612,102.893,110.442,161.13671426111202,0
RND,D,20220307,000000,109.592,109.592,109.592,109.592,11.761803960665112,0
RND,D,20220308,000000,110.102,114.319,110.102,114.319,29.40450990166278,0
RND,D,20220309,000000,113.928,115.629,113.928,113.928,181.13178099424275,0
RND,D,20220310,000000,108.826,114.778,107.126,114.778,271.6976714913641,0
RND,D,20220311,000000,113.078,113.078,113.078,113.078,464.5912564462719,0
RND,D,20220314,000000,110.528,113.078,110.528,113.078,104.68005524991949,0
RND,D,20220315,000000,110.528,112.653,108.997,112.653,179.9556005981762,0
RND,D,20220316,000000,112.653,112.653,112.653,112.653,1.1761803960665111,0
RND,D,20220317,000000,112.653,112.908,112.636,112.908,36.46159227806185,0
RND,D,20220318,000000,112.228,112.908,110.528,110.528,78.80408653645625,0
RND,D,20220321,000000,112.738,112.908,108.826,112.908,69.39464336792416,0
RND,D,20220322,000000,112.908,112.908,112.908,112.908,1.1761803960665111,0
RND,D,20220323,000000,112.908,112.908,110.528,110.528,246.99788317396735,0
