<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
S2B,D,20260416,000000,44,44,32.08,35.7,770637,0
S2B,D,20260417,000000,37,47.4,35.745,42.69,519917,0
S2B,D,20260420,000000,42.68,42.68,39.94,40.45,321858,0
S2B,D,20260421,000000,40.995,40.995,37.015,37.21,220672,0
S2B,D,20260422,000000,36.805,37,33.4,33.72,407332,0
S2B,D,20260423,000000,33.5,35.5,32.6,35.2,152156,0
S2B,D,20260424,000000,35.73,35.9,32.53,32.7,143993,0
S2B,D,20260427,000000,33,33.795,32,32,115497,0
S2B,D,20260428,000000,31.8,31.8,29,29,111920,0
S2B,D,20260429,000000,28.205,29.99,28,28.49,130046,0
S2B,D,20260430,000000,28.3,29.195,27.38,29,51853,0
S2B,D,20260504,000000,29,29,26.58,27,96824,0
S2B,D,20260505,000000,27.3,28.5,26.2,26.7,99864,0
S2B,D,20260506,000000,26.6,30.54,26.5,28.95,116537,0
S2B,D,20260507,000000,28.975,30,28,28,56323,0
S2B,D,20260508,000000,28.005,29.45,27.805,29.1,30896,0
S2B,D,20260511,000000,29.5,30,27.77,27.8,66052,0
S2B,D,20260512,000000,28.195,28.975,27,28.7,21468,0
S2B,D,20260513,000000,28.71,29.3,28.12,28.85,23491,0
S2B,D,20260514,000000,28.85,31.75,28.6,31.75,114433,0
S2B,D,20260515,000000,33,34.5,32.255,33.24,88236,0
S2B,D,20260518,000000,33.24,33.24,31.5,32.23,49903,0
S2B,D,20260519,000000,32.355,33.695,32,32.1,27277,0
S2B,D,20260520,000000,32.1,33,32.1,33,13860,0
S2B,D,20260521,000000,33,33.5,32.61,32.8,36914,0
S2B,D,20260522,000000,33.18,33.18,31.1,33.18,45258,0
S2B,D,20260525,000000,33.18,38,31.505,35.565,157036,0
S2B,D,20260526,000000,37,37.5,35.6,35.72,50454,0
S2B,D,20260527,000000,36.595,36.595,34.1,35.5,32177,0
S2B,D,20260528,000000,35.5,36,34.505,35.97,24816,0
S2B,D,20260529,000000,35.97,36.5,35,35.52,34013,0
S2B,D,20260601,000000,35.24,36.5,34.86,35.56,28822,0
S2B,D,20260602,000000,36,37.5,35.2,35.4,70692,0
S2B,D,20260603,000000,35.225,35.85,33.445,34.485,45744,0
S2B,D,20260605,000000,34.65,35.5,34.3,34.95,14688,0
S2B,D,20260608,000000,34.95,34.955,33.32,33.76,26036,0
S2B,D,20260609,000000,33,33.48,32.41,32.42,19168,0
S2B,D,20260610,000000,32.3,33.5,31.37,32.3,30877,0
S2B,D,20260611,000000,32.8,32.92,30.725,32.65,19505,0
S2B,D,20260612,000000,32.8,34,32.02,32.94,19031,0
S2B,D,20260615,000000,32.9,34.295,32.265,34,35085,0
S2B,D,20260616,000000,34,34.72,32.8,33.8,28846,0
S2B,D,20260617,000000,33.775,37.035,33.25,34.8,70454,0
S2B,D,20260618,000000,35.5,39.05,35.205,37.9,127211,0
S2B,D,20260619,000000,37.99,41.4,36.615,40.7,105938,0
S2B,D,20260622,000000,40.8,49.45,40.8,48.5,237126,0
S2B,D,20260623,000000,48.44,56.5,46.5,53.4,208931,0
S2B,D,20260624,000000,53.4,55.29,46.74,47.2,147301,0
S2B,D,20260625,000000,47.2,48.18,44.86,47.2,91717,0
S2B,D,20260626,000000,47.51,52.26,47,48.6,73349,0
S2B,D,20260629,000000,48.605,51.2,46.2,46.2,70475,0
S2B,D,20260630,000000,47,49.3,46,48.4,83232,0
S2B,D,20260701,000000,47.62,52,46.2,49.95,54863,0
S2B,D,20260702,000000,50,50,47.545,48.7,30885,0
S2B,D,20260703,000000,48.8,51.43,48.6,49.02,45805,0
S2B,D,20260706,000000,49.02,51.57,47.38,49.49,75184,0
S2B,D,20260707,000000,49,59.26,49,56.99,189264,0
S2B,D,20260708,000000,56.91,66,55.72,63.5,186164,0
S2B,D,20260709,000000,64,69.28,62,63.81,166108,0
S2B,D,20260710,000000,64,79.9,64,79.9,179750,0
S2B,D,20260713,000000,79.9,96.6,76.01,81.4,371477,0
S2B,D,20260714,000000,84.7,88,77.1,78.76,124533,0
S2B,D,20260715,000000,79,82.9,72,80.06,118950,0
S2B,D,20260716,000000,82.86,84.64,79.31,82.26,59971,0
S2B,D,20260717,000000,83,83.6,77.55,77.85,44633,0
S2B,D,20260720,000000,77.71,79.35,69.94,70,72585,0
S2B,D,20260721,000000,69.11,78.2,59.33,71.59,252054,0
S2B,D,20260722,000000,74,78,70.5,73.7,70202,0
S2B,D,20260723,000000,72.99,72.99,67.1,67.5,43255,0
S2B,D,20260724,000000,66.3,71,65,67.05,46110,0
S2B,D,20260727,000000,67.14,73.85,66,73.58,46838,0
S2B,D,20260728,000000,74.38,74.38,68.51,69,41534,0
S2B,D,20260729,000000,69,71,67.49,69.32,29084,0
S2B,D,20260730,000000,69.79,69.79,66.09,66.1,30010,0
S2B,D,20260731,000000,66.5,69.5,66.5,68.2,19563,0
S2B,D,20260803,000000,67.9,69.85,67.4,67.9,11689,0
S2B,D,20260804,000000,67.95,69.43,65.2,66.46,73146,0
S2B,D,20260805,000000,66.47,67.38,65,65.25,27327,0
S2B,D,20260806,000000,65.25,68.8,65.25,68.39,40189,0
S2B,D,20260807,000000,68.39,68.4,65.7,66.4,35037,0
S2B,D,20260810,000000,66.66,69.67,66.66,67.52,22331,0
S2B,D,20260811,000000,68.4,70.98,66.82,66.82,39801,0
S2B,D,20260812,000000,68.28,68.28,65.56,66.5,25532,0
S2B,D,20260813,000000,66.51,67.68,66.09,66.8,11278,0
S2B,D,20260814,000000,66.02,67.4,65.21,65.9,18418,0
S2B,D,20260817,000000,66.35,66.35,64,64.55,31102,0
S2B,D,20260818,000000,64.1,64.5,59.63,61.99,44998,0
