<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SAN,D,20000103,000000,18.1429,18.2057,17.7465,17.9455,21131340,0
SAN,D,20000104,000000,17.955,18.048,17.5837,17.7543,21198504,0
SAN,D,20000105,000000,17.5035,17.7215,17.2698,17.4095,22429137,0
SAN,D,20000107,000000,17.2337,17.9084,17.2191,17.8611,23079805,0
SAN,D,20000110,000000,17.9386,17.9386,17.4664,17.6181,16232610,0
SAN,D,20000111,000000,17.6844,17.7154,16.8124,17.1183,36751698,0
SAN,D,20000112,000000,16.846,16.8908,16.6004,16.8908,28991483,0
SAN,D,20000113,000000,16.9855,17.0001,16.528,16.7418,26538149,0
SAN,D,20000114,000000,16.7047,17.1897,16.583,17.0683,37842040,0
SAN,D,20000117,000000,17.1778,17.2088,16.3222,16.4574,76067852,0
SAN,D,20000118,000000,16.4859,16.4859,15.6103,15.7163,48365460,0
SAN,D,20000119,000000,15.5095,15.6749,15.3002,15.6612,49746734,0
SAN,D,20000120,000000,15.7845,16.2204,15.7267,15.9506,28297666,0
SAN,D,20000121,000000,16.0343,16.186,15.3449,15.4354,43903964,0
SAN,D,20000124,000000,15.5845,15.8842,15.4199,15.5845,23816663,0
SAN,D,20000125,000000,15.5947,15.7913,15.5035,15.7613,38139146,0
SAN,D,20000126,000000,15.8989,16.1403,15.7035,16.0955,54467660,0
SAN,D,20000127,000000,16.2015,16.2161,15.8558,16.0662,120537836,0
SAN,D,20000128,000000,16.0807,16.0807,15.4397,15.513,31515983,0
SAN,D,20000131,000000,15.7576,15.9395,15.5154,15.7128,118830427,0
SAN,D,20000201,000000,17.6422,17.6422,15.6568,15.9145,27850578,0
SAN,D,20000202,000000,16.0489,16.0636,15.6844,15.9128,25531466,0
SAN,D,20000203,000000,16.0014,16.3506,15.8197,16.1678,27224382,0
SAN,D,20000204,000000,16.1566,16.2928,15.9326,16.1128,33238183,0
SAN,D,20000207,000000,16.3203,16.6367,16.2152,16.6367,29813692,0
SAN,D,20000208,000000,16.6219,16.9657,16.3962,16.8606,29261892,0
SAN,D,20000209,000000,17.1002,17.1002,16.4203,16.6625,26089288,0
SAN,D,20000210,000000,16.472,16.6063,16.0498,16.2756,21854931,0
SAN,D,20000211,000000,16.242,16.2556,15.2356,15.3552,41583495,0
SAN,D,20000214,000000,15.8766,16.6538,15.3096,16.0265,64023320,0
SAN,D,20000215,000000,16.2703,16.8236,16.1212,16.3144,51012898,0
SAN,D,20000216,000000,16.653,17.1304,16.385,17.0864,80544616,0
SAN,D,20000217,000000,16.9167,17.3036,16.8866,17.0364,40171325,0
SAN,D,20000218,000000,17.0536,17.1139,16.6073,16.6073,43821152,0
SAN,D,20000221,000000,16.4782,16.9839,16.3884,16.8639,21350258,0
SAN,D,20000222,000000,17.0804,17.3216,16.6875,16.8684,27743371,0
SAN,D,20000223,000000,16.971,17.2122,16.6711,17.2122,22477427,0
SAN,D,20000224,000000,16.957,17.107,16.583,16.6589,26485069,0
SAN,D,20000225,000000,16.6055,16.9183,16.4868,16.666,23773497,0
SAN,D,20000228,000000,16.6617,16.7511,16.4091,16.528,22812519,0
SAN,D,20000229,000000,16.5046,16.8734,16.4315,16.5641,17937486,0
SAN,D,20000301,000000,16.5307,16.5608,16.2669,16.428,21871748,0
SAN,D,20000302,000000,16.5014,16.7202,16.4574,16.6632,33785022,0
SAN,D,20000303,000000,16.7511,16.8968,16.372,16.4297,40164944,0
SAN,D,20000306,000000,16.6632,16.6632,16.329,16.329,29557544,0
SAN,D,20000307,000000,16.3393,16.5289,16.1946,16.2514,24014337,0
SAN,D,20000308,000000,16.3013,16.653,16.2885,16.5065,21996420,0
SAN,D,20000309,000000,16.4091,16.7003,16.3222,16.5108,35407261,0
SAN,D,20000310,000000,16.6953,16.7666,16.4333,16.7666,143283437,0
SAN,D,20000314,000000,16.7675,16.8262,16.4927,16.8262,56171153,0
SAN,D,20000315,000000,16.7227,17.2045,16.6789,17.0882,79883046,0
SAN,D,20000316,000000,17.2112,17.3863,17.1381,17.3414,39452998,0
SAN,D,20000317,000000,17.4896,17.9248,17.3587,17.7215,58635098,0
SAN,D,20000320,000000,17.5922,17.8671,17.5922,17.6655,47959333,0
SAN,D,20000321,000000,17.4508,17.6086,16.9899,17.3493,26327826,0
SAN,D,20000322,000000,17.226,17.4551,16.8976,17.0536,30954643,0
SAN,D,20000323,000000,17.2173,17.4028,16.8417,16.8847,24973984,0
SAN,D,20000324,000000,16.896,17.2846,16.7952,17.1414,13256289,0
SAN,D,20000327,000000,16.8796,17.0512,16.7072,16.8942,15110948,0
SAN,D,20000328,000000,16.8408,17.3156,16.8124,17.2156,18754697,0
SAN,D,20000329,000000,16.9778,17.1639,16.8339,16.9778,12132723,0
SAN,D,20000330,000000,17.1062,17.2226,16.9028,17.0348,20264068,0
SAN,D,20000331,000000,16.8053,16.9356,16.7624,16.7624,61697970,0
SAN,D,20000403,000000,16.9211,17.1261,16.7735,16.9493,18728297,0
SAN,D,20000404,000000,17.1734,17.6466,17.1597,17.2915,50427736,0
SAN,D,20000405,000000,17.463,17.6258,16.9563,17.1357,30644090,0
SAN,D,20000406,000000,16.9054,16.9054,16.3772,16.3917,51481856,0
SAN,D,20000407,000000,16.5271,16.7168,16.4238,16.6718,26439613,0
SAN,D,20000410,000000,16.7418,17.0038,16.5358,16.9907,20618585,0
SAN,D,20000411,000000,16.7933,17.0727,16.7933,16.809,21423310,0
SAN,D,20000412,000000,16.9528,17.0546,16.6469,16.8365,18739383,0
SAN,D,20000413,000000,16.8347,17.345,16.8063,17.2733,27998117,0
SAN,D,20000414,000000,17.5999,17.823,17.1664,17.3612,26548013,0
SAN,D,20000417,000000,16.7462,17.1778,16.491,17.1036,66131785,0
SAN,D,20000418,000000,17.151,17.2396,16.6469,16.8994,22176964,0
SAN,D,20000419,000000,16.9347,16.9631,16.6383,16.6383,37531226,0
SAN,D,20000420,000000,16.7193,17.2088,16.6168,17.1201,54622384,0
SAN,D,20000425,000000,16.8038,17.2139,16.6711,17.1545,28296328,0
SAN,D,20000426,000000,17.2733,17.3604,16.996,17.2149,19723381,0
SAN,D,20000427,000000,17.2354,17.2354,16.6668,16.8124,23144971,0
SAN,D,20000428,000000,17.3173,17.7051,17.2131,17.6603,58942548,0
SAN,D,20000502,000000,17.7198,18.0808,17.5991,18.0808,19292553,0
SAN,D,20000503,000000,17.568,17.7758,17.0648,17.095,23611509,0
SAN,D,20000504,000000,17.3036,17.7535,17.2741,17.5732,24889779,0
SAN,D,20000505,000000,17.7689,17.9972,17.4654,17.4654,17290559,0
SAN,D,20000508,000000,17.0011,17.1347,16.8985,17.0751,18427395,0
SAN,D,20000510,000000,16.6789,16.8141,16.0988,16.1877,36659368,0
SAN,D,20000511,000000,15.8757,16.4695,15.7137,16.4695,27883085,0
SAN,D,20000512,000000,16.6408,16.8511,16.3091,16.5796,15940216,0
SAN,D,20000515,000000,16.4359,16.4953,16.0653,16.2445,26818918,0
SAN,D,20000516,000000,16.3661,16.4979,16.204,16.2936,22555978,0
SAN,D,20000517,000000,16.4065,16.4359,15.7103,15.7845,37213040,0
SAN,D,20000518,000000,15.868,16.1205,15.7792,15.9567,34901684,0
