<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SCW,D,20231011,000000,47.7,47.7,41,44.5,60670,0
SCW,D,20231012,000000,44.995,45.7,44.2,44.2,11565,0
SCW,D,20231013,000000,44.2,44.25,41.6,41.8,7940,0
SCW,D,20231016,000000,41.64,44.69,41.5,41.5,3790,0
SCW,D,20231017,000000,42,42.8,41.21,42,3216,0
SCW,D,20231018,000000,42.5,43.44,42.5,43.44,3837,0
SCW,D,20231019,000000,43.425,46.1,43.425,46.1,22270,0
SCW,D,20231020,000000,46,49.59,46,48,22018,0
SCW,D,20231023,000000,49.5,49.5,44.11,44.81,11061,0
SCW,D,20231024,000000,45.485,45.49,43.5,44.15,6480,0
SCW,D,20231025,000000,44.375,44.8,43.82,44,2928,0
SCW,D,20231026,000000,44,44.9,43.84,44.9,1033,0
SCW,D,20231027,000000,44.01,44.4,43.6,44,3149,0
SCW,D,20231030,000000,44,44.395,43.6,43.6,2757,0
SCW,D,20231031,000000,43.6,44.34,43.6,44,1686,0
SCW,D,20231102,000000,44,44.9,43.995,44,4275,0
SCW,D,20231103,000000,44.56,44.56,43.5,43.5,2083,0
SCW,D,20231106,000000,43.01,43.9,43,43.3,589,0
SCW,D,20231107,000000,43.3,43.3,40.52,41.2,7773,0
SCW,D,20231108,000000,42.3,42.3,40.54,40.9,1638,0
SCW,D,20231109,000000,40.9,40.9,37.1,38.58,8992,0
SCW,D,20231110,000000,38.58,38.58,34.995,36.895,5436,0
SCW,D,20231113,000000,35.11,36.68,29,31.685,32513,0
SCW,D,20231114,000000,31.1,33.4,30,33.395,4663,0
SCW,D,20231115,000000,33.4,34.35,31.22,33.5,4247,0
SCW,D,20231116,000000,33.45,34,32.61,34,1599,0
SCW,D,20231117,000000,33,34.28,31.9,34.25,7131,0
SCW,D,20231120,000000,32.705,33.915,32.705,33,1493,0
SCW,D,20231121,000000,33.87,35,33.71,34.92,1140,0
SCW,D,20231122,000000,34.94,39.88,34.94,39.88,3486,0
SCW,D,20231123,000000,39.5,42,37.2,42,9895,0
SCW,D,20231124,000000,43.9,43.9,39.2,41,3216,0
SCW,D,20231127,000000,41,41,37.5,39.385,2611,0
SCW,D,20231128,000000,39.75,39.75,37.8,39.38,164,0
SCW,D,20231129,000000,37.9,39.29,36.1,37.99,2350,0
SCW,D,20231130,000000,37.99,38.05,37.45,37.995,940,0
SCW,D,20231201,000000,38.45,39.39,37.995,38.99,861,0
SCW,D,20231204,000000,38.96,39.195,36,36.5,1362,0
SCW,D,20231205,000000,36.8,37.94,36.5,36.5,2636,0
SCW,D,20231206,000000,37.2,37.68,36.5,37.6,180,0
SCW,D,20231207,000000,36.505,37.38,36.5,37.38,621,0
SCW,D,20231208,000000,36.51,37.36,36,36.5,1036,0
SCW,D,20231211,000000,36.005,36.89,36,36.86,630,0
SCW,D,20231212,000000,36.505,36.85,36.3,36.3,405,0
SCW,D,20231213,000000,36.02,36.81,36,36.6,896,0
SCW,D,20231214,000000,36.58,36.8,36,36.8,1891,0
SCW,D,20231215,000000,36.81,36.81,35.7,36.4,798,0
SCW,D,20231218,000000,35.805,36.005,35.8,35.8,1839,0
SCW,D,20231219,000000,36.4,36.4,35.9,36.395,277,0
SCW,D,20231220,000000,35.905,36.1,35.8,35.8,2901,0
SCW,D,20231221,000000,35.66,37,34,35.405,3089,0
SCW,D,20231222,000000,36.295,36.98,36,36.6,1573,0
SCW,D,20231227,000000,36.6,36.6,35.52,36,1323,0
SCW,D,20231228,000000,36.575,36.575,35.205,36.495,731,0
SCW,D,20231229,000000,36.5,37.995,36.5,37,1362,0
SCW,D,20240102,000000,37,37,35.52,36,607,0
SCW,D,20240103,000000,36,36.3,35.8,35.8,463,0
SCW,D,20240104,000000,36,36.9,35.8,36.88,1744,0
SCW,D,20240105,000000,36.89,36.89,35.805,36.46,385,0
SCW,D,20240108,000000,36.46,36.95,35.8,36.95,1441,0
SCW,D,20240109,000000,36.945,36.99,36.945,36.99,470,0
SCW,D,20240110,000000,36.99,36.995,36.34,36.5,176,0
SCW,D,20240111,000000,36.5,36.88,35.91,36.88,294,0
SCW,D,20240112,000000,36.88,36.99,36.11,36.99,234,0
SCW,D,20240115,000000,36.8,36.99,36.4,36.99,105,0
SCW,D,20240116,000000,36.99,36.99,36.3,36.98,71,0
SCW,D,20240117,000000,36.975,36.975,36.95,36.95,72,0
SCW,D,20240118,000000,36.34,36.99,36.34,36.99,26,0
SCW,D,20240119,000000,36.99,37,36.08,36.8,513,0
SCW,D,20240122,000000,36.81,37,36.8,36.995,221,0
SCW,D,20240123,000000,36.7,37,36.7,37,250,0
SCW,D,20240124,000000,37,39.92,37,37,2135,0
SCW,D,20240125,000000,38.295,38.295,36.72,37.5,360,0
SCW,D,20240126,000000,37.7,37.8,37,37.795,1126,0
SCW,D,20240129,000000,37.7,38.16,37,38,2105,0
SCW,D,20240130,000000,38.155,41,38.15,39.605,5761,0
SCW,D,20240131,000000,39.54,39.605,38.54,39.6,776,0
SCW,D,20240201,000000,39.605,39.84,38.56,39.79,545,0
SCW,D,20240202,000000,40,40.35,39.78,40.34,1748,0
SCW,D,20240205,000000,40.35,43,40.34,42.79,1436,0
SCW,D,20240206,000000,42.78,42.78,41.315,42.05,590,0
SCW,D,20240207,000000,41.9,42.74,41.85,42.5,269,0
SCW,D,20240208,000000,42.5,42.68,40,40,860,0
SCW,D,20240209,000000,41.89,41.895,39.2,39.67,922,0
SCW,D,20240212,000000,39.5,39.5,38.56,39.28,1256,0
SCW,D,20240213,000000,39,39,36,38.16,4677,0
SCW,D,20240214,000000,37.87,37.88,36.5,36.5,614,0
SCW,D,20240215,000000,36.995,37.88,33,34.4,3891,0
SCW,D,20240216,000000,34.5,37,34.5,36.295,441,0
SCW,D,20240219,000000,36.295,36.295,35.5,36.195,652,0
SCW,D,20240220,000000,36,36.18,35,36.18,2203,0
SCW,D,20240221,000000,35.6,36.28,35.3,36.28,267,0
SCW,D,20240222,000000,36.29,36.5,35.8,36.5,980,0
SCW,D,20240223,000000,36.35,39.35,36.35,38.495,694,0
SCW,D,20240226,000000,38.45,38.45,37.7,38.38,93,0
SCW,D,20240227,000000,37,38.44,37,37.98,555,0
SCW,D,20240228,000000,37.98,37.98,36.8,37,177,0
SCW,D,20240229,000000,36.995,37.46,36.66,36.66,423,0
SCW,D,20240301,000000,36.66,37.44,35.705,35.705,1591,0
SCW,D,20240304,000000,36.46,36.46,34.5,34.5,520,0
SCW,D,20240305,000000,34.4,36,34.4,36,1027,0
SCW,D,20240306,000000,36.195,36.2,34.41,35.4,664,0
SCW,D,20240307,000000,35.795,35.795,33,34.86,1006,0
SCW,D,20240308,000000,33.6,35.49,33.6,35,940,0
SCW,D,20240311,000000,35.795,36.5,35,35.995,1030,0
SCW,D,20240312,000000,36.495,36.495,34.06,35.98,778,0
SCW,D,20240313,000000,35.98,35.98,35.98,35.98,10,0
SCW,D,20240314,000000,35.7,35.7,34.9,35.495,134,0
SCW,D,20240315,000000,35.48,37,35.48,36.2,400,0
SCW,D,20240318,000000,36.195,37.86,35.48,36.38,1939,0
SCW,D,20240319,000000,36.5,36.5,33.8,35.8,735,0
SCW,D,20240320,000000,35.63,35.63,33,35.4,1716,0
SCW,D,20240321,000000,33.37,35,33,33.99,2049,0
SCW,D,20240322,000000,34,34,33.99,34,199,0
SCW,D,20240325,000000,34,34.7,32.47,34,1969,0
SCW,D,20240326,000000,33.2,33.995,33,33.97,715,0
SCW,D,20240327,000000,32.5,33.5,29.2,30.005,6176,0
SCW,D,20240328,000000,31.36,32.8,30.02,31.8,3837,0
SCW,D,20240402,000000,33.6,35,32.2,33.9,1954,0
SCW,D,20240403,000000,33.75,33.75,33.5,33.55,91,0
SCW,D,20240404,000000,33.55,33.55,32,32.4,1163,0
SCW,D,20240405,000000,32.8,34,32.75,34,832,0
SCW,D,20240408,000000,33.95,34,33,33.9,995,0
SCW,D,20240409,000000,33.85,34.85,33.85,33.85,1048,0
SCW,D,20240410,000000,33.9,33.95,32.7,33.6,1265,0
SCW,D,20240411,000000,33.9,34,33.05,33.65,888,0
SCW,D,20240412,000000,33.95,34,33.65,33.65,1986,0
SCW,D,20240415,000000,33,33.65,32,33.2,1049,0
SCW,D,20240416,000000,33.2,37.5,33.2,34.5,1171,0
SCW,D,20240417,000000,34.9,35,34.1,34.5,1919,0
SCW,D,20240418,000000,35.4,35.4,34.2,35,3625,0
SCW,D,20240419,000000,35.4,35.7,34.2,34.9,6307,0
SCW,D,20240422,000000,35.5,35.7,34.4,35.65,1521,0
SCW,D,20240423,000000,34.7,35.5,34.35,35.5,192,0
SCW,D,20240424,000000,35.45,35.45,34.35,35.35,588,0
SCW,D,20240425,000000,34.4,35.1,33.2,34,1531,0
SCW,D,20240426,000000,33.8,34.15,33.8,34.1,292,0
SCW,D,20240429,000000,34.1,35,33.95,34.8,361,0
SCW,D,20240430,000000,34.8,35.1,34.2,35.1,123,0
SCW,D,20240502,000000,35.15,35.15,34.3,35.1,122,0
SCW,D,20240506,000000,35.1,35.35,34.35,35.35,713,0
SCW,D,20240507,000000,35.35,35.4,34.05,34.95,1897,0
SCW,D,20240508,000000,34.15,34.7,33.7,34,1365,0
