<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SEK,D,20070315,000000,8.08453,8.12096,7.6214,7.82076,461662.8573487708,0
SEK,D,20070316,000000,8.01081,8.18383,7.93711,8.01081,174342.2851841085,0
SEK,D,20070319,000000,8.17368,8.19463,8.04262,8.09461,26503.275961994135,0
SEK,D,20070320,000000,8.09461,8.09461,7.83162,7.98909,30623.34357104775,0
SEK,D,20070321,000000,8.09461,8.09461,7.96271,7.98909,17730.729003417837,0
SEK,D,20070322,000000,7.91153,8.03642,7.91153,7.98909,25380.441516598104,0
SEK,D,20070323,000000,7.98909,8.00073,7.88437,7.96893,32340.468119001263,0
SEK,D,20070326,000000,7.96893,7.96893,7.87972,7.92238,57145.95652119451,0
SEK,D,20070327,000000,7.88437,7.88437,7.79517,7.83162,39919.27834228855,0
SEK,D,20070328,000000,7.80602,7.88437,7.68501,7.85877,15994.267467311698,0
SEK,D,20070329,000000,7.88437,7.88437,7.67338,7.84714,13352.834885662496,0
SEK,D,20070330,000000,7.88437,7.91153,7.78043,7.88437,15759.645344393126,0
SEK,D,20070402,000000,7.87972,7.87972,7.7269,7.80602,15519.866691300518,0
SEK,D,20070403,000000,7.78431,7.78431,7.67338,7.7269,30493.141184153377,0
SEK,D,20070404,000000,7.7269,7.7269,7.56866,7.7269,50340.6258240124,0
SEK,D,20070405,000000,7.73234,7.78043,7.6214,7.75948,35003.81595389011,0
SEK,D,20070410,000000,7.87972,7.98909,7.80602,7.88437,47352.41658815938,0
SEK,D,20070411,000000,7.98367,8.04262,7.91153,8.03642,51262.35559262108,0
SEK,D,20070412,000000,8.03642,8.17916,8.00073,8.14192,78894.91166272879,0
SEK,D,20070413,000000,8.14732,8.35834,8.14192,8.35834,61575.4159406902,0
SEK,D,20070416,000000,8.35834,8.69343,8.33118,8.67176,191392.3522045538,0
SEK,D,20070417,000000,8.76168,8.77729,8.56703,8.70895,46354.627999483695,0
SEK,D,20070418,000000,8.72448,8.72448,8.30555,8.41033,58664.55465744769,0
SEK,D,20070419,000000,8.12096,8.41033,7.98909,8.20011,29078.9627839244,0
SEK,D,20070420,000000,8.41033,8.41033,8.14732,8.20011,8897.592815296637,0
SEK,D,20070423,000000,8.14732,8.20011,7.88437,7.88437,27281.912018273353,0
SEK,D,20070424,000000,7.88437,7.98909,7.88437,7.98909,11220.609658699204,0
SEK,D,20070425,000000,8.12096,8.14732,7.91153,8.12096,14534.96942805992,0
SEK,D,20070426,000000,8.12096,8.12096,8.06897,8.06897,6136.270907101128,0
SEK,D,20070427,000000,8.12096,8.12096,8.02633,8.04262,5084.338751598078,0
SEK,D,20070430,000000,7.98909,8.00073,7.87972,7.97901,5156.530174034562,0
SEK,D,20070502,000000,7.98909,7.98909,7.8898,7.90609,10448.419265137529,0
SEK,D,20070504,000000,7.93711,7.93711,7.84248,7.88437,16681.375113001803,0
SEK,D,20070507,000000,8.23655,8.27846,8.08992,8.16287,40119.0938865324,0
SEK,D,20070508,000000,8.18924,8.35834,8.1,8.1,34082.086185281434,0
SEK,D,20070509,000000,8.09461,8.09461,7.88437,7.98909,10411.03442137578,0
SEK,D,20070510,000000,7.98909,8.01547,7.78974,8.01547,6989.676650903847,0
SEK,D,20070511,000000,7.78431,7.9317,7.78431,7.83706,8251.737410998807,0
SEK,D,20070514,000000,7.9317,7.93711,7.8898,7.92238,8277.52006186898,0
SEK,D,20070515,000000,7.93711,7.95884,7.8898,7.8898,6437.927922282149,0
SEK,D,20070516,000000,7.8898,7.8898,7.78431,7.78431,11982.48699191281,0
SEK,D,20070517,000000,7.88437,7.88437,7.6214,7.76879,6601.6477553077475,0
SEK,D,20070518,000000,7.76879,7.76879,7.65785,7.67338,6735.717539832645,0
SEK,D,20070521,000000,7.82076,7.82076,7.67338,7.81145,8626.87498115982,0
SEK,D,20070522,000000,7.83162,7.83162,7.78043,7.81612,4604.781445412863,0
SEK,D,20070523,000000,7.87274,7.87274,7.7269,7.7269,9824.479114079348,0
SEK,D,20070524,000000,7.85877,7.85877,7.75948,7.85179,8958.18204484154,0
SEK,D,20070525,000000,7.76879,7.85877,7.70131,7.85877,13740.863781258597,0
SEK,D,20070528,000000,7.85179,8.08453,7.73234,7.96271,48829.76248302028,0
SEK,D,20070529,000000,8.07832,8.25202,7.98909,8.22567,60010.40903287072,0
SEK,D,20070530,000000,8.14732,8.26371,8.02167,8.20011,40117.80475398888,0
SEK,D,20070531,000000,8.07365,8.27846,8.07365,8.22026,30512.478172306008,0
SEK,D,20070601,000000,8.14732,8.20011,8.08992,8.20011,35027.02033967326,0
SEK,D,20070604,000000,8.19463,8.20011,8.1,8.20011,29952.994648423257,0
SEK,D,20070605,000000,8.1,8.21639,7.93711,8.20011,22504.38681203033,0
SEK,D,20070606,000000,7.94255,7.94255,7.93711,7.93711,6769.234985963871,0
SEK,D,20070608,000000,8.06897,8.14732,7.88437,7.93711,13239.391221833735,0
SEK,D,20070611,000000,8.14732,8.19463,7.94255,8.19463,18358.536552106547,0
SEK,D,20070612,000000,8.14732,8.14732,7.98909,8.09461,15586.90158356297,0
SEK,D,20070613,000000,7.98909,8.14732,7.96271,8.14732,9290.778241066771,0
SEK,D,20070614,000000,7.88437,8.13651,7.88437,8.13651,2466.110555732029,0
SEK,D,20070615,000000,8.12096,8.25202,8.11555,8.22567,41680.23339672136,0
SEK,D,20070618,000000,8.24662,8.67176,8.20011,8.47861,115911.0635170359,0
SEK,D,20070619,000000,8.51504,8.67176,8.41033,8.46224,111177.36881727214,0
SEK,D,20070620,000000,8.46224,8.46224,8.35834,8.35834,27450.788381472983,0
SEK,D,20070621,000000,8.35834,8.67176,8.35834,8.62055,177299.55523891732,0
SEK,D,20070622,000000,8.67176,8.72448,8.47393,8.50964,87939.4655879854,0
SEK,D,20070625,000000,8.46224,8.50964,8.22567,8.35834,52947.25182698688,0
SEK,D,20070626,000000,8.20011,8.31022,8.00384,8.31022,125471.27045969595,0
SEK,D,20070627,000000,8.31022,8.31022,8.01547,8.27846,124896.3173452911,0
SEK,D,20070628,000000,8.33118,8.33118,8.01547,8.14732,67984.98294701516,0
SEK,D,20070629,000000,8.00073,8.13184,7.98909,8.09461,17608.26141178452,0
SEK,D,20070702,000000,8.13184,8.13184,7.88437,8.08992,32536.41626561457,0
SEK,D,20070703,000000,7.80602,8.08992,7.80602,8.06357,31943.4152956006,0
SEK,D,20070704,000000,7.88437,8.02167,7.84248,8.02167,13564.252622797912,0
SEK,D,20070705,000000,7.85877,8.01547,7.85877,8.01547,2164.453540551007,0
SEK,D,20070706,000000,7.98909,8.41033,7.98909,8.14732,65324.213377213324,0
SEK,D,20070709,000000,8.27846,8.33118,8.14732,8.33118,13033.130014872351,0
SEK,D,20070710,000000,8.35214,8.62055,8.35214,8.57323,81540.21164200851,0
SEK,D,20070711,000000,8.56703,8.56703,8.40412,8.41033,25946.3707031984,0
SEK,D,20070712,000000,8.39477,8.51504,8.09461,8.30555,19950.615243339715,0
SEK,D,20070713,000000,8.32111,8.40412,8.15279,8.38316,2809.019812305327,0
SEK,D,20070716,000000,8.40412,8.53599,8.17368,8.17368,45697.17040229428,0
SEK,D,20070717,000000,8.15739,8.40412,8.09461,8.40412,10440.684469876478,0
SEK,D,20070718,000000,8.22567,8.40412,8.22567,8.40412,1149.9062288097073,0
SEK,D,20070719,000000,8.24275,8.51504,8.23655,8.46773,42134.0080520364,0
SEK,D,20070720,000000,8.5414,9.09291,8.5414,9.09291,321648.8826657538,0
SEK,D,20070723,000000,9.30779,9.88107,9.30779,9.66615,273430.16900835664,0
SEK,D,20070724,000000,9.66615,10.3821,9.18214,9.88107,219278.86738573268,0
SEK,D,20070725,000000,9.72509,9.98121,9.47685,9.87722,98221.58675501031,0
SEK,D,20070726,000000,9.98656,10.2504,9.5661,9.5661,56130.120076909705,0
SEK,D,20070727,000000,9.19385,9.52893,9.06812,9.30389,49038.60195506868,0
SEK,D,20070730,000000,9.45047,9.45047,8.98817,9.29851,42046.34703907782,0
SEK,D,20070731,000000,9.46211,9.72509,9.45601,9.68632,40545.79675843375,0
SEK,D,20070801,000000,9.19922,9.98121,9.19922,9.88107,33197.7412604345,0
SEK,D,20070802,000000,9.93381,9.93381,9.72509,9.87722,31240.838059388392,0
SEK,D,20070803,000000,9.72509,9.87018,9.5661,9.83996,7256.527087410135,0
SEK,D,20070806,000000,9.20313,9.46211,9.12084,9.29851,25437.163348512488,0
SEK,D,20070807,000000,9.43105,9.43105,8.7524,8.7524,40837.14071326671,0
SEK,D,20070808,000000,8.67176,8.98817,8.67176,8.98817,14211.39715963925,0
SEK,D,20070809,000000,8.98817,8.98817,8.68416,8.93077,5708.278902656259,0
SEK,D,20070810,000000,8.41492,8.85091,8.41033,8.85091,7973.284781600941,0
SEK,D,20070813,000000,8.93077,8.96181,8.93077,8.96181,1158.9301566142674,0
SEK,D,20070814,000000,8.57323,8.96181,8.51504,8.92539,9948.235838256176,0
SEK,D,20070816,000000,8.41492,8.66859,8.27846,8.66859,28282.278872036062,0
SEK,D,20070817,000000,8.35834,8.66859,8.20011,8.51504,16377.139832733763,0
SEK,D,20070820,000000,8.51504,8.62055,8.38316,8.59411,14835.337310697429,0
SEK,D,20070821,000000,8.65698,8.65698,8.28853,8.59806,15350.990328100888,0
SEK,D,20070822,000000,8.67176,8.90909,8.27225,8.90909,10463.88885565963,0
SEK,D,20070823,000000,8.90909,9.06196,8.90528,9.06196,6716.380551680015,0
SEK,D,20070824,000000,8.67176,9.19922,8.67176,9.19922,74523.46320769099,0
SEK,D,20070827,000000,9.04098,9.1883,8.72448,8.93545,5023.749522053172,0
SEK,D,20070828,000000,8.92539,8.92539,8.69343,8.90528,5181.023692361226,0
SEK,D,20070829,000000,8.90909,8.93545,8.6461,8.93545,27858.154265221718,0
SEK,D,20070830,000000,8.93545,8.93545,8.70895,8.93545,4715.646844154606,0
SEK,D,20070831,000000,8.93545,9.1472,8.41492,9.09291,20437.90734478598,0
SEK,D,20070904,000000,8.88264,9.08901,8.72448,9.08901,6780.837178855449,0
SEK,D,20070905,000000,8.93545,8.98358,8.67792,8.93545,2984.3418382225022,0
SEK,D,20070906,000000,8.62055,8.87805,8.56236,8.87805,2591.156412452367,0
SEK,D,20070907,000000,8.85628,9.34039,8.67176,9.07202,10636.632616489791,0
SEK,D,20070910,000000,8.44209,9.06812,8.44209,8.98358,1723.5702106710519,0
SEK,D,20070911,000000,8.67176,8.98817,8.67176,8.98817,3137.74861090003,0
SEK,D,20070912,000000,9.03629,9.03629,8.7315,9.03014,14482.114993776064,0
SEK,D,20070914,000000,9.08285,9.08285,8.67176,8.98358,1420.6240629465215,0
SEK,D,20070917,000000,9.03014,9.06812,8.96181,9.03014,2302.3907227064315,0
SEK,D,20070918,000000,8.7563,9.06812,8.7563,9.03629,1650.0896556910595,0
SEK,D,20070919,000000,9.03629,9.6561,9.03014,9.5142,73243.3545919869,0
SEK,D,20070920,000000,9.60955,9.64531,9.40937,9.64531,11016.926716824839,0
SEK,D,20070921,000000,9.66615,9.98656,9.64531,9.82992,22095.731795738095,0
SEK,D,20070924,000000,9.81894,9.85554,9.81894,9.85554,19026.30720964402,0
SEK,D,20070925,000000,9.5661,9.73907,9.5661,9.73907,5917.118374704659,0
SEK,D,20070926,000000,9.46211,9.6608,9.45601,9.6608,4863.897086658099,0
SEK,D,20070927,000000,9.70725,9.83527,9.70341,9.80355,20490.76177906984,0
SEK,D,20071001,000000,8.89902,9.69261,8.89902,9.61884,9749.709426555846,0
SEK,D,20071002,000000,9.25117,9.88726,9.25117,9.5661,9377.150121481849,0
SEK,D,20071003,000000,9.19922,9.68248,9.19922,9.6134,504.0508245118784,0
SEK,D,20071004,000000,9.60336,9.69881,9.3567,9.3567,14438.28448729677,0
SEK,D,20071005,000000,9.09291,9.67243,8.93545,9.64531,5462.0545868461095,0
SEK,D,20071008,000000,9.64062,9.69881,9.28298,9.45047,28363.494222277106,0
SEK,D,20071009,000000,9.6134,9.6134,9.6134,9.6134,1.2891325435086403,0
SEK,D,20071010,000000,9.60336,9.77717,9.32955,9.72509,17964.0619937929,0
SEK,D,20071011,000000,9.46211,9.81359,9.46211,9.72509,6733.1392747456275,0
SEK,D,20071012,000000,9.3567,9.71899,9.3567,9.69261,607.1814279925696,0
SEK,D,20071015,000000,9.66615,9.98656,9.66615,9.69881,20667.37293753052,0
SEK,D,20071016,000000,9.98121,10.4078,9.71354,10.1339,36384.47690798786,0
SEK,D,20071017,000000,10.1122,10.5645,9.99285,10.2441,30863.122224140352,0
SEK,D,20071018,000000,10.2441,10.5125,10.2441,10.3558,16009.737057833805,0
SEK,D,20071019,000000,10.4016,10.5125,10.3821,10.5125,16266.274433992021,0
SEK,D,20071022,000000,10.4334,10.7747,10.0393,10.7708,17275.665215559286,0
SEK,D,20071023,000000,10.7708,11.4596,10.722,11.0859,23944.347863129486,0
SEK,D,20071024,000000,11.2478,11.3549,10.5645,11.2966,12926.132013761136,0
SEK,D,20071025,000000,11.2966,11.4596,11.0391,11.4061,8338.109291413886,0
SEK,D,20071026,000000,11.4527,11.4527,11.0959,11.3805,525.9660777515252,0
SEK,D,20071029,000000,11.4061,11.4596,11.3006,11.4116,1604.9700166682571,0
SEK,D,20071030,000000,11.2222,11.2222,11.2222,11.2222,88.95014550209618,0
SEK,D,20071031,000000,11.2222,11.3006,11.1176,11.3006,323.5722684206687,0
SEK,D,20071102,000000,11.0959,11.3006,11.0959,11.3006,6455.97577789127,0
SEK,D,20071105,000000,11.3006,11.3549,11.1547,11.3277,2384.8952054909846,0
SEK,D,20071106,000000,11.3277,11.3277,11.0438,11.3006,2615.6499307790314,0
SEK,D,20071107,000000,11.1439,11.1439,10.092,10.092,15188.5596276188,0
SEK,D,20071108,000000,9.30389,10.092,9.30389,10.092,7587.834151091856,0
SEK,D,20071109,000000,10.2077,10.2077,9.98656,10.0866,4897.414532789324,0
SEK,D,20071113,000000,9.98656,11.023,9.98656,11.023,903.6819129995569,0
SEK,D,20071114,000000,11.0284,11.0284,10.334,10.5125,7203.672653126282,0
SEK,D,20071115,000000,10.4078,10.4078,10.4078,10.4078,568.5074516873103,0
SEK,D,20071116,000000,9.4668,10.2504,9.4668,10.224,1567.5851729065066,0
SEK,D,20071119,000000,10.4543,10.4543,9.88726,10.4496,551.748728621698,0
SEK,D,20071120,000000,9.88107,10.4388,9.88107,10.4388,320.99400333365145,0
SEK,D,20071121,000000,9.61884,10.6544,9.61884,10.5125,1693.9201621703533,0
SEK,D,20071122,000000,9.67619,10.4862,9.67619,10.4241,4568.685734194621,0
SEK,D,20071123,000000,10.4016,10.4016,9.98656,10.092,2321.727710859061,0
SEK,D,20071126,000000,9.77717,10.2441,9.77717,10.2441,1218.2302536156649,0
SEK,D,20071127,000000,9.72903,10.0719,9.69881,10.0719,631.6749463192338,0
SEK,D,20071128,000000,10.1028,10.1028,10.1028,10.1028,188.21335135226147,0
SEK,D,20071129,000000,10.1433,10.3225,10.0658,10.3225,440.88332987995494,0
SEK,D,20071130,000000,10.3287,10.7747,10.3287,10.7747,19712.125722790617,0
SEK,D,20071203,000000,10.8019,10.8019,10.8019,10.8019,95.39580821963938,0
SEK,D,20071204,000000,10.2504,10.6018,10.2504,10.6018,286.18742465891813,0
SEK,D,20071205,000000,10.6397,10.7708,10.1075,10.718,3483.2361325603465,0
SEK,D,20071206,000000,10.718,10.718,10.2504,10.6607,1184.7128074844404,0
SEK,D,20071207,000000,10.255,10.5125,10.0866,10.1921,9133.504070758716,0
SEK,D,20071210,000000,10.2504,10.2504,9.72509,9.88726,11473.279637226897,0
SEK,D,20071211,000000,10.224,10.2504,9.91364,10.2504,1733.883271019121,0
SEK,D,20071212,000000,10.2441,10.2441,10.0393,10.0393,714.1794291037867,0
SEK,D,20071214,000000,10.0866,10.0866,10.0866,10.0866,188.21335135226147,0
SEK,D,20071217,000000,9.09291,10.1433,9.09291,9.98121,693.5533084076485,0
SEK,D,20071218,000000,9.38305,9.93381,9.3567,9.72509,2424.8583143397527,0
SEK,D,20071219,000000,9.72509,9.72509,9.72509,9.72509,380.2941003350489,0
SEK,D,20071220,000000,9.4668,10.1433,9.4668,10.1433,6252.292836016905,0
SEK,D,20071221,000000,10.1433,10.1433,9.98656,10.1433,2404.232193643614,0
SEK,D,20071228,000000,10.034,10.034,9.93381,9.93381,162.4307004820887,0
SEK,D,20080102,000000,9.93381,9.93381,9.93381,9.93381,1.2891325435086403,0
SEK,D,20080103,000000,9.77717,9.77717,9.46211,9.46211,1335.5413150749514,0
SEK,D,20080104,000000,9.46211,9.46211,9.46211,9.46211,314.54834061610825,0
SEK,D,20080107,000000,9.09291,9.38769,8.98817,9.37759,3672.7386164561162,0
SEK,D,20080109,000000,8.41033,8.41033,8.20011,8.20011,4466.844263257439,0
SEK,D,20080110,000000,8.41033,8.93545,8.41033,8.67176,1469.61109959985,0
SEK,D,20080111,000000,8.30555,8.90909,7.93711,8.14732,1788.026837846484,0
SEK,D,20080114,000000,8.1,8.41033,7.35898,7.43291,5908.094446900098,0
SEK,D,20080115,000000,7.31601,7.35898,6.99075,7.30623,82580.54160461997,0
SEK,D,20080116,000000,6.83304,7.09089,6.83304,6.93963,24088.730708002455,0
SEK,D,20080117,000000,6.83304,7.49108,6.83304,7.47402,2629.8303887576258,0
SEK,D,20080118,000000,7.93711,7.93711,7.36348,7.83162,7048.976747905245,0
SEK,D,20080121,000000,8.35214,8.5414,7.36348,8.14732,8241.424350650737,0
SEK,D,20080122,000000,8.14192,8.14192,7.35898,7.86886,1565.0069078194892,0
SEK,D,20080123,000000,7.88437,7.88437,7.09663,7.75327,4774.946941156002,0
SEK,D,20080124,000000,7.98367,8.35214,7.51745,8.35214,4813.620917461262,0
SEK,D,20080125,000000,8.25751,8.30555,8.24275,8.30555,192459.75395057898,0
SEK,D,20080129,000000,8.45144,8.45144,8.41033,8.41033,158.56330285156275,0
SEK,D,20080130,000000,7.78043,8.46224,7.56866,8.46224,15579.166788301918,0
SEK,D,20080131,000000,8.05736,8.44209,7.98367,7.98367,10804.219847145914,0
SEK,D,20080201,000000,8.28853,8.28853,8.04262,8.28467,990.0537934146357,0
SEK,D,20080204,000000,8.29861,8.29861,7.78043,7.78043,1394.841412076349,0
SEK,D,20080205,000000,7.78974,7.78974,7.00656,7.00656,12851.362326237633,0
SEK,D,20080206,000000,6.9857,7.30623,6.78061,6.98067,11028.528909716417,0
SEK,D,20080207,000000,6.90076,7.23757,6.90076,7.20065,3369.792468731586,0
SEK,D,20080208,000000,7.35448,7.35448,7.01743,7.01743,5901.648784182556,0
SEK,D,20080211,000000,6.86547,6.88564,6.78596,6.82227,3511.597048517536,0
SEK,D,20080212,000000,7.10098,7.3122,7.10098,7.29568,532.4117404690684,0
SEK,D,20080213,000000,7.20065,7.28056,6.88564,7.13263,3296.311913751593,0
SEK,D,20080214,000000,7.13263,7.17506,6.90076,6.9079,1439.961051099151,0
SEK,D,20080215,000000,7.14272,7.14272,7.14272,7.14272,140.51544724244178,0
SEK,D,20080218,000000,7.13907,7.13907,6.85461,7.0376,4468.133395800947,0
SEK,D,20080219,000000,6.89712,6.96484,6.89712,6.96484,618377.5441329422,0
SEK,D,20080220,000000,6.89068,6.89068,6.88564,6.88564,1418.0457978595045,0
SEK,D,20080221,000000,7.09663,7.09663,6.91799,7.06428,1158.9301566142674,0
SEK,D,20080225,000000,7.08011,7.08011,7.08011,7.08011,188.21335135226147,0
SEK,D,20080226,000000,6.96484,7.08011,6.68038,6.98067,631.6749463192338,0
SEK,D,20080227,000000,6.89068,6.91155,6.85826,6.91155,17178.98027479614,0
SEK,D,20080228,000000,6.83304,6.88564,6.83304,6.88564,10460.021458029107,0
SEK,D,20080229,000000,6.93963,6.93963,6.83304,6.88564,7024.483229578581,0
SEK,D,20080303,000000,6.9857,6.9857,6.72747,6.98067,3635.3537726943655,0
SEK,D,20080305,000000,6.89068,6.9857,6.83304,6.9857,252.66997852769344,0
SEK,D,20080306,000000,6.7329,6.7329,6.72747,6.72747,465.3768482066191,0
SEK,D,20080307,000000,6.43898,6.83304,6.31798,6.43425,2176.055733442585,0
SEK,D,20080310,000000,6.30695,6.8284,6.30695,6.8284,1193.7367352890005,0
SEK,D,20080311,000000,6.8284,6.93963,6.41346,6.8284,252.66997852769344,0
SEK,D,20080312,000000,6.49211,7.07072,6.37049,7.07072,1648.8005231475513,0
SEK,D,20080317,000000,6.36607,6.41812,6.36607,6.41812,1331.6739174444256,0
SEK,D,20080318,000000,6.83304,6.83304,6.38739,6.38739,1998.1554424383924,0
SEK,D,20080319,000000,6.06028,6.67023,6.0554,6.67023,859.851406520263,0
SEK,D,20080320,000000,6.0865,6.59095,6.0865,6.13427,1635.9091977124642,0
SEK,D,20080325,000000,6.49615,6.51228,6.16631,6.43425,415.10067900978214,0
SEK,D,20080326,000000,6.49211,6.49211,6.30695,6.48607,210.12860459190836,0
