<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SHO,D,20210709,000000,51.1564,54.4904,49.7262,49.7262,1222369.9395214408,0
SHO,D,20210712,000000,49.7356,52.4729,49.2525,52.3972,151291.48874969064,0
SHO,D,20210713,000000,52.4729,56.8867,52.4729,56.8867,230973.48877004161,0
SHO,D,20210714,000000,58.7243,60.8081,57.2277,57.3982,163217.6053522702,0
SHO,D,20210715,000000,57.5877,59.482,57.4077,58.5348,46526.21338903088,0
SHO,D,20210716,000000,58.7243,58.8663,58.1939,58.44,39925.46259234777,0
SHO,D,20210719,000000,58.62,58.62,56.0153,57.3224,65915.65490871816,0
SHO,D,20210720,000000,57.313,61.5658,56.9341,61.5658,102731.83869488744,0
SHO,D,20210721,000000,61.8498,62.9864,59.2925,61.5658,19023.08506951877,0
SHO,D,20210722,000000,62.4182,62.4182,59.6619,59.6619,9033.273163214806,0
SHO,D,20210723,000000,59.6715,61.1869,58.8379,61.1869,71471.18125103106,0
SHO,D,20210726,000000,62.0393,62.0393,60.1544,60.8553,3871.5536102745073,0
SHO,D,20210727,000000,60.8553,61.9351,59.482,60.6186,7074.797039119028,0
SHO,D,20210728,000000,60.6186,60.628,58.7621,59.5578,127032.77936783394,0
SHO,D,20210729,000000,59.2925,60.145,59.1978,60.145,34635.993383873465,0
SHO,D,20210730,000000,59.6715,59.6715,58.5442,58.7243,22577.90399665079,0
SHO,D,20210802,000000,58.7243,58.7243,57.8718,58.7243,27890.600415222398,0
SHO,D,20210803,000000,58.8189,59.1978,55.9775,58.7243,157920.74566785418,0
SHO,D,20210804,000000,58.7243,59.6715,57.7771,59.6715,2104.1740783411765,0
SHO,D,20210805,000000,58.2601,60.145,58.2507,59.6524,100972.90542117061,0
SHO,D,20210806,000000,59.6619,59.6619,58.2601,58.9136,66657.86984954726,0
SHO,D,20210809,000000,57.7771,58.6958,57.1141,58.2033,54813.04848230719,0
SHO,D,20210810,000000,58.2033,58.298,58.2033,58.298,4568.369913187291,0
SHO,D,20210811,000000,58.2507,58.7053,57.7771,58.7053,2164.3536681381897,0
SHO,D,20210812,000000,58.7053,58.7053,57.7865,58.5348,1955.3087772643546,0
SHO,D,20210813,000000,58.5442,59.6715,58.5348,59.6715,8609.904470081432,0
SHO,D,20210816,000000,59.6715,60.0503,55.5039,57.8434,63022.81146935296,0
SHO,D,20210817,000000,58.7243,64.4071,58.7243,62.9864,138944.11501853212,0
SHO,D,20210818,000000,63.4601,64.2083,63.4316,63.6968,36572.298080149696,0
SHO,D,20210819,000000,64.1136,64.3125,63.4601,63.9336,31412.690091763994,0
SHO,D,20210820,000000,63.981,65.3544,63.981,65.3355,10564.15746506823,0
SHO,D,20210823,000000,65.3544,71.0279,64.4071,71.0185,15947.591296208984,0
SHO,D,20210824,000000,70.0996,75.2997,66.9172,69.143,76402.74026755482,0
SHO,D,20210825,000000,69.7208,71.0373,69.1525,69.6166,22876.690381081884,0
SHO,D,20210826,000000,71.0279,71.0279,67.0593,67.0593,3415.455666549777,0
SHO,D,20210827,000000,69.9007,69.9007,63.9999,65.5912,9113.51261627749,0
SHO,D,20210830,000000,66.3015,66.3015,64.8808,64.8808,3233.861114881597,0
SHO,D,20210831,000000,64.8903,66.7752,64.8808,66.3015,10479.694882896985,0
SHO,D,20210901,000000,65.828,66.3015,65.3639,65.4586,2652.125080177138,0
SHO,D,20210902,000000,65.4586,65.9133,64.8808,65.5437,20865.425143129596,0
SHO,D,20210903,000000,65.7332,65.7332,63.9241,64.3978,1528.77273729956,0
SHO,D,20210906,000000,64.3978,64.4071,60.0124,64.2083,26770.415419176137,0
SHO,D,20210907,000000,63.4601,64.2083,63.2706,64.1136,5885.986195058735,0
SHO,D,20210908,000000,64.1136,64.2083,61.5658,62.0393,59229.385747586544,0
SHO,D,20210909,000000,61.5658,62.5129,60.6186,62.5129,8541.278622067293,0
SHO,D,20210910,000000,61.3385,62.5129,61.3385,62.134,5983.118164555669,0
SHO,D,20210913,000000,63.4601,63.4601,60.1544,60.8081,64524.13386744604,0
SHO,D,20210914,000000,62.4182,62.4182,60.6186,62.4182,7754.720825597562,0
SHO,D,20210915,000000,62.5035,63.4601,61.5658,62.5129,2254.095161695139,0
SHO,D,20210916,000000,62.5129,62.9864,62.4751,62.5413,6649.316781431374,0
SHO,D,20210917,000000,62.5129,66.0174,62.5129,65.7332,4818.590312869607,0
SHO,D,20210920,000000,65.8185,66.0932,63.4601,64.4071,7782.171164803216,0
SHO,D,20210921,000000,64.3787,67.2487,64.3787,67.2487,1581.561851156589,0
SHO,D,20210922,000000,67.2392,67.2487,66.311,67.0593,28756.34188247767,0
SHO,D,20210923,000000,67.0403,67.0403,66.311,66.3205,629.2462371757858,0
SHO,D,20210924,000000,66.311,66.311,62.4655,62.9864,7685.039195306284,0
SHO,D,20210927,000000,63.138,66.3015,63.138,66.3015,14908.701535502238,0
SHO,D,20210928,000000,65.828,65.828,62.5697,64.8808,8785.164328086768,0
SHO,D,20210929,000000,63.4695,63.4695,62.9864,63.2706,25359.890296916736,0
SHO,D,20210930,000000,63.4506,63.4601,62.5413,63.2706,3429.1808361526046,0
SHO,D,20211001,000000,63.4601,63.4601,61.5658,61.5751,3163.123702313178,0
SHO,D,20211004,000000,61.7552,61.8498,61.5658,61.8498,1145.5237706975297,0
SHO,D,20211005,000000,61.7078,63.2612,61.5658,62.5129,16126.018501045637,0
SHO,D,20211006,000000,62.5129,63.2706,62.5129,63.2706,53906.13150624353,0
SHO,D,20211007,000000,63.2706,64.786,62.5129,64.786,1773.7142255961749,0
SHO,D,20211008,000000,63.4695,64.786,63.2896,63.299,10555.711206851312,0
SHO,D,20211011,000000,63.3748,64.786,63.3654,64.786,1260.6040389058528,0
SHO,D,20211012,000000,64.4071,65.7332,63.9241,65.7332,5404.5494766826305,0
SHO,D,20211013,000000,65.7332,66.1974,65.0798,65.4491,1240.5441756401817,0
SHO,D,20211014,000000,64.4167,66.4909,64.4167,66.4909,1804.3319116332514,0
SHO,D,20211015,000000,66.3015,66.311,65.3259,66.3015,1319.7278464257251,0
SHO,D,20211018,000000,66.3015,66.6803,65.3544,66.4909,2802.0461635311,0
SHO,D,20211019,000000,66.311,68.1959,66.311,67.2487,46388.9616930026,0
SHO,D,20211020,000000,67.2487,67.817,66.5763,67.6275,39567.55240039722,0
SHO,D,20211021,000000,67.2487,69.2473,66.9741,69.2473,21050.18704162868,0
SHO,D,20211022,000000,69.143,71.0185,69.143,70.8291,70191.5731311375,0
SHO,D,20211025,000000,70.0996,71.975,70.0902,70.7438,6615.531748562875,0
SHO,D,20211026,000000,71.0279,71.0373,70.0902,71.0373,14368.141009606052,0
SHO,D,20211027,000000,70.9427,71.0185,68.7169,70.6585,216139.74777622166,0
SHO,D,20211028,000000,70.5638,71.0089,70.5638,70.5638,6126.704554246787,0
SHO,D,20211029,000000,70.5638,70.6017,70.0902,70.4691,10308.658154000625,0
SHO,D,20211102,000000,71.0373,71.975,71.0373,71.7004,1643.8530055078834,0
SHO,D,20211103,000000,71.6909,73.7273,71.1037,73.6799,3297.208051510032,0
SHO,D,20211104,000000,73.6894,75.2807,73.2159,74.4472,9712.1411674162,0
SHO,D,20211105,000000,74.5988,76.4173,74.3714,76.1521,5080.424317600472,0
SHO,D,20211108,000000,76.9951,81.4562,76.9951,78.6147,5713.89368388482,0
SHO,D,20211109,000000,79.5618,84.7618,77.999,83.1611,253745.65670569398,0
SHO,D,20211110,000000,84.2977,87.0255,78.2359,80.7932,225053.71754211368,0
SHO,D,20211112,000000,81.4562,83.3506,81.4562,81.4562,4624.326373875741,0
SHO,D,20211115,000000,82.4034,83.8241,81.9298,83.3506,7844.462319154511,0
SHO,D,20211116,000000,82.8769,82.8769,81.4562,81.9298,111054.57038558486,0
SHO,D,20211117,000000,81.6456,83.0664,81.6456,81.8446,85085.49371475934,0
SHO,D,20211118,000000,81.4751,82.4034,80.509,82.4034,59446.87689667709,0
SHO,D,20211119,000000,83.0664,83.0664,75.8679,80.4995,39982.47483531378,0
