<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SKA,D,20031229,000000,11.3023,12.0999,11.3023,11.9262,275955.34105021274,0
SKA,D,20031230,000000,12.0999,12.9473,12.0999,12.9473,284367.0135616922,0
SKA,D,20031231,000000,13.1276,13.5254,12.5493,12.6356,337896.93293575157,0
SKA,D,20040102,000000,12.4571,12.6822,12.0127,12.6822,140385.1326062389,0
SKA,D,20040105,000000,12.4571,12.5493,12.0127,12.4571,200300.84515051066,0
SKA,D,20040106,000000,12.2378,12.723,12.1455,12.4571,168950.8739299565,0
SKA,D,20040107,000000,12.4571,12.723,12.4114,12.502,96690.89956466273,0
SKA,D,20040108,000000,12.502,12.6356,12.2785,12.2785,149863.3108196771,0
SKA,D,20040109,000000,12.1912,12.2378,11.9262,12.0999,166314.70295111547,0
SKA,D,20040112,000000,12.0127,12.1455,11.9262,12.0127,73446.85317129598,0
SKA,D,20040113,000000,12.0583,12.1912,12.0127,12.0127,71171.80150462266,0
SKA,D,20040114,000000,12.0583,12.0583,11.879,11.879,49314.45326998897,0
SKA,D,20040115,000000,11.7933,11.7933,11.5224,11.7003,80781.18640147589,0
SKA,D,20040116,000000,11.614,11.614,11.4345,11.4345,99016.50793504032,0
SKA,D,20040119,000000,11.3023,11.614,11.3023,11.5224,46433.92488990976,0
SKA,D,20040120,000000,11.4818,11.879,11.4818,11.879,49222.96971090558,0
SKA,D,20040121,000000,11.9262,11.9671,11.7933,11.8341,23956.65516938355,0
SKA,D,20040122,000000,11.9262,12.0127,11.8341,12.0127,44418.87912799887,0
SKA,D,20040123,000000,12.0127,12.1912,11.9262,12.0583,80618.68271099922,0
SKA,D,20040126,000000,12.0127,12.3251,11.879,12.2785,139351.12764238933,0
SKA,D,20040127,000000,12.2785,12.2785,12.1455,12.2378,52953.332205625586,0
SKA,D,20040128,000000,12.1912,12.1912,11.8341,11.9671,102675.85029836705,0
SKA,D,20040129,000000,11.7933,11.9262,11.7003,11.879,70739.66206105839,0
SKA,D,20040130,000000,11.9671,12.0127,11.8341,11.9671,15133.306642020058,0
SKA,D,20040202,000000,11.879,12.2785,11.879,12.2378,74668.64017747162,0
SKA,D,20040203,000000,12.0583,12.2785,12.0127,12.0127,20182.958357203686,0
SKA,D,20040204,000000,12.0127,12.1455,11.9671,12.0999,21077.33052034526,0
SKA,D,20040205,000000,12.0583,12.1455,12.0127,12.1455,22467.639872201056,0
SKA,D,20040206,000000,12.2378,12.5493,12.1912,12.4571,213771.79922550218,0
SKA,D,20040209,000000,12.502,12.6822,12.502,12.6356,109179.60911055644,0
SKA,D,20040210,000000,12.7686,12.7686,12.4571,12.5493,84197.37509460862,0
SKA,D,20040211,000000,12.502,12.5908,12.3707,12.502,29980.12529638626,0
SKA,D,20040212,000000,12.4571,12.5493,12.4114,12.5493,22081.242208178497,0
SKA,D,20040213,000000,12.502,12.5493,12.4114,12.4114,29717.71192954198,0
SKA,D,20040216,000000,12.4571,12.502,12.3251,12.502,26189.576249637936,0
SKA,D,20040217,000000,12.5493,12.5908,12.4571,12.5908,60775.17650723659,0
SKA,D,20040218,000000,12.5908,12.6356,12.3707,12.5493,33042.41706359133,0
SKA,D,20040219,000000,12.4571,12.5493,12.3707,12.4571,28534.444316663623,0
SKA,D,20040220,000000,12.3707,12.4571,12.2785,12.4571,11553.410527371925,0
SKA,D,20040223,000000,12.4571,12.502,12.3251,12.4571,31056.260846653695,0
SKA,D,20040224,000000,12.4571,12.4571,12.2378,12.2785,21392.708052974544,0
SKA,D,20040225,000000,12.2378,12.3251,12.0999,12.1455,14991.266379233499,0
SKA,D,20040226,000000,12.1455,12.4114,12.1455,12.3707,15930.176590876947,0
SKA,D,20040227,000000,12.4114,12.502,12.2785,12.502,75512.45563691005,0
SKA,D,20040301,000000,12.4571,12.723,12.4114,12.6822,109208.4986555297,0
SKA,D,20040302,000000,12.6822,12.7686,12.5493,12.5908,30743.29077610624,0
SKA,D,20040303,000000,12.6822,12.8143,12.502,12.723,35199.503088288766,0
SKA,D,20040304,000000,12.723,12.7686,12.6822,12.723,33727.34002567363,0
SKA,D,20040305,000000,12.723,12.723,12.5493,12.6356,51567.837777932364,0
SKA,D,20040308,000000,12.6356,12.6356,12.2378,12.502,79319.8569182268,0
SKA,D,20040309,000000,12.5493,12.6822,12.5493,12.5908,71128.4671871617,0
SKA,D,20040310,000000,12.5908,12.7686,12.5908,12.6822,30530.230381925314,0
SKA,D,20040311,000000,12.5908,12.6356,12.3707,12.502,68251.55000020415,0
SKA,D,20040312,000000,12.4571,12.6822,12.4571,12.6822,91270.49868898516,0
SKA,D,20040315,000000,12.6822,12.723,12.502,12.502,38016.233723218014,0
SKA,D,20040316,000000,12.4114,12.5908,12.4114,12.4571,25155.571285789447,0
SKA,D,20040317,000000,12.6822,13.1276,12.502,13.1276,98353.25213168794,0
SKA,D,20040318,000000,13.346,13.9276,13.2123,13.3044,290840.6790978762,0
SKA,D,20040319,000000,13.3901,13.4374,12.5908,12.8999,91140.4957366045,0
SKA,D,20040322,000000,12.723,13.0802,12.6822,12.993,41516.683589189735,0
SKA,D,20040323,000000,12.993,13.258,12.993,13.2123,21956.05417996039,0
SKA,D,20040324,000000,13.346,13.5704,13.1276,13.4374,51342.74007334555,0
SKA,D,20040325,000000,13.5704,13.5704,13.2123,13.3901,10431.533197562032,0
SKA,D,20040326,000000,13.346,13.7032,13.346,13.484,39913.313843153,0
SKA,D,20040329,000000,13.5254,13.9276,13.5254,13.9276,51601.54224706817,0
SKA,D,20040330,000000,14.0147,14.1933,13.8362,14.1469,59913.3050821899,0
SKA,D,20040331,000000,14.1469,14.1469,13.749,14.0147,80439.32678595519,0
SKA,D,20040401,000000,13.7946,14.1469,13.7946,14.1019,17499.84186777677,0
SKA,D,20040402,000000,14.1933,14.5506,14.0596,14.3719,61823.62624357169,0
SKA,D,20040405,000000,14.46,14.6843,14.3263,14.6843,34449.57865001449,0
SKA,D,20040406,000000,14.6843,15.4853,14.5913,15.1736,140836.53174645128,0
SKA,D,20040407,000000,15.2609,15.2609,15.0357,15.1736,73942.79036000911,0
SKA,D,20040408,000000,15.1736,15.5725,15.128,15.5259,45079.7274692705,0
SKA,D,20040413,000000,15.796,16.0177,15.5725,15.6189,64154.04953811077,0
SKA,D,20040414,000000,15.393,15.393,15.216,15.216,25816.419627061077,0
SKA,D,20040415,000000,15.216,15.796,15.216,15.5725,30571.15723730443,0
SKA,D,20040416,000000,15.6189,15.6189,15.2609,15.393,12308.14988980768,0
SKA,D,20040419,000000,15.2609,15.4853,15.216,15.2609,20962.976071491023,0
SKA,D,20040420,000000,15.5259,15.5259,15.1736,15.3066,26600.048534471167,0
SKA,D,20040421,000000,15.1736,15.348,15.1736,15.216,33167.605091810525,0
SKA,D,20040422,000000,15.1736,15.2609,15.0823,15.0823,77966.86322862848,0
SKA,D,20040423,000000,15.128,15.216,15.0823,15.216,40169.70855479378,0
SKA,D,20040426,000000,15.128,15.3066,15.0823,15.1736,15292.199139375067,0
SKA,D,20040427,000000,15.1736,15.348,15.1736,15.3066,41333.716471022955,0
SKA,D,20040428,000000,15.3066,15.3066,15.216,15.2609,11041.824835130165,0
SKA,D,20040429,000000,15.216,15.2609,15.0823,15.2609,89230.17457522271,0
SKA,D,20040430,000000,15.0357,15.1736,15.0357,15.1736,6923.860945347003,0
