<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SNK,D,19970116,000000,2.43043,2.43043,2.43043,2.43043,3281707.7132794643,0
SNK,D,19970117,000000,2.65146,2.65146,2.65146,2.65146,2727443.0478174686,0
SNK,D,19970120,000000,2.51902,2.51902,2.51902,2.51902,1550711.9338302603,0
SNK,D,19970121,000000,2.43043,2.43043,2.43043,2.43043,988903.2031461966,0
SNK,D,19970122,000000,2.4525,2.4525,2.4525,2.4525,755933.6947019018,0
SNK,D,19970123,000000,2.51902,2.51902,2.51902,2.51902,777919.7330750631,0
SNK,D,19970124,000000,2.51902,2.51902,2.51902,2.51902,660409.710823368,0
SNK,D,19970127,000000,2.51902,2.51902,2.51902,2.51902,1247192.06323181,0
SNK,D,19970128,000000,2.47456,2.47456,2.47456,2.47456,785760.6491568482,0
SNK,D,19970129,000000,2.38615,2.38615,2.38615,2.38615,379879.68752933387,0
SNK,D,19970130,000000,2.36417,2.36417,2.36417,2.36417,430794.97474552353,0
SNK,D,19970131,000000,2.34203,2.34203,2.34203,2.34203,439769.6465204481,0
SNK,D,19970203,000000,2.43043,2.43043,2.43043,2.43043,623552.5173332555,0
SNK,D,19970204,000000,2.47456,2.47456,2.47456,2.47456,714418.6847101117,0
SNK,D,19970205,000000,2.43043,2.43043,2.43043,2.43043,363705.4882771551,0
SNK,D,19970206,000000,2.49654,2.49654,2.49654,2.49654,263330.5560123078,0
SNK,D,19970207,000000,2.54099,2.54099,2.54099,2.54099,458868.2440010925,0
SNK,D,19970210,000000,2.56305,2.56305,2.56305,2.56305,505058.95307647117,0
SNK,D,19970211,000000,2.56305,2.56305,2.56305,2.56305,322468.2543910448,0
SNK,D,19970212,000000,2.62949,2.62949,2.62949,2.62949,1222366.2708512272,0
SNK,D,19970213,000000,2.67344,2.67344,2.67344,2.67344,709934.9253390315,0
SNK,D,19970214,000000,2.80606,2.80606,2.80606,2.80606,772942.4144432473,0
SNK,D,19970217,000000,2.82786,2.82786,2.82786,2.82786,701687.4785618095,0
SNK,D,19970218,000000,3.02692,3.02692,3.02692,3.02692,830178.5982788112,0
SNK,D,19970219,000000,3.04923,3.04923,3.04923,3.04923,1164764.0901725572,0
SNK,D,19970220,000000,2.8724,2.8724,2.8724,2.8724,420043.9665008013,0
SNK,D,19970221,000000,2.89455,2.89455,2.89455,2.89455,820179.8506464666,0
SNK,D,19970224,000000,2.80606,2.80606,2.80606,2.80606,354047.7018732413,0
SNK,D,19970225,000000,2.76184,2.76184,2.76184,2.76184,462180.09817095706,0
SNK,D,19970226,000000,2.80606,2.80606,2.80606,2.80606,856373.0042616277,0
SNK,D,19970227,000000,2.69551,2.69551,2.69551,2.69551,733779.5600587799,0
SNK,D,19970228,000000,2.73996,2.73996,2.73996,2.73996,852999.1571411394,0
SNK,D,19970303,000000,2.73996,2.73996,2.73996,2.73996,273008.6093423872,0
SNK,D,19970304,000000,2.73996,2.73996,2.73996,2.73996,236690.27765385102,0
SNK,D,19970305,000000,2.76184,2.76184,2.76184,2.76184,266300.25678161404,0
SNK,D,19970306,000000,2.85043,2.85043,2.85043,2.85043,262243.2950321364,0
SNK,D,19970307,000000,2.91636,2.91636,2.91636,2.91636,399793.7307451068,0
SNK,D,19970310,000000,2.82786,2.82786,2.82786,2.82786,194300.21332056308,0
SNK,D,19970311,000000,2.76184,2.76184,2.76184,2.76184,702244.2229452963,0
SNK,D,19970312,000000,2.71739,2.71739,2.71739,2.71739,405858.31035709416,0
SNK,D,19970313,000000,2.69551,2.69551,2.69551,2.69551,318667.6096489539,0
SNK,D,19970314,000000,2.62949,2.62949,2.62949,2.62949,512856.9509616706,0
