<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SNT,D,20110809,000000,4.52039,6.45882,4.52039,6.45882,35757.60331525056,0
SNT,D,20110810,000000,7.67497,7.67497,6.3568,6.38038,12592.458889845018,0
SNT,D,20110811,000000,7.06308,7.06308,7.06308,7.06308,3794.176277137985,0
SNT,D,20110812,000000,7.6125,7.6125,6.98464,7.534,7324.851302789371,0
SNT,D,20110816,000000,7.6125,8.63306,7.6125,8.63306,29434.782000912346,0
SNT,D,20110818,000000,8.55364,8.63306,8.55364,8.55364,406.13036926356784,0
SNT,D,20110902,000000,8.46849,9.18238,8.46849,9.18238,1607.5993783349488,0
SNT,D,20110905,000000,9.18238,9.18238,9.18238,9.18238,1032.2480218782364,0
SNT,D,20110906,000000,9.18238,9.18238,9.18238,9.18238,1400.9080296919121,0
SNT,D,20110907,000000,8.86811,10.2025,8.86811,10.2025,20387.502792763444,0
SNT,D,20110908,000000,9.80953,9.80953,9.57375,9.57375,969.3945123493489,0
SNT,D,20110909,000000,9.65317,10.0454,8.59341,8.59341,5431.993688900205,0
SNT,D,20110912,000000,9.1419,9.1419,8.00432,9.1419,10553.345994167355,0
SNT,D,20110913,000000,8.64877,9.07322,8.64877,9.07322,255.04020212682042,0
SNT,D,20110915,000000,8.64877,9.37764,8.64877,9.37764,2207.1251615335473,0
SNT,D,20110919,000000,9.05668,9.06496,9.05668,9.06496,3823.185589228146,0
SNT,D,20110920,000000,9.02439,9.06496,9.02439,9.06496,507.662961579457,0
SNT,D,20110921,000000,8.94663,9.06496,8.24011,8.49079,309369.8087865189,0
SNT,D,20110922,000000,8.39735,8.39735,8.39735,8.39735,34405.0441390428,0
SNT,D,20110923,000000,8.7117,8.78947,8.7117,8.78947,11469.556767684555,0
SNT,D,20110926,000000,8.78947,9.80953,8.63306,9.80953,13097.704408750482,0
SNT,D,20110927,000000,9.80953,9.84099,9.57375,9.57375,2232.5083096124963,0
SNT,D,20110928,000000,9.10383,9.41739,8.78947,9.41739,1556.833082177051,0
SNT,D,20110929,000000,8.7117,9.41739,8.31871,9.41739,69767.39557706277,0
SNT,D,20110930,000000,9.41739,9.41739,9.41739,9.41739,3.626164011281868,0
SNT,D,20111003,000000,9.41739,9.41739,9.41739,9.41739,3.626164011281868,0
SNT,D,20111004,000000,8.89206,9.41739,8.63306,9.41739,1432.3347844562918,0
SNT,D,20111005,000000,9.39424,9.41739,9.39424,9.41739,528.2112243100613,0
SNT,D,20111006,000000,9.57375,9.57375,9.41739,9.41739,1406.9516363773432,0
SNT,D,20111007,000000,9.57375,9.57375,9.57375,9.57375,6.04360668546978,0
SNT,D,20111010,000000,9.49672,10.5946,9.472,10.5946,2201.0815548481164,0
SNT,D,20111011,000000,10.516,10.516,10.2025,10.516,6391.718430552875,0
SNT,D,20111012,000000,10.5946,10.5946,10.2025,10.2025,1138.6154995425052,0
SNT,D,20111013,000000,10.2025,10.2025,10.2025,10.2025,2088.6704704983354,0
SNT,D,20111014,000000,10.3589,10.3589,10.2811,10.32,1918.2407619681169,0
SNT,D,20111017,000000,10.2811,10.2811,10.2811,10.2811,248.99659544135474,0
SNT,D,20111018,000000,10.2811,10.2811,10.2811,10.2811,6.04360668546978,0
SNT,D,20111019,000000,10.2811,10.2811,10.2811,10.2811,6.04360668546978,0
SNT,D,20111020,000000,10.2811,10.2811,10.2811,10.2811,6.04360668546978,0
SNT,D,20111021,000000,10.2811,10.2811,10.2025,10.2811,3192.2330512651674,0
SNT,D,20111024,000000,10.2025,10.2736,10.2025,10.2736,1520.5714420642335,0
SNT,D,20111025,000000,10.2025,10.2025,10.2025,10.2025,261.0838088122978,0
SNT,D,20111026,000000,10.2025,10.2025,10.2025,10.2025,6.04360668546978,0
SNT,D,20111027,000000,10.2025,10.2025,10.2025,10.2025,134.16806841742482,0
SNT,D,20111028,000000,10.2025,10.2025,10.2025,10.2025,1918.2407619681169,0
SNT,D,20111031,000000,10.2025,10.2025,10.2025,10.2025,636.9961446485138,0
SNT,D,20111103,000000,10.2025,10.9082,10.2025,10.9082,4147.122907569401,0
SNT,D,20111104,000000,10.9082,10.9082,10.9082,10.9082,24.17442674187912,0
SNT,D,20111107,000000,10.9082,10.9082,10.4383,10.516,4548.4183914846135,0
SNT,D,20111108,000000,10.516,10.5946,10.516,10.5946,5770.435663286539,0
SNT,D,20111109,000000,10.5946,10.6732,10.5946,10.6732,836.4351652690219,0
SNT,D,20111110,000000,10.6732,10.7518,10.6732,10.7518,3817.141982542715,0
SNT,D,20111114,000000,10.7518,10.7518,10.5946,10.7518,6324.030035675561,0
SNT,D,20111115,000000,10.7518,10.7518,10.7279,10.7518,6632.253976634511,0
SNT,D,20111116,000000,10.7518,10.7518,10.7436,10.7436,5608.467004115971,0
SNT,D,20111117,000000,10.7196,10.7279,10.7196,10.7279,5862.298484905693,0
SNT,D,20111118,000000,10.7279,10.7279,10.7279,10.7279,5416.280311518015,0
SNT,D,20111121,000000,10.9082,10.9082,10.8702,10.8702,2236.1344736238243,0
SNT,D,20111122,000000,10.9082,11.1837,10.9007,11.1754,2873.13061827235,0
SNT,D,20111123,000000,11.2226,11.2226,11.1208,11.2226,4655.994590485956,0
SNT,D,20111124,000000,11.2143,11.2226,11.2143,11.2226,8004.152694236146,0
SNT,D,20111125,000000,11.2226,11.2226,11.2226,11.2226,1215.9736651164965,0
SNT,D,20111128,000000,11.206,11.206,11.206,11.206,6.04360668546978,0
SNT,D,20111129,000000,11.206,11.206,11.206,11.206,6.04360668546978,0
SNT,D,20111130,000000,11.2226,11.2226,11.2226,11.2226,176.47331521571968,0
SNT,D,20111201,000000,11.2226,11.2226,10.7518,10.7518,327.56348235246713,0
SNT,D,20111202,000000,10.7518,10.7518,10.7518,10.7518,2261.5176217027733,0
SNT,D,20111205,000000,10.7196,10.7279,10.7196,10.7196,2298.987983152701,0
SNT,D,20111206,000000,10.7047,10.7047,10.7047,10.7047,1096.310252744222,0
SNT,D,20111207,000000,10.7047,10.7047,10.7047,10.7047,640.6223086597956,0
SNT,D,20111209,000000,10.6732,10.6732,10.6732,10.6732,6.04360668546978,0
SNT,D,20111212,000000,10.5946,10.7047,10.5946,10.7047,1223.2259931390365,0
SNT,D,20111213,000000,10.7518,10.7518,10.7518,10.7518,1542.328426131854,0
SNT,D,20111214,000000,10.7518,10.9553,10.7047,10.9553,7720.103180019154,0
SNT,D,20111215,000000,10.9869,10.9869,10.9869,10.9869,12.08721337093956,0
SNT,D,20111216,000000,10.9869,10.9869,10.9869,10.9869,89.44537894495299,0
SNT,D,20111219,000000,10.9082,11.513,10.9082,11.513,774.7903770772205,0
SNT,D,20111220,000000,11.1837,11.2465,10.9869,11.2465,522.1676176245838,0
SNT,D,20111221,000000,11.7405,11.7405,11.1837,11.1837,248.99659544135474,0
SNT,D,20111223,000000,11.1514,11.1514,11.1514,11.1514,31.426754764442627,0
SNT,D,20120103,000000,11.1514,11.1598,11.144,11.144,1028.6218578669548,0
SNT,D,20120104,000000,11.1514,11.1514,10.9869,10.9869,1423.8737350966423,0
SNT,D,20120105,000000,10.9869,10.9869,10.9869,10.9869,583.8124058163853,0
SNT,D,20120110,000000,10.9869,10.9869,10.9869,10.9869,255.04020212682042,0
SNT,D,20120111,000000,10.9869,10.9869,10.9869,10.9869,510.08040425365255,0
SNT,D,20120112,000000,10.9869,10.9869,10.9869,10.9869,630.9525379630481,0
SNT,D,20120113,000000,10.9869,11.1754,10.9869,11.1754,346.9030237459621,0
SNT,D,20120116,000000,11.7719,12.1641,11.7719,12.1641,418.21758263451096,0
SNT,D,20120118,000000,11.9447,12.1873,11.7719,11.7719,481.0710921633985,0
SNT,D,20120119,000000,12.2426,12.2426,12.2426,12.2426,12.08721337093956,0
SNT,D,20120120,000000,12.0855,12.0855,11.7719,11.7719,8996.512911990307,0
SNT,D,20120123,000000,11.9283,11.9283,11.6925,11.6925,621.2827672662892,0
SNT,D,20120124,000000,11.6925,11.6925,11.6925,11.6925,726.4415235934714,0
SNT,D,20120125,000000,11.6925,11.6925,11.6925,11.6925,126.91574039486132,0
SNT,D,20120126,000000,11.3789,11.6925,11.3789,11.6859,1412.9952430628905,0
SNT,D,20120127,000000,11.6859,11.6859,11.6859,11.6859,6.04360668546978,0
SNT,D,20120130,000000,11.6859,11.6859,11.6859,11.6859,7.252328022563736,0
SNT,D,20120131,000000,11.6859,11.6859,11.6859,11.6859,6.04360668546978,0
SNT,D,20120201,000000,11.6694,11.6694,11.6694,11.6694,89.44537894495299,0
SNT,D,20120202,000000,11.6694,11.6694,11.6694,11.6694,6.04360668546978,0
SNT,D,20120203,000000,11.6148,11.6148,11.6148,11.6148,3.626164011281868,0
SNT,D,20120206,000000,11.6545,11.6775,11.144,11.6073,3363.8714811324967,0
SNT,D,20120207,000000,11.5362,11.5362,11.5287,11.5287,160.75993783349492,0
SNT,D,20120208,000000,11.6148,11.6148,11.2937,11.2937,2706.327073753343,0
SNT,D,20120209,000000,11.2226,11.2226,11.0349,11.0349,1672.8703305380438,0
SNT,D,20120210,000000,11.2937,11.2937,11.2937,11.2937,3.626164011281868,0
SNT,D,20120213,000000,11.0894,11.0894,11.0894,11.0894,6.04360668546978,0
SNT,D,20120214,000000,11.0894,11.0894,11.0894,11.0894,6.04360668546978,0
SNT,D,20120215,000000,11.0894,11.2937,11.0663,11.2937,6951.3564096273285,0
SNT,D,20120216,000000,11.2937,11.7719,11.2937,11.3789,20727.153488486776,0
SNT,D,20120217,000000,11.7719,11.7719,11.3789,11.3789,9114.967603025518,0
SNT,D,20120220,000000,11.7719,11.7719,11.7719,11.7719,16.92209871931562,0
SNT,D,20120221,000000,11.7719,11.7719,11.2226,11.2226,338.4419743863124,0
SNT,D,20120222,000000,11.4816,11.4816,11.2143,11.2226,119.66341237229781,0
SNT,D,20120223,000000,11.1837,11.4891,11.1837,11.4891,593.4821765131328,0
SNT,D,20120224,000000,11.7719,11.7719,10.8379,11.3011,1946.0413527212847,0
SNT,D,20120227,000000,11.2226,11.3318,11.2226,11.3318,355.36407310562333,0
SNT,D,20120228,000000,11.7719,11.7719,11.2226,11.3401,1938.7890246987445,0
SNT,D,20120229,000000,11.3401,11.3401,10.9869,11.3011,2948.0713411722036,0
SNT,D,20120301,000000,11.3401,11.3401,11.3011,11.3011,91.86282161914043,0
SNT,D,20120302,000000,11.3011,11.3011,10.9869,11.3011,514.9152896020205,0
SNT,D,20120306,000000,11.3401,11.3401,10.9869,10.9869,820.7217878867971,0
SNT,D,20120307,000000,10.9869,10.9869,10.9869,10.9869,157.13377382221313,0
SNT,D,20120308,000000,10.9869,10.9869,10.9869,10.9869,12.08721337093956,0
SNT,D,20120309,000000,10.9869,10.9869,10.9869,10.9869,61.64478819179212,0
SNT,D,20120312,000000,10.9869,10.9869,10.8379,10.9869,93.07154295623475,0
SNT,D,20120313,000000,10.9869,10.9869,10.2025,10.5946,45624.395589948734,0
SNT,D,20120314,000000,10.3589,10.5946,9.80953,10.2025,62334.968075272525,0
SNT,D,20120315,000000,10.1703,10.2025,10.1703,10.2025,18947.915680284495,0
SNT,D,20120316,000000,10.2025,10.2025,9.8492,10.2025,26354.96003399638,0
SNT,D,20120319,000000,11.7322,11.7322,11.1514,11.3708,2753.467205900029,0
SNT,D,20120320,000000,11.3708,11.3708,11.3708,11.3708,2286.9007697817224,0
SNT,D,20120321,000000,11.1357,11.1357,11.0727,11.0727,551.1769297148496,0
SNT,D,20120322,000000,11.0968,11.0968,11.0727,11.0727,1404.5341937031242,0
SNT,D,20120323,000000,11.3641,11.3641,11.3566,11.3566,126.91574039486132,0
SNT,D,20120326,000000,11.7719,11.7719,11.5362,11.5362,177.68203655280584,0
SNT,D,20120327,000000,11.5362,11.5759,11.3789,11.5362,1744.1848894265695,0
SNT,D,20120328,000000,11.5362,11.5362,11.206,11.5362,614.0304392437255,0
SNT,D,20120329,000000,11.7719,11.7719,11.2226,11.5676,738.5287369644028,0
SNT,D,20120330,000000,11.7092,11.7092,11.7092,11.7092,2.4174426741879125,0
SNT,D,20120402,000000,11.6925,11.6925,11.3011,11.6925,401.29548391518836,0
SNT,D,20120403,000000,11.6925,11.6925,11.6925,11.6925,510.08040425365255,0
SNT,D,20120404,000000,11.6461,11.6461,11.1912,11.5676,293.7192849138336,0
SNT,D,20120405,000000,11.6073,11.6073,11.6073,11.6073,2.4174426741879125,0
SNT,D,20120410,000000,11.6379,12.0078,11.6379,11.7719,1374.316160275854,0
