<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SON,D,20080623,000000,3.47736,3.49111,3.20702,3.34447,50176.5,0
SON,D,20080624,000000,3.43166,3.43166,3.22993,3.38582,7572.71,0
SON,D,20080625,000000,3.24821,3.42225,3.24821,3.42225,175.844,0
SON,D,20080627,000000,3.34447,3.34447,3.34447,3.34447,299.821,0
SON,D,20080701,000000,3.20702,3.20702,3.20702,3.20702,220.122,0
SON,D,20080702,000000,3.07421,3.20702,3.07421,3.20702,6164.69,0
SON,D,20080703,000000,3.13832,3.13832,3.13832,3.13832,2608.57,0
SON,D,20080707,000000,3.16124,3.16124,3.16124,3.16124,1156.27,0
SON,D,20080708,000000,3.16124,3.36282,3.11555,3.36282,7638.5,0
SON,D,20080709,000000,3.07872,3.29412,3.07872,3.29412,13197.2,0
SON,D,20080711,000000,3.16124,3.27579,3.16124,3.27579,2909.66,0
SON,D,20080715,000000,3.11555,3.11555,3.11555,3.11555,3274,0
SON,D,20080716,000000,3.11555,3.11555,3.11555,3.11555,368.135,0
SON,D,20080722,000000,3.06955,3.29412,3.06955,3.29412,981.695,0
SON,D,20080724,000000,3.6194,3.6194,3.6194,3.6194,21.5062,0
SON,D,20080725,000000,3.27579,3.44526,3.27579,3.44526,2478.27,0
SON,D,20080729,000000,3.44526,3.44526,3.44526,3.44526,107.531,0
SON,D,20080730,000000,3.11081,3.11555,3.11081,3.11555,3384.06,0
SON,D,20080731,000000,3.16566,3.37199,3.16566,3.37199,2403.63,0
SON,D,20080805,000000,3.25278,3.33531,3.25278,3.25278,2115.19,0
SON,D,20080811,000000,3.28488,3.28488,3.28488,3.28488,185.965,0
SON,D,20080812,000000,3.38582,3.38582,3.38582,3.38582,1.26507,0
SON,D,20080818,000000,3.38582,3.38582,3.25278,3.25278,824.826,0
SON,D,20080820,000000,3.25278,3.25278,3.25278,3.25278,414.943,0
SON,D,20080822,000000,3.38116,3.38116,3.38116,3.38116,1.26507,0
SON,D,20080825,000000,3.38116,3.38116,3.38116,3.38116,743.862,0
SON,D,20080829,000000,3.44526,3.44526,3.44526,3.44526,6.32535,0
SON,D,20080902,000000,3.44526,3.44526,3.44526,3.44526,220.122,0
SON,D,20080905,000000,3.44992,3.44992,3.37665,3.43166,762.838,0
SON,D,20080908,000000,3.36282,3.36282,3.36282,3.36282,1731.88,0
SON,D,20080909,000000,3.36282,3.36282,3.36282,3.36282,438.979,0
SON,D,20080912,000000,3.41317,3.41317,3.18417,3.22993,11495.7,0
SON,D,20080915,000000,3.16124,3.29863,3.16124,3.29863,2433.99,0
SON,D,20080916,000000,3.22993,3.29863,3.22993,3.29863,766.633,0
SON,D,20080917,000000,3.22993,3.22993,3.20702,3.20702,2477,0
SON,D,20080918,000000,3.1429,3.1429,3.1429,3.1429,2533.93,0
SON,D,20080919,000000,3.07872,3.07872,3.01453,3.07872,2100.01,0
SON,D,20080922,000000,3.1429,3.1429,3.07872,3.1429,2692.07,0
SON,D,20080923,000000,3.20702,3.20702,3.1429,3.1429,2594.66,0
SON,D,20080925,000000,3.02387,3.07421,3.00094,3.07421,2542.79,0
SON,D,20080930,000000,3.29412,3.29412,3.29412,3.29412,6.32535,0
SON,D,20081002,000000,3.07421,3.20243,3.07421,3.13832,5996.43,0
SON,D,20081003,000000,3.02828,3.02828,3.02828,3.02828,1845.73,0
SON,D,20081006,000000,2.99177,2.99177,2.99177,2.99177,254.279,0
SON,D,20081008,000000,2.94577,2.94577,2.87256,2.87256,5485.34,0
SON,D,20081010,000000,2.73509,2.73509,2.73509,2.73509,2006.4,0
SON,D,20081013,000000,2.68475,2.68475,2.68475,2.68475,2836.29,0
SON,D,20081014,000000,2.70301,2.70301,2.64357,2.64357,2754.06,0
SON,D,20081016,000000,2.56563,2.69835,2.52444,2.52444,3125.99,0
SON,D,20081017,000000,2.47402,2.47402,2.4145,2.4145,4563.11,0
SON,D,20081023,000000,2.31362,2.31362,2.22667,2.22667,2891.95,0
SON,D,20081027,000000,2.24501,2.24501,2.24501,2.24501,235.303,0
SON,D,20081029,000000,2.06613,2.08454,2.06613,2.08454,1778.69,0
SON,D,20081031,000000,2.38232,2.38232,2.38232,2.38232,43.0124,0
SON,D,20081103,000000,2.62057,2.84047,2.61131,2.84047,688.198,0
SON,D,20081104,000000,2.70301,2.70301,2.70301,2.70301,107.531,0
SON,D,20081105,000000,2.70301,2.97343,2.70301,2.75802,1571.21,0
SON,D,20081107,000000,2.97343,2.97343,2.97343,2.97343,11.3856,0
SON,D,20081110,000000,2.68016,2.70301,2.68016,2.68016,2579.48,0
SON,D,20081112,000000,2.8634,2.8634,2.8634,2.8634,2948.88,0
SON,D,20081113,000000,2.83604,2.83604,2.83604,2.83604,1.26507,0
SON,D,20081119,000000,2.74886,2.74886,2.74886,2.74886,37.9521,0
SON,D,20081124,000000,2.63432,2.63432,2.42816,2.63432,915.911,0
SON,D,20081125,000000,2.42816,2.42816,2.42816,2.42816,1661.03,0
SON,D,20081127,000000,2.29062,2.29062,2.29062,2.29062,43.0124,0
SON,D,20081128,000000,2.63432,2.63432,2.63432,2.63432,6.32535,0
SON,D,20081202,000000,2.61131,2.61131,2.56563,2.56563,166.989,0
SON,D,20081205,000000,2.30904,2.30904,2.30904,2.30904,6.32535,0
SON,D,20081208,000000,2.53812,2.53812,2.30904,2.30904,6507.52,0
SON,D,20081210,000000,2.33655,2.33655,2.19917,2.32737,143733,0
SON,D,20081211,000000,2.31829,2.31829,2.19917,2.19917,4972.99,0
SON,D,20081215,000000,2.15316,2.15316,2.15316,2.15316,1893.81,0
SON,D,20081223,000000,2.0617,2.0617,2.0617,2.0617,28595.6,0
SON,D,20081229,000000,2.07996,2.07996,2.07996,2.07996,28595.6,0
SON,D,20090105,000000,1.87831,1.87831,1.87831,1.87831,43.0124,0
SON,D,20090106,000000,1.88298,1.88298,1.88298,1.88298,220.122,0
SON,D,20090107,000000,1.86005,1.86005,1.86005,1.86005,43.0124,0
SON,D,20090109,000000,2.0432,2.0432,1.86005,1.86005,4053.28,0
SON,D,20090112,000000,1.76385,1.76385,1.76385,1.76385,3886.29,0
SON,D,20090113,000000,1.92424,1.92424,1.92424,1.92424,1311.87,0
SON,D,20090115,000000,1.87831,1.87831,1.87831,1.87831,980.43,0
SON,D,20090116,000000,1.7867,1.7867,1.7867,1.7867,74.6392,0
SON,D,20090119,000000,1.92424,1.92424,1.92424,1.92424,21.5062,0
SON,D,20090120,000000,1.97001,1.97001,1.97001,1.97001,29.0966,0
SON,D,20090121,000000,1.80969,1.97001,1.80969,1.97001,79.6995,0
SON,D,20090123,000000,1.7867,1.97001,1.7867,1.97001,48.0727,0
SON,D,20090126,000000,1.83255,1.83255,1.83255,1.83255,8293.8,0
SON,D,20090203,000000,1.97001,1.97001,1.97001,1.97001,3.79521,0
SON,D,20090205,000000,1.77295,1.77295,1.77295,1.77295,1628.14,0
SON,D,20090210,000000,1.77295,1.77295,1.77295,1.77295,650.246,0
SON,D,20090223,000000,1.7867,1.87831,1.69516,1.87831,516.149,0
SON,D,20090226,000000,1.83255,1.83255,1.83255,1.83255,2393.51,0
SON,D,20090227,000000,1.64931,1.70433,1.64931,1.70433,2662.97,0
SON,D,20090303,000000,1.60354,1.87389,1.60354,1.87389,3.79521,0
SON,D,20090304,000000,1.85555,1.85555,1.718,1.718,5.06028,0
SON,D,20090305,000000,1.72259,1.75934,1.718,1.75934,4102.62,0
SON,D,20090312,000000,1.60354,1.64931,1.60354,1.60354,7754.88,0
SON,D,20090316,000000,1.51185,1.69041,1.51185,1.69041,914.646,0
SON,D,20090318,000000,1.63097,1.63097,1.51185,1.57604,11595.6,0
SON,D,20090319,000000,1.57604,1.57604,1.57604,1.57604,655.307,0
SON,D,20090323,000000,1.42023,1.49809,1.42023,1.49809,14094.1,0
SON,D,20090324,000000,1.466,1.466,1.37447,1.4294,28648.8,0
SON,D,20090325,000000,1.4294,1.43392,1.39731,1.43392,7103.37,0
SON,D,20090326,000000,1.41106,1.489,1.41106,1.44308,172268,0
SON,D,20090327,000000,1.45691,1.49809,1.38356,1.49809,2760.38,0
SON,D,20090330,000000,1.466,1.466,1.4294,1.4294,176366,0
SON,D,20090331,000000,1.4294,1.4294,1.42482,1.4294,3318.28,0
SON,D,20090401,000000,1.39272,1.39731,1.35147,1.35147,15337.7,0
SON,D,20090402,000000,1.35147,1.36071,1.35147,1.35147,6746.62,0
SON,D,20090403,000000,1.34704,1.35147,1.32862,1.35147,14156.1,0
SON,D,20090406,000000,1.47059,1.47059,1.33329,1.37447,125954,0
SON,D,20090407,000000,1.37447,1.37447,1.3653,1.37447,21239.2,0
SON,D,20090408,000000,1.3653,1.49809,1.3653,1.42482,21654.2,0
SON,D,20090409,000000,1.43857,1.47975,1.42023,1.46151,28709.5,0
SON,D,20090414,000000,1.51185,1.55754,1.489,1.49809,59557,0
SON,D,20090415,000000,1.4936,1.69967,1.466,1.67208,163773,0
SON,D,20090416,000000,1.67675,1.75934,1.5852,1.6814,54061.5,0
SON,D,20090417,000000,1.68591,1.68591,1.58054,1.60354,25539.2,0
SON,D,20090420,000000,1.58054,1.60354,1.55754,1.55754,5718.12,0
SON,D,20090421,000000,1.47059,1.55754,1.42482,1.55754,12047.2,0
SON,D,20090422,000000,1.59888,1.59888,1.46151,1.55303,56494.2,0
SON,D,20090423,000000,1.55754,1.55754,1.50735,1.51185,28405.9,0
SON,D,20090424,000000,1.53012,1.53012,1.45691,1.45691,6864.27,0
SON,D,20090427,000000,1.489,1.489,1.466,1.466,4539.07,0
SON,D,20090428,000000,1.44308,1.47975,1.42023,1.47975,10109.1,0
SON,D,20090429,000000,1.40181,1.489,1.40181,1.44308,7945.91,0
SON,D,20090430,000000,1.45691,1.49809,1.43392,1.43392,16495.2,0
SON,D,20090504,000000,1.46151,1.47975,1.45233,1.46151,31815.2,0
SON,D,20090505,000000,1.46151,1.4936,1.37447,1.37447,34230.3,0
SON,D,20090506,000000,1.45233,1.46151,1.37447,1.40648,33965.9,0
SON,D,20090507,000000,1.40648,1.44308,1.40648,1.40648,37289.2,0
SON,D,20090508,000000,1.42023,1.466,1.42023,1.466,14078.9,0
SON,D,20090511,000000,1.466,1.466,1.39731,1.40181,72330.4,0
SON,D,20090512,000000,1.466,1.466,1.466,1.466,65.7837,0
SON,D,20090513,000000,1.44308,1.49809,1.44308,1.49809,28877.7,0
SON,D,20090514,000000,1.49809,1.64466,1.47975,1.61272,48020.8,0
SON,D,20090515,000000,1.37447,1.50276,1.37447,1.47975,74659.4,0
SON,D,20090518,000000,1.47059,1.51636,1.40181,1.489,6881.98,0
SON,D,20090519,000000,1.489,1.489,1.42023,1.47975,22248.8,0
SON,D,20090520,000000,1.4294,1.47975,1.42023,1.47975,2455.5,0
SON,D,20090521,000000,1.42023,1.489,1.42023,1.466,3148.76,0
SON,D,20090522,000000,1.466,1.466,1.4294,1.44308,3058.94,0
SON,D,20090525,000000,1.4294,1.4294,1.37447,1.42023,9734.72,0
SON,D,20090526,000000,1.44308,1.44308,1.44308,1.44308,1385.25,0
SON,D,20090527,000000,1.47526,1.47526,1.47526,1.47526,655.307,0
SON,D,20090529,000000,1.41565,1.44308,1.38356,1.44308,2836.29,0
SON,D,20090601,000000,1.44308,1.45233,1.44308,1.45233,3294.24,0
SON,D,20090602,000000,1.42482,1.44308,1.42023,1.42482,6852.89,0
SON,D,20090603,000000,1.4294,1.4294,1.41106,1.41106,4978.05,0
SON,D,20090604,000000,1.42023,1.42023,1.42023,1.42023,6427.82,0
SON,D,20090605,000000,1.40181,1.42023,1.40181,1.42023,981.695,0
SON,D,20090608,000000,1.40648,1.40648,1.40648,1.40648,323.858,0
SON,D,20090609,000000,1.43857,1.43857,1.43857,1.43857,21.5062,0
SON,D,20090610,000000,1.43857,1.44308,1.41106,1.43857,939.948,0
SON,D,20090615,000000,1.44308,1.44308,1.39272,1.39272,4931.24,0
SON,D,20090619,000000,1.38356,1.42023,1.37447,1.42023,4088.71,0
SON,D,20090622,000000,1.42023,1.42023,1.37447,1.37447,3719.31,0
SON,D,20090623,000000,1.37447,1.4294,1.37447,1.4294,4205.09,0
SON,D,20090624,000000,1.43392,1.43392,1.43392,1.43392,807.115,0
SON,D,20090625,000000,1.43392,1.44308,1.43392,1.43392,18410.5,0
SON,D,20090629,000000,1.43857,1.43857,1.43857,1.43857,2072.18,0
SON,D,20090630,000000,1.44308,1.53478,1.44308,1.51185,32412.3,0
SON,D,20090701,000000,1.51636,1.51636,1.51185,1.51185,6360.77,0
SON,D,20090702,000000,1.51185,1.59888,1.51185,1.59888,14762.1,0
SON,D,20090703,000000,1.5943,1.69516,1.5852,1.67675,34145.5,0
SON,D,20090706,000000,1.6814,1.6814,1.60354,1.60354,13314.8,0
SON,D,20090707,000000,1.60354,1.62639,1.5852,1.6218,8768.21,0
SON,D,20090708,000000,1.6814,1.6814,1.57137,1.58054,3833.16,0
SON,D,20090709,000000,1.60354,1.60354,1.60354,1.60354,1.26507,0
SON,D,20090710,000000,1.53012,1.58987,1.52109,1.52109,24030,0
SON,D,20090713,000000,1.466,1.54846,1.42023,1.54846,2631.34,0
SON,D,20090714,000000,1.489,1.51185,1.489,1.51185,13742.4,0
SON,D,20090715,000000,1.51185,1.54846,1.51185,1.54846,2619.96,0
SON,D,20090716,000000,1.5943,1.5943,1.5943,1.5943,1334.65,0
SON,D,20090717,000000,1.5943,1.5943,1.51185,1.5852,2192.36,0
SON,D,20090720,000000,1.57604,1.58054,1.53944,1.57604,13967.6,0
SON,D,20090721,000000,1.59888,1.60354,1.58054,1.58054,17684.4,0
SON,D,20090722,000000,1.58054,1.58054,1.57604,1.57604,413.678,0
SON,D,20090723,000000,1.57137,1.57604,1.57137,1.57604,2184.77,0
SON,D,20090724,000000,1.60354,1.64931,1.57604,1.59888,25632.8,0
SON,D,20090727,000000,1.62639,1.62639,1.61738,1.61738,22921.8,0
SON,D,20090728,000000,1.60354,1.60805,1.60354,1.60805,9665.14,0
SON,D,20090730,000000,1.76844,2.02052,1.76844,2.02052,39725.7,0
SON,D,20090731,000000,2.15316,2.19458,2.03869,2.19458,48687.5,0
SON,D,20090803,000000,2.19458,2.22193,2.15798,2.18067,18950.7,0
SON,D,20090804,000000,2.17158,2.18991,2.10738,2.11213,21274.7,0
SON,D,20090805,000000,2.19458,2.19458,2.07996,2.16699,178.375,0
SON,D,20090806,000000,2.10738,2.47402,2.10738,2.37322,100098,0
SON,D,20090807,000000,2.36864,2.47402,2.22193,2.35955,25769.5,0
SON,D,20090810,000000,2.37322,2.38232,2.29987,2.35023,21358.2,0
SON,D,20090811,000000,2.38232,2.41891,2.33655,2.34113,57489.9,0
SON,D,20090812,000000,2.29062,2.36864,2.23576,2.33655,58915.6,0
SON,D,20090813,000000,2.33655,2.46018,2.33655,2.46018,12654.5,0
SON,D,20090814,000000,2.43726,2.45108,2.40516,2.45108,3124.72,0
SON,D,20090817,000000,2.36864,2.36864,2.34113,2.34113,2036.76,0
SON,D,20090818,000000,2.36864,2.36864,2.23109,2.33655,13179.5,0
SON,D,20090819,000000,2.22667,2.33655,2.19917,2.3228,1385.25,0
SON,D,20090820,000000,2.32737,2.42816,2.29062,2.29062,49296,0
SON,D,20090821,000000,2.29987,2.38232,2.29987,2.35955,3796.47,0
SON,D,20090824,000000,2.42816,2.46926,2.35023,2.35023,9438.69,0
SON,D,20090825,000000,2.35955,2.42816,2.35955,2.35955,5057.75,0
SON,D,20090826,000000,2.36404,2.42816,2.36404,2.42816,19046.9,0
SON,D,20090827,000000,2.42358,2.46926,2.35955,2.35955,8293.8,0
SON,D,20090828,000000,2.45108,2.56563,2.34564,2.56563,29235.8,0
SON,D,20090831,000000,2.49686,2.51978,2.49686,2.51978,2909.66,0
SON,D,20090901,000000,2.51978,2.51978,2.42816,2.47402,6335.47,0
SON,D,20090902,000000,2.34564,2.49235,2.34564,2.48768,1672.42,0
SON,D,20090903,000000,2.42816,2.42816,2.42816,2.42816,828.621,0
SON,D,20090904,000000,2.31829,2.47402,2.31829,2.34564,3595.33,0
SON,D,20090907,000000,2.34564,2.40516,2.29522,2.40516,769.163,0
SON,D,20090908,000000,2.29987,2.29987,2.20817,2.29062,3409.36,0
SON,D,20090909,000000,2.26318,2.26318,2.24501,2.24501,1090.49,0
SON,D,20090910,000000,2.29062,2.29062,2.24501,2.24501,5675.11,0
SON,D,20090914,000000,2.15316,2.24501,2.15316,2.24501,3944.49,0
SON,D,20090915,000000,2.24501,2.33655,2.24501,2.3228,10030.7,0
SON,D,20090916,000000,2.33205,2.48768,2.33205,2.48768,6370.9,0
SON,D,20090917,000000,2.33655,2.46018,2.33655,2.46018,2847.67,0
SON,D,20090918,000000,2.37773,2.51978,2.37773,2.51978,32237.8,0
SON,D,20090921,000000,2.56563,2.68016,2.54263,2.65732,26453.9,0
SON,D,20090922,000000,2.68926,2.74886,2.65732,2.74886,6620.11,0
