<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SPH,D,20051124,000000,4.39614,4.40842,4.38986,4.39614,47480.6169683615,0
SPH,D,20051125,000000,4.40221,4.40842,4.40221,4.40221,13337.0694092405,0
SPH,D,20051128,000000,4.35295,4.42078,4.34704,4.35295,17412.3393322725,0
SPH,D,20051129,000000,4.3715,4.40221,4.3715,4.3715,552.986118272665,0
SPH,D,20051130,000000,4.35909,4.37765,4.35909,4.35909,9777.42930627925,0
SPH,D,20051201,000000,4.34082,4.38372,4.34082,4.34082,4402.508997594399,0
SPH,D,20051202,000000,4.32217,4.32217,4.29155,4.32217,4151.39331635105,0
SPH,D,20051205,000000,4.29155,4.29155,4.27935,4.29155,1136.68894605805,0
SPH,D,20051206,000000,4.25473,4.30391,4.25473,4.25473,2603.30077130585,0
SPH,D,20051207,000000,4.24866,4.28543,4.24866,4.24866,9148.30848363355,0
SPH,D,20051208,000000,4.26071,4.27935,4.25473,4.26071,10458.611825585,0
SPH,D,20051209,000000,4.27935,4.29155,4.18713,4.27935,20690.179949362002,0
SPH,D,20051212,000000,4.16241,4.20552,4.13778,4.16241,11107.7634965605,0
SPH,D,20051213,000000,4.13778,4.18098,4.13778,4.13778,7481.336761206,0
SPH,D,20051214,000000,4.03941,4.11944,3.91042,4.03941,14523.187661213,0
SPH,D,20051215,000000,4.05782,4.15013,4.05782,4.05782,18515.6812346275,0
SPH,D,20051216,000000,4.05782,4.08867,4.05782,4.05782,7723.1053987472005,0
SPH,D,20051219,000000,4.21161,4.26071,4.10103,4.21161,306714.6529678,0
SPH,D,20051220,000000,4.15013,4.21161,4.144,4.15013,2911.8560412403003,0
SPH,D,20051221,000000,4.20552,4.25473,4.18098,4.20552,468738.30335948,0
SPH,D,20051222,000000,4.16241,4.22388,4.15013,4.16241,3383.3624679932004,0
SPH,D,20051223,000000,4.144,4.16871,4.13164,4.144,8650.08740392335,0
SPH,D,20051227,000000,4.1747,4.1747,4.16871,4.1747,650.4925450115401,0
SPH,D,20051228,000000,4.21797,4.21797,4.21797,4.21797,813.4498714958,0
SPH,D,20060103,000000,4.19319,4.21797,4.19319,4.19319,390.028791788405,0
SPH,D,20060104,000000,4.16241,4.18713,4.16241,4.16241,77774.601545333,0
SPH,D,20060105,000000,4.12551,4.18098,4.12551,4.12551,37325.1413895745,0
SPH,D,20060106,000000,4.16871,4.16871,4.13778,4.16871,4036.5244217452,0
SPH,D,20060109,000000,4.15644,4.15644,4.0948,4.15644,118341.388179245,0
SPH,D,20060110,000000,4.1747,4.1747,4.13164,4.1747,5700.8329050981,0
SPH,D,20060111,000000,4.22388,4.24243,4.16871,4.22388,38031.7737803465,0
SPH,D,20060112,000000,4.27935,4.29155,4.25473,4.27935,344903.856054065,0
SPH,D,20060113,000000,4.267,4.267,4.267,4.267,6570.375321583149,0
SPH,D,20060116,000000,4.27935,4.29155,4.267,4.27935,11417.686375749501,0
SPH,D,20060117,000000,4.34082,4.34704,4.31619,4.34082,19076.60668452,0
SPH,D,20060118,000000,4.35909,4.36538,4.34082,4.35909,22493.367610098,0
SPH,D,20060119,000000,4.35295,4.36538,4.33461,4.35295,148217.99486417,0
SPH,D,20060120,000000,4.33461,4.34704,4.32839,4.33461,79118.35475875101,0
SPH,D,20060123,000000,4.34704,4.34704,4.32217,4.34704,80096.1439618725,0
SPH,D,20060124,000000,4.34082,4.35295,4.32217,4.34082,25862.107970121502,0
SPH,D,20060125,000000,4.33461,4.33461,4.32217,4.33461,11571.208226655,0
SPH,D,20060126,000000,4.34704,4.35909,4.33461,4.34704,11258.7146533785,0
SPH,D,20060127,000000,4.36538,4.3715,4.35295,4.36538,26849.151671958,0
SPH,D,20060130,000000,4.36538,4.42685,4.36538,4.36538,35684.935733986,0
SPH,D,20060131,000000,4.44527,4.44527,4.38372,4.44527,144382.51928562002,0
SPH,D,20060201,000000,4.46367,4.51288,4.43911,4.46367,210919.280213565,0
SPH,D,20060202,000000,4.52522,4.52522,4.48224,4.52522,26798.354756789002,0
SPH,D,20060203,000000,4.53134,4.53134,4.48224,4.53134,23058.4061705305,0
SPH,D,20060206,000000,4.48823,4.54984,4.46367,4.48823,69228.6889486115,0
SPH,D,20060207,000000,4.53749,4.55591,4.51288,4.53749,73795.578408937,0
SPH,D,20060208,000000,4.56205,4.56834,4.56205,4.56205,5043.660668569601,0
SPH,D,20060209,000000,4.52522,4.52522,4.51288,4.52522,70906.4267378775,0
SPH,D,20060210,000000,4.52522,4.52522,4.50066,4.52522,92862.93059474199,0
SPH,D,20060213,000000,4.58047,4.5929,4.53749,4.58047,96785.91260003051,0
SPH,D,20060214,000000,4.58668,4.58668,4.53134,4.58668,29520.616967687998,0
SPH,D,20060215,000000,4.58668,4.60519,4.57432,4.58668,41197.4293074575,0
SPH,D,20060216,000000,4.62367,4.65437,4.53749,4.62367,1656135.73270992,0
SPH,D,20060217,000000,4.62973,4.64201,4.57432,4.62973,19533.4704377505,0
SPH,D,20060220,000000,4.67891,4.70347,4.66664,4.67891,67010.0771233355,0
SPH,D,20060221,000000,4.74031,4.74031,4.70347,4.74031,144940.874041425,0
SPH,D,20060222,000000,4.80805,4.80805,4.72802,4.80805,14135.835476108501,0
SPH,D,20060223,000000,4.73424,4.78957,4.70347,4.73424,34765.964011586504,0
SPH,D,20060224,000000,4.74031,4.76485,4.67891,4.74031,280281.74808249,0
SPH,D,20060227,000000,4.77122,4.77122,4.67277,4.77122,51312.8020584795,0
SPH,D,20060228,000000,4.77122,4.80185,4.77122,4.77122,89138.920311826,0
SPH,D,20060301,000000,4.7835,4.78957,4.74659,4.7835,48943.23907638551,0
SPH,D,20060302,000000,4.76485,4.7835,4.75888,4.76485,9947.0642677252,0
SPH,D,20060306,000000,4.89416,4.93713,4.84498,4.89416,74092.0308511075,0
SPH,D,20060307,000000,4.99866,5.00466,4.91864,4.99866,209370.694095255,0
SPH,D,20060308,000000,5.11546,5.11546,5.02936,5.11546,95729.357330068,0
SPH,D,20060309,000000,4.98631,5.07863,4.98631,4.98631,22876.709512425998,0
SPH,D,20060310,000000,5.00466,5.05399,4.96798,5.00466,60909.922881461505,0
SPH,D,20060313,000000,5.04793,5.04793,5.02323,5.04793,96174.0874072055,0
SPH,D,20060314,000000,4.98017,5.00466,4.95563,4.98017,13071.259640593,0
SPH,D,20060315,000000,4.96176,5.01702,4.95563,4.96176,86614.3958901375,0
SPH,D,20060316,000000,4.97404,4.97404,4.95563,4.97404,7207.51670978185,0
SPH,D,20060317,000000,4.96176,4.97404,4.95563,4.96176,1015.143444768145,0
SPH,D,20060320,000000,4.97404,5.01094,4.96798,4.97404,41704.987148093496,0
SPH,D,20060321,000000,4.99866,5.00466,4.98017,4.99866,135949.614400985,0
SPH,D,20060322,000000,4.96176,5.00466,4.96176,4.96176,27622.5192812415,0
SPH,D,20060323,000000,4.93713,4.96176,4.93713,4.93713,17270.745501933,0
SPH,D,20060324,000000,4.92486,4.94334,4.8696,4.92486,32090.48843308,0
SPH,D,20060327,000000,5.01094,5.01702,4.98631,5.01094,2332.1542417327,0
SPH,D,20060328,000000,4.98631,5.00466,4.98631,4.98631,1147.3727506856999,0
SPH,D,20060329,000000,5.02936,5.05399,5.00466,5.02936,67397.42930844,0
SPH,D,20060330,000000,5.02936,5.03549,5.00466,5.02936,69840.51414143649,0
SPH,D,20060331,000000,5.01094,5.01094,4.99866,5.01094,1731.0848329698001,0
SPH,D,20060403,000000,5.03549,5.03549,4.99866,5.03549,6390.05655550955,0
SPH,D,20060404,000000,5.11546,5.11546,5.06636,5.11546,314309.51157991,0
SPH,D,20060405,000000,5.12774,5.12774,5.10318,5.12774,176050.385610715,0
SPH,D,20060406,000000,5.22006,5.23839,5.14615,5.22006,72755.0642700805,0
SPH,D,20060407,000000,5.2569,5.28751,5.23225,5.2569,92179.02313970351,0
SPH,D,20060410,000000,5.3736,5.41051,5.22006,5.3736,34651.105399757,0
SPH,D,20060411,000000,5.42915,5.44741,5.35519,5.42915,14613.9845763835,0
SPH,D,20060412,000000,5.42287,5.44127,5.38588,5.42287,12277.840617427,0
SPH,D,20060413,000000,5.39225,5.40445,5.36753,5.39225,5115.7840618885,0
SPH,D,20060414,000000,5.42915,5.42915,5.37989,5.42915,108544.9871506,0
SPH,D,20060417,000000,5.3245,5.3614,5.31835,5.3245,7302.3547560579,0
SPH,D,20060418,000000,5.29387,5.3736,5.26303,5.29387,38801.1311068535,0
SPH,D,20060419,000000,5.23839,5.30607,5.23839,5.23839,70545.7069435195,0
SPH,D,20060420,000000,5.2077,5.22611,5.17685,5.2077,15225.809769208501,0
SPH,D,20060421,000000,5.22006,5.25067,5.17685,5.22006,44954.755785747504,0
SPH,D,20060425,000000,5.22006,5.22006,5.1892,5.22006,4493.33676109395,0
SPH,D,20060426,000000,5.26303,5.26303,5.22006,5.26303,76715.37275351949,0
SPH,D,20060427,000000,5.26916,5.29387,5.25067,5.26916,166841.131111655,0
SPH,D,20060428,000000,5.23225,5.26303,5.23225,5.23225,174491.516716055,0
SPH,D,20060502,000000,5.17079,5.17685,5.17079,5.17079,2105.0796915956503,0
SPH,D,20060503,000000,5.13388,5.14017,5.08463,5.13388,15451.516710091,0
SPH,D,20060504,000000,5.10318,5.14017,5.10318,5.10318,3901.6143960332,0
SPH,D,20060505,000000,5.1216,5.1523,5.1216,5.1216,29371.0025717955,0
SPH,D,20060508,000000,5.12774,5.17685,5.12774,5.12774,11158.5604117295,0
SPH,D,20060509,000000,5.21383,5.21383,5.1892,5.21383,2207.92802064835,0
SPH,D,20060510,000000,5.23839,5.23839,5.20147,5.23839,7972.8843190650505,0
SPH,D,20060511,000000,5.26916,5.31835,5.23225,5.26916,32257.480721004,0
SPH,D,20060512,000000,5.30607,5.3614,5.30607,5.30607,3723.9691518106,0
SPH,D,20060515,000000,5.36753,5.37989,5.34305,5.36753,11571.208226655,0
SPH,D,20060516,000000,5.3245,5.3245,5.31835,5.3245,2278.7249358181,0
SPH,D,20060517,000000,5.4168,5.4168,5.4168,5.4168,2278.7249358181,0
SPH,D,20060518,000000,5.42287,5.42915,5.42287,5.42287,97234.6529599445,0
SPH,D,20060519,000000,5.38588,5.39225,5.37989,5.38588,57092.442161524006,0
SPH,D,20060522,000000,5.36753,5.38588,5.35519,5.36753,8684.8123396573,0
SPH,D,20060523,000000,5.28143,5.35519,5.28143,5.28143,48725.552701055996,0
SPH,D,20060525,000000,5.23225,5.34305,5.22006,5.23225,18070.8483297265,0
SPH,D,20060526,000000,5.19534,5.21383,5.1892,5.19534,21211.105399253,0
SPH,D,20060529,000000,5.21383,5.23839,5.16457,5.21383,67531.00257322649,0
SPH,D,20060530,000000,5.07249,5.20147,5.07249,5.07249,42955.1670967265,0
SPH,D,20060531,000000,5.26916,5.26916,5.16457,5.26916,6638.4987149019,0
SPH,D,20060601,000000,5.26916,5.30607,5.2569,5.26916,22860.66838132,0
SPH,D,20060602,000000,5.34305,5.3614,5.2753,5.34305,15145.6041136785,0
SPH,D,20060605,000000,5.37989,5.4168,5.37989,5.37989,2410.9614396791,0
SPH,D,20060606,000000,5.4168,5.4168,5.39225,5.4168,1345.05912601445,0
SPH,D,20060607,000000,5.38588,5.38588,5.36753,5.38588,3259.1362469088504,0
SPH,D,20060608,000000,5.33677,5.42915,5.33677,5.33677,215760.411319145,0
SPH,D,20060609,000000,5.33677,5.34305,5.33677,5.33677,1072.5758355158,0
SPH,D,20060612,000000,5.38588,5.5273,5.38588,5.38588,24754.75578499,0
SPH,D,20060613,000000,5.43514,5.43514,5.40445,5.43514,14187.866324439501,0
SPH,D,20060614,000000,5.46598,5.46598,5.45977,5.46598,8911.88688979435,0
SPH,D,20060615,000000,5.52138,5.5273,5.51509,5.52138,19243.598972444,0
SPH,D,20060616,000000,5.52138,5.52138,5.50897,5.52138,4947.485861368051,0
SPH,D,20060619,000000,5.51509,5.52138,5.50267,5.51509,13192.802057050001,0
SPH,D,20060620,000000,5.48448,5.50897,5.48448,5.48448,20175.938304098498,0
SPH,D,20060621,000000,5.49054,5.49054,5.23225,5.49054,220018.50900568,0
SPH,D,20060622,000000,5.52138,5.52138,5.49054,5.52138,375837.53214777,0
SPH,D,20060623,000000,5.54587,5.55815,5.53964,5.54587,175602.05656185502,0
SPH,D,20060626,000000,5.5705,5.5705,5.5273,5.5705,3064.1233934311003,0
SPH,D,20060627,000000,5.53964,5.53964,5.51509,5.53964,16003.187661268501,0
SPH,D,20060628,000000,5.5273,5.53964,5.5273,5.5273,1463.9383033968002,0
SPH,D,20060629,000000,5.58277,5.58277,5.5705,5.58277,2408.2879178281,0
SPH,D,20060630,000000,5.47826,5.52138,5.47826,5.47826,1234.2005141851,0
SPH,D,20060703,000000,5.50267,5.50897,5.50267,5.50267,296.52853471549,0
SPH,D,20060704,000000,5.45977,5.45977,5.42915,5.45977,6764.06169691175,0
SPH,D,20060705,000000,5.50897,5.53964,5.50897,5.50897,9733.35732684315,0
SPH,D,20060706,000000,5.46598,5.46598,5.45356,5.46598,1433.213367663,0
SPH,D,20060707,000000,5.46598,5.46598,5.44741,5.46598,32789.100258299004,0
SPH,D,20060710,000000,5.5273,5.53964,5.5273,5.5273,1517.3676093114002,0
SPH,D,20060711,000000,5.47826,5.48448,5.47826,5.47826,2211.9383034248503,0
SPH,D,20060712,000000,5.49677,5.50267,5.49677,5.49677,5290.76606703645,0
SPH,D,20060713,000000,5.48448,5.49054,5.48448,5.48448,4362.43701815845,0
SPH,D,20060714,000000,5.45977,5.49677,5.44741,5.45977,84000.411314204,0
SPH,D,20060717,000000,5.50897,5.50897,5.49054,5.50897,18868.277635669,0
SPH,D,20060718,000000,5.50897,5.50897,5.47826,5.50897,5111.773779112,0
SPH,D,20060719,000000,5.40445,5.44127,5.40445,5.40445,83896.24678977851,0
SPH,D,20060720,000000,5.56422,5.57649,5.36753,5.56422,383565.038574795,0
SPH,D,20060721,000000,5.83484,5.83484,5.58891,5.83484,144355.78406711,0
SPH,D,20060724,000000,5.92094,5.95164,5.7489,5.92094,72712.2879204645,0
SPH,D,20060725,000000,5.93329,5.95778,5.89632,5.93329,17950.642674195,0
SPH,D,20060726,000000,5.90859,5.92701,5.88396,5.90859,18474.241645937,0
SPH,D,20060727,000000,5.82865,5.89632,5.68114,5.82865,16365.141388788501,0
SPH,D,20060728,000000,5.90253,5.93329,5.88396,5.90253,4136.70951172325,0
SPH,D,20060731,000000,5.83484,5.92701,5.83484,5.83484,26504.575836469503,0
SPH,D,20060801,000000,5.76717,5.81643,5.76717,5.76717,16100.6683810665,0
SPH,D,20060802,000000,5.79171,5.88396,5.77346,5.79171,36700.05141525801,0
SPH,D,20060803,000000,5.74269,5.8225,5.73648,5.74269,7811.25964039575,0
SPH,D,20060807,000000,5.95164,5.97013,5.79171,5.95164,110004.113114665,0
SPH,D,20060808,000000,6.05616,6.08699,5.90859,6.05616,32826.529564213,0
SPH,D,20060809,000000,5.98863,6.03152,5.95778,5.98863,7415.88688973825,0
SPH,D,20060810,000000,6.00083,6.05616,5.96392,6.00083,24432.8020574715,0
SPH,D,20060811,000000,5.95164,5.95164,5.85941,5.95164,24557.120823543,0
SPH,D,20060814,000000,6.00696,6.04994,5.94542,6.00696,11158.5604117295,0
SPH,D,20060815,000000,5.93329,5.99476,5.93329,5.93329,19394.550129262003,0
SPH,D,20060816,000000,6.05616,6.06229,5.97612,6.05616,5053.00771227175,0
SPH,D,20060817,000000,6.25904,6.25904,6.08699,6.25904,19226.2210804125,0
SPH,D,20060818,000000,6.22235,6.3328,6.20371,6.22235,16346.4267358315,0
SPH,D,20060821,000000,6.18529,6.21592,6.17294,6.18529,3205.70694099425,0
SPH,D,20060822,000000,6.28383,6.28981,6.22235,6.28383,12782.724936212002,0
SPH,D,20060823,000000,6.17294,6.28981,6.17294,6.17294,23010.282777212502,0
SPH,D,20060824,000000,6.27156,6.34544,6.23403,6.27156,11822.313625122,0
SPH,D,20060825,000000,6.23403,6.30799,6.21592,6.23403,6825.501285603001,0
SPH,D,20060828,000000,6.41251,6.41251,6.31459,6.41251,90120.61696996051,0
SPH,D,20060829,000000,6.36947,6.42516,6.36947,6.36947,813.4498714958,0
SPH,D,20060830,000000,6.38804,6.38804,6.34544,6.38804,8248.0411314147,0
SPH,D,20060831,000000,6.37599,6.41251,6.37599,6.37599,467.50025708694,0
SPH,D,20060901,000000,6.33892,6.40001,6.33892,6.33892,10649.5629824045,0
SPH,D,20060904,000000,6.30799,6.37599,6.27156,6.30799,18484.935733340997,0
SPH,D,20060905,000000,6.27738,6.30218,6.27738,6.27738,9434.14910061085,0
SPH,D,20060907,000000,6.31459,6.35743,6.31459,6.31459,2015.5886890216002,0
SPH,D,20060908,000000,6.23403,6.31459,6.23403,6.23403,11402.982005569,0
SPH,D,20060911,000000,6.2282,6.26555,6.22235,6.2282,36901.799487245,0
