<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
STF,D,20000426,000000,0.780165,0.780165,0.780165,0.780165,1301854.6768363426,0
STF,D,20000427,000000,0.742404,0.742404,0.742404,0.742404,423998.1313273339,0
STF,D,20000428,000000,0.729818,0.729818,0.729818,0.729818,364017.2958548226,0
STF,D,20000504,000000,0.704719,0.704719,0.704719,0.704719,258190.27516132346,0
STF,D,20000505,000000,0.692133,0.692133,0.692133,0.692133,108549.84283826819,0
STF,D,20000508,000000,0.673252,0.673252,0.673252,0.673252,83725.44623501958,0
STF,D,20000509,000000,0.635416,0.635416,0.635416,0.635416,107038.94349126717,0
STF,D,20000510,000000,0.622904,0.622904,0.622904,0.622904,168709.53035363028,0
STF,D,20000511,000000,0.616535,0.616535,0.616535,0.616535,119633.33062758337,0
STF,D,20000512,000000,0.622904,0.622904,0.622904,0.622904,179008.20470121424,0
STF,D,20000515,000000,0.622904,0.622904,0.622904,0.622904,137964.3303022408,0
STF,D,20000516,000000,0.641859,0.641859,0.641859,0.641859,78047.56123312659,0
STF,D,20000517,000000,0.666884,0.666884,0.666884,0.666884,111271.33026630268,0
STF,D,20000518,000000,0.679394,0.679394,0.679394,0.679394,31351.16145027589,0
STF,D,20000519,000000,0.698426,0.698426,0.698426,0.698426,106105.97649166055,0
STF,D,20000522,000000,0.685763,0.685763,0.685763,0.685763,115861.42112702549,0
STF,D,20000523,000000,0.654371,0.654371,0.654371,0.654371,101890.94103421329,0
STF,D,20000524,000000,0.622904,0.622904,0.622904,0.622904,124077.93736389381,0
STF,D,20000525,000000,0.629197,0.629197,0.629197,0.629197,45304.2902254986,0
STF,D,20000526,000000,0.641859,0.641859,0.641859,0.641859,9017.346279452813,0
STF,D,20000529,000000,0.641859,0.641859,0.641859,0.641859,116093.66183937324,0
STF,D,20000530,000000,0.641859,0.641859,0.641859,0.641859,53455.40534222693,0
STF,D,20000531,000000,0.654371,0.654371,0.654371,0.654371,48993.44728831746,0
STF,D,20000601,000000,0.648154,0.648154,0.648154,0.648154,43039.275921734545,0
STF,D,20000602,000000,0.654371,0.654371,0.654371,0.654371,63276.25109773543,0
STF,D,20000605,000000,0.648154,0.648154,0.648154,0.648154,94774.23138915103,0
STF,D,20000606,000000,0.641859,0.641859,0.641859,0.641859,38056.77834014796,0
STF,D,20000607,000000,0.635416,0.635416,0.635416,0.635416,40991.82044620385,0
STF,D,20000608,000000,0.641859,0.641859,0.641859,0.641859,65587.98048731664,0
STF,D,20000609,000000,0.635416,0.635416,0.635416,0.635416,19266.63610774147,0
STF,D,20000612,000000,0.622904,0.622904,0.622904,0.622904,61766.686467471314,0
STF,D,20000613,000000,0.604023,0.604023,0.604023,0.604023,190500.11581223266,0
STF,D,20000614,000000,0.641859,0.641859,0.641859,0.641859,83626.67719643518,0
STF,D,20000615,000000,0.622904,0.622904,0.622904,0.622904,31941.10624831091,0
STF,D,20000616,000000,0.622904,0.622904,0.622904,0.622904,33528.084449356815,0
STF,D,20000619,000000,0.629197,0.629197,0.629197,0.629197,19673.724712719722,0
STF,D,20000620,000000,0.622904,0.622904,0.622904,0.622904,12462.250179284976,0
STF,D,20000621,000000,0.629197,0.629197,0.629197,0.629197,11474.55979343633,0
STF,D,20000623,000000,0.641859,0.641859,0.641859,0.641859,54190.83426466354,0
STF,D,20000626,000000,0.641859,0.641859,0.641859,0.641859,40846.33632180226,0
STF,D,20000627,000000,0.641859,0.641859,0.641859,0.641859,92511.886518862,0
STF,D,20000628,000000,0.610317,0.610317,0.610317,0.610317,36072.054551286994,0
STF,D,20000629,000000,0.622904,0.622904,0.622904,0.622904,17628.93867066524,0
STF,D,20000630,000000,0.610317,0.610317,0.610317,0.610317,11999.103471326347,0
STF,D,20000703,000000,0.597655,0.597655,0.597655,0.597655,52027.258432958944,0
STF,D,20000704,000000,0.610317,0.610317,0.610317,0.610317,246332.65166418918,0
STF,D,20000705,000000,0.635416,0.635416,0.635416,0.635416,233396.57704304543,0
STF,D,20000706,000000,0.66059,0.66059,0.66059,0.66059,167085.18008392563,0
STF,D,20000707,000000,0.654371,0.654371,0.654371,0.654371,139048.1202931955,0
STF,D,20000710,000000,0.635416,0.635416,0.635416,0.635416,11474.55979343633,0
