<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
STP,D,19970806,000000,17.5389,17.5389,17.5389,17.5389,32527.119437338446,0
STP,D,19970807,000000,17.5389,17.5389,17.5389,17.5389,41536.21375041137,0
STP,D,19970808,000000,18.4544,18.4544,18.4544,18.4544,23278.11456097305,0
STP,D,19970811,000000,18.9386,18.9386,18.9386,18.9386,57068.15941639925,0
STP,D,19970812,000000,18.1707,18.1707,18.1707,18.1707,5139.970653181373,0
STP,D,19970813,000000,18.7999,18.7999,18.7999,18.7999,18137.012254192272,0
STP,D,19970814,000000,17.6105,17.6105,17.6105,17.6105,12039.66265504155,0
STP,D,19970818,000000,17.5389,17.5389,17.5389,17.5389,7698.639443767732,0
STP,D,19970819,000000,16.9805,16.9805,16.9805,16.9805,6744.65545859997,0
STP,D,19970820,000000,17.402,17.402,17.402,17.402,4741.628585827817,0
STP,D,19970821,000000,17.3252,17.3252,17.3252,17.3252,5887.99368306969,0
STP,D,19970822,000000,16.8338,16.8338,16.8338,16.8338,2998.8820411560396,0
STP,D,19970825,000000,16.9805,16.9805,16.9805,16.9805,8096.9815111212865,0
STP,D,19970826,000000,16.764,16.764,16.764,16.764,16376.159251912324,0
STP,D,19970827,000000,15.9272,15.9272,15.9272,15.9272,8656.018389736777,0
STP,D,19970828,000000,16.4883,16.4883,16.4883,16.4883,27837.54691713142,0
STP,D,19970829,000000,16.4883,16.4883,16.4883,16.4883,7782.381810199981,0
STP,D,19970901,000000,16.4883,16.4883,16.4883,16.4883,9948.366801434924,0
STP,D,19970902,000000,16.134,16.134,16.134,16.134,2796.31604667798,0
STP,D,19970903,000000,16.4883,16.4883,16.4883,16.4883,9896.31073581485,0
STP,D,19970904,000000,16.4883,16.4883,16.4883,16.4883,7365.933285239485,0
STP,D,19970905,000000,16.134,16.134,16.134,16.134,7128.286029147865,0
STP,D,19970908,000000,16.134,16.134,16.134,16.134,3943.8127975202797,0
