<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
STX,D,19941026,000000,8.80321,8.80321,8.80321,8.80321,48549.507031833,0
STX,D,19941027,000000,7.95454,7.95454,7.95454,7.95454,224060.6149554404,0
STX,D,19941028,000000,8.01702,8.01702,8.01702,8.01702,171953.77188312754,0
STX,D,19941102,000000,8.80321,8.80321,8.80321,8.80321,134919.0086567942,0
STX,D,19941103,000000,8.80321,8.80321,8.80321,8.80321,139866.36284910035,0
STX,D,19941104,000000,8.39423,8.39423,8.39423,8.39423,85681.43272526974,0
STX,D,19941107,000000,8.17435,8.17435,8.17435,8.17435,103331.2923107274,0
STX,D,19941108,000000,8.08003,8.08003,8.08003,8.08003,73038.41455687539,0
STX,D,19941109,000000,8.08003,8.08003,8.08003,8.08003,98465.23732558943,0
STX,D,19941110,000000,7.86014,7.86014,7.86014,7.86014,86280.27078782544,0
STX,D,19941114,000000,7.07399,7.07399,7.07399,7.07399,99300.04137968196,0
STX,D,19941115,000000,6.38257,6.38257,6.38257,6.38257,205792.088232508,0
STX,D,19941116,000000,6.06787,6.06787,6.06787,6.06787,234544.2468651488,0
STX,D,19941117,000000,6.66547,6.66547,6.66547,6.66547,233957.30624754453,0
STX,D,19941118,000000,6.35126,6.35126,6.35126,6.35126,131018.6296202146,0
STX,D,19941121,000000,5.97305,5.97305,5.97305,5.97305,168495.58121724302,0
STX,D,19941122,000000,5.37645,5.37645,5.37645,5.37645,294088.97593960207,0
STX,D,19941123,000000,5.65935,5.65935,5.65935,5.65935,129541.36353874442,0
STX,D,19941124,000000,5.62758,5.62758,5.62758,5.62758,60839.56766666803,0
STX,D,19941125,000000,5.69064,5.69064,5.69064,5.69064,76684.98143449101,0
STX,D,19941128,000000,6.25652,6.25652,6.25652,6.25652,100735.66640382212,0
STX,D,19941129,000000,6.85457,6.85457,6.85457,6.85457,202357.69245652633,0
STX,D,19941130,000000,7.51417,7.51417,7.51417,7.51417,274934.0895677875,0
STX,D,19941201,000000,8.23743,8.23743,8.23743,8.23743,221677.16015016905,0
STX,D,19941202,000000,8.23743,8.23743,8.23743,8.23743,290648.63144114474,0
STX,D,19941205,000000,7.86014,7.86014,7.86014,7.86014,228288.17372818454,0
STX,D,19941206,000000,8.23743,8.23743,8.23743,8.23743,248329.41974888116,0
STX,D,19941207,000000,7.42045,7.42045,7.42045,7.42045,204945.386733464,0
STX,D,19941208,000000,6.69672,6.69672,6.69672,6.69672,0,0
STX,D,19941209,000000,6.22471,6.22471,6.22471,6.22471,235182.74307754263,0
STX,D,19941212,000000,6.82276,6.82276,6.82276,6.82276,568079.2015412422,0
STX,D,19941213,000000,6.75977,6.75977,6.75977,6.75977,168798.9660635047,0
STX,D,19941214,000000,6.53943,6.53943,6.53943,6.53943,173347.75584993765,0
STX,D,19941215,000000,6.82276,6.82276,6.82276,6.82276,142237.92020942023,0
STX,D,19941216,000000,7.20003,7.20003,7.20003,7.20003,126939.7889093634,0
STX,D,19941219,000000,7.51417,7.51417,7.51417,7.51417,220768.988518876,0
STX,D,19941220,000000,7.23084,7.23084,7.23084,7.23084,119829.08264338753,0
STX,D,19941221,000000,7.29433,7.29433,7.29433,7.29433,82675.34496753983,0
STX,D,19941222,000000,7.35689,7.35689,7.35689,7.35689,85929.29616175803,0
STX,D,19941223,000000,7.54549,7.54549,7.54549,7.54549,112042.20492267165,0
STX,D,19941227,000000,7.54549,7.54549,7.54549,7.54549,110130.68210047399,0
STX,D,19941228,000000,7.23084,7.23084,7.23084,7.23084,80161.0182678027,0
STX,D,19941229,000000,7.38914,7.38914,7.38914,7.38914,104630.09671792602,0
STX,D,19950102,000000,7.79706,7.79706,7.79706,7.79706,76500.57103774372,0
STX,D,19950103,000000,8.08003,8.08003,8.08003,8.08003,213049.52965288493,0
STX,D,19950104,000000,7.86014,7.86014,7.86014,7.86014,210749.35696227362,0
STX,D,19950105,000000,8.11127,8.11127,8.11127,8.11127,164208.53521974167,0
STX,D,19950106,000000,7.38914,7.38914,7.38914,7.38914,87638.56241978121,0
STX,D,19950109,000000,7.67157,7.67157,7.67157,7.67157,52925.78386647014,0
STX,D,19950110,000000,7.54549,7.54549,7.54549,7.54549,106150.98676421813,0
STX,D,19950111,000000,7.38914,7.38914,7.38914,7.38914,73359.64557056421,0
STX,D,19950112,000000,7.42045,7.42045,7.42045,7.42045,104651.90870033698,0
STX,D,19950113,000000,7.76589,7.76589,7.76589,7.76589,94447.86674698735,0
STX,D,19950116,000000,7.70282,7.70282,7.70282,7.70282,83409.02073954514,0
STX,D,19950117,000000,7.86014,7.86014,7.86014,7.86014,299676.80925179395,0
STX,D,19950118,000000,7.86014,7.86014,7.86014,7.86014,223788.95662904924,0
STX,D,19950119,000000,8.01702,8.01702,8.01702,8.01702,123360.64088647261,0
STX,D,19950120,000000,7.79706,7.79706,7.79706,7.79706,69834.03604995487,0
STX,D,19950123,000000,7.42045,7.42045,7.42045,7.42045,58626.642905700646,0
STX,D,19950124,000000,7.20003,7.20003,7.20003,7.20003,107917.75733950661,0
STX,D,19950125,000000,7.20003,7.20003,7.20003,7.20003,136324.89006855575,0
STX,D,19950126,000000,7.04318,7.04318,7.04318,7.04318,78308.98267036224,0
STX,D,19950127,000000,6.82276,6.82276,6.82276,6.82276,51081.67989899731,0
STX,D,19950130,000000,6.16265,6.16265,6.16265,6.16265,94037.40489616273,0
STX,D,19950131,000000,6.13087,6.13087,6.13087,6.13087,224597.98288574698,0
STX,D,19950201,000000,6.41381,6.41381,6.41381,6.41381,82633.7039102098,0
STX,D,19950202,000000,5.84797,5.84797,5.84797,5.84797,136890.01870374905,0
STX,D,19950203,000000,5.72191,5.72191,5.72191,5.72191,68241.76133395413,0
STX,D,19950206,000000,6.28826,6.28826,6.28826,6.28826,32999.546480304074,0
STX,D,19950207,000000,6.91713,6.91713,6.91713,6.91713,371844.7274197225,0
STX,D,19950208,000000,6.91713,6.91713,6.91713,6.91713,277507.9034922819,0
STX,D,19950209,000000,6.91713,6.91713,6.91713,6.91713,141829.44126608758,0
STX,D,19950210,000000,6.60248,6.60248,6.60248,6.60248,67397.04274240206,0
STX,D,19950213,000000,6.44506,6.44506,6.44506,6.44506,115974.31047912176,0
STX,D,19950214,000000,6.72852,6.72852,6.72852,6.72852,72903.57684742576,0
STX,D,19950215,000000,6.72852,6.72852,6.72852,6.72852,68816.80450660693,0
STX,D,19950216,000000,6.85457,6.85457,6.85457,6.85457,73603.54319206867,0
STX,D,19950217,000000,6.91713,6.91713,6.91713,6.91713,111395.7770803102,0
STX,D,19950220,000000,6.60248,6.60248,6.60248,6.60248,32638.65731677713,0
STX,D,19950221,000000,5.94231,5.94231,5.94231,5.94231,117124.39682442737,0
