<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SWG,D,20071205,000000,30.2318,31.7422,29.4756,29.5507,6052.268782276706,0
SWG,D,20071206,000000,30.7236,30.7236,29.5136,30.4587,1457.4567626539235,0
SWG,D,20071207,000000,30.4951,30.4951,30.2318,30.4881,948.853011616505,0
SWG,D,20071210,000000,30.6849,30.6849,29.8529,30.5338,268.7837590903897,0
SWG,D,20071211,000000,30.6468,31.7422,30.6468,31.7422,357.99216189194146,0
SWG,D,20071212,000000,31.7422,33.3304,31.7422,33.3304,574.6411401242815,0
SWG,D,20071213,000000,34.4638,34.4638,34.4638,34.4638,31.280868514829834,0
SWG,D,20071214,000000,36.5042,36.6545,33.2546,34.4638,1810.8147218029271,0
SWG,D,20071217,000000,34.3127,34.3127,33.0282,34.0097,424.0295509788044,0
SWG,D,20071218,000000,34.0097,34.0097,34.0097,34.0097,11.585506857344384,0
SWG,D,20071219,000000,34.6908,34.6908,33.2546,33.2546,177.25825491736904,0
SWG,D,20071220,000000,33.0282,33.0282,31.97,32.0453,1522.3356010550524,0
SWG,D,20071221,000000,31.7802,33.3304,31.7802,33.3304,171.46550148869687,0
SWG,D,20071227,000000,33.2546,34.3886,33.2546,34.3886,253.722600175842,0
SWG,D,20071228,000000,34.6908,34.6908,34.6908,34.6908,1.1585506857344383,0
SWG,D,20080102,000000,34.7668,34.7668,34.6908,34.6908,285.0034686906718,0
SWG,D,20080103,000000,34.0097,34.0097,33.2546,34.0097,622.1417182393934,0
SWG,D,20080107,000000,32.0072,33.6326,32.0072,33.6326,808.668378642638,0
SWG,D,20080109,000000,32.8005,32.8765,32.4992,32.8765,1521.1770503693174,0
SWG,D,20080110,000000,32.8765,32.8765,32.8765,32.8765,939.5846061306294,0
SWG,D,20080111,000000,32.8765,32.8765,32.8765,32.8765,115.85506857344384,0
SWG,D,20080115,000000,32.1202,32.8765,32.1202,32.1202,148.2944877740081,0
SWG,D,20080116,000000,30.2318,30.2318,29.0976,29.0976,463.4202742937754,0
SWG,D,20080117,000000,30.2318,30.2318,28.7195,28.7195,305.8573810338917,0
SWG,D,20080118,000000,29.3997,29.8529,29.3997,29.8529,10480.249503153731,0
SWG,D,20080121,000000,29.8529,29.8529,29.8529,29.8529,398.54143589264686,0
