<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TAR,D,20130618,000000,7.23087,7.80677,7.05113,7.75657,592051.1377906513,0
TAR,D,20130619,000000,7.77096,8.10928,7.41105,7.48275,197701.1708382836,0
TAR,D,20130620,000000,7.4035,7.55515,7.3892,7.48275,63806.270878670955,0
TAR,D,20130621,000000,7.48275,7.87162,7.48275,7.81396,41401.67363500189,0
TAR,D,20130624,000000,7.82835,7.87162,7.6984,7.77096,60542.84622875435,0
TAR,D,20130625,000000,7.6984,7.72786,7.6266,7.72786,23555.00463021266,0
TAR,D,20130626,000000,7.6266,7.6984,7.4902,7.6984,16685.63157052617,0
TAR,D,20130627,000000,7.6266,7.763,7.6266,7.6984,33531.89497326107,0
TAR,D,20130628,000000,7.75657,7.90709,7.50451,7.90709,65025.18301718437,0
TAR,D,20130701,000000,7.90709,7.91455,7.641,7.6984,5694.16222846385,0
TAR,D,20130702,000000,7.6266,7.77739,7.48275,7.77739,19174.24385332542,0
TAR,D,20130704,000000,7.68409,7.69119,7.5332,7.5332,3137.045193694157,0
TAR,D,20130705,000000,7.49698,7.51891,7.41105,7.51891,5684.713297157572,0
TAR,D,20130708,000000,7.77096,7.77096,7.27457,7.43974,2182.7031317571827,0
TAR,D,20130709,000000,7.50451,7.50451,7.27457,7.41105,7637.0987283233335,0
TAR,D,20130710,000000,7.54752,7.6984,7.54752,7.6266,6742.9936034640305,0
TAR,D,20130711,000000,7.67766,8.44033,7.6266,8.4183,40350.480027175116,0
TAR,D,20130712,000000,8.3819,8.48266,8.27522,8.4183,16972.642858956104,0
TAR,D,20130715,000000,8.92122,8.92122,8.6486,8.75613,25401.08958418224,0
TAR,D,20130716,000000,8.76373,8.76373,8.63505,8.70616,6463.0690135146215,0
TAR,D,20130717,000000,8.63505,8.70616,8.49027,8.49027,4781.159240991884,0
TAR,D,20130718,000000,8.30994,8.30994,8.16599,8.2312,8279.62605715238,0
TAR,D,20130719,000000,8.20242,8.44624,8.20242,8.44624,2861.845069398045,0
TAR,D,20130722,000000,8.44624,9.28108,8.44624,9.15317,84017.53494286421,0
TAR,D,20130723,000000,9.20229,9.78479,9.20229,9.46221,65295.65867582834,0
TAR,D,20130724,000000,9.46221,9.62744,9.46221,9.61973,10216.656974945477,0
TAR,D,20130725,000000,9.54015,9.97944,9.54015,9.97944,44412.33937247401,0
TAR,D,20130726,000000,10.0371,10.0734,9.13797,10.0734,41468.99727055925,0
TAR,D,20130729,000000,10.0734,10.0734,9.92871,9.99314,18595.496810813624,0
TAR,D,20130730,000000,10.059,10.0651,10.0006,10.0006,5369.355214809539,0
TAR,D,20130731,000000,10.0734,10.1455,9.7501,9.85758,28225.138928354747,0
TAR,D,20130801,000000,9.85,9.85,9.64088,9.77799,37676.43246748977,0
TAR,D,20130802,000000,9.7501,10.0371,9.66289,10.0371,33061.81064077101,0
TAR,D,20130805,000000,10.0219,10.4335,10.0219,10.3539,48561.601332356746,0
TAR,D,20130806,000000,10.5773,10.5773,10.297,10.3539,45354.870270279054,0
TAR,D,20130807,000000,10.4335,10.5341,10.3901,10.5341,20101.420237756964,0
TAR,D,20130808,000000,10.6484,10.8863,10.6484,10.8863,90834.93888036477,0
TAR,D,20130809,000000,11.1089,11.1089,10.937,11.0809,39372.51563697219,0
TAR,D,20130812,000000,11.1157,11.1378,10.7932,10.9226,17017.525282661005,0
TAR,D,20130813,000000,10.9226,11.0735,10.9226,11.0657,12043.844066303023,0
TAR,D,20130814,000000,11.1522,11.1522,10.7636,10.7932,41365.059026189454,0
TAR,D,20130816,000000,10.5401,10.5401,9.58418,10.0734,130057.45273284348,0
TAR,D,20130819,000000,10.0734,10.0734,9.36061,9.89315,173350.09374552095,0
TAR,D,20130820,000000,9.85758,9.92871,9.685,9.92871,42478.85180392165,0
TAR,D,20130821,000000,9.99314,10.1455,9.95068,10.059,59796.38065555697,0
TAR,D,20130822,000000,10.0446,10.0947,9.92871,10.0734,123153.82729718626,0
TAR,D,20130823,000000,10.0734,10.0734,9.93629,10.0651,28597.190598540456,0
TAR,D,20130826,000000,10.0734,10.0734,9.85758,9.96506,3923.668724944397,0
TAR,D,20130827,000000,9.96506,10.059,9.64088,9.85758,161439.71583392227,0
TAR,D,20130828,000000,9.64088,9.8432,9.27514,9.42498,38238.643880215604,0
TAR,D,20130829,000000,9.28108,9.28108,8.92122,9.07277,27551.902572781215,0
TAR,D,20130830,000000,9.23108,9.33184,8.82809,8.95089,154655.38315599257,0
